player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Aneyas Williams,184108,HB,NOTRE DAME,1,6.4,0,100.0,,0,0,0,0.0,0,2,258,0,76.3,68.1,68.3,5.2,91.7,0.0,0,0,36,29.2,7,24,0,5,70.8,17,4.2,1,118.8,5,0,4.2,1,66,34,6.8,13.2,3.88
Gee Scott Jr.,129756,TE,OHIO STATE,1,4.0,1,100.0,,0,0,0,0.0,0,1,260,0,76.3,65.7,62.0,63.9,61.2,17.4,4,0,14,4.3,1,23,1,5,87.0,20,60.9,14,91.7,5,0,21.7,5,30,10,2.0,6.0,1.5
Quinshon Judkins,157128,HB,OHIO STATE,1,-0.3,1,100.0,,0,0,0,0.0,0,1,260,0,73.1,73.2,75.9,23.6,72.4,0.0,0,0,11,25.0,4,16,0,3,68.8,11,0.0,0,97.2,3,0,0.0,0,22,23,7.7,7.3,2.0
Jeremiah Smith,183710,WR,OHIO STATE,1,16.0,2,33.3,,0,0,0,0.0,0,0,260,0,70.7,62.9,55.4,,55.3,0.0,0,1,3,0.0,0,38,0,1,94.7,36,21.1,8,2.8,3,0,78.9,30,3,8,8.0,3.0,0.08
Harrison Wallace III,145090,WR,PENN STATE,1,6.3,0,0.0,0.0,0,1,0,,0,0,266,0,,,51.6,,51.5,0.0,0,0,0,0.0,0,26,0,0,92.3,24,3.8,1,39.6,3,0,96.2,25,0,0,,,0.0
Matthew Golden,156165,WR,TEXAS,1,19.3,0,66.7,100.0,1,1,0,0.0,0,2,311,0,70.7,62.9,74.0,,74.0,0.0,0,0,27,0.0,0,19,1,2,89.5,17,36.8,7,109.7,3,0,63.2,12,51,5,2.5,25.5,3.0
Gunnar Helm,144726,TE,TEXAS,1,11.7,0,66.7,0.0,0,1,0,0.0,0,1,311,0,70.7,64.6,44.3,32.7,54.2,60.9,28,0,34,13.0,6,46,1,2,80.4,37,28.3,13,109.7,3,0,10.9,5,42,23,11.5,21.0,1.14
Omari Evans,164168,WR,PENN STATE,1,10.5,0,0.0,,0,0,0,,0,0,266,0,,,53.6,,52.8,0.0,0,1,0,0.0,0,13,0,0,84.6,11,23.1,3,0.0,2,0,69.2,9,0,0,,,0.0
Will Kacmarek,145896,TE,OHIO STATE,1,5.5,1,100.0,,0,0,0,0.0,0,0,260,0,70.7,62.9,71.1,54.3,76.5,81.3,13,0,12,25.0,4,16,0,2,68.8,11,18.8,3,110.4,2,0,0.0,0,21,10,5.0,10.5,1.91
Khalil Dinkins,145087,TE,PENN STATE,1,1.5,0,100.0,,0,0,0,0.0,0,1,266,0,70.7,62.9,61.9,69.7,66.2,76.9,10,0,20,23.1,3,13,0,2,76.9,10,15.4,2,110.4,2,0,7.7,1,21,18,9.0,10.5,2.1
Jordan Faison,171081,WR,NOTRE DAME,1,2.0,1,100.0,,0,0,0,0.0,0,2,258,0,70.7,62.9,59.8,,61.9,0.0,0,0,14,0.0,0,29,0,2,96.6,28,20.7,6,118.8,2,0,79.3,23,25,21,10.5,12.5,0.89
