player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Parker Washington,129799,WR,PENN STATE,1,13.3,1,87.5,100.0,2,2,0,0.0,0,4,266,0,78.5,71.3,76.1,,75.1,0.0,0,1,35,0.0,0,30,0,7,90.0,27,66.7,20,103.1,8,1,33.3,10,70,10,1.4,10.0,2.59
Reggie Brown,78850,WR,JAMES MAD,1,17.1,0,0.0,0.0,0,2,0,,0,0,197,0,,,51.7,,51.6,0.0,0,3,0,0.0,0,38,0,0,100.0,38,10.5,4,0.0,8,0,89.5,34,0,0,,,0.0
B.J. Casteel,61133,WR,NEVADA,1,11.0,0,50.0,100.0,1,1,0,20.0,1,1,239,0,45.4,65.0,51.8,,52.4,2.1,1,0,24,0.0,0,47,0,4,95.7,45,76.6,36,57.8,8,0,17.0,8,27,-2,-0.5,6.8,0.6
Quentin Johnston,123085,WR,TCU,1,14.8,0,50.0,50.0,1,2,0,33.3,2,3,305,0,25.7,65.0,60.5,,61.9,0.0,0,0,55,0.0,0,27,0,4,100.0,27,29.6,8,121.9,8,1,70.4,19,74,15,3.8,18.5,2.74
Oronde Gadsden II,144046,WR,SYRACUSE,1,14.4,0,75.0,75.0,3,4,0,0.0,0,4,304,0,78.5,66.7,76.3,,77.1,0.0,0,1,19,0.0,0,36,0,6,88.9,32,77.8,28,69.3,8,0,22.2,8,85,8,1.3,14.2,2.66
Ryan O'Keefe,101139,WR,UCF,1,8.3,0,50.0,100.0,1,1,0,33.3,2,3,323,0,25.7,68.2,52.7,64.5,52.4,0.0,0,0,11,4.3,2,46,0,4,93.5,43,52.2,24,58.3,8,0,45.7,21,28,5,1.3,7.0,0.65
Kaden Prather,144780,WR,W VIRGINIA,1,11.9,0,50.0,0.0,0,1,0,20.0,1,2,343,0,45.4,65.0,52.9,,54.5,0.0,0,1,17,0.0,0,34,0,4,97.1,33,0.0,0,19.8,8,0,100.0,34,30,11,2.8,7.5,0.91
Justin Marshall,61394,WR,BUFFALO,1,15.9,0,37.5,0.0,0,2,0,0.0,0,0,126,0,73.1,64.1,54.8,,51.7,0.0,0,0,9,0.0,0,42,0,3,100.0,42,4.8,2,46.9,8,0,95.2,40,26,3,1.0,8.7,0.62
Julian Ortega-Jones,78155,WR,TEXAS ST,1,9.5,1,62.5,100.0,1,1,0,0.0,0,2,314,0,76.3,65.7,65.8,,65.2,0.0,0,1,20,0.0,0,20,0,5,95.0,19,75.0,15,28.6,8,0,25.0,5,27,5,1.0,5.4,1.42
Jason Brownlee,121451,WR,SO MISS,1,10.6,0,50.0,0.0,0,1,0,0.0,0,2,296,1,74.9,12.0,56.0,,53.8,0.0,0,1,11,0.0,0,34,0,4,94.1,32,14.7,5,18.2,8,0,85.3,29,27,15,3.8,6.8,0.84
