player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Cameron Wright,144289,WR,COAST CAR,1,9.0,0,0.0,0.0,0,1,0,,0,0,141,0,,,54.2,,54.5,0.0,0,0,0,0.0,0,12,0,0,91.7,11,0.0,0,39.6,2,0,100.0,12,0,0,,,0.0
Malique Dieudonne,145947,WR,W MICHIGAN,1,8.5,2,50.0,100.0,1,1,0,0.0,0,1,347,0,66.7,61.0,64.5,,66.5,0.0,0,0,21,0.0,0,14,1,1,92.9,13,0.0,0,87.5,2,0,100.0,14,21,13,13.0,21.0,1.62
Oscar Delp,157080,TE,GEORGIA,1,0.0,0,100.0,,0,0,0,0.0,0,1,173,0,70.7,62.9,59.9,41.3,64.1,57.9,11,0,21,21.1,4,19,0,2,78.9,15,42.1,8,104.2,2,0,0.0,0,18,18,9.0,9.0,1.2
Dalton Carnes,173042,WR,N TEXAS,1,2.5,0,0.0,0.0,0,2,0,100.0,1,0,251,0,16.4,,42.3,,45.7,0.0,0,0,0,0.0,0,5,0,0,100.0,5,80.0,4,39.6,2,0,20.0,1,0,0,,,0.0
Joshua Manning,124519,WR,MISSOURI,1,14.5,0,0.0,,0,0,0,,0,0,229,0,,62.5,54.6,,51.0,0.0,0,0,0,0.0,0,33,0,0,97.0,32,36.4,12,39.6,2,0,63.6,21,0,0,,,0.0
Justius Lowe,157248,WR,OREGON,1,13.0,0,100.0,,0,0,0,0.0,0,1,264,0,73.1,64.1,58.1,,57.9,0.0,0,0,21,0.0,0,48,0,2,97.9,47,14.6,7,118.8,2,0,85.4,41,27,1,0.5,13.5,0.57
Jaydon Blue,157303,HB,TEXAS,1,0.0,0,50.0,,0,0,0,0.0,0,1,311,1,66.7,19.6,53.8,70.1,53.3,0.0,0,0,11,10.0,1,10,0,1,90.0,9,20.0,2,66.7,2,0,0.0,0,11,12,12.0,11.0,1.22
Krosse Johnson,190171,WR,ARKANSAS,1,16.5,0,0.0,0.0,0,1,0,,0,0,111,0,,,52.9,,53.7,0.0,0,0,0,0.0,0,14,0,0,100.0,14,100.0,14,39.6,2,0,0.0,0,0,0,,,0.0
Kadinn Morris,145931,TE,W MICHIGAN,1,10.0,0,50.0,0.0,0,1,0,50.0,1,1,347,0,24.5,61.0,54.1,67.4,55.4,100.0,5,0,10,20.0,1,5,0,1,80.0,4,0.0,0,64.6,2,0,0.0,0,10,6,6.0,10.0,2.5
Djouvensky Schlenbaker,157345,HB,WASH STATE,1,5.5,0,100.0,,0,0,0,0.0,0,2,341,0,70.7,66.9,64.4,76.1,75.8,0.0,0,0,10,27.3,3,11,0,2,72.7,8,9.1,1,100.0,2,0,0.0,0,16,5,2.5,8.0,2.0
