player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Mitchell Evans,147486,TE,NOTRE DAME,1,3.7,0,66.7,0.0,0,1,0,0.0,0,0,258,1,70.7,9.0,41.7,,45.7,34.6,9,0,9,0.0,0,26,1,2,96.2,25,57.7,15,77.1,3,0,7.7,2,14,9,4.5,7.0,0.56
Adam Randall,156252,WR,CLEMSON,1,-3.7,0,33.3,,0,0,0,50.0,1,0,140,0,24.5,71.0,62.8,,39.4,0.0,0,0,1,0.0,0,9,0,1,100.0,9,11.1,1,42.4,3,0,22.2,2,1,4,4.0,1.0,0.11
Kaytron Allen,164158,HB,PENN STATE,1,1.3,0,66.7,,0,0,0,0.0,0,2,266,0,70.7,73.8,74.6,21.0,64.9,0.0,0,0,15,23.1,3,13,0,2,76.9,10,7.7,1,96.5,3,0,7.7,1,28,23,11.5,14.0,2.8
DeAndre Moore Jr.,173164,WR,TEXAS,1,4.7,0,66.7,,0,0,0,33.3,1,1,311,0,31.6,62.9,54.4,,53.7,0.0,0,1,7,0.0,0,19,0,2,89.5,17,57.9,11,36.1,3,0,42.1,8,13,4,2.0,6.5,0.76
Peyton Lewis,184885,HB,TENNESSEE,1,-2.7,1,100.0,,0,0,0,0.0,0,0,307,0,73.1,74.3,77.5,80.2,64.2,0.0,0,0,4,46.7,7,15,0,3,53.3,8,6.7,1,79.2,3,0,0.0,0,7,15,5.0,2.3,0.88
Braylon Staley,184893,WR,TENNESSEE,1,4.7,0,66.7,,0,0,0,0.0,0,0,307,0,70.7,62.9,52.9,,52.6,0.0,0,0,7,0.0,0,31,0,2,100.0,31,90.3,28,72.9,3,0,6.5,2,11,13,6.5,5.5,0.35
Romello Brinson,143936,WR,SMU,1,2.0,0,50.0,50.0,1,2,0,0.0,0,0,287,0,66.7,61.0,53.7,,53.9,0.0,0,0,-2,0.0,0,21,0,1,81.0,17,19.0,4,56.3,2,0,81.0,17,-2,0,0.0,-2.0,-0.12
Squirrel White,163776,WR,TENNESSEE,1,22.0,0,50.0,100.0,1,1,0,0.0,0,1,307,0,66.7,61.0,63.2,,63.8,0.0,0,0,17,0.0,0,11,0,1,100.0,11,90.9,10,79.2,2,0,9.1,1,17,1,1.0,17.0,1.55
Jeremiyah Love,171090,HB,NOTRE DAME,1,0.5,1,100.0,,0,0,0,0.0,0,1,258,0,70.7,72.1,80.7,71.8,70.0,0.0,0,0,10,14.3,2,14,0,2,85.7,12,0.0,0,104.2,2,0,0.0,0,18,17,8.5,9.0,1.5
Mike Matthews,184887,WR,TENNESSEE,1,25.0,0,0.0,0.0,0,1,0,,0,0,307,0,,,53.3,,53.3,0.0,0,0,0,0.0,0,15,0,0,100.0,15,6.7,1,39.6,2,0,93.3,14,0,0,,,0.0
