player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Smith Vilbert,101408,ED,PENN STATE,1,0,0,266,64.7,0,2,14,93.8,21.4,3,0,7.1,0,16,15,2,0,66.0,0,2,5,100.0,40.0,2,20.0,0,6,6,2
Anthony Booker Jr.,101424,DI,SMU,1,0,0,287,52.4,0,3,13,100.0,7.7,1,0,11.5,0,13,13,3,0,57.9,0,1,3,100.0,0.0,0,16.7,0,3,3,1
Dvon J-Thomas,101455,DI,PENN STATE,1,0,0,266,49.5,0,2,24,100.0,0.0,0,0,4.2,0,26,26,2,0,46.5,0,1,7,100.0,0.0,0,7.1,0,7,7,1
James Carpenter,101993,DI,INDIANA,1,1,0,190,73.9,2,2,34,100.0,2.9,1,2,11.8,2,35,35,6,0,70.1,2,0,18,100.0,0.0,0,16.7,2,19,19,4
Howard Cross III,102726,DI,NOTRE DAME,1,1,0,258,67.5,0,2,34,100.0,5.9,2,0,2.9,0,37,37,2,1,72.3,0,2,20,100.0,10.0,2,5.0,0,23,23,2
DeMonte Capehart,122144,DI,CLEMSON,1,0,0,140,81.1,0,2,12,100.0,16.7,2,0,8.3,0,14,14,2,0,58.1,0,0,3,100.0,0.0,0,0.0,0,3,3,0
R.J. Mickens,122153,S,CLEMSON,1,0,0,140,63.0,1,0,1,3.1,0.0,0,0,50.0,0,32,1,1,0,,0,0,0,0.0,,0,,0,10,0,0
Tre Williams,122165,DI,CLEMSON,1,0,0,140,64.3,0,1,7,100.0,0.0,0,1,21.4,1,8,8,2,0,66.5,0,0,3,100.0,0.0,0,33.3,1,4,4,1
Elijah Roberts,122222,ED,SMU,1,0,0,287,73.2,2,3,24,100.0,20.8,5,0,14.6,1,24,24,6,0,85.9,1,2,12,100.0,33.3,4,20.8,1,12,12,4
Rylie Mills,122907,DI,NOTRE DAME,1,0,0,258,63.5,0,0,8,100.0,0.0,0,0,12.5,1,8,8,1,0,65.3,0,0,5,100.0,0.0,0,20.0,1,5,5,1
Jahdae Barron,123105,CB,TEXAS,1,0,0,311,50.9,0,1,2,4.2,0.0,0,0,25.0,0,48,2,1,0,53.3,0,1,1,4.3,0.0,0,50.0,0,23,1,1
Vernon Broughton,123107,DI,TEXAS,1,1,0,311,61.7,0,0,33,100.0,6.1,2,0,0.0,0,33,33,0,1,66.9,0,0,16,100.0,12.5,2,0.0,0,16,16,0
Alfred Collins,123110,DI,TEXAS,1,0,0,311,54.7,0,0,23,100.0,0.0,0,0,0.0,0,23,23,0,0,55.6,0,0,9,100.0,0.0,0,0.0,0,9,9,0
Lanell Carr,123411,ED,INDIANA,1,1,0,190,65.0,0,4,30,86.1,10.0,3,0,6.7,0,36,31,4,0,57.0,0,1,14,83.3,7.1,1,3.6,0,18,15,1
Dominic Bailey,124267,ED,TENNESSEE,1,0,0,307,61.1,0,2,18,95.0,11.1,2,0,5.6,0,20,19,2,0,59.2,0,1,9,100.0,11.1,1,5.6,0,10,10,1
