player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Byron Young,146932,ED,TENNESSEE,1,0,0,307,80.4,1,1,35,95.1,11.4,4,0,14.3,4,41,39,6,0,78.0,0,1,11,86.7,18.2,2,40.9,4,15,13,5
Tyson Russell,146969,CB,VANDERBILT,1,0,0,333,58.2,0,0,1,5.3,0.0,0,0,0.0,0,19,1,0,0,58.2,0,0,1,33.3,0.0,0,0.0,0,3,1,0
CJ Taylor,146972,S,VANDERBILT,1,0,0,333,58.9,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,,0,0,0,0.0,,0,,0,2,0,0
Devin Lee,146975,DI,VANDERBILT,1,0,0,333,58.3,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
Marcus Bradley,146977,ED,UMASS,1,0,0,216,63.7,0,4,24,100.0,12.5,3,0,8.3,0,24,24,4,0,65.8,0,4,15,100.0,20.0,3,13.3,0,15,15,4
Terion Sugick,146979,DI,ARK STATE,1,0,0,113,61.7,0,0,19,100.0,5.3,1,0,0.0,0,19,19,0,0,64.5,0,0,7,100.0,14.3,1,0.0,0,7,7,0
Albert Regis,147009,DI,TEXAS A&M,1,0,0,312,67.0,0,1,3,100.0,0.0,0,0,16.7,0,3,3,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Caden Sullivan,147035,LB,APP STATE,1,0,0,108,66.1,0,0,3,60.0,0.0,0,0,33.3,1,5,3,1,0,58.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Deshawn McKnight,147037,ED,APP STATE,1,0,0,108,54.7,0,1,12,100.0,0.0,0,1,4.2,0,12,12,1,0,56.8,0,1,3,100.0,0.0,0,16.7,0,3,3,1
KaRon White,147040,DI,APP STATE,1,0,0,108,60.0,0,1,1,100.0,100.0,1,0,50.0,0,1,1,1,0,60.0,0,1,1,100.0,100.0,1,50.0,0,1,1,1
Dennard Flowers,147062,ED,ARK STATE,1,0,0,113,55.3,1,0,12,100.0,0.0,0,0,4.2,0,12,12,1,0,56.8,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Cam Jeffery,147068,LB,ARK STATE,1,0,0,113,54.6,0,0,4,10.8,0.0,0,0,0.0,0,37,4,0,0,59.2,0,0,1,9.1,0.0,0,0.0,0,11,1,0
Ethan Hassler,147070,ED,ARK STATE,1,0,0,113,68.0,0,0,3,100.0,0.0,0,0,33.3,1,3,3,1,0,69.3,0,0,2,100.0,0.0,0,50.0,1,2,2,1
Tim Hardiman,147074,DI,ARK STATE,1,0,0,113,59.4,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Josaiah Stewart,147092,ED,COAST CAR,1,0,0,141,67.1,0,4,30,93.9,13.3,4,0,6.7,0,33,31,4,0,73.0,0,2,4,100.0,50.0,2,25.0,0,4,4,2
Isaac Walker,147125,ED,GA SOUTHRN,1,0,0,174,55.3,0,0,10,90.9,0.0,0,0,0.0,0,11,10,0,0,57.1,0,0,2,100.0,0.0,0,0.0,0,2,2,0
LJ McCloud,147131,DI,GA SOUTHRN,1,0,0,174,57.7,0,2,15,100.0,13.3,2,0,6.7,0,17,17,2,0,56.5,0,0,4,100.0,0.0,0,0.0,0,5,5,0
Davon Sears,147242,DI,TEXAS ST,1,0,0,314,59.6,0,0,20,100.0,5.0,1,0,0.0,0,20,20,0,0,57.8,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Tylon Dunlap,147285,DI,GA STATE,1,0,0,175,61.7,1,0,22,100.0,4.5,1,0,2.3,0,25,25,1,0,56.9,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Jordan Jones,147289,LB,GA STATE,1,0,0,175,56.9,0,0,1,5.6,0.0,0,0,0.0,0,36,2,0,0,59.6,0,0,0,14.3,,0,,0,7,1,0
Brett Gerena,147346,LB,ARMY,1,0,0,114,59.5,0,1,1,50.0,0.0,0,0,50.0,0,2,1,1,0,59.5,0,1,1,100.0,0.0,0,50.0,0,1,1,1
