player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyre Duplessis,147082,WR,COAST CAR,1,100.0,1,1,40.0,3.3,0,1,100.0,0.0,0,0,1,100.0,1,1,0,141,63.7,66.5,87.3,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Reagan Ealy,147050,WR,ARK STATE,1,100.0,1,1,10.0,3.6,0,0,0.0,100.0,1,0,0,0.0,1,0,1,113,64.6,66.9,72.6,,0,0,1,0,,112.5,0.0,0,0,0,0,0,0,0.0,11,11.0
Nick Evers,158082,QB,UCONN,1,,0,1,,2.7,0,0,0.0,0.0,0,0,1,,1,0,0,146,65.9,57.4,60.0,59.7,1,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Marshall Nichols,146864,P,UNLV,1,100.0,1,1,-2.0,1.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,325,60.3,60.6,60.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,52,52.0
Dalen Cobb,158341,WR,GA SOUTHRN,1,0.0,1,1,15.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,174,68.7,53.2,46.8,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Eli Heidenreich,162554,FB,NAVY,1,0.0,1,1,25.0,2.7,0,0,0.0,0.0,0,0,0,,1,0,0,237,69.2,67.9,50.8,69.5,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Parker Kingston,163251,WR,BYU,1,100.0,1,1,21.0,3.7,0,0,0.0,0.0,0,0,0,100.0,1,1,0,128,71.3,65.7,76.2,,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Mario Williams,144620,WR,TULANE,1,0.0,1,1,26.0,3.7,0,0,0.0,0.0,0,0,0,,1,0,0,319,66.4,74.6,50.8,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Gavin Bartholomew,144013,TE,PITTSBURGH,1,0.0,1,1,1.0,1.9,0,0,0.0,0.0,0,0,0,,1,0,0,268,66.2,69.5,45.9,59.0,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Caleb Hood,143964,HB,N CAROLINA,1,100.0,1,1,12.0,2.2,0,0,0.0,100.0,1,0,1,0.0,1,0,1,245,73.5,73.8,73.1,69.7,0,0,1,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,17,17.0
Jaquez Moore,143866,HB,DUKE,1,0.0,1,1,38.0,2.9,0,0,0.0,0.0,0,0,0,,1,0,0,154,72.5,64.3,49.9,67.6,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Luke Elzinga,130433,P,OKLAHOMA,1,100.0,1,1,-2.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,261,60.3,60.6,60.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,28,28.0
Darius Taylor,173422,HB,MINNESOTA,1,100.0,1,1,18.0,2.6,0,0,0.0,100.0,1,0,0,0.0,1,0,1,225,76.7,69.3,72.6,73.6,0,0,1,0,,147.9,0.0,0,0,0,0,1,0,0.0,10,10.0
Dante Moore,173983,QB,OREGON,1,,0,1,,3.3,0,0,0.0,0.0,0,0,1,,1,0,0,264,60.3,56.5,60.0,,0,0,1,0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Kai Kroeger,124245,P,S CAROLINA,1,0.0,1,1,15.0,1.7,0,0,0.0,0.0,0,0,0,,1,0,0,289,60.3,49.2,49.6,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Austin Simmons,175891,QB,OLE MISS,1,100.0,1,1,31.0,2.8,0,1,100.0,100.0,1,0,0,0.0,1,0,1,226,60.3,90.1,88.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,34,34.0
Marquis Johnson,175906,WR,MISSOURI,1,0.0,1,1,-5.0,3.4,0,0,0.0,0.0,0,0,0,,1,0,0,229,70.3,70.6,60.6,63.4,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jacolby Criswell,122830,QB,N CAROLINA,1,100.0,1,1,6.0,3.4,0,0,0.0,100.0,1,0,0,0.0,2,0,0,245,61.8,55.0,60.9,57.3,0,0,2,0,,95.8,0.0,0,1,0,0,0,0,0.0,7,7.0
Brian Buschini,105308,P,NEBRASKA,1,100.0,1,1,-4.0,2.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,238,63.7,58.8,60.6,59.4,0,0,1,0,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0
Caden Davis,98964,K,OLE MISS,1,0.0,1,1,16.0,2.6,0,0,0.0,0.0,0,0,1,,1,0,0,226,60.3,27.0,27.4,,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Kanyon Floyd,183740,P,ARIZONA ST,1,100.0,1,1,9.0,4.1,0,0,0.0,100.0,1,0,0,0.0,1,0,1,110,60.3,68.0,71.5,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,32,32.0
JC Evans,184302,QB,JAMES MAD,1,100.0,1,1,9.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,197,73.0,79.3,74.4,69.5,0,0,1,0,,118.8,0.0,0,0,0,0,1,0,0.0,1,1.0
Drake Lindsey,184727,QB,MINNESOTA,1,100.0,1,1,5.0,2.6,0,0,0.0,100.0,1,0,0,0.0,1,0,1,225,60.3,61.2,60.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0
Baron May,76359,QB,BOWL GREEN,1,100.0,1,1,32.0,2.1,0,1,100.0,100.0,1,0,0,0.0,1,0,1,122,60.3,74.2,89.4,,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,43,43.0
Emile Sebafundi,186490,P,COAST CAR,1,0.0,1,1,33.0,2.5,0,0,0.0,0.0,0,0,0,,1,0,0,141,60.3,47.6,39.1,,0,1,1,0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
George Dimopoulos,188413,WR,N ILLINOIS,1,100.0,1,1,26.0,2.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,254,62.7,64.5,73.2,,0,0,3,0,,158.3,0.0,0,0,0,0,1,0,0.0,25,25.0
