player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Caleb Williams,144622,QB,OKLAHOMA,1,61.1,18,18,13.2,3.77,0,0,0.0,50.0,9,0,10,18.2,25,2,8,261,29.4,52.6,47.8,62.7,0,2,28,0,30.0,37.0,12.0,3,4,0,0,0,3,10.7,142,7.9
Noah Vedral,55406,QB,RUTGERS,1,62.5,16,17,13.0,2.97,0,1,5.6,52.9,9,0,6,10.0,21,1,3,278,69.8,66.4,66.6,59.9,1,0,22,0,0.0,70.0,0.0,0,2,0,0,0,0,0.0,97,5.7
Kurtis Rourke,97998,QB,OHIO,1,64.7,17,17,12.7,3.39,0,3,16.7,52.9,9,0,6,18.2,19,2,8,259,70.3,79.2,82.6,61.0,0,0,20,0,0.0,137.9,0.0,0,2,0,0,3,0,0.0,230,13.5
Ken Seals,124359,QB,VANDERBILT,1,76.5,17,17,3.5,2.62,0,0,0.0,70.6,12,0,7,7.7,20,1,4,333,67.1,45.8,44.9,,0,1,20,0,42.9,57.7,15.0,3,0,0,0,0,1,5.0,87,5.1
Garrett Shrader,98212,QB,SYRACUSE,1,58.8,17,17,7.5,2.85,0,1,5.3,52.9,9,0,11,10.0,26,1,3,304,72.6,58.1,54.5,61.1,0,0,28,0,36.4,58.7,15.4,4,5,0,0,0,1,3.6,45,2.6
Riley Leonard,143862,QB,DUKE,1,69.2,13,16,5.0,2.81,2,0,0.0,43.8,7,0,14,22.2,22,2,5,154,72.6,53.7,48.2,61.4,0,0,24,0,21.4,60.4,13.6,3,3,0,1,0,1,4.2,84,5.3
Jayden Daniels,97993,QB,ARIZONA ST,1,76.9,13,16,7.5,3.48,0,0,0.0,62.5,10,0,12,0.0,22,0,6,110,71.7,67.1,52.1,73.8,0,1,22,0,33.3,72.4,18.2,4,2,0,3,1,1,4.5,90,5.6
Braxton Burmeister,60513,QB,VA TECH,1,71.4,14,15,18.4,3.77,0,1,5.6,60.0,9,0,8,10.0,20,1,10,337,69.9,86.6,89.4,65.7,0,1,23,0,0.0,116.0,0.0,0,5,0,1,3,0,0.0,215,14.3
Ari Patu,146360,QB,STANFORD,1,69.2,13,14,7.2,2.51,0,1,7.1,50.0,7,0,6,22.2,16,2,4,300,67.4,57.2,56.2,59.9,1,1,16,0,0.0,53.0,0.0,0,2,0,0,1,2,12.5,51,3.6
Justin Tomlin,78482,QB,GA SOUTHRN,1,69.2,13,14,11.6,2.79,0,0,0.0,57.1,8,0,3,11.1,14,1,6,174,15.6,29.7,40.1,37.5,0,1,14,0,0.0,97.3,0.0,0,0,0,1,2,2,14.3,127,9.1
Cam'Ron Ransom,147110,QB,GA SOUTHRN,1,63.6,11,12,13.8,3.15,0,1,8.3,58.3,7,0,3,0.0,13,0,5,174,71.6,68.4,67.9,62.4,0,0,13,0,0.0,121.9,0.0,0,1,0,1,1,1,7.7,125,10.4
Jordan Moore,143865,QB,DUKE,1,63.6,11,12,10.4,2.7,0,2,13.3,50.0,6,0,5,14.3,16,1,4,154,73.6,67.1,51.8,73.7,1,0,20,1,20.0,93.4,6.3,1,3,0,0,1,1,5.0,63,5.3
Grant Gremel,101632,QB,INDIANA,1,66.7,12,12,11.1,2.51,0,0,0.0,50.0,6,0,0,25.0,12,2,2,190,66.5,60.9,60.5,,0,0,16,0,,62.2,0.0,0,0,0,0,0,1,6.3,53,4.4
Mike Wright Jr.,124366,QB,VANDERBILT,1,70.0,10,11,9.0,3.7,0,1,7.7,63.6,7,0,4,0.0,17,0,5,333,24.3,71.9,76.6,59.3,0,0,19,0,25.0,116.7,5.9,1,5,0,1,2,1,5.3,58,5.3
