player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Kaden Helms,158072,TE,OKLAHOMA,1,10.0,0,100.0,,0,0,0,0.0,0,1,261,0,66.7,61.0,74.3,69.9,75.9,66.7,4,0,3,50.0,3,6,0,1,50.0,3,33.3,2,118.8,1,1,0.0,0,3,0,0.0,3.0,1.0
Semaj Fleming,207827,WR,BOSTON COL,1,15.0,0,0.0,,0,0,0,,0,0,121,0,,,54.1,,54.7,0.0,0,0,0,0.0,0,7,0,0,100.0,7,100.0,7,39.6,1,0,0.0,0,0,0,,,0.0
Jalynn Williams,76606,HB,PITTSBURGH,3,1.0,0,100.0,,0,0,0,0.0,0,0,268,0,66.7,68.9,57.3,47.2,64.1,0.0,0,0,9,25.0,3,12,0,1,66.7,8,16.7,2,104.2,1,0,0.0,0,9,8,8.0,9.0,1.13
Joey Schlaffer,170298,TE,PENN STATE,2,17.0,0,100.0,,0,0,0,0.0,0,1,266,0,66.7,61.0,79.8,,73.5,33.3,1,0,19,0.0,0,3,0,1,66.7,2,33.3,1,158.3,1,1,33.3,1,19,2,2.0,19.0,9.5
Cole Tabb,188876,HB,STANFORD,4,3.0,0,100.0,,0,0,0,0.0,0,0,300,0,66.7,79.8,66.6,29.2,55.0,0.0,0,0,6,16.1,5,31,0,1,80.6,25,3.2,1,91.7,1,0,0.0,0,6,3,3.0,6.0,0.24
Jaime Ffrench Jr.,199292,WR,TEXAS,2,6.0,0,100.0,,0,0,0,0.0,0,1,311,0,66.7,61.0,68.2,,67.3,0.0,0,0,6,0.0,0,5,0,1,100.0,5,20.0,1,91.7,1,0,80.0,4,6,0,0.0,6.0,1.2
David Cordero,146071,HB,HAWAII,3,-3.0,0,100.0,,0,0,0,0.0,0,1,180,0,66.7,71.4,60.2,47.9,70.6,0.0,0,0,10,63.2,12,19,0,1,36.8,7,0.0,0,108.3,1,0,0.0,0,10,13,13.0,10.0,1.43
Johnathan Arceneaux,146053,HB,FRESNO ST,2,16.0,0,0.0,0.0,0,1,0,,0,0,169,0,,73.1,69.1,,53.4,0.0,0,0,0,0.0,0,12,0,0,100.0,12,16.7,2,39.6,1,0,8.3,1,0,0,,,0.0
Jason Llewellyn,158096,TE,TEXAS TECH,3,10.0,0,0.0,0.0,0,1,0,,0,0,315,0,,,52.8,69.6,52.3,52.9,9,0,0,29.4,5,17,1,0,58.8,10,41.2,7,39.6,1,0,5.9,1,0,0,,,0.0
Clark Sanderson,189371,WR,CLEMSON,1,31.0,0,100.0,100.0,1,1,0,0.0,0,1,140,0,66.7,61.0,86.6,,81.9,0.0,0,0,31,0.0,0,3,0,1,100.0,3,100.0,3,118.8,1,0,0.0,0,31,0,0.0,31.0,10.33
Lane Wadle,184299,TE,GA STATE,5,19.0,0,0.0,,0,0,0,,0,0,175,0,,,46.3,49.1,51.3,68.8,11,0,0,18.8,3,16,0,0,75.0,12,25.0,4,39.6,1,0,6.3,1,0,0,,,0.0
Zavier Short,158105,WR,MARSHALL,3,0.0,0,0.0,,0,0,0,,0,0,214,0,,,49.7,,55.1,0.0,0,0,0,0.0,0,9,1,0,100.0,9,0.0,0,39.6,1,0,100.0,9,0,0,,,0.0
Owen Anderson,158195,TE,UMASS,2,0.0,1,100.0,,0,0,0,0.0,0,0,216,0,66.7,61.0,62.8,69.7,74.7,77.8,7,0,9,33.3,3,9,0,1,66.7,6,11.1,1,104.2,1,0,0.0,0,9,9,9.0,9.0,1.5
Gabarri Johnson,175905,QB,OREGON ST,4,16.0,0,100.0,100.0,1,1,0,0.0,0,1,265,0,66.7,24.8,47.4,,79.9,0.0,0,0,17,0.0,0,7,0,1,14.3,1,0.0,0,118.8,1,0,0.0,0,17,1,1.0,17.0,17.0
Jordan Lyle,189441,HB,MIAMI FL,2,1.0,0,100.0,,0,0,0,0.0,0,0,220,0,66.7,74.0,60.5,78.5,62.8,0.0,0,0,9,40.0,4,10,0,1,50.0,5,30.0,3,104.2,1,0,0.0,0,9,8,8.0,9.0,1.8
Jackson Wasserstrom,173391,WR,INDIANA,2,13.0,0,100.0,,0,0,0,0.0,0,1,190,0,66.7,61.0,70.0,,69.5,0.0,0,0,17,0.0,0,3,0,1,100.0,3,0.0,0,118.8,1,0,100.0,3,17,4,4.0,17.0,5.67
Brady Simmons,173387,WR,MIAMI OH,4,6.0,0,100.0,,0,0,0,0.0,0,0,221,0,66.7,61.0,60.0,,59.3,0.0,0,0,9,0.0,0,19,0,1,84.2,16,52.6,10,104.2,1,0,47.4,9,9,3,3.0,9.0,0.56
Michael Dever,199308,WR,TEXAS TECH,1,0.0,0,100.0,,0,0,0,0.0,0,0,315,0,66.7,61.0,55.4,,59.8,0.0,0,0,7,0.0,0,2,1,1,100.0,2,0.0,0,95.8,1,0,100.0,2,7,7,7.0,7.0,3.5
Josh Phifer,172258,TE,JAMES MAD,4,9.0,0,0.0,0.0,0,1,0,,0,0,197,0,,,76.0,75.7,49.6,77.8,14,1,0,38.9,7,18,0,0,50.0,9,16.7,3,0.0,1,0,0.0,0,0,0,,,0.0
Jacob Clark,101628,QB,MO STATE,5,1.0,0,100.0,,0,0,0,0.0,0,1,230,1,66.7,62.5,76.1,,89.1,0.0,0,0,29,0.0,0,179,1,1,0.6,1,0.0,0,118.8,1,0,0.0,0,29,28,28.0,29.0,29.0
Colton Pitchford,170433,WR,JVILLE ST,1,-2.0,0,100.0,,0,0,0,0.0,0,0,196,0,66.7,61.0,58.5,,58.5,0.0,0,0,3,0.0,0,3,0,1,100.0,3,66.7,2,79.2,1,0,33.3,1,3,5,5.0,3.0,1.0
Dominic Rezac,163723,HB,VANDERBILT,1,-2.0,1,100.0,,0,0,0,0.0,0,1,333,0,66.7,61.0,68.5,68.3,88.6,0.0,0,0,35,33.3,1,3,0,1,66.7,2,0.0,0,118.8,1,0,0.0,0,35,37,37.0,35.0,17.5
Aghogho Eyafe,170418,WR,JVILLE ST,1,10.0,0,0.0,,0,0,0,,0,0,196,0,,,41.8,,53.5,0.0,0,0,0,0.0,0,1,0,0,100.0,1,0.0,0,39.6,1,0,100.0,1,0,0,,,0.0
Richard Young,175877,HB,ALABAMA,3,4.0,0,100.0,,0,0,0,0.0,0,0,103,0,66.7,76.5,60.8,36.2,57.7,3.6,1,0,6,57.1,16,28,0,1,39.3,11,3.6,1,91.7,1,0,0.0,0,6,2,2.0,6.0,0.55
Trey Cornist,169975,HB,C MICHIGAN,6,2.0,0,0.0,,0,0,0,,0,0,134,0,,82.2,63.8,68.2,53.5,0.0,0,0,0,30.6,11,36,0,0,69.4,25,8.3,3,39.6,1,0,0.0,0,0,0,,,0.0
James Jointer Jr.,157021,HB,E MICHIGAN,3,-6.0,2,100.0,,0,0,0,0.0,0,0,160,0,66.7,66.3,64.4,67.9,62.4,0.0,0,0,-4,16.7,1,6,0,1,83.3,5,0.0,0,79.2,1,0,0.0,0,-4,2,2.0,-4.0,-0.8
