player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Zach Courtney,157704,TE,COAST CAR,4,1,0,141,,0,,,0,0,,0,0,0,,52.0,0,0,30.8,4,13,0,61.5,8,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,1,1,66.7,42.2,0,9,16.7,2,12,1,75.0,9,104.2,1,11.1,0,9,10,10.0,9.0,1.0
Parker Brailsford,162482,C,ALABAMA,8,1,0,103,,0,,,0,0,,0,0,0,,,0,0,100.0,82,82,0,0.0,0,0.0,0,,0,0,0,,,,0,-2.0,0,100.0,,0,0,0.0,0,0,0,70.1,60.8,0,2,100.0,213,213,1,0.0,0,79.2,1,,0,2,4,4.0,2.0,
DJ Singleton,189705,WR,NEBRASKA,1,1,0,238,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,-4.0,0,100.0,,0,0,0.0,0,0,0,66.7,59.7,0,-4,0.0,0,2,1,100.0,2,79.2,1,50.0,0,-4,0,0.0,-4.0,-2.0
Nathan VanTimmeren,171245,TE,C MICHIGAN,6,1,0,134,,0,,,0,0,,0,0,0,,55.7,0,0,40.0,2,5,0,20.0,1,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,52.9,0,0,33.3,7,21,0,66.7,14,0.0,0,0.0,0,0,0,,,0.0
Lee Beebe Jr.,163009,HB,INDIANA,3,1,0,190,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,56.0,0,0,20.0,2,10,0,80.0,8,0.0,0,0.0,0,0,0,,,0.0
Andre Greene Jr.,162748,WR,VIRGINIA,3,1,0,335,,0,,,0,0,,0,0,0,,55.3,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,0,5.0,0,100.0,,0,0,0.0,0,0,0,66.7,57.1,0,7,0.0,0,6,1,100.0,6,95.8,1,16.7,0,7,2,2.0,7.0,1.17
Luke Reed,190982,HB,AKRON,1,1,0,102,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Owen Ruskavich,183241,TE,MIAMI FL,2,1,0,220,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,57.8,0,0,50.0,2,4,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0
Troy Grizzle,190989,FB,BOISE ST,2,1,0,120,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,59.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Torrance Burgess Jr.,163031,HB,TEXAS ST,4,1,0,314,-2.0,2,100.0,,0,0,0.0,0,1,0,66.7,76.4,0,10,25.0,1,4,1,75.0,3,108.3,1,33.3,0,10,12,12.0,10.0,3.33,0,,0,,,0,0,,0,0,0,,55.4,0,0,36.8,7,19,0,57.9,11,0.0,0,0.0,0,0,0,,,0.0
MJ Chirgwin,172374,WR,ALABAMA,1,1,0,103,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,19.0,0,100.0,,0,0,0.0,0,1,0,66.7,78.7,0,20,0.0,0,3,1,66.7,2,158.3,1,50.0,1,20,1,1.0,20.0,10.0
Kellen Tasby,189587,WR,TULANE,1,1,0,319,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jalen Hale,172377,WR,ALABAMA,3,1,0,103,,0,,,0,0,,0,0,0,,59.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,13.0,0,0.0,,0,0,,0,0,0,,53.2,0,0,0.0,0,14,0,100.0,14,39.6,1,7.1,0,0,0,,,0.0
Cole Boscia,157703,WR,CAL,2,1,0,130,14.0,0,0.0,0.0,0,1,,0,0,0,,59.5,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Camden Kruisenga,191036,WR,C MICHIGAN,3,1,0,134,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,13.0,1,100.0,,0,0,0.0,0,1,0,66.7,68.2,0,26,0.0,0,5,1,100.0,5,118.8,1,20.0,0,26,13,13.0,26.0,5.2
Jason Philpot-Dixon,191041,HB,C MICHIGAN,1,1,0,134,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,-1.0,0,0.0,,0,0,100.0,1,0,0,16.4,28.1,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0
Kadenn Rose,191042,HB,C MICHIGAN,2,1,0,134,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-3.0,1,100.0,,0,0,0.0,0,0,1,66.7,24.9,0,8,0.0,0,2,1,100.0,2,100.0,1,50.0,0,8,11,11.0,8.0,4.0
