player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Matthew Hibner,129581,TE,SMU,1,0,287,44.3,100.0,7,29.2,7,36.4,0,100.0,24,24,48.9,100.0,14,58.3,14
Josh Fryar,129746,T,OHIO STATE,1,0,260,63.5,100.0,18,75.0,18,63.0,0,100.0,24,24,60.2,100.0,6,25.0,6
Tyler Warren,129798,TE,PENN STATE,1,0,266,80.8,90.9,10,41.7,11,70.8,0,96.0,24,25,68.8,100.0,12,50.0,12
Trevor Goosby,176177,T,TEXAS,1,0,311,45.9,100.0,6,25.0,6,52.2,0,100.0,24,24,49.7,100.0,15,62.5,15
Riley Leonard,143862,QB,NOTRE DAME,1,0,258,60.0,81.8,9,39.1,11,60.0,0,85.2,23,27,60.0,100.0,14,60.9,14
Zach Horton,148361,TE,INDIANA,1,0,190,66.6,100.0,12,52.2,12,68.8,0,100.0,23,23,70.4,100.0,10,43.5,10
Harrison Wallace III,145090,WR,PENN STATE,1,0,266,78.5,100.0,8,34.8,8,71.9,0,100.0,23,23,60.1,100.0,15,65.2,15
Jordan Hudson,157298,WR,SMU,1,0,287,60.2,100.0,5,21.7,5,61.0,0,100.0,23,23,61.0,100.0,15,65.2,15
Roderick Daniels Jr.,144356,WR,SMU,1,0,287,60.6,100.0,7,30.4,7,37.3,0,95.8,23,24,61.8,100.0,13,56.5,13
Elijah Sarratt,159499,WR,INDIANA,1,0,190,79.0,100.0,12,52.2,12,73.3,0,100.0,23,23,60.5,100.0,10,43.5,10
Juan Davis,144725,TE,TEXAS,1,0,311,53.2,100.0,6,26.1,6,58.3,0,100.0,23,23,62.6,100.0,12,52.2,12
Javontez Spraggins,124299,G,TENNESSEE,1,0,307,52.6,100.0,7,31.8,7,56.8,0,100.0,22,22,62.5,100.0,13,59.1,13
Miles Kitselman,163599,TE,TENNESSEE,1,0,307,55.9,100.0,6,28.6,6,45.8,0,100.0,21,21,45.1,100.0,14,66.7,14
Jeremiah Smith,183710,WR,OHIO STATE,1,0,260,60.0,100.0,16,76.2,16,74.6,0,100.0,21,21,60.7,100.0,5,23.8,5
Will Howard,122599,QB,OHIO STATE,1,0,260,60.0,88.9,16,80.0,18,60.0,0,83.3,20,24,60.0,66.7,4,20.0,6
