player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Will Howard,122599,QB,OHIO STATE,1,0,260,60.0,75.0,9,52.9,12,60.0,0,77.3,17,22,60.0,100.0,8,47.1,8
Omari Evans,164168,WR,PENN STATE,1,0,266,59.9,100.0,3,20.0,3,60.2,0,100.0,15,15,60.3,100.0,12,80.0,12
Emeka Egbuka,145055,WR,OHIO STATE,1,0,260,58.7,100.0,10,66.7,10,55.5,0,93.8,15,16,71.2,80.0,4,26.7,5
Carnell Tate,170273,WR,OHIO STATE,1,0,260,60.6,100.0,9,60.0,9,44.3,0,100.0,15,15,59.5,100.0,5,33.3,5
Eli Raridon,156970,TE,NOTRE DAME,1,0,258,54.4,100.0,6,42.9,6,62.7,0,100.0,14,14,55.5,100.0,7,50.0,7
DeAndre Moore Jr.,173164,WR,TEXAS,1,0,311,59.5,100.0,4,30.8,4,60.7,0,100.0,13,13,61.7,100.0,8,61.5,8
Cole Hutson,157304,G,TEXAS,1,0,311,59.6,100.0,5,41.7,5,53.0,0,100.0,12,12,51.7,100.0,6,50.0,6
Jeremiyah Love,171090,HB,NOTRE DAME,1,0,258,55.5,46.2,6,50.0,13,53.8,0,52.2,12,23,59.6,33.3,2,16.7,6
DJ Campbell,163844,G,TEXAS,1,0,311,58.1,100.0,5,41.7,5,57.8,0,100.0,12,12,58.8,100.0,5,41.7,5
Silas Bolden,71674,WR,TEXAS,1,0,311,60.5,100.0,4,40.0,4,60.6,0,100.0,10,10,60.0,100.0,6,60.0,6
Rocco Spindler,147478,G,NOTRE DAME,1,0,258,58.7,100.0,3,30.0,3,60.9,0,100.0,10,10,63.0,100.0,5,50.0,5
Juan Davis,144725,TE,TEXAS,1,0,311,54.2,100.0,6,60.0,6,44.5,0,100.0,10,10,60.0,100.0,1,10.0,1
Liam Clifford,145089,WR,PENN STATE,1,0,266,61.3,100.0,7,77.8,7,60.9,0,100.0,9,9,59.9,100.0,1,11.1,1
Kaytron Allen,164158,HB,PENN STATE,1,0,266,70.2,54.5,6,66.7,11,67.1,0,32.1,9,28,59.7,12.5,2,22.2,16
Anthonie Knapp,184097,T,NOTRE DAME,1,0,258,59.3,100.0,2,25.0,2,64.2,0,100.0,8,8,65.3,100.0,5,62.5,5
Deion Colzie,147473,WR,NOTRE DAME,1,0,258,56.5,100.0,4,50.0,4,54.7,0,100.0,8,8,59.5,100.0,3,37.5,3
Matthew Golden,156165,WR,TEXAS,1,0,311,59.9,100.0,3,42.9,3,79.1,0,100.0,7,7,60.0,100.0,3,42.9,3
Luke Reynolds,183611,TE,PENN STATE,1,0,266,60.0,100.0,2,28.6,2,58.1,0,100.0,7,7,58.2,100.0,5,71.4,5
Bennett Christian,156482,TE,OHIO STATE,1,0,260,54.5,100.0,3,42.9,3,81.9,0,100.0,7,7,81.4,100.0,3,42.9,3
