player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Kevin Davis,130517,WR,MIAMI OH,1,0,221,60.0,20.0,1,16.7,5,60.9,0,42.9,6,14,60.0,66.7,4,66.7,6
Ray Davis,101072,HB,VANDERBILT,1,0,333,58.8,40.0,2,33.3,5,56.1,0,17.1,6,35,58.9,13.3,4,66.7,30
Harrison Bailey,124266,QB,UNLV,1,0,325,60.0,100.0,4,66.7,4,60.0,0,100.0,6,6,60.0,100.0,2,33.3,2
Jordan Mims,57209,HB,FRESNO ST,1,0,169,60.0,8.3,1,16.7,12,58.4,0,22.2,6,27,60.0,25.0,3,50.0,12
Wyatt Campbell,81840,G,S CAROLINA,1,0,289,67.4,100.0,4,66.7,4,57.5,0,100.0,6,6,,,0,0.0,0
Otto Hess,143826,G,BOSTON COL,1,0,121,47.0,100.0,6,100.0,6,47.0,0,100.0,6,6,,,0,0.0,0
Jerren Gilbert,122673,G,LA TECH,1,0,208,59.4,100.0,3,50.0,3,58.9,0,100.0,6,6,59.5,100.0,3,50.0,3
Jeshaun Jones,84283,WR,MARYLAND,1,0,215,60.3,100.0,5,83.3,5,60.6,0,100.0,6,6,,,0,0.0,0
Jaeger Bull,52207,TE,WAKE,1,0,339,58.4,100.0,3,50.0,3,58.9,0,100.0,6,6,60.1,100.0,2,33.3,2
Jeremy Tate Jr,78051,TE,MIDDLE TN,1,0,224,59.7,100.0,2,33.3,2,59.9,0,100.0,6,6,60.4,100.0,4,66.7,4
Mike Washington Jr.,145672,HB,BUFFALO,1,0,126,60.0,25.0,1,16.7,4,60.2,0,27.3,6,22,60.0,13.3,2,33.3,15
K'Wan Powell,144492,HB,USF,1,0,327,60.0,100.0,1,16.7,1,60.3,0,54.5,6,11,52.3,44.4,4,66.7,9
Percy Agyei-Obese,57255,HB,JAMES MAD,1,0,197,60.0,33.3,1,16.7,3,59.0,0,22.2,6,27,,0.0,0,0.0,19
Lake McRee,146418,TE,USC,1,0,326,48.3,100.0,3,50.0,3,49.4,0,100.0,6,6,59.9,100.0,2,33.3,2
Micah Morris,146718,G,GEORGIA,1,0,173,58.5,100.0,4,66.7,4,59.1,0,100.0,6,6,,,0,0.0,0
Nick Ragano,144202,WR,WAKE,1,0,339,59.1,100.0,3,50.0,3,59.8,0,100.0,6,6,60.0,100.0,3,50.0,3
Zach Fryar,122015,TE,UTEP,1,0,330,59.4,100.0,1,16.7,1,69.7,0,100.0,6,6,73.6,100.0,5,83.3,5
Omar Fattah,64631,FB,AIR FORCE,1,0,101,,0.0,0,0.0,1,56.7,0,75.0,6,8,57.9,100.0,3,50.0,3
E.J. Williams Jr.,122164,WR,CLEMSON,1,0,140,60.0,100.0,2,33.3,2,40.8,0,100.0,6,6,60.0,100.0,2,33.3,2
Keyshaun Pipkin,158066,WR,N ILLINOIS,1,0,254,60.0,100.0,1,16.7,1,60.5,0,100.0,6,6,60.5,100.0,5,83.3,5
De'Nylon Morrissette,157077,WR,GEORGIA,1,0,173,60.5,100.0,6,100.0,6,81.0,0,100.0,6,6,,,0,0.0,0
Jaylen Jones,144085,WR,VA TECH,1,0,337,60.0,100.0,3,50.0,3,60.7,0,100.0,6,6,60.0,100.0,2,33.3,2
Albert Reese IV,146848,T,MISS STATE,1,0,227,60.0,100.0,1,16.7,1,60.8,0,100.0,6,6,60.1,100.0,4,66.7,4
Noah Whittington,123472,HB,OREGON,1,0,264,,0.0,0,0.0,1,58.3,0,50.0,6,12,,0.0,0,0.0,5
Davis Sherwood,147493,TE,NOTRE DAME,1,0,258,53.4,100.0,6,100.0,6,53.4,0,100.0,6,6,,,0,0.0,0
Jacqui Graham,145304,T,MIDDLE TN,1,0,224,58.7,100.0,4,66.7,4,58.2,0,100.0,6,6,59.4,100.0,2,33.3,2
Reggie Virgil,158022,WR,MIAMI OH,1,0,221,54.7,100.0,5,83.3,5,54.7,0,100.0,6,6,60.0,100.0,1,16.7,1
Maurice Bellan,102864,HB,ARMY,1,0,114,60.0,100.0,1,16.7,1,58.1,0,100.0,6,6,60.0,100.0,1,16.7,1
Xavier Legette,99197,WR,S CAROLINA,1,0,289,60.0,100.0,2,33.3,2,58.4,0,100.0,6,6,60.0,100.0,1,16.7,1
Nikko Remigio,84150,WR,FRESNO ST,1,0,169,60.0,50.0,1,16.7,2,60.5,0,85.7,6,7,60.1,100.0,3,50.0,3
Taji Johnson,123542,WR,BOSTON COL,1,0,121,60.7,100.0,6,100.0,6,60.7,0,100.0,6,6,,,0,0.0,0
Khiyon Wafer,123684,WR,HOUSTON,1,0,182,60.0,100.0,2,33.3,2,60.1,0,100.0,6,6,59.9,100.0,2,33.3,2
Ty'Kieast Crawford,122177,T,ARKANSAS,1,0,111,60.0,100.0,1,16.7,1,66.5,0,100.0,6,6,60.1,100.0,4,66.7,4
Anthony Torres,77939,TE,TOLEDO,1,0,316,55.8,100.0,3,50.0,3,52.1,0,100.0,6,6,55.5,100.0,2,33.3,2
Jah'Mar Sanders,163358,WR,NEW MEXICO,1,0,241,60.0,100.0,2,33.3,2,60.0,0,100.0,6,6,59.5,100.0,4,66.7,4
Kye Robichaux,145532,HB,W KENTUCKY,1,0,346,76.8,25.0,3,50.0,12,72.3,0,30.0,6,20,57.7,28.6,2,33.3,7
Donaven McCulley,144829,WR,INDIANA,1,0,190,60.0,50.0,1,16.7,2,60.3,0,85.7,6,7,60.4,100.0,5,83.3,5
Bryce Bailey,121794,WR,MIDDLE TN,1,0,224,60.6,100.0,5,83.3,5,81.4,0,100.0,6,6,66.9,100.0,1,16.7,1
Bryce Ramer,77332,G,OHIO,1,0,259,60.0,100.0,1,16.7,1,58.0,0,100.0,6,6,58.4,100.0,2,33.3,2
