player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Max Brosmer,105568,QB,NEW HAMP,1,2.65,2.48,3.03,4.77,51,240,78.3,23,25,5.1,1.94,1,1,4.0,72.0,18,5,0.0,25,49.0,0,7,,,,67.7,57.2,73.1,,57.0,,,,,,0,1,25,0.0,80.9,0.0,0,0,0,1,1,1,4.0,133,5.3,58.8,17,20,9.8,3.33,1,1,5.0,50.0,10,11,0.0,26,51.0,0,8,,,,67.8,59.2,73.3,,55.9,,,65.3,,,1,0,26,27.3,84.4,11.5,3,3,0,1,1,1,3.8,115,5.8
Jake Willcox,148649,QB,BROWN,1,2.63,2.58,3.37,,50,123,80.0,25,25,3.9,1.77,0,1,3.8,72.0,18,2,10.0,26,52.0,2,8,,,,67.9,81.2,73.4,,80.5,,,,,,0,0,27,50.0,87.1,3.8,1,0,0,0,0,0,0.0,150,6.0,61.9,21,22,15.0,3.55,0,0,0.0,59.1,13,10,0.0,24,48.0,0,6,,,,26.7,60.4,73.4,,57.5,,,64.9,,,0,0,27,20.0,88.3,8.3,2,0,0,1,1,2,7.4,115,5.2
E.J. Warner,156185,QB,TEMPLE,1,2.78,2.61,,5.4,50,306,60.0,30,30,9.8,1.97,0,2,5.9,56.7,17,6,5.6,30,60.0,1,9,,,,68.5,44.9,74.2,,45.1,,,,,,0,3,34,0.0,47.8,0.0,0,0,0,0,1,3,8.8,194,6.5,50.0,16,17,11.7,4.01,0,1,5.9,41.2,7,14,12.5,20,40.0,1,5,,,,67.1,67.0,72.4,,69.7,,,56.4,,,0,0,20,0.0,93.8,0.0,0,3,0,1,2,0,0.0,74,4.4
Seth Henigan,144267,QB,MEMPHIS,1,2.44,2.38,,4.1,50,218,75.0,28,28,7.7,2.0,0,1,3.3,75.0,21,5,0.0,28,56.0,0,13,,,,68.2,71.5,73.7,,70.9,,,,,,0,1,30,0.0,93.5,0.0,0,0,0,0,1,0,0.0,214,7.6,57.9,19,20,13.1,3.0,0,1,4.0,55.0,11,6,0.0,22,44.0,0,5,,,,68.0,59.1,73.5,,59.0,,,59.5,,,0,0,28,0.0,88.5,0.0,0,2,0,1,1,0,0.0,115,5.8
Tanner Mordecai,77656,QB,WISCONSIN,1,3.11,2.97,4.1,5.25,49,349,80.0,15,15,3.9,1.98,0,0,0.0,80.0,12,0,0.0,15,30.6,0,1,,,,66.5,51.8,71.6,,51.7,,,,,,0,0,16,,79.4,0.0,0,0,0,0,0,0,0.0,46,3.1,78.6,28,30,10.4,3.61,1,1,3.0,63.3,19,6,13.6,34,69.4,3,11,,,,68.9,83.2,74.6,,84.4,,,57.5,,,0,0,38,33.3,83.9,5.9,2,2,0,1,0,1,2.6,209,7.0
Will McElvain,88639,QB,CENT ARK,1,2.58,2.52,2.65,3.8,48,132,73.9,23,23,3.6,1.84,0,0,0.0,73.9,17,4,0.0,23,47.9,0,7,,,,67.7,62.6,73.1,,62.2,,,,,,0,1,25,0.0,99.9,0.0,0,0,0,0,2,1,4.0,140,6.1,63.2,19,21,15.5,3.26,0,2,9.5,47.6,10,15,16.7,25,52.1,2,6,,,,67.6,69.2,0.0,,74.8,,,53.1,,,1,0,25,13.3,87.6,8.0,2,2,0,1,1,0,0.0,151,7.2
Tommy Ulatowski,163150,QB,KENT STATE,1,3.05,2.9,2.63,5.57,47,201,83.3,18,18,8.6,2.01,0,0,0.0,66.7,12,1,20.0,19,40.4,3,7,,,,67.4,84.1,72.7,,83.2,,,,,,0,0,22,100.0,105.1,5.3,1,0,0,0,1,0,0.0,125,6.9,63.2,19,23,10.8,3.76,2,2,8.0,47.8,11,14,8.3,28,59.6,1,9,,,,68.2,53.5,73.7,,53.6,,,58.4,,,1,1,30,14.3,52.4,7.1,2,3,0,1,0,2,6.7,158,6.9
Shedeur Sanders,131396,QB,COLORADO,1,3.5,2.89,3.3,5.98,47,143,78.6,14,16,7.9,2.01,2,0,0.0,68.8,11,0,0.0,16,34.0,0,5,,,,66.5,84.7,71.6,,83.9,,,,,,0,0,16,,102.1,0.0,0,0,0,0,1,0,0.0,84,5.3,77.8,18,20,14.2,4.27,1,1,4.2,55.0,11,11,21.4,31,66.0,3,10,,,,68.6,69.0,74.3,,73.5,,,56.2,,,0,0,35,18.2,101.7,6.5,2,9,0,1,1,0,0.0,178,8.9
Drake Maye,143969,QB,N CAROLINA,1,2.79,2.55,5.6,5.0,47,245,81.8,22,22,5.9,1.69,0,2,8.3,81.8,18,1,0.0,23,48.9,0,9,,,,67.7,85.8,73.1,,84.9,,,,,,0,0,25,100.0,113.4,4.3,1,0,0,0,1,0,0.0,167,7.6,75.0,16,21,16.5,3.84,1,3,11.5,47.6,10,13,16.7,24,51.1,2,8,,,,68.1,78.0,73.6,,77.5,,,61.6,,,1,1,29,7.7,56.6,4.2,1,2,0,3,0,1,3.4,175,8.3
Sammy Edwards,187905,QB,GAVA,1,2.59,2.3,5.3,4.44,47,1159,81.5,27,27,5.0,1.62,0,2,7.4,77.8,21,4,4.5,27,57.4,1,12,,,,67.9,80.7,73.4,,79.9,,,,,,0,0,27,0.0,142.3,0.0,0,0,0,0,3,0,0.0,250,9.3,75.0,12,14,15.8,3.89,0,1,6.7,57.1,8,14,11.1,20,42.6,1,8,,,,24.3,76.4,72.5,,78.6,,,60.3,,,0,1,21,7.1,68.8,5.0,1,5,0,2,0,2,9.5,164,11.7
Hank Bachmeier,101284,QB,LA TECH,1,2.7,2.63,3.9,3.2,46,208,72.0,25,25,9.6,2.04,0,5,20.0,64.0,16,4,11.1,25,54.3,2,5,,,,67.7,93.0,73.1,,92.6,,,,,,0,0,25,0.0,79.4,0.0,0,0,0,0,0,0,0.0,144,5.8,87.5,16,18,12.4,3.49,0,2,11.1,77.8,14,6,0.0,21,45.7,0,8,,,,67.2,90.9,72.5,,91.6,,,56.7,,,0,2,21,33.3,79.2,9.5,2,1,0,2,0,1,4.8,244,13.6
Daniel Richardson,97103,QB,FAU,1,2.52,2.41,2.86,4.17,45,165,77.8,18,19,2.9,1.91,0,0,0.0,73.7,14,6,0.0,20,44.4,0,4,,,,67.1,49.7,72.4,,49.7,,,,,,1,0,20,16.7,80.2,5.0,1,0,0,0,0,1,5.0,76,4.0,68.8,16,17,15.9,3.14,1,1,5.9,58.8,10,9,9.1,24,53.3,1,3,,,,67.7,55.0,73.1,,59.8,,,50.3,,,0,1,25,44.4,45.0,16.7,4,3,0,0,0,2,8.0,75,4.4
Jiya Wright,77688,QB,LA MONROE,1,2.68,2.32,3.94,5.6,45,209,73.1,26,26,7.3,1.85,0,1,3.7,65.4,17,3,10.5,27,60.0,2,10,,,,68.0,72.5,73.5,,71.9,,,,,,0,0,28,33.3,113.6,3.7,1,0,0,0,2,0,0.0,196,7.5,33.3,9,10,14.3,3.93,0,0,0.0,30.0,3,14,0.0,18,40.0,0,2,,,,66.8,35.5,0.0,,40.9,,,56.2,,,1,0,18,50.0,46.7,38.9,7,1,0,0,0,0,0.0,47,4.7
Athan Kaliakmanis,144971,QB,MINNESOTA,1,2.9,2.77,2.6,4.83,45,225,62.5,16,16,12.0,2.18,0,2,11.8,56.3,9,4,10.0,16,35.6,1,5,,,,66.7,75.0,71.8,,74.4,,,,,,0,0,17,0.0,107.0,0.0,0,0,0,0,1,0,0.0,143,8.9,52.2,23,25,15.3,3.3,1,1,3.8,32.0,8,10,33.3,29,64.4,4,7,,,,68.2,63.1,73.7,,63.3,,,59.1,,,1,0,30,10.0,79.9,3.4,1,3,0,0,2,1,3.3,147,5.9
Graham Mertz,97994,QB,FLORIDA,1,2.56,2.29,4.15,4.45,44,163,72.2,18,21,3.8,1.63,3,1,4.5,61.9,13,5,0.0,22,50.0,0,7,,,,67.4,65.6,72.8,,65.2,,,,,,0,0,23,20.0,92.6,4.5,1,0,0,0,1,0,0.0,116,5.5,76.5,17,17,9.4,3.48,0,2,11.1,76.5,13,9,0.0,22,50.0,0,10,,,,25.6,55.2,73.0,,59.7,,,51.0,,,0,0,24,33.3,113.6,13.6,3,2,0,0,0,2,8.3,195,11.5
Keyone Jenkins,170403,QB,FIU,1,2.3,1.95,2.74,4.75,44,166,67.7,31,32,7.2,1.8,1,1,3.0,59.4,19,6,9.5,34,77.3,2,8,,,,18.2,55.3,74.3,,55.2,,,,,,0,0,35,33.3,74.2,5.9,2,0,0,0,0,4,11.4,174,5.4,100.0,3,3,11.0,3.98,0,0,0.0,100.0,3,5,0.0,10,22.7,0,3,,,,19.6,52.0,70.7,,63.1,,,48.4,,,0,0,12,60.0,118.8,30.0,3,4,0,0,0,1,8.3,52,17.3
Michael Penix Jr.,82134,QB,WASHINGTON,1,2.73,2.67,4.0,,44,340,71.4,21,21,6.0,1.93,0,1,4.3,71.4,15,5,0.0,21,47.7,0,8,,,,67.5,69.1,72.8,,68.7,,,,,,0,0,23,0.0,89.2,0.0,0,0,0,0,0,0,0.0,139,6.6,55.6,18,21,18.7,3.46,0,3,12.5,42.9,9,13,10.0,23,52.3,1,6,,,,26.3,66.5,73.3,,66.1,,,,,,0,0,26,15.4,107.8,8.7,2,0,0,3,2,1,3.8,193,9.2
Jacob Zeno,98014,QB,UAB,1,3.05,2.58,4.18,6.18,44,321,78.6,14,15,0.4,1.68,0,0,0.0,73.3,11,3,0.0,15,34.1,0,1,,,,66.5,44.2,71.6,,44.1,,,,,,1,1,16,0.0,47.9,0.0,0,0,0,0,0,1,6.3,25,1.7,76.2,21,21,12.7,3.77,0,2,9.5,66.7,14,7,12.5,29,65.9,2,9,,,,68.1,64.2,73.6,,70.5,,,48.9,,,0,1,29,57.1,73.7,13.8,4,4,0,0,0,1,3.4,181,8.6
Jaden Craig,159342,QB,HARVARD,1,3.22,2.82,4.43,5.4,44,179,88.2,17,17,7.9,1.94,0,0,0.0,82.4,14,4,6.7,17,38.6,1,8,,,,66.7,57.8,71.8,,57.6,,,,,,0,1,17,0.0,75.5,0.0,0,0,0,0,0,1,5.9,136,8.0,56.3,16,18,11.6,4.02,0,0,0.0,44.4,8,19,11.1,27,61.4,1,5,,,,27.4,46.6,73.5,,54.1,,,43.3,,,0,0,28,31.6,84.5,22.2,6,3,0,2,1,1,3.6,116,6.4
Taulia Tagovailoa,97271,QB,MARYLAND,1,2.73,2.56,3.4,4.8,44,215,85.7,21,23,1.3,1.84,2,0,0.0,78.3,18,1,0.0,23,52.3,0,7,,,,67.6,65.0,73.0,,64.6,,,,,,0,0,24,0.0,102.4,0.0,0,0,0,0,1,0,0.0,117,5.1,62.5,16,17,14.3,3.71,0,2,11.1,52.9,9,11,10.0,21,47.7,1,6,,,,67.4,72.0,72.7,,64.5,,,73.4,,,0,1,22,9.1,62.4,4.8,1,3,0,1,0,1,4.5,166,9.8
CJ Montes,146114,QB,FORDHAM,1,3.03,2.43,2.6,5.63,43,168,76.5,17,17,5.7,1.79,0,0,0.0,58.8,10,1,23.1,17,39.5,3,5,,,,67.0,83.9,72.2,,83.1,,,,,,0,0,19,0.0,71.4,0.0,0,0,0,0,0,0,0.0,83,4.9,76.5,17,17,14.5,3.83,0,1,5.6,70.6,12,11,7.7,26,60.5,1,11,,,,68.0,89.9,73.5,,91.2,,,62.2,,,0,0,28,9.1,118.8,3.8,1,8,0,0,1,0,0.0,156,9.2
Marquez McCray,109056,QB,MONMOUTH,1,3.01,2.69,4.3,4.65,43,231,68.8,16,16,4.2,1.62,0,0,0.0,68.8,11,1,0.0,16,37.2,0,7,,,,66.5,63.3,71.6,,62.9,,,,,,0,0,16,0.0,151.0,0.0,0,0,0,0,2,0,0.0,219,13.7,70.6,17,19,15.3,3.83,0,2,10.5,57.9,11,13,8.3,27,62.8,1,8,,,,67.9,69.3,73.4,,64.1,,,70.6,,,0,0,27,46.2,93.5,22.2,6,2,0,2,0,0,0.0,197,10.4
Tyler Knoop,108982,QB,GEORGETOWN,1,2.31,2.15,3.87,4.2,43,172,84.0,25,27,5.5,1.81,2,2,7.1,77.8,21,4,0.0,28,65.1,0,8,,,,68.1,62.5,73.6,,62.2,,,,,,0,1,29,25.0,89.0,3.6,1,0,0,0,1,1,3.4,165,6.1,58.3,12,12,17.3,3.26,0,1,7.7,58.3,7,6,0.0,15,34.9,0,6,,,,66.5,65.1,71.6,,67.0,,,57.3,,,0,1,16,33.3,107.6,13.3,2,1,0,0,3,1,6.3,190,15.8
Zevi Eckhaus,148535,QB,BRYANT,1,3.12,2.89,5.9,5.13,43,124,100.0,15,16,4.7,1.98,1,1,5.6,93.8,15,0,0.0,16,37.2,0,10,,,,66.8,92.8,72.0,,92.5,,,,,,0,0,18,,139.8,0.0,0,0,0,0,3,0,0.0,129,8.1,81.8,22,23,13.3,3.8,1,1,4.3,73.9,17,6,5.6,27,62.8,1,12,,,,68.0,88.2,73.5,,89.1,,,61.9,,,0,0,28,16.7,121.3,3.7,1,3,0,0,1,0,0.0,238,10.3
Cooper Justice,131858,QB,LNDNWD,1,2.02,1.95,3.03,,43,949,64.3,28,32,7.6,1.72,2,0,0.0,53.1,17,3,5.6,32,74.4,1,8,,,,68.5,52.9,74.2,,52.8,,,,,,2,1,34,0.0,54.2,0.0,0,0,0,0,0,1,2.9,160,5.0,42.9,7,8,21.6,2.89,0,0,0.0,25.0,2,5,33.3,11,25.6,1,1,,,,65.6,41.0,70.4,,41.2,,,,,,1,1,11,60.0,2.1,27.3,3,0,0,0,0,2,18.2,28,3.5
Aaron Allen,78494,QB,ALCORN ST,1,2.85,2.81,4.5,,42,107,72.2,18,18,6.7,1.99,0,1,5.6,50.0,9,1,30.8,18,42.9,4,3,,,,66.8,53.7,72.0,,53.6,,,,,,0,0,18,0.0,63.4,0.0,0,0,0,0,0,2,11.1,85,4.7,57.1,21,23,17.7,3.5,0,3,13.0,47.8,11,5,8.3,24,57.1,1,7,,,,67.7,68.3,0.0,,68.3,,,64.0,,,0,1,25,20.0,56.3,4.2,1,0,0,2,0,2,8.0,179,7.8
Logan Brabham,149647,QB,MARIST,1,2.54,2.38,3.23,4.63,42,213,80.0,20,20,8.6,1.9,0,2,10.0,80.0,16,2,0.0,20,47.6,0,6,,,,67.1,76.5,72.4,,75.9,,,,,,0,2,20,0.0,80.2,0.0,0,0,0,0,1,2,10.0,175,8.8,66.7,15,15,9.1,3.28,0,0,0.0,66.7,10,8,0.0,21,50.0,0,7,,,,24.3,57.8,72.5,,58.7,,,57.7,,,0,0,21,37.5,80.4,14.3,3,3,0,0,0,2,9.5,82,5.5
Cole Gonzales,159939,QB,W CAROLINA,1,2.27,2.14,3.7,3.95,42,344,66.7,27,27,9.1,1.79,0,1,3.7,59.3,16,2,11.1,27,64.3,2,10,,,,67.9,74.0,73.4,,73.4,,,,,,0,0,27,0.0,118.3,0.0,0,0,0,0,3,0,0.0,193,7.1,83.3,12,12,11.7,3.13,0,2,14.3,83.3,10,4,0.0,15,35.7,0,8,,,,66.8,88.1,72.0,,90.3,,,59.4,,,0,0,18,25.0,158.3,6.7,1,2,0,0,2,0,0.0,186,15.5
Gunnar Watson,83570,QB,TROY,1,2.59,2.5,3.35,4.4,42,318,87.0,23,23,2.4,1.89,0,0,0.0,82.6,19,3,5.0,23,54.8,1,11,,,,67.6,65.8,73.0,,65.4,,,,,,0,0,24,0.0,134.3,0.0,0,0,0,0,4,0,0.0,155,6.7,42.9,14,16,17.0,3.43,0,1,5.9,31.3,5,8,16.7,19,45.2,1,5,,,,67.1,67.1,72.4,,64.1,,,64.3,,,0,0,20,25.0,44.8,10.5,2,1,0,2,0,0,0.0,64,4.0
Blake Stenstrom,82106,QB,PRINCETON,1,3.04,2.71,4.4,5.1,42,272,69.2,13,14,5.8,1.97,1,1,6.7,57.1,8,2,11.1,14,33.3,1,2,,,,66.4,79.9,71.4,,79.2,,,,,,0,0,15,0.0,66.4,0.0,0,0,0,0,0,0,0.0,56,4.0,63.2,19,21,10.8,3.57,0,2,9.5,52.4,11,12,8.3,28,66.7,1,9,,,,27.4,62.2,73.5,,62.6,,,58.8,,,0,0,28,33.3,98.7,14.3,4,3,0,2,1,2,7.1,187,8.9
Jordan McCloud,101058,QB,JAMES MAD,1,2.41,2.29,3.7,4.15,41,197,100.0,26,27,5.5,1.89,1,0,0.0,96.3,26,3,0.0,27,65.9,0,15,,,,67.9,85.6,73.4,,84.6,,,,,,0,0,27,0.0,118.8,0.0,0,0,0,0,1,0,0.0,258,9.6,70.0,10,11,12.7,3.41,0,2,16.7,63.6,7,9,0.0,14,34.1,0,5,,,,66.4,75.8,71.4,,75.3,,,62.1,,,0,0,15,11.1,146.8,7.1,1,2,0,1,3,0,0.0,209,19.0
Chandler Fields,97286,QB,LA LAFAYET,1,2.88,2.79,4.8,4.6,40,207,80.0,20,20,5.8,1.86,0,0,0.0,70.0,14,2,12.5,20,50.0,2,7,,,,67.1,69.1,72.4,,68.6,,,,,,0,0,20,0.0,86.9,0.0,0,0,0,0,0,0,0.0,127,6.4,75.0,16,18,13.4,3.91,0,3,15.8,55.6,10,7,16.7,20,50.0,2,7,,,,67.1,91.8,72.5,,92.2,,,57.3,,,0,0,21,14.3,116.2,5.0,1,1,0,2,2,0,0.0,133,7.4
Josh Hoover,127148,QB,TCU,1,2.14,2.07,3.63,,40,305,84.0,25,25,3.1,1.67,0,0,0.0,72.0,18,4,14.3,25,62.5,3,8,,,,67.8,79.5,73.3,,78.8,,,,,,0,0,26,0.0,109.6,0.0,0,0,0,0,2,0,0.0,125,5.0,54.5,11,11,18.0,3.13,0,2,18.2,54.5,6,9,0.0,14,35.0,0,5,,,,20.6,54.0,71.6,,53.8,,,,,,0,1,14,33.3,61.7,21.4,3,0,0,0,0,2,14.3,177,16.1
Adam Urena,186682,QB,MERCYHURST,1,2.6,2.56,,4.2,40,977,82.4,17,19,6.2,1.86,1,1,4.8,73.7,14,3,0.0,19,47.5,0,7,,,,67.2,68.5,72.5,,68.1,,,,,,0,1,21,0.0,90.9,0.0,0,0,0,1,1,0,0.0,145,7.6,75.0,16,20,11.4,3.26,1,1,4.0,60.0,12,4,0.0,21,52.5,0,8,,,,67.8,67.3,73.3,,68.7,,,57.3,,,0,0,26,0.0,98.5,0.0,0,1,0,3,1,0,0.0,143,7.2
