player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kekoa Visperas,147588,QB,TENN TECH,1,2.74,2.54,3.35,5.3,50,309,84.0,25,25,5.6,1.69,0,1,3.7,76.0,19,0,9.5,25,50.0,2,9,,,,67.9,76.2,73.4,,75.5,,,,,0,0,27,,115.4,0.0,0,0,0,0,2,0,0.0,140,5.6,65.0,20,20,11.3,3.78,0,0,0.0,60.0,12,8,7.7,25,50.0,1,7,,,,67.9,54.8,73.4,,59.0,,50.3,,,0,0,27,25.0,79.2,8.0,2,3,0,0,0,1,3.7,130,6.5
Goose Crowder,144781,QB,TROY,1,2.46,2.23,3.68,4.95,49,318,73.1,26,28,7.0,1.81,2,2,7.1,64.3,18,3,5.3,28,57.1,1,6,,,,68.0,84.1,73.5,,83.3,,,,,0,0,28,0.0,111.6,0.0,0,0,0,0,2,0,0.0,216,7.7,76.9,13,15,13.0,3.32,1,1,6.7,60.0,9,9,10.0,21,42.9,1,8,,,,67.4,81.9,72.7,,83.9,,59.4,,,0,0,22,44.4,128.9,19.0,4,2,0,1,2,0,0.0,134,8.9
Jaylen Raynor,172203,QB,ARK STATE,1,2.75,2.47,4.4,5.45,48,113,57.1,21,23,9.8,1.87,2,0,0.0,43.5,10,1,16.7,23,47.9,2,5,,,,67.6,51.0,73.0,,51.0,,,,,0,0,24,0.0,59.9,0.0,0,0,0,0,0,0,0.0,119,5.2,84.2,19,20,8.1,3.57,0,0,0.0,75.0,15,10,6.3,25,52.1,1,9,,,,67.7,54.3,73.1,,57.5,,53.4,,,1,0,25,10.0,93.1,4.0,1,4,0,0,0,1,4.0,137,6.9
Frankie Weaver,191675,QB,MONMOUTH,1,2.06,2.03,3.2,,48,231,79.4,34,35,6.8,1.65,1,0,0.0,65.7,23,1,14.8,35,72.9,4,12,,,,68.9,70.5,74.7,,69.9,,,,,0,0,39,0.0,108.3,0.0,0,0,0,0,3,1,2.6,192,5.5,66.7,12,12,10.3,3.15,0,0,0.0,58.3,7,4,12.5,13,27.1,1,2,,,,66.2,45.7,71.2,,45.9,,,,,0,0,14,25.0,77.4,7.7,1,0,0,0,0,1,7.1,77,6.4
Kaden Rolfsness,200903,QB,E WASHGTON,1,2.51,2.4,2.45,4.03,47,161,66.7,24,24,6.6,1.89,0,1,4.0,62.5,15,4,6.3,25,53.2,1,8,,,,26.3,63.6,73.3,,63.3,,,,,0,1,26,25.0,59.2,4.0,1,0,0,0,0,1,3.8,129,5.4,50.0,16,18,17.4,3.21,0,0,0.0,44.4,8,9,0.0,22,46.8,0,6,,,,67.5,33.4,72.8,,29.3,,66.8,,,2,2,23,11.1,42.8,4.5,1,3,0,0,1,3,13.0,107,5.9
Haynes King,124329,QB,GA TECH,1,2.67,2.48,3.2,4.1,47,176,71.4,21,23,1.5,1.84,0,0,0.0,60.9,14,10,6.7,23,48.9,1,7,,,,67.5,43.3,72.8,,43.4,,,,,1,1,23,0.0,52.6,0.0,0,0,0,1,0,1,4.3,99,4.3,82.4,17,18,13.2,3.47,1,3,15.8,72.2,13,15,7.1,24,51.1,1,7,,,,67.7,76.9,73.1,,83.2,,53.7,,,0,1,25,6.7,112.7,4.2,1,5,0,0,2,1,4.0,158,8.8
Cutter Boley,184630,QB,KENTUCKY,1,2.83,2.84,2.4,3.3,47,202,79.2,24,25,5.0,1.97,0,0,0.0,68.0,17,4,10.5,26,55.3,2,10,,,,67.8,63.1,73.3,,62.8,,,,,1,1,26,25.0,97.6,3.8,1,0,0,0,2,2,7.7,173,6.9,58.8,17,19,12.3,3.9,0,0,0.0,47.4,9,6,10.0,21,44.7,1,7,,,,67.2,70.8,72.5,,68.6,,63.1,,,0,1,21,16.7,43.1,4.8,1,1,0,2,0,0,0.0,107,5.6
Rodney Tisdale Jr.,188754,QB,W KENTUCKY,1,2.34,2.18,3.23,3.5,46,346,61.5,26,26,4.3,1.81,0,0,0.0,57.7,15,3,6.3,27,58.7,1,3,,,,67.9,37.6,73.4,,37.7,,,,,0,1,27,33.3,47.3,3.7,1,0,0,0,0,2,7.4,82,3.2,54.5,11,13,9.6,3.11,0,1,5.9,38.5,5,9,16.7,19,41.3,1,4,,,,67.5,49.6,73.2,,51.1,,57.3,,,0,1,23,55.6,16.8,26.3,5,1,0,2,0,1,4.3,46,3.5
Malik Washington,198729,QB,MARYLAND,1,2.92,2.61,3.5,5.48,46,215,66.7,15,16,9.7,2.02,1,0,0.0,50.0,8,5,20.0,16,34.8,2,5,,,,66.5,55.4,71.6,,55.3,,,,,0,0,16,0.0,91.9,0.0,0,0,0,0,1,1,6.3,105,6.6,56.5,23,23,9.4,3.4,0,0,0.0,47.8,11,18,15.4,30,65.2,2,10,,,,68.3,57.3,73.9,,52.2,,68.4,,,0,1,31,16.7,42.8,10.0,3,4,0,0,0,0,0.0,105,4.6
Ty Pennington,185022,QB,N ARIZONA,1,3.17,2.79,3.7,6.45,46,252,83.3,18,19,5.1,1.93,1,2,10.5,73.7,14,5,6.7,19,41.3,1,5,,,,67.0,70.1,72.2,,69.6,,,,,0,0,19,0.0,90.0,0.0,0,0,0,0,0,0,0.0,121,6.4,60.0,15,20,15.3,4.04,0,2,10.0,35.0,7,11,22.2,27,58.7,2,5,,,,26.7,47.8,73.4,,49.3,,54.9,,,0,1,27,27.3,70.6,11.1,3,4,0,5,2,2,7.4,129,6.5
Alessio Milivojevic,183542,QB,MICH STATE,1,2.82,2.74,3.65,4.3,45,223,76.5,17,18,3.4,1.99,1,0,0.0,66.7,12,7,7.7,18,40.0,1,5,,,,66.8,63.1,72.0,,62.8,,,,,0,1,18,0.0,72.7,0.0,0,0,0,0,1,1,5.6,85,4.7,77.8,18,24,11.1,3.36,0,2,8.3,54.2,13,14,7.1,27,60.0,1,7,,,,67.9,76.9,73.4,,78.6,,57.3,,,1,0,27,14.3,90.6,7.4,2,1,0,5,1,0,0.0,170,7.1
Michael Van Buren Jr.,184764,QB,LSU,1,2.48,2.36,3.55,5.3,45,211,77.3,22,23,4.6,1.77,0,0,0.0,65.2,15,2,11.8,23,51.1,2,6,,,,67.6,64.6,73.0,,64.2,,,,,1,0,24,0.0,91.2,0.0,0,0,0,0,1,0,0.0,112,4.9,64.7,17,19,9.9,3.23,1,0,0.0,52.6,10,3,9.1,22,48.9,1,6,,,,67.6,44.3,73.0,,41.4,,64.3,,,0,1,24,66.7,43.8,9.1,2,1,0,1,0,3,12.5,90,4.7
Anthony Grigsby Jr.,184188,QB,CAL POLY,1,2.82,2.71,3.13,3.83,45,129,83.3,18,18,6.2,1.91,0,0,0.0,77.8,14,1,6.7,19,42.2,1,5,,,,67.1,53.7,72.4,,53.6,,,,,0,0,20,100.0,118.8,5.3,1,0,0,0,1,1,5.0,145,8.1,41.2,17,20,20.8,3.49,0,3,15.0,35.0,7,14,0.0,26,57.8,0,8,,,,67.8,49.4,0.0,,48.4,,65.4,,,0,2,26,21.4,65.8,11.5,3,3,0,3,2,3,11.5,196,9.8
Julian Lewis,198304,QB,COLORADO,1,3.57,3.34,4.8,4.73,45,143,53.3,15,15,9.3,1.99,0,1,6.7,53.3,8,1,0.0,15,33.3,0,4,,,,66.4,41.8,71.4,,42.0,,,,,0,0,15,0.0,95.1,0.0,0,0,0,0,1,1,6.7,95,6.3,71.4,21,23,6.6,4.36,1,1,4.2,47.8,11,18,26.7,30,66.7,4,4,,,,68.3,72.4,73.9,,70.8,,64.0,,,0,0,31,22.2,54.4,13.3,4,3,0,1,0,0,0.0,66,2.9
TJ Lateef,199810,QB,NEBRASKA,1,3.04,2.73,3.1,5.28,45,238,84.2,19,20,4.1,1.78,1,0,0.0,75.0,15,2,6.3,21,46.7,1,3,,,,67.2,62.8,72.5,,62.5,,,,,0,0,21,50.0,81.0,4.8,1,0,0,0,0,0,0.0,79,4.0,42.9,14,17,15.0,4.13,0,2,11.8,35.3,6,16,0.0,24,53.3,0,8,,,,67.6,59.0,73.0,,54.2,,66.2,,,0,0,24,12.5,58.0,8.3,2,5,0,3,0,1,4.2,108,6.4
Brendan Sorsby,156398,QB,CINCINNATI,1,3.28,2.98,3.8,5.1,45,138,86.7,15,15,2.8,1.97,0,0,0.0,86.7,13,2,0.0,15,33.3,0,4,,,,66.4,63.1,71.4,,62.8,,,,,0,0,15,0.0,117.5,0.0,0,0,0,0,1,1,6.7,103,6.9,68.4,19,23,12.3,3.93,0,1,4.3,52.2,12,16,7.7,30,66.7,1,11,,,,68.2,58.8,73.7,,56.5,,62.7,,,0,1,30,6.3,77.6,3.3,1,6,0,4,1,1,3.3,197,8.6
Taron Dickens,177946,QB,W CAROLINA,1,2.84,2.69,,4.3,44,344,84.6,13,13,2.8,1.52,0,0,0.0,76.9,10,0,9.1,13,29.5,1,3,,,,66.2,75.4,71.2,,74.9,,,,,0,0,14,,116.8,0.0,0,0,0,0,1,0,0.0,78,6.0,80.0,25,27,12.6,3.39,0,3,11.1,66.7,18,8,10.0,31,70.5,2,15,,,,68.3,91.9,73.9,,92.1,,62.5,,,2,0,31,0.0,122.0,0.0,0,4,0,0,2,1,3.2,257,9.5
Adam Damante,170711,QB,NEW MEX ST,1,2.38,2.28,3.73,,44,242,77.8,27,28,3.7,1.65,1,0,0.0,71.4,20,2,4.8,28,63.6,1,9,,,,68.1,78.9,73.6,,78.2,,,,,0,1,29,0.0,92.1,0.0,0,0,0,0,2,0,0.0,145,5.2,81.8,11,13,14.9,3.66,1,0,0.0,69.2,9,8,0.0,16,36.4,0,6,,,,23.4,56.9,72.2,,55.5,,61.6,,,0,0,19,37.5,122.0,18.8,3,0,0,1,1,2,10.5,114,8.8
Jayden Maiava,158135,QB,USC,1,2.42,2.4,3.1,,44,326,76.9,26,26,5.2,1.85,0,1,3.6,69.2,18,4,10.0,26,59.1,2,10,,,,68.0,69.2,73.5,,68.7,,,,,0,1,28,0.0,99.5,0.0,0,0,0,0,2,2,7.1,188,7.2,46.7,15,17,16.8,3.23,2,1,4.8,41.2,7,10,0.0,18,40.9,0,6,,,,24.8,42.5,72.7,,42.8,,,,,0,1,22,10.0,61.6,5.6,1,0,0,0,1,3,13.6,123,7.2
Diego Pavia,156927,QB,VANDERBILT,1,2.91,2.69,3.7,6.05,44,333,94.4,18,18,5.2,1.84,0,2,11.1,88.9,16,1,5.9,18,40.9,1,8,,,,66.8,91.2,72.0,,90.9,,,,,0,0,18,0.0,136.8,0.0,0,0,0,0,2,0,0.0,143,7.9,85.0,20,21,11.4,3.66,0,2,8.3,81.0,17,8,0.0,26,59.1,0,14,,,,68.2,77.9,73.7,,80.0,,56.9,,,0,1,30,37.5,138.5,11.5,3,2,0,1,3,0,0.0,341,16.2
Luke Altmyer,146802,QB,ILLINOIS,1,2.9,2.81,3.4,4.07,43,187,72.7,11,13,5.2,1.94,2,0,0.0,61.5,8,4,0.0,13,30.2,0,3,,,,66.0,62.9,71.0,,62.7,,,,,0,0,13,0.0,70.0,0.0,0,0,0,0,0,0,0.0,52,4.0,75.0,16,21,11.6,3.43,2,1,4.3,57.1,12,19,0.0,29,67.4,0,11,,,,28.0,62.8,73.9,,59.5,,66.6,,,0,0,31,26.3,86.0,17.2,5,3,0,3,0,1,3.2,183,8.7
Landyn Locke,199937,QB,SM HOUSTON,1,2.74,2.67,3.5,3.85,43,281,80.0,20,20,6.2,1.9,0,0,0.0,75.0,15,0,6.3,20,46.5,1,9,,,,67.1,83.2,72.4,,82.4,,,,,0,0,20,,105.2,0.0,0,0,0,0,1,0,0.0,115,5.8,72.2,18,20,10.1,3.48,0,1,5.0,50.0,10,10,23.1,23,53.5,3,6,,,,67.5,58.3,72.8,,61.3,,53.8,,,0,1,23,10.0,74.2,4.3,1,2,0,2,1,1,4.3,166,8.3
Beau Pribula,164182,QB,MISSOURI,1,2.55,2.39,3.08,4.4,42,229,71.4,21,23,8.7,1.89,0,1,4.0,60.9,14,5,6.7,24,57.1,1,8,,,,67.7,79.3,73.3,,78.6,,,,,2,0,26,20.0,88.0,4.2,1,0,0,0,0,0,0.0,194,8.4,58.3,12,13,9.7,3.44,0,0,0.0,46.2,6,8,14.3,18,42.9,1,2,,,,67.1,38.2,72.4,,40.8,,53.1,,,1,2,20,37.5,13.5,16.7,3,2,0,0,0,2,10.0,37,2.8
Grayson Saunier,171185,QB,DARTMOUTH,1,2.35,2.26,,5.8,42,148,80.8,26,26,3.7,1.77,0,0,0.0,69.2,18,3,14.3,26,61.9,3,6,,,,67.8,65.7,73.3,,65.3,,,,,0,0,26,0.0,99.2,0.0,0,0,0,0,1,1,3.8,166,6.4,53.8,13,15,17.7,3.28,0,1,6.3,40.0,6,9,14.3,16,38.1,1,6,,,,66.7,33.8,71.8,,30.1,,64.1,,,1,3,17,0.0,65.4,0.0,0,1,0,1,2,5,29.4,108,7.2
Kaden Anderson,127312,QB,WYOMING,1,3.5,3.39,4.6,5.15,42,351,73.3,15,15,4.5,1.98,0,0,0.0,73.3,11,2,0.0,15,35.7,0,2,,,,66.4,39.4,71.4,,39.6,,,,,0,0,15,0.0,75.7,0.0,0,0,0,0,0,1,6.7,44,2.9,70.6,17,24,12.5,4.35,1,0,0.0,45.8,11,12,8.3,27,64.3,1,5,,,,27.0,53.8,73.5,,56.2,,53.8,,,0,0,28,8.3,73.8,3.7,1,2,0,6,1,1,3.6,113,4.7
Roman Gagliano,183961,QB,MIDDLE TN,1,2.62,2.32,1.85,5.0,41,224,68.4,19,19,7.4,1.77,0,1,5.3,68.4,13,3,0.0,20,48.8,0,7,,,,67.0,80.9,72.4,,80.2,,,,,0,0,20,33.3,87.8,5.0,1,0,0,0,0,0,0.0,131,6.9,64.3,14,15,16.3,3.44,0,3,16.7,53.3,8,9,11.1,21,51.2,1,8,,,,67.6,92.3,73.0,,91.5,,71.7,,,0,0,24,11.1,106.8,4.8,1,5,0,1,1,0,0.0,137,9.1
Kiael Kelly,145634,QB,BALL ST,1,2.91,2.64,3.34,5.75,41,117,58.8,17,18,5.1,1.66,0,1,5.3,55.6,10,3,0.0,20,48.8,0,6,,,,24.7,45.0,72.5,,45.0,,,,,0,1,21,66.7,71.3,10.0,2,0,0,1,1,2,9.5,119,6.6,60.0,10,14,15.4,4.11,0,2,14.3,35.7,5,17,16.7,21,51.2,1,3,,,,24.3,61.4,72.5,,61.6,,59.4,,,0,1,21,29.4,22.0,23.8,5,2,0,4,0,2,9.5,67,4.8
Amari Odom,178686,QB,KENNESAW,1,2.78,2.68,3.35,4.6,40,200,78.6,14,15,6.9,1.82,1,1,6.7,66.7,10,3,9.1,15,37.5,1,5,,,,66.4,76.0,71.4,,75.5,,,,,0,0,15,0.0,111.0,0.0,0,0,0,0,1,0,0.0,112,7.5,82.4,17,18,15.6,3.49,0,3,15.8,72.2,13,11,7.1,24,60.0,1,10,,,,67.8,91.2,73.3,,90.0,,71.0,,,0,0,26,36.4,153.9,16.7,4,2,0,1,4,0,0.0,271,15.1
Kevin Jennings,158272,QB,SMU,1,2.67,2.5,3.2,5.45,40,287,89.5,19,19,1.8,1.58,0,0,0.0,89.5,17,0,0.0,19,47.5,0,9,,,,67.2,77.0,72.5,,76.4,,,,,0,0,21,,130.3,0.0,0,0,0,0,2,0,0.0,130,6.8,70.6,17,18,10.2,3.64,0,1,5.3,66.7,12,11,0.0,21,52.5,0,11,,,,67.4,79.4,72.7,,74.9,,69.9,,,0,0,22,9.1,116.2,4.8,1,2,0,1,1,0,0.0,173,9.6
Jack Snyder,185417,QB,SACR HEART,1,2.66,2.37,4.43,5.0,40,280,95.8,24,24,4.5,1.52,0,1,4.0,91.7,22,2,4.3,24,60.0,1,8,,,,67.7,87.8,73.1,,87.0,,,,,0,0,25,0.0,115.6,0.0,0,0,0,0,1,0,0.0,202,8.4,70.0,10,11,9.6,4.36,0,2,16.7,54.5,6,8,14.3,16,40.0,1,3,,,,22.9,51.3,72.0,,51.8,,58.0,,,0,1,18,37.5,40.3,18.8,3,2,0,1,0,1,5.6,81,7.4
Kamden Sixkiller,133096,QB,CAMPBELL,1,2.6,2.52,3.2,3.85,40,131,81.0,21,22,3.1,1.87,0,0,0.0,72.7,16,3,5.9,22,55.0,1,3,,,,67.4,76.2,72.7,,75.6,,,,,0,0,22,0.0,94.7,0.0,0,0,0,1,1,0,0.0,89,4.0,85.7,14,15,15.7,3.5,0,1,6.3,73.3,11,4,8.3,18,45.0,1,12,,,,67.0,87.8,72.4,,83.6,,69.5,,,0,0,19,25.0,110.1,5.6,1,2,0,1,0,0,0.0,169,11.3
Christian Veilleux,145086,QB,GA STATE,1,2.69,2.59,,4.6,40,175,59.1,22,22,10.8,1.96,0,1,4.2,45.5,10,2,23.1,22,55.0,3,6,,,,67.6,48.9,73.0,,49.0,,,,,0,1,24,0.0,45.1,0.0,0,0,0,0,0,1,4.2,127,5.8,69.2,13,16,16.4,3.58,0,2,11.8,56.3,9,9,0.0,18,45.0,0,9,,,,28.3,84.0,72.2,,83.8,,62.1,,,2,0,19,0.0,115.6,0.0,0,2,0,1,1,0,0.0,176,11.0
Jalen Kitna,146688,QB,UAB,1,3.04,3.0,2.45,4.25,40,321,78.6,14,16,5.0,1.85,2,0,0.0,68.8,11,5,0.0,17,42.5,0,6,,,,66.7,45.0,71.8,,45.0,,,,,0,1,17,20.0,64.3,5.9,1,0,0,0,0,2,11.8,119,7.4,57.9,19,20,17.2,3.92,0,1,4.2,45.0,9,10,18.2,23,57.5,2,8,,,,68.0,42.7,73.5,,41.4,,61.8,,,0,2,28,10.0,23.1,4.3,1,2,0,1,0,4,14.3,111,5.6
Brad Jackson,184354,QB,TEXAS ST,1,2.6,2.18,4.35,4.25,40,314,86.4,22,23,2.6,1.71,1,0,0.0,82.6,19,2,0.0,23,57.5,0,10,,,,67.6,59.6,73.0,,59.3,,,,,0,0,24,0.0,106.7,0.0,0,0,0,0,1,0,0.0,141,6.1,75.0,8,9,13.0,3.81,0,0,0.0,66.7,6,7,0.0,17,42.5,0,5,,,,66.8,52.8,72.0,,56.8,,54.3,,,0,1,18,28.6,82.9,11.8,2,6,0,1,1,1,5.6,60,6.7
Trey Hedden,185848,QB,FURMAN,1,2.32,2.27,3.25,,40,170,76.9,26,28,5.0,1.97,2,2,7.1,71.4,20,8,0.0,28,70.0,0,6,,,,68.0,82.1,73.5,,81.4,,,,,0,0,28,0.0,97.0,0.0,0,0,0,0,1,0,0.0,158,5.6,28.6,7,10,14.9,3.13,1,1,9.1,20.0,2,6,0.0,12,30.0,0,1,,,,20.0,32.3,71.0,,32.6,,,,,0,1,13,33.3,0.0,16.7,2,0,0,2,0,2,15.4,21,2.1
Kingston Tisdell,202557,QB,WEBER ST,1,2.44,2.37,5.0,,39,342,90.9,22,22,-1.0,1.67,0,0,0.0,86.4,19,1,5.0,22,56.4,1,8,,,,67.4,51.3,72.7,,51.1,,,,,0,1,22,0.0,92.4,0.0,0,0,0,0,1,1,4.5,156,7.1,46.7,15,16,14.5,3.42,0,1,6.3,43.8,7,6,0.0,17,43.6,0,3,,,,22.4,41.1,71.8,,41.3,,,,,0,0,17,16.7,90.9,5.9,1,0,0,1,1,1,5.9,121,7.6
