player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jaren Hall,82094,QB,BYU,1,3.34,3.19,6.0,,39,128,69.2,13,13,6.0,1.84,0,1,7.7,53.8,7,0,22.2,13,33.3,2,4,,,,66.0,78.2,71.0,,77.6,,,,,,0,0,13,,70.4,0.0,0,0,0,0,0,0,0.0,73,5.6,68.2,22,24,16.1,4.09,0,2,7.4,62.5,15,5,0.0,26,66.7,0,10,,,,68.1,74.6,73.6,,73.9,,,,,,0,1,29,40.0,90.5,7.7,2,0,0,2,1,1,3.4,229,9.5
Dustin Crum,60418,QB,KENT STATE,1,2.36,2.22,4.3,3.95,39,201,65.0,20,22,9.2,1.9,1,1,4.2,50.0,11,5,15.4,22,56.4,2,7,,,,67.6,57.5,73.0,,57.3,,,,,,0,0,24,0.0,103.6,0.0,0,0,0,1,2,0,0.0,156,7.1,85.7,14,14,23.9,2.96,0,2,11.8,78.6,11,3,8.3,17,43.6,1,9,,,,67.1,91.6,72.4,,91.8,,,60.5,,,0,0,20,33.3,142.6,5.9,1,2,0,0,1,0,0.0,253,18.1
Quinton Williams,102366,QB,HOWARD,1,2.82,2.6,2.55,5.5,39,184,64.3,14,14,8.6,1.95,0,0,0.0,64.3,9,2,0.0,15,38.5,0,3,,,,21.3,66.3,71.4,,65.9,,,,,,0,1,15,50.0,97.6,6.7,1,0,0,0,1,1,6.7,161,11.5,77.8,18,20,14.1,3.37,0,3,15.0,60.0,12,7,14.3,24,61.5,2,10,,,,67.7,92.4,73.1,,93.8,,,55.2,,,0,0,25,14.3,107.1,4.2,1,3,0,2,1,0,0.0,184,9.2
Tommy Schuster,108954,QB,N DAKOTA,1,2.64,2.56,4.1,4.0,39,249,89.5,19,19,3.1,1.65,0,0,0.0,84.2,16,2,5.9,19,48.7,1,6,,,,67.0,86.1,72.2,,85.3,,,,,,0,0,19,0.0,92.5,0.0,0,0,0,0,0,0,0.0,118,6.2,60.0,15,18,10.5,3.58,0,0,0.0,44.4,8,11,11.1,20,51.3,1,6,,,,67.1,69.8,72.4,,71.7,,,57.3,,,0,0,20,9.1,78.5,5.0,1,1,0,3,1,0,0.0,90,5.0
Devin Black,78526,QB,BETH COOK,1,2.44,2.04,3.13,6.1,39,119,69.6,23,23,6.8,1.63,0,2,8.7,69.6,16,5,0.0,24,61.5,0,7,,,,67.6,53.6,73.0,,53.5,,,,,,0,1,24,20.0,109.0,4.2,1,0,0,0,2,2,8.3,210,9.1,14.3,7,7,21.6,4.3,0,0,0.0,14.3,1,9,0.0,13,33.3,0,1,,,,66.2,38.0,71.2,,38.2,,,54.1,,,0,0,14,22.2,39.6,15.4,2,4,0,0,0,1,7.1,21,3.0
Cade McNamara,101620,QB,MICHIGAN,1,2.46,2.44,3.1,,39,222,68.2,22,22,5.5,1.97,0,0,0.0,68.2,15,3,0.0,22,56.4,0,7,,,,67.5,64.2,72.8,,63.8,,,,,,0,1,23,0.0,63.6,0.0,0,0,0,0,0,0,0.0,125,5.7,58.3,12,16,16.6,3.09,2,0,0.0,43.8,7,8,0.0,17,43.6,0,5,,,,67.0,47.4,72.2,,47.5,,,,,,0,0,19,12.5,72.4,5.9,1,0,0,2,0,0,0.0,130,8.1
Sam Hartman,77618,QB,WAKE,1,3.35,3.17,3.4,4.73,39,339,71.4,7,7,6.0,2.1,0,0,0.0,57.1,4,0,20.0,7,17.9,1,1,,,,64.6,77.3,69.1,,76.8,,,,,,0,0,7,,66.4,0.0,0,0,0,0,0,0,0.0,28,4.0,64.0,25,25,17.6,3.62,0,1,3.4,60.0,15,9,6.3,32,82.1,1,14,,,,68.8,67.0,74.5,,68.7,,,56.0,,,0,1,37,33.3,125.3,9.4,3,4,0,0,3,2,5.4,302,12.1
Andrew Body,155202,QB,TEXAS STHN,1,2.43,2.17,4.4,5.85,38,313,95.5,22,22,2.8,1.61,0,0,0.0,86.4,19,3,9.5,22,57.9,2,10,,,,67.5,68.9,72.8,,68.4,,,,,,0,0,23,0.0,105.5,0.0,0,0,0,0,0,0,0.0,205,9.3,83.3,12,13,16.4,3.54,0,2,14.3,69.2,9,6,10.0,16,42.1,1,6,,,,66.7,90.4,71.8,,90.6,,,61.6,,,0,0,17,16.7,100.8,6.3,1,2,0,1,0,0,0.0,128,9.8
Brady McBride,77641,QB,TEXAS ST,1,3.87,3.46,4.57,5.5,38,314,87.5,8,8,0.9,1.75,0,1,9.1,75.0,6,0,14.3,8,21.1,1,2,,,,65.6,56.9,70.4,,56.7,,,,,,0,1,11,,37.5,0.0,0,0,0,0,0,1,9.1,19,2.4,70.6,17,21,13.1,4.43,0,3,11.5,57.1,12,9,0.0,30,78.9,0,9,,,,68.7,71.8,74.4,,72.3,,,61.3,,,0,2,36,33.3,76.2,10.0,3,6,0,4,2,1,2.8,173,8.2
Noah Vedral,55406,QB,RUTGERS,1,2.92,2.86,2.9,5.3,38,278,73.3,15,15,6.3,1.94,0,0,0.0,60.0,9,4,18.2,15,39.5,2,5,,,,66.5,75.7,71.6,,75.2,,,,,,0,0,16,0.0,81.5,0.0,0,0,0,0,0,0,0.0,106,7.1,66.7,12,16,15.2,3.72,0,2,11.8,43.8,7,12,12.5,22,57.9,1,4,,,,25.2,58.2,73.0,,63.2,,,50.8,,,1,0,24,33.3,65.1,18.2,4,2,0,3,0,1,4.2,102,6.4
