player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
E.J. Warner,156185,QB,RICE,1,2.66,2.41,,5.9,43,275,69.6,23,24,6.8,1.9,1,0,0.0,62.5,15,4,6.3,24,55.8,1,9,,,,,67.6,72.1,73.0,71.5,,,,0,0,24,0.0,95.7,0.0,0,0,0,0,1,0,0.0,159,6.6,53.3,15,16,7.1,3.61,1,0,0.0,43.8,7,7,12.5,19,44.2,1,4,,,,,67.0,59.2,72.2,59.7,,58.7,,0,0,19,0.0,84.1,0.0,0,3,0,0,1,0,0.0,95,5.9
Evan Simon,129906,QB,TEMPLE,1,3.18,2.59,3.3,5.97,43,306,76.5,17,17,4.5,1.9,0,0,0.0,70.6,12,1,7.7,17,39.5,1,8,,,,,66.8,73.3,72.0,72.7,,,,0,0,18,0.0,115.8,0.0,0,0,0,0,1,0,0.0,144,8.5,63.6,11,13,16.5,4.01,0,1,6.3,53.8,7,18,0.0,26,60.5,0,4,,,,,68.1,65.8,73.6,72.1,,52.5,,2,1,29,38.9,66.2,26.9,7,6,0,0,1,0,0.0,80,6.2
Hank Bachmeier,101284,QB,WAKE,1,3.06,2.6,,5.1,43,339,88.9,18,18,4.6,1.91,0,1,5.6,88.9,16,4,0.0,18,41.9,0,7,,,,,66.8,77.9,72.0,77.3,,,,0,0,18,0.0,110.9,0.0,0,0,0,0,1,0,0.0,111,6.2,87.5,16,17,10.4,3.89,1,0,0.0,76.5,13,11,7.1,25,58.1,1,10,,,,,68.0,72.0,73.5,78.7,,54.3,,0,1,28,0.0,76.3,0.0,0,8,0,0,0,0,0.0,143,8.4
Jordan McCloud,101058,QB,TEXAS ST,1,2.51,2.42,,3.77,43,314,85.7,21,21,6.3,1.72,0,1,4.3,76.2,16,2,11.1,21,48.8,2,11,,,,,67.5,82.0,72.8,81.2,,,,0,0,23,0.0,119.1,0.0,0,0,0,0,1,0,0.0,190,9.0,83.3,18,19,11.1,3.27,0,0,0.0,73.7,14,7,6.7,22,51.2,1,11,,,,,67.4,80.3,72.7,82.0,,59.1,,0,0,22,0.0,129.9,0.0,0,3,0,1,2,0,0.0,143,7.5
Seth Henigan,144267,QB,MEMPHIS,1,2.43,2.49,,,43,218,75.0,24,24,6.3,1.91,0,1,4.2,75.0,18,2,0.0,24,55.8,0,9,,,,,67.6,64.6,73.0,64.2,,,,0,0,24,0.0,92.2,0.0,0,0,0,0,0,0,0.0,159,6.6,56.3,16,18,10.6,3.27,0,1,5.6,50.0,9,6,0.0,18,41.9,0,3,,,,,66.8,60.8,72.0,60.6,,,,1,0,18,0.0,60.4,0.0,0,0,0,1,0,1,5.6,72,4.0
Kekoa Visperas,147588,QB,E WASHGTON,1,3.11,2.91,3.3,5.0,43,161,88.2,17,17,1.6,1.76,0,0,0.0,76.5,13,1,13.3,17,39.5,2,5,,,,,66.8,72.8,72.0,72.3,,,,0,0,18,0.0,109.9,0.0,0,0,0,0,1,0,0.0,100,5.9,45.0,20,21,14.8,4.0,0,2,8.7,42.9,9,7,0.0,26,60.5,0,9,,,,,68.0,81.6,73.7,77.7,,70.7,,0,0,28,14.3,110.1,3.8,1,4,0,1,3,0,0.0,165,7.9
Sonny Mannino,166694,QB,MARIST,1,2.88,2.62,2.93,4.62,42,213,80.0,15,15,3.7,1.83,0,0,0.0,73.3,11,1,8.3,16,38.1,1,5,,,,,66.7,66.9,71.8,66.5,,,,0,0,17,100.0,86.3,6.3,1,0,0,0,0,0,0.0,83,5.5,43.8,16,19,13.0,3.52,0,1,5.3,31.6,6,15,14.3,26,61.9,1,6,,,,,67.9,67.2,73.4,55.1,,76.6,,1,0,27,13.3,58.4,7.7,2,5,0,2,1,0,0.0,43,2.3
KJ Jefferson,99129,QB,UCF,1,3.07,2.84,3.3,5.37,42,323,63.6,11,11,8.3,2.05,0,0,0.0,63.6,7,0,0.0,11,26.2,0,5,,,,,65.6,61.6,70.4,61.4,,,,0,1,11,,60.8,0.0,0,0,0,0,0,1,9.1,115,10.5,65.2,23,24,9.1,3.43,0,0,0.0,54.2,13,14,13.3,31,73.8,2,7,,,,,68.3,52.2,73.9,48.4,,66.0,,0,1,31,28.6,87.0,12.9,4,3,0,1,2,2,6.5,169,7.0
Eric Phoenix,177526,QB,SCAR STATE,1,2.66,2.28,3.77,5.2,42,290,63.6,22,23,7.5,1.95,1,2,8.3,60.9,14,2,0.0,24,57.1,0,7,,,,,67.7,58.4,73.1,58.1,,,,0,2,25,50.0,78.9,4.2,1,0,0,0,2,2,8.0,184,8.0,75.0,12,12,12.4,3.62,0,1,7.1,75.0,9,5,0.0,18,42.9,0,8,,,,,67.1,88.3,72.4,91.1,,56.7,,0,0,20,40.0,144.4,11.1,2,4,0,0,1,0,0.0,176,14.7
Aidan Sayin,148974,QB,PENN,1,2.25,2.25,,,41,267,74.1,27,27,5.8,1.81,0,0,0.0,74.1,20,1,0.0,27,65.9,0,11,,,,,67.9,66.9,73.5,66.4,,,,0,0,28,0.0,115.2,0.0,0,0,0,0,2,0,0.0,173,6.4,75.0,12,14,11.5,3.09,0,0,0.0,64.3,9,6,0.0,14,34.1,0,5,,,,,66.4,64.4,71.4,64.0,,,,0,0,15,0.0,123.2,0.0,0,0,0,2,1,0,0.0,147,10.5
