player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
DJ Lagway,184426,QB,FLORIDA,1,2.96,2.57,4.26,5.5,29,163,90.9,11,11,1.9,1.59,0,0,0.0,72.7,8,2,20.0,12,41.4,2,2,,,,,65.8,63.2,70.7,62.9,,,0,0,12,50.0,81.6,8.3,1,0,0,0,0,0,0.0,50,4.5,62.5,8,12,6.3,3.92,0,0,0.0,33.3,4,14,20.0,17,58.6,1,0,,,,,66.7,45.7,71.8,47.6,,57.0,2,0,17,28.6,42.4,23.5,4,1,0,2,0,0,0.0,11,0.9
Jake Strong,173651,QB,MCNEESE,1,2.53,2.35,2.33,4.17,29,217,46.7,15,16,8.1,1.93,1,0,0.0,37.5,6,5,14.3,19,65.5,1,5,,,,,67.1,53.5,72.4,53.4,,,0,0,20,60.0,75.8,15.8,3,0,0,0,1,0,0.0,83,5.2,33.3,6,7,11.5,3.68,0,0,0.0,14.3,1,4,50.0,10,34.5,1,1,,,,,65.6,57.4,70.4,41.7,,74.5,0,0,11,0.0,39.6,0.0,0,3,0,1,0,0,0.0,6,0.9
Jim Ogle,192530,QB,MURRAY ST,1,1.97,1.87,,4.9,29,236,69.6,23,24,3.6,1.59,0,0,0.0,66.7,16,3,0.0,24,82.8,0,5,,,,,67.6,28.4,73.0,28.6,,,1,2,24,0.0,44.3,0.0,0,0,0,0,0,3,12.5,123,5.1,66.7,3,4,5.7,3.8,0,0,0.0,25.0,1,2,50.0,5,17.2,1,0,,,,,64.2,34.7,68.6,41.8,,53.6,0,0,6,0.0,39.6,0.0,0,1,0,1,0,0,0.0,7,1.8
Tad Hudson,170107,QB,COAST CAR,1,2.84,2.7,,4.75,28,141,83.3,12,13,5.1,1.77,0,0,0.0,53.8,7,1,30.0,13,46.4,3,3,,,,,66.2,62.5,0.0,66.0,,,0,0,14,0.0,67.1,0.0,0,0,0,1,0,0,0.0,63,4.8,60.0,10,13,10.0,3.77,0,1,6.3,46.2,6,8,0.0,15,53.6,0,4,,,,,66.8,65.3,72.0,58.3,,70.8,1,0,18,0.0,95.8,0.0,0,2,0,2,2,0,0.0,49,3.8
Jackson Gilkey,174092,QB,WEBER ST,1,2.39,2.32,2.3,3.35,28,342,63.6,11,11,8.5,1.88,0,2,15.4,63.6,7,1,0.0,12,42.9,0,3,,,,,66.2,80.0,71.2,79.3,,,0,0,14,100.0,128.0,8.3,1,0,0,0,2,0,0.0,88,8.0,57.1,14,14,17.7,2.78,0,2,14.3,50.0,7,0,12.5,16,57.1,1,5,,,,,66.5,72.6,71.6,78.1,,51.6,0,2,16,,33.0,0.0,0,2,0,0,0,2,12.5,97,6.9
James Murphy,177426,QB,BROWN,1,2.23,2.14,,4.5,28,123,83.3,18,18,3.2,1.89,0,1,5.6,83.3,15,6,0.0,18,64.3,0,5,,,,,66.8,86.0,72.0,85.3,,,0,1,18,0.0,94.0,0.0,0,0,0,0,1,1,5.6,138,7.7,55.6,9,9,14.9,2.84,0,0,0.0,55.6,5,5,0.0,10,35.7,0,4,,,,,65.8,78.5,70.7,77.3,,63.5,0,0,12,0.0,122.9,0.0,0,1,0,0,1,0,0.0,81,9.0
Owen McCown,157688,QB,UTSA,1,2.51,2.47,,6.1,28,331,57.1,14,16,3.1,1.69,1,0,0.0,43.8,7,3,12.5,16,57.1,1,2,,,,,66.8,39.9,72.0,40.1,,,0,1,18,0.0,57.3,0.0,0,0,0,1,1,1,5.6,92,5.8,66.7,9,10,12.9,3.94,0,1,10.0,60.0,6,5,0.0,11,39.3,0,5,,,,,65.8,63.5,70.7,67.2,,56.3,0,1,12,0.0,45.4,0.0,0,1,0,1,0,1,8.3,79,7.9
Logan Inagawa,206029,QB,DRAKE,1,3.3,3.06,3.3,4.4,28,153,66.7,6,6,4.3,2.08,0,0,0.0,66.7,4,2,0.0,6,21.4,0,1,,,,,64.2,63.4,68.6,63.2,,,0,0,6,0.0,70.1,0.0,0,0,0,0,0,0,0.0,15,2.5,84.6,13,13,12.7,3.8,0,0,0.0,84.6,11,9,0.0,21,75.0,0,11,,,,,67.5,66.2,72.8,61.9,,66.0,0,2,23,11.1,100.5,4.8,1,7,0,0,1,2,8.7,149,11.5
Blake Shapen,122282,QB,MISS STATE,1,3.16,2.68,3.1,4.8,28,227,88.9,9,9,9.0,1.73,0,1,10.0,77.8,7,2,12.5,9,32.1,1,5,,,,,65.4,64.8,70.1,64.5,,,0,0,10,0.0,145.4,0.0,0,0,0,0,1,0,0.0,90,10.0,62.5,8,11,21.0,3.84,1,1,9.1,45.5,5,7,0.0,19,67.9,0,4,,,,,67.0,50.6,72.2,53.5,,54.6,0,0,19,28.6,66.5,10.5,2,6,0,2,0,0,0.0,70,6.4
Fernando Mendoza,158323,QB,INDIANA,1,2.26,1.95,3.35,4.7,27,190,94.7,19,19,5.1,1.71,0,0,0.0,94.7,18,6,0.0,20,74.1,0,11,,,,,67.1,84.3,72.4,83.5,,,0,0,20,16.7,157.8,5.0,1,0,0,0,4,0,0.0,235,12.4,75.0,4,4,12.5,3.83,0,1,25.0,75.0,3,3,0.0,7,25.9,0,4,,,,,64.6,68.3,69.1,70.8,,59.1,0,0,7,33.3,137.5,14.3,1,2,0,0,1,0,0.0,32,8.0
