player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jack Plummer,83543,QB,CAL,1,2.47,2.4,2.87,4.7,53,130,86.7,30,30,6.1,1.79,0,1,2.9,83.3,25,3,3.8,30,56.6,1,9,,,,68.5,85.0,74.2,,84.1,,,,,0,0,34,0.0,130.6,0.0,0,0,0,0,3,0,0.0,220,7.3,66.7,15,19,12.5,3.37,0,1,4.8,52.6,10,13,0.0,23,43.4,0,8,,,,67.7,64.3,73.1,,61.5,,64.0,,,0,1,25,23.1,64.8,13.0,3,1,0,4,0,2,8.0,186,9.8
Justin Fomby,103928,QB,HOUCHR,1,2.41,2.25,2.82,4.95,52,183,78.1,32,32,4.9,1.85,0,0,0.0,75.0,24,13,4.0,33,63.5,1,11,,,,68.5,63.1,74.3,,62.7,,,,,0,1,35,7.7,93.5,3.0,1,0,0,0,1,1,2.9,242,7.6,33.3,12,13,12.4,3.39,0,0,0.0,23.1,3,11,25.0,19,36.5,1,2,,,,67.0,40.2,72.2,,37.7,,61.7,,,0,2,19,36.4,0.0,21.1,4,2,0,1,0,1,5.3,25,1.9
Cade Brister,154186,QB,LNDNWD,1,3.24,2.93,3.74,3.89,51,949,81.3,16,16,7.3,1.91,0,0,0.0,81.3,13,3,0.0,17,33.3,0,9,,,,66.7,61.2,71.8,,61.0,,,,,0,0,17,33.3,142.2,5.9,1,0,0,0,3,0,0.0,138,8.6,68.8,16,17,10.6,3.9,0,1,5.6,64.7,11,26,0.0,34,66.7,0,11,,,,19.7,73.8,74.3,,60.7,,79.9,,,0,0,35,34.6,135.7,26.5,9,8,0,1,2,2,5.7,165,9.7
Dylan McCaffrey,60451,QB,N COLORADO,1,2.48,2.38,2.6,4.07,50,253,86.7,30,30,5.0,1.78,0,0,0.0,73.3,22,2,15.4,30,60.0,4,9,,,,68.4,70.6,74.0,,70.0,,,,,0,1,32,0.0,76.0,0.0,0,0,0,0,0,0,0.0,192,6.4,35.7,14,16,14.4,3.54,0,0,0.0,31.3,5,9,0.0,20,40.0,0,4,,,,67.2,46.8,72.5,,40.8,,67.6,,,1,1,21,11.1,20.1,5.0,1,3,0,1,0,0,0.0,69,4.3
Reese Poffenbarger,145346,QB,ALBANY,1,3.1,2.62,4.38,4.83,50,106,73.7,19,20,7.5,1.9,0,1,4.8,70.0,14,4,0.0,21,42.0,0,7,,,,25.1,73.7,72.7,,73.1,,,,,1,0,22,25.0,86.0,4.8,1,0,0,0,0,1,4.5,123,6.2,38.5,13,17,11.8,3.97,0,0,0.0,23.5,4,16,20.0,29,58.0,1,3,,,,28.0,24.6,73.9,,24.9,,50.3,,,0,1,31,56.3,15.1,31.0,9,3,0,4,0,4,12.9,38,2.2
RJ Martinez,147690,QB,N ARIZONA,1,2.42,2.35,2.7,4.7,50,252,70.0,30,32,3.6,1.87,1,0,0.0,65.6,21,12,0.0,34,68.0,0,8,,,,28.9,59.6,74.3,,59.3,,,,,0,0,35,16.7,90.6,5.9,2,0,0,1,1,1,2.9,180,5.6,100.0,13,14,16.9,3.58,1,4,26.7,92.9,13,5,0.0,16,32.0,0,11,,,,66.7,98.0,71.8,,97.5,,63.1,,,0,0,17,20.0,158.3,6.3,1,1,0,0,2,0,0.0,281,20.1
Chevan Cordeiro,75886,QB,S JOSE ST,1,2.52,2.26,3.0,4.3,49,285,69.0,29,30,6.7,1.7,1,0,0.0,63.3,19,7,5.0,30,61.2,1,8,,,,68.2,62.4,73.7,,62.1,,,,,0,1,30,0.0,58.5,0.0,0,0,0,0,0,2,6.7,126,4.2,88.9,9,12,18.0,3.82,0,2,15.4,66.7,8,11,0.0,19,38.8,0,9,,,,67.0,83.2,72.4,,90.5,,57.1,,,0,0,20,9.1,148.6,5.3,1,6,0,3,2,0,0.0,148,12.3
Hayden Wolff,98362,QB,DOMINION,1,2.49,2.35,4.05,,49,263,80.8,26,29,3.8,1.84,3,0,0.0,69.0,20,5,4.8,29,59.2,1,9,,,,68.1,69.5,73.6,,69.1,,,,,0,0,29,0.0,85.4,0.0,0,0,0,0,0,1,3.4,180,6.2,36.4,11,16,14.4,3.44,0,0,0.0,25.0,4,13,0.0,20,40.8,0,0,,,,24.8,29.0,72.7,,29.1,,,,,0,1,22,30.8,13.5,20.0,4,0,0,5,0,2,9.1,14,0.9
Chandler Rogers,98683,QB,LA MONROE,1,2.29,2.04,2.48,4.58,48,209,80.6,31,33,5.4,1.83,2,0,0.0,75.8,25,5,0.0,35,72.9,0,11,,,,68.7,68.0,74.4,,67.5,,,,,0,0,36,40.0,118.4,5.7,2,0,0,0,2,0,0.0,261,7.9,66.7,6,7,13.2,3.52,0,0,0.0,42.9,3,6,25.0,13,27.1,1,5,,,,66.0,56.1,71.0,,54.4,,60.4,,,1,1,13,33.3,27.4,15.4,2,4,0,0,0,1,7.7,49,7.0
Jason Shelley,60581,QB,MO STATE,1,3.03,2.67,3.1,5.25,48,230,73.3,15,15,6.3,1.96,0,0,0.0,73.3,11,3,0.0,16,33.3,0,3,,,,66.7,63.2,71.8,,62.9,,,,,0,0,17,33.3,88.5,6.3,1,0,0,0,0,0,0.0,91,6.1,61.9,21,23,9.6,3.56,0,2,8.7,52.2,12,24,7.7,32,66.7,1,8,,,,68.5,77.0,74.1,,74.5,,67.1,,,1,0,33,12.5,85.8,9.4,3,6,0,1,1,0,0.0,142,6.2
Reece Udinski,60592,QB,RICHMOND,1,2.74,2.43,4.4,5.66,48,276,92.6,27,28,5.4,1.87,0,1,3.3,85.7,24,2,4.0,28,58.3,1,13,,,,68.2,81.6,73.7,,80.7,,,,,0,0,30,0.0,105.4,0.0,0,0,0,1,1,0,0.0,180,6.4,61.5,13,15,13.7,3.95,0,1,6.7,40.0,6,8,25.0,20,41.7,2,5,,,,67.2,70.5,72.5,,76.7,,54.1,,,1,1,21,12.5,76.9,5.0,1,4,0,1,2,1,4.8,107,7.1
Dresser Winn,63583,QB,TENN MARTN,1,2.78,2.74,3.6,,48,310,86.4,22,23,4.0,1.7,1,0,0.0,73.9,17,3,10.5,23,47.9,2,6,,,,67.5,74.2,72.8,,73.7,,,,,0,0,23,0.0,81.8,0.0,0,0,0,0,0,0,0.0,100,4.3,57.1,21,23,14.3,3.77,0,2,8.7,47.8,11,13,8.3,25,52.1,1,9,,,,67.7,41.7,73.1,,41.9,,,,,2,5,25,15.4,65.0,8.0,2,0,0,0,2,5,20.0,186,8.1
Collin Schlee,98025,QB,KENT STATE,1,2.65,2.27,4.25,5.16,48,201,91.7,24,26,2.1,1.85,2,0,0.0,73.1,19,0,13.6,26,54.2,3,5,,,,67.8,74.4,73.3,,73.8,,,,,0,0,26,,81.4,0.0,0,0,0,0,0,0,0.0,115,4.4,64.3,14,15,17.7,3.6,0,1,5.9,40.0,6,11,33.3,22,45.8,3,7,,,,67.6,67.6,73.0,,67.8,,60.8,,,0,0,24,18.2,76.5,9.1,2,5,0,1,1,0,0.0,68,4.5
Hendon Hooker,60593,QB,TENNESSEE,1,3.18,2.48,3.78,6.22,47,307,92.9,14,14,3.7,1.95,0,0,0.0,85.7,12,2,7.7,16,34.0,1,5,,,,67.0,71.9,72.2,,71.5,,,,,0,0,19,100.0,92.9,12.5,2,0,0,0,0,0,0.0,88,6.3,57.9,19,19,15.6,3.81,0,0,0.0,57.9,11,19,0.0,31,66.0,0,6,,,,68.4,58.5,74.1,,55.5,,64.1,,,0,1,33,31.6,51.9,19.4,6,6,0,0,0,0,0.0,107,5.6
Kyle Vantrease,55029,QB,GA SOUTHRN,1,2.35,2.29,2.4,5.2,47,174,68.8,32,32,7.7,1.9,0,0,0.0,62.5,20,9,9.1,33,70.2,2,7,,,,68.5,55.8,74.1,,55.6,,,,,0,1,33,11.1,86.5,3.0,1,0,0,0,2,2,6.1,188,5.9,63.6,11,13,14.3,3.41,0,0,0.0,46.2,6,7,14.3,14,29.8,1,5,,,,66.7,54.9,71.8,,56.7,,57.3,,,0,0,17,0.0,69.4,0.0,0,1,0,2,0,0,0.0,90,6.9
DJ Uiagalelei,122162,QB,CLEMSON,1,2.41,2.24,3.28,4.3,47,140,85.2,27,27,3.1,1.89,0,0,0.0,85.2,23,2,0.0,28,59.6,0,8,,,,68.1,73.5,73.6,,72.9,,,,,0,0,29,50.0,101.7,3.6,1,0,0,0,1,0,0.0,147,5.4,40.0,10,12,18.6,3.35,0,0,0.0,33.3,4,7,0.0,18,38.3,0,4,,,,67.2,43.0,72.5,,33.7,,72.5,,,0,1,21,42.9,10.4,16.7,3,3,0,2,0,2,9.5,44,3.7
Aidan O'Connell,60516,QB,PURDUE,1,2.36,2.22,3.47,5.2,47,273,63.3,30,31,8.1,1.88,1,3,9.7,51.6,16,3,15.8,31,66.0,3,5,,,,68.3,64.4,73.9,,64.0,,,,,0,1,31,0.0,46.6,0.0,0,0,0,0,0,2,6.5,111,3.6,44.4,9,12,12.6,3.29,0,1,6.3,33.3,4,9,0.0,16,34.0,0,2,,,,67.1,47.9,72.4,,49.1,,57.8,,,1,1,20,33.3,14.9,18.8,3,1,0,2,0,1,5.0,57,4.8
KJ Jefferson,99129,QB,ARKANSAS,1,3.57,3.07,4.15,6.25,47,111,81.8,11,11,3.1,1.98,0,0,0.0,81.8,9,1,0.0,11,23.4,0,6,,,,65.6,75.6,70.4,,75.1,,,,,0,0,11,0.0,128.4,0.0,0,0,0,0,1,0,0.0,83,7.5,70.8,24,26,12.1,4.06,1,1,3.7,53.8,14,17,17.6,36,76.6,3,9,,,,29.7,55.3,74.5,,58.6,,52.7,,,0,2,37,23.5,59.9,11.1,4,6,0,1,1,2,5.4,201,7.7
Skyler Perry,82082,QB,ARKAPB,1,2.78,2.52,6.7,4.84,47,112,80.0,20,22,8.6,1.85,1,1,4.5,63.6,14,6,12.5,22,46.8,2,6,,,,67.4,76.7,72.7,,76.0,,,,,0,1,22,0.0,60.6,0.0,0,0,0,1,0,0,0.0,129,5.9,54.5,11,15,10.9,4.1,0,2,13.3,40.0,6,15,0.0,22,46.8,0,6,,,,67.4,65.5,72.7,,65.6,,60.8,,,0,0,22,13.3,79.6,9.1,2,5,0,4,1,0,0.0,79,5.3
Bret Bushka,108927,QB,BUTLER,1,2.67,2.5,2.6,4.1,47,127,85.0,20,21,3.9,1.49,1,0,0.0,81.0,17,3,0.0,21,44.7,0,10,,,,67.2,80.4,72.5,,79.7,,,,,0,0,21,0.0,107.7,0.0,0,0,0,0,0,0,0.0,207,9.9,76.9,13,20,12.6,3.62,2,0,0.0,40.0,8,14,20.0,26,55.3,2,5,,,,67.8,79.3,73.3,,77.2,,66.6,,,2,0,26,7.1,64.8,3.8,1,5,0,3,1,0,0.0,61,3.1
Seth Henigan,144267,QB,MEMPHIS,1,2.75,2.49,,4.58,47,218,71.4,21,21,7.6,1.86,0,1,4.0,66.7,14,4,6.7,21,44.7,1,9,,,,67.7,70.1,73.1,,69.6,,,,,0,1,25,0.0,66.2,0.0,0,0,0,0,0,0,0.0,143,6.8,75.0,20,20,6.4,3.48,0,0,0.0,70.0,14,10,6.7,26,55.3,1,9,,,,67.8,62.6,73.3,,58.7,,65.1,,,0,1,26,0.0,85.2,0.0,0,6,0,0,1,2,7.7,139,7.0
Haynes King,124329,QB,TEXAS A&M,1,2.84,2.85,2.55,,47,312,52.6,19,19,9.4,2.19,0,0,0.0,47.4,9,8,10.0,20,42.6,1,7,,,,24.3,46.1,72.5,,46.2,,,,,0,0,21,12.5,80.8,5.0,1,0,0,0,1,1,4.8,99,5.2,65.2,23,26,10.7,3.31,0,1,3.7,53.8,14,12,6.7,27,57.4,1,9,,,,27.4,66.8,73.5,,66.3,,,,,0,0,28,8.3,75.8,3.7,1,0,0,3,0,2,7.1,180,6.9
Spencer Brasch,100574,QB,CAL POLY,1,2.24,2.11,2.77,3.5,46,129,65.6,32,34,7.1,1.77,1,0,0.0,44.1,15,10,28.6,36,78.3,6,6,,,,30.0,55.4,74.5,,55.2,,,,,0,1,37,20.0,40.0,5.6,2,0,0,1,0,3,8.1,109,3.2,50.0,6,6,11.2,3.94,0,0,0.0,50.0,3,8,0.0,10,21.7,0,3,,,,65.4,44.2,70.1,,50.5,,50.6,,,0,0,10,12.5,72.2,10.0,1,3,0,0,0,0,0.0,41,6.8
Brayden Schager,146078,QB,HAWAII,1,2.97,2.82,3.55,5.67,46,180,60.0,15,16,4.1,1.91,1,0,0.0,43.8,7,1,22.2,16,34.8,2,3,,,,66.5,51.5,71.6,,51.4,,,,,0,0,16,0.0,52.1,0.0,0,0,0,0,0,0,0.0,52,3.3,62.5,24,24,9.6,3.66,0,1,4.0,54.2,13,10,13.3,29,63.0,2,10,,,,68.2,60.6,73.7,,57.3,,66.6,,,0,1,30,20.0,70.1,6.9,2,3,0,0,1,1,3.3,152,6.3
Drake Maye,143969,QB,N CAROLINA,1,3.03,2.68,4.43,4.98,46,245,93.3,15,15,4.6,1.74,0,0,0.0,93.3,14,1,0.0,15,32.6,0,6,,,,66.4,77.6,71.4,,77.0,,,,,0,0,15,0.0,98.1,0.0,0,0,0,0,0,0,0.0,113,7.5,68.4,19,21,13.8,3.78,0,3,13.6,52.4,11,14,15.4,30,65.2,2,12,,,,68.3,80.5,73.9,,80.9,,63.2,,,2,0,31,21.4,110.4,10.0,3,6,0,0,2,0,0.0,166,7.9
Garret Rangel,157795,QB,OKLA STATE,1,2.72,2.44,2.9,5.4,46,262,91.3,23,23,6.1,1.68,0,1,4.2,82.6,19,3,9.5,23,50.0,2,11,,,,67.6,88.9,73.0,,88.0,,,,,0,1,24,0.0,112.9,0.0,0,0,0,0,2,0,0.0,195,8.5,61.5,13,17,10.2,3.75,0,0,0.0,47.1,8,13,0.0,23,50.0,0,7,,,,67.5,54.9,72.8,,58.3,,53.6,,,0,2,23,15.4,28.4,8.7,2,4,0,4,0,1,4.3,109,6.4
Layne Hatcher,82068,QB,TEXAS ST,1,3.16,2.92,6.5,5.4,45,314,70.6,17,17,5.3,1.88,0,0,0.0,70.6,12,0,0.0,17,37.8,0,4,,,,66.7,72.8,71.8,,72.3,,,,,0,0,17,,95.7,0.0,0,0,0,0,1,0,0.0,62,3.6,89.5,19,24,5.5,3.94,0,1,4.0,70.8,17,12,0.0,28,62.2,0,7,,,,68.1,72.9,73.6,,74.9,,57.1,,,0,0,29,8.3,105.4,3.6,1,3,0,5,1,0,0.0,175,7.3
Tanner McKee,131770,QB,STANFORD,1,2.71,2.46,4.45,4.87,45,300,66.7,24,25,6.5,2.0,1,0,0.0,64.0,16,2,0.0,25,55.6,0,6,,,,67.8,75.5,73.3,,74.9,,,,,0,0,26,0.0,81.1,0.0,0,0,0,0,0,0,0.0,154,6.2,57.1,14,15,12.1,3.59,0,0,0.0,46.7,7,7,12.5,20,44.4,1,4,,,,67.5,59.9,72.8,,60.6,,58.3,,,0,0,23,28.6,62.9,10.0,2,3,0,1,0,0,0.0,79,5.3
Brady Meitz,149729,QB,STETSON,1,2.63,2.48,2.7,5.65,45,302,51.9,27,27,12.5,1.86,0,4,13.8,48.1,13,4,7.1,27,60.0,1,7,,,,68.1,67.6,73.6,,67.1,,,,,0,0,29,0.0,125.9,0.0,0,0,0,0,5,1,3.4,286,10.6,80.0,10,13,11.3,3.79,0,3,18.8,61.5,8,9,0.0,18,40.0,0,4,,,,67.2,71.4,72.5,,76.3,,52.7,,,0,0,21,33.3,108.8,16.7,3,2,0,3,1,0,0.0,93,7.2
Mike Chandler II,139371,QB,LAMAR,1,3.52,3.28,2.85,4.97,45,204,80.0,15,16,4.0,1.88,1,0,0.0,56.3,9,8,25.0,17,37.8,3,4,,,,66.5,36.0,71.8,,36.3,,,,,0,0,17,12.5,119.3,5.9,1,0,0,0,2,1,5.9,118,7.4,73.3,15,20,13.9,4.53,0,0,0.0,40.0,8,16,27.3,28,62.2,3,6,,,,68.1,52.4,73.6,,54.9,,54.6,,,0,1,29,6.3,59.0,3.6,1,7,0,5,1,2,6.9,133,6.7
Jayden Daniels,97993,QB,LSU,1,2.84,2.36,4.05,4.0,45,211,94.7,19,21,4.6,1.8,1,2,8.7,81.0,17,3,5.6,21,46.7,1,9,,,,67.5,82.7,72.8,,82.0,,,,,0,0,23,0.0,125.4,0.0,0,0,0,1,2,0,0.0,136,6.5,45.5,11,11,13.3,3.74,0,0,0.0,45.5,5,14,0.0,24,53.3,0,6,,,,67.9,65.2,73.4,,54.9,,72.2,,,0,0,27,42.9,57.4,25.0,6,7,0,0,0,0,0.0,46,4.2
Jacob Zeno,98014,QB,UAB,1,2.96,2.61,2.47,5.86,45,321,78.9,19,19,9.9,1.96,0,1,5.0,78.9,15,5,0.0,21,46.7,0,11,,,,14.8,47.0,72.7,,47.1,,,,,0,0,22,40.0,120.4,9.5,2,0,0,0,1,3,13.6,165,8.7,75.0,16,18,11.1,3.83,0,2,11.1,66.7,12,11,0.0,24,53.3,0,8,,,,67.6,68.5,73.0,,71.3,,57.6,,,0,1,24,9.1,91.7,4.2,1,5,0,2,1,2,8.3,167,9.3
Justin Miller,103941,QB,SO UTAH,1,3.48,3.06,4.49,5.97,44,298,70.6,17,17,5.1,1.98,0,0,0.0,70.6,12,3,0.0,17,38.6,0,6,,,,66.7,55.6,71.8,,55.5,,,,,0,0,17,0.0,95.0,0.0,0,0,0,0,0,0,0.0,139,8.2,73.3,15,17,11.6,4.43,1,0,0.0,64.7,11,16,0.0,27,61.4,0,6,,,,27.0,60.2,73.4,,52.4,,73.2,,,0,0,27,43.8,89.3,25.9,7,3,0,1,0,1,3.7,136,8.0
Seth Morgan,103954,QB,VA MILT IN,1,3.16,3.14,5.1,5.2,44,336,84.6,13,13,-0.9,1.62,0,0,0.0,76.9,10,0,9.1,13,29.5,1,4,,,,66.2,49.4,71.2,,49.3,,,,,0,1,14,,54.6,0.0,0,0,0,0,0,1,7.1,64,4.9,60.9,23,28,10.5,3.93,0,2,6.7,42.9,12,14,14.3,30,68.2,2,7,,,,28.3,49.5,74.2,,50.6,,57.3,,,0,1,32,7.1,43.0,3.3,1,1,0,5,0,2,6.3,135,4.8
Jaren Hall,82094,QB,BYU,1,2.72,2.57,,5.9,44,128,94.1,17,18,3.2,1.58,1,0,0.0,83.3,15,2,6.3,18,40.9,1,9,,,,67.0,81.7,72.2,,80.9,,,,,0,1,19,0.0,88.2,0.0,0,0,0,0,1,0,0.0,113,6.3,70.0,20,24,12.7,3.51,0,0,0.0,58.3,14,9,0.0,26,59.1,0,11,,,,67.8,60.3,73.3,,63.2,,53.1,,,1,1,26,0.0,106.9,0.0,0,2,0,3,2,2,7.7,264,11.0
Zachary Clement,105561,QB,NWSTATE,1,2.13,2.11,2.9,,43,257,71.0,31,31,6.6,1.72,0,2,6.5,67.7,21,7,4.5,31,72.1,1,10,,,,68.3,72.5,73.9,,71.9,,,,,0,1,31,0.0,100.6,0.0,0,0,0,0,3,0,0.0,173,5.6,55.6,9,11,14.0,3.18,0,1,8.3,27.3,3,8,40.0,12,27.9,2,2,,,,66.2,73.4,71.2,,69.9,,64.2,,,0,1,14,12.5,38.1,8.3,1,0,0,2,1,0,0.0,49,4.5
