player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Owen McCown,157688,QB,UTSA,1,2.46,2.31,2.3,4.15,33,331,82.4,17,18,4.1,1.83,1,1,4.8,77.8,14,5,0.0,19,57.6,0,7,,67.4,73.8,72.7,73.2,,,0,1,22,20.0,102.5,5.3,1,0,0,0,1,0,0.0,175,9.7,75.0,8,8,15.6,3.58,0,0,0.0,62.5,5,9,16.7,13,39.4,1,5,,66.2,90.5,71.2,84.0,,74.8,0,1,14,11.1,42.2,7.7,1,4,0,0,0,0,0.0,53,6.6
Connor Bazelak,99135,QB,BOWL GREEN,1,2.75,2.75,4.1,,33,122,86.7,15,16,2.6,1.88,1,0,0.0,81.3,13,1,0.0,16,48.5,0,7,,66.8,69.0,72.0,68.5,,,0,0,18,0.0,154.2,0.0,0,0,0,0,2,0,0.0,184,11.5,50.0,12,14,11.7,3.79,0,0,0.0,42.9,6,7,0.0,16,48.5,0,2,,66.7,51.0,71.8,51.0,,,1,0,17,28.6,60.4,12.5,2,0,0,1,0,0,0.0,76,5.4
Ryan Stubblefield,123838,QB,SCAR STATE,1,2.46,2.21,2.63,5.03,32,290,80.0,15,15,6.1,1.93,0,0,0.0,73.3,11,3,8.3,18,56.3,1,8,,67.0,58.1,72.2,57.9,,,0,1,19,100.0,103.1,16.7,3,0,0,0,2,1,5.3,101,6.7,87.5,8,9,17.9,3.38,1,2,22.2,66.7,6,1,14.3,13,40.6,1,7,,20.0,91.3,71.0,92.8,,58.3,0,0,13,100.0,109.7,7.7,1,3,0,0,0,1,7.7,128,14.2
Cornelious Brown IV,98356,QB,ALAB A&M,1,2.27,2.04,,4.47,32,104,72.7,22,23,9.6,1.69,0,0,0.0,65.2,15,5,6.3,23,71.9,1,8,,67.5,66.9,72.8,66.5,,,1,0,23,0.0,115.3,0.0,0,0,0,0,2,0,0.0,165,7.2,66.7,6,6,11.0,3.76,0,0,0.0,66.7,4,4,0.0,9,28.1,0,5,,65.1,64.1,69.8,67.8,,57.4,0,1,9,0.0,109.7,0.0,0,3,0,0,3,1,11.1,78,13.0
Kaiden Box,185030,QB,N COLORADO,1,2.25,2.17,2.9,3.9,32,253,65.2,23,24,6.7,1.85,1,0,0.0,54.2,13,4,13.3,24,75.0,2,5,,67.6,64.2,73.0,63.8,,,0,0,24,0.0,86.5,0.0,0,0,0,0,1,0,0.0,146,6.1,33.3,6,6,25.7,3.45,0,2,28.6,33.3,2,1,0.0,8,25.0,0,2,,65.1,57.3,69.8,60.1,,57.3,0,0,9,100.0,81.9,12.5,1,1,0,0,0,0,0.0,82,13.7
Shedeur Sanders,131396,QB,COLORADO,1,2.99,2.79,4.6,5.0,32,143,100.0,12,13,0.2,1.5,1,0,0.0,92.3,12,0,0.0,13,40.6,0,3,,66.0,72.4,71.0,72.0,,,0,0,13,,123.4,0.0,0,0,0,0,1,0,0.0,97,7.5,68.8,16,16,13.1,4.01,0,0,0.0,68.8,11,11,0.0,19,59.4,0,10,,67.4,79.1,72.7,76.8,,66.1,0,0,22,9.1,143.0,5.3,1,2,0,0,2,0,0.0,169,10.6
Mike Chandler II,139371,QB,CAMPBELL,1,3.07,2.62,3.5,6.03,32,131,76.9,13,15,1.9,1.76,1,0,0.0,60.0,9,3,10.0,15,46.9,1,4,,66.4,53.1,71.4,53.0,,,0,1,15,0.0,67.6,0.0,0,0,0,1,1,1,6.7,76,5.1,41.7,12,12,20.5,4.23,0,0,0.0,33.3,4,12,20.0,17,53.1,1,4,,66.7,50.0,71.8,46.7,,62.0,0,1,17,8.3,15.6,5.9,1,4,0,0,0,1,5.9,59,4.9
Kinkead Dent,99132,QB,TENN MARTN,1,2.94,2.65,4.05,4.8,32,310,80.0,15,15,8.3,1.97,0,0,0.0,73.3,11,1,8.3,15,46.9,1,4,,66.4,78.4,71.4,77.8,,,0,0,15,0.0,116.8,0.0,0,0,0,0,1,0,0.0,113,7.5,58.3,12,12,24.3,3.79,0,2,16.7,58.3,7,8,0.0,17,53.1,0,9,,66.7,91.6,71.8,83.3,,84.3,0,1,17,25.0,107.6,11.8,2,3,0,0,2,1,5.9,159,13.3
Simon Romfo,148126,QB,N DAKOTA,1,2.78,2.36,2.7,5.58,32,249,71.4,14,15,6.2,1.85,1,0,0.0,53.3,8,2,20.0,15,46.9,2,3,,66.7,52.5,71.8,52.4,,,0,1,17,0.0,68.2,0.0,0,0,0,0,1,1,5.9,98,6.5,50.0,8,11,16.6,3.61,1,0,0.0,27.3,3,7,25.0,17,53.1,1,2,,67.0,58.2,72.2,56.3,,61.6,1,0,19,28.6,41.1,11.8,2,4,0,1,0,0,0.0,37,3.4
C.J. Ogbonna,149182,QB,BUFFALO,1,2.27,2.19,2.35,3.25,32,126,84.2,19,20,6.1,1.86,0,0,0.0,75.0,15,6,6.3,21,65.6,1,5,,67.4,67.3,72.7,66.9,,,1,0,22,16.7,133.5,4.8,1,0,0,0,2,0,0.0,171,8.6,50.0,6,8,12.3,3.04,1,1,10.0,37.5,3,6,0.0,11,34.4,0,2,,66.0,46.5,71.0,49.9,,53.8,0,0,13,16.7,119.3,9.1,1,2,0,1,1,1,7.7,89,11.1
