player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jayden Daniels,97993,QB,LSU,1,2.87,2.37,3.2,5.17,37,211,68.8,16,16,5.7,1.8,0,1,6.3,62.5,10,2,9.1,16,43.2,1,6,,,,66.5,64.3,71.6,63.9,,,,,0,1,16,0.0,90.9,0.0,0,0,0,0,2,1,6.3,89,5.6,84.6,13,13,19.2,3.68,0,1,7.7,76.9,10,7,9.1,21,56.8,1,8,,,,67.2,83.4,72.5,90.0,,,57.9,,0,0,21,28.6,157.9,9.5,2,6,0,0,2,0,0.0,231,17.8
Caleb Williams,144622,QB,USC,1,3.25,2.99,3.1,6.13,37,326,81.8,11,11,7.0,1.93,0,1,8.3,81.8,9,1,0.0,11,29.7,0,3,,,,65.8,84.2,70.7,83.5,,,,,0,0,12,0.0,131.8,0.0,0,0,0,0,1,0,0.0,92,8.4,66.7,21,21,12.9,3.82,0,1,4.5,57.1,12,13,14.3,26,70.3,2,11,,,,27.0,66.3,73.4,66.7,,,59.4,,0,0,27,15.4,129.9,7.7,2,3,0,0,2,3,11.1,244,11.6
Taulia Tagovailoa,97271,QB,MARYLAND,1,2.55,2.52,,3.9,37,215,84.2,19,19,8.8,1.83,0,1,5.3,78.9,15,1,6.3,19,51.4,1,8,,,,67.0,81.3,72.2,80.5,,,,,0,0,19,0.0,126.3,0.0,0,0,0,0,1,1,5.3,192,10.1,46.7,15,17,7.3,3.32,0,0,0.0,35.3,6,11,14.3,18,48.6,1,3,,,,66.8,36.8,72.0,37.8,,,57.8,,0,1,18,0.0,58.7,0.0,0,1,0,2,2,1,5.6,31,1.8
Cam Ward,133244,QB,WASH STATE,1,2.62,2.51,3.1,5.3,37,341,88.5,26,26,7.2,1.72,0,1,3.7,84.6,22,1,4.3,26,70.3,1,14,,,,67.9,91.5,73.4,91.1,,,,,0,0,27,0.0,141.5,0.0,0,0,0,0,2,0,0.0,307,11.8,85.7,7,8,13.7,4.75,0,1,12.5,75.0,6,6,0.0,11,29.7,0,4,,,,18.5,67.2,70.8,62.4,,,64.1,,0,0,11,33.3,154.7,18.2,2,1,0,1,2,1,9.1,97,12.1
Zack Annexstad,83516,QB,ILL STATE,1,2.76,2.46,2.8,6.13,37,188,95.0,20,20,3.0,1.84,0,1,4.3,90.0,18,0,5.3,20,54.1,1,8,,,,67.5,86.3,72.8,85.5,,,,,0,0,23,,92.9,0.0,0,0,0,0,0,0,0.0,126,6.3,69.2,13,13,11.8,3.86,0,1,7.1,61.5,8,6,11.1,17,45.9,1,6,,,,66.8,59.3,72.0,65.3,,,50.5,,0,0,18,16.7,145.0,5.9,1,3,0,0,2,1,5.6,167,12.8
Cole Snyder,97617,QB,BUFFALO,1,2.84,2.74,3.97,,37,126,73.3,15,17,6.1,1.95,2,0,0.0,58.8,10,3,9.1,17,45.9,1,5,,,,66.8,38.4,72.0,38.7,,,,,0,1,18,0.0,48.9,0.0,0,0,0,0,0,1,5.6,91,5.4,50.0,14,17,13.3,3.59,2,1,5.9,41.2,7,9,0.0,20,54.1,0,5,,,,67.1,46.2,72.4,46.3,,,,,0,1,20,33.3,57.7,15.0,3,0,0,1,1,1,5.0,107,6.3
Brennan Armstrong,77696,QB,NC STATE,1,2.84,2.45,3.3,4.98,37,248,56.3,16,17,9.6,1.99,0,1,5.6,52.9,9,3,0.0,17,45.9,0,4,,,,66.8,54.9,72.0,54.8,,,,,1,0,18,0.0,111.2,0.0,0,0,0,0,2,1,5.6,105,6.2,53.8,13,13,14.5,3.56,0,0,0.0,46.2,6,10,14.3,20,54.1,1,5,,,,67.1,57.2,72.4,56.1,,,60.4,,0,1,20,20.0,32.5,10.0,2,5,0,0,0,1,5.0,75,5.8
Bo Nix,97790,QB,OREGON,1,2.27,2.11,4.15,6.1,37,264,100.0,25,25,1.6,1.76,0,2,7.4,96.0,24,1,4.0,25,67.6,1,10,,,,68.0,84.6,73.5,83.8,,,,,0,0,28,0.0,125.2,0.0,0,0,0,0,2,0,0.0,191,7.6,50.0,8,8,13.0,3.65,0,0,0.0,50.0,4,3,0.0,11,29.7,0,3,,,,65.6,51.8,70.4,54.0,,,57.3,,0,1,11,66.7,88.0,18.2,2,1,0,0,1,1,9.1,85,10.6
Miles Hastings,103943,QB,UC DAVIS,1,2.41,2.04,4.05,5.27,37,322,85.7,21,22,3.8,1.61,0,0,0.0,81.8,18,2,0.0,22,59.5,0,6,,,,67.4,45.0,72.7,45.0,,,,,0,2,22,0.0,64.4,0.0,0,0,0,1,1,2,9.1,108,4.9,75.0,8,10,4.3,3.59,1,0,0.0,60.0,6,11,0.0,15,40.5,0,4,,,,66.4,43.9,71.4,54.1,,,45.8,,0,0,15,18.2,108.3,13.3,2,3,0,1,1,0,0.0,55,5.5
Jacob Sirmon,83590,QB,N COLORADO,1,2.86,2.83,2.75,3.6,36,253,92.9,14,14,4.6,1.94,0,0,0.0,85.7,12,1,7.7,14,38.9,1,5,,,,66.2,69.7,71.2,69.3,,,,,0,0,14,0.0,111.3,0.0,0,0,0,0,0,0,0.0,150,10.7,58.8,17,18,10.4,3.45,0,0,0.0,55.6,10,13,0.0,22,61.1,0,5,,,,67.4,53.6,72.7,47.4,,,69.8,,0,2,22,15.4,26.4,9.1,2,2,0,1,0,1,4.5,76,4.2
Connor Bazelak,99135,QB,BOWL GREEN,1,2.69,2.5,3.07,5.05,36,122,64.7,17,17,5.7,1.71,0,0,0.0,64.7,11,3,0.0,17,47.2,0,3,,,,66.7,59.9,71.8,59.7,,,,,0,1,17,0.0,48.9,0.0,0,0,0,0,0,1,5.9,71,4.2,54.5,11,14,8.5,3.56,0,0,0.0,35.7,5,11,16.7,19,52.8,1,3,,,,24.3,29.1,72.5,28.6,,,57.2,,0,1,21,27.3,14.6,15.8,3,2,0,3,0,2,9.5,40,2.9
Marqui Adams,161340,QB,DELWARE ST,1,2.56,2.37,,5.8,36,152,87.0,23,24,9.0,1.97,1,1,4.2,75.0,18,2,10.0,24,66.7,2,9,,,,67.6,77.5,73.0,76.8,,,,,0,0,24,0.0,147.0,0.0,0,0,0,0,3,0,0.0,247,10.3,44.4,9,10,15.7,3.73,0,0,0.0,30.0,3,7,25.0,12,33.3,1,3,,,,65.8,48.6,70.7,45.1,,,62.6,,0,0,12,0.0,39.6,0.0,0,2,0,1,0,2,16.7,28,2.8
Victor Gabalis,131932,QB,TARLETON,1,2.38,2.22,4.1,4.25,36,401,72.2,18,18,6.8,1.76,0,0,0.0,61.1,11,0,15.4,18,50.0,2,6,,,,66.8,42.4,72.0,42.5,,,,,0,2,18,,42.8,0.0,0,0,0,0,0,1,5.6,127,7.1,53.3,15,15,19.5,3.0,0,1,6.3,46.7,7,1,12.5,18,50.0,1,3,,,,67.1,60.6,72.4,63.8,,,53.8,,0,0,20,100.0,87.9,5.6,1,2,0,0,1,0,0.0,89,5.9
Chandler Morris,122938,QB,TCU,1,2.77,2.61,3.65,6.1,36,305,81.3,16,16,5.6,1.83,0,0,0.0,81.3,13,5,0.0,16,44.4,0,7,,,,66.5,58.9,71.6,58.7,,,,,0,0,16,0.0,134.1,0.0,0,0,0,0,3,1,6.3,107,6.7,87.5,16,17,9.8,3.52,0,0,0.0,64.7,11,14,21.4,20,55.6,3,7,,,,67.1,87.7,72.4,81.3,,,69.0,,0,0,20,14.3,94.7,10.0,2,1,0,1,0,0,0.0,158,9.3
