player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Will McElvain,88639,QB,CENT ARK,1,2.79,2.79,,,29,132,58.3,12,12,3.3,1.9,0,0,0.0,58.3,7,1,0.0,12,41.4,0,3,,,,65.8,53.5,70.7,53.4,,,,,0,0,12,0.0,68.4,0.0,0,0,0,0,0,0,0.0,51,4.3,68.8,16,17,14.7,3.41,0,0,0.0,64.7,11,6,0.0,17,58.6,0,10,,,,66.7,79.8,71.8,79.0,,,,,0,0,17,0.0,133.6,0.0,0,0,0,1,3,1,5.9,155,9.1
Nolan Grooms,108987,QB,YALE,1,3.53,2.72,5.7,5.23,29,352,45.5,11,11,10.8,1.91,0,0,0.0,36.4,4,2,20.0,11,37.9,1,3,,,,65.6,61.5,70.4,61.3,,,,,0,0,11,0.0,48.7,0.0,0,0,0,0,0,0,0.0,43,3.9,37.5,8,9,24.1,4.52,0,2,22.2,33.3,3,7,0.0,18,62.1,0,4,,,,22.9,42.1,72.0,40.7,,,55.7,,0,1,18,28.6,69.7,11.1,2,7,0,1,2,3,16.7,86,9.6
Tayven Jackson,157615,QB,INDIANA,1,2.98,2.83,5.1,,29,190,66.7,12,12,11.6,2.03,0,0,0.0,50.0,6,1,25.0,12,41.4,2,6,,,,65.8,56.7,70.7,56.6,,,,,0,1,12,0.0,33.3,0.0,0,0,0,0,0,1,8.3,70,5.8,53.8,13,15,23.9,3.66,0,2,11.8,33.3,5,13,28.6,17,58.6,2,5,,,,67.0,57.0,72.5,56.8,,,,,0,0,19,15.4,85.4,11.8,2,0,0,2,1,2,10.5,120,8.0
Grant Sergent,108937,QB,SAN DIEGO,1,2.23,2.13,3.17,,29,283,94.7,19,19,6.3,1.77,0,2,9.5,84.2,16,2,11.1,19,65.5,2,7,,,,67.2,93.1,72.5,92.8,,,,,0,0,21,0.0,144.6,0.0,0,0,0,0,3,0,0.0,175,9.2,42.9,7,7,19.4,3.11,0,2,22.2,28.6,2,3,33.3,10,34.5,1,2,,,,66.0,68.4,71.0,68.0,,,,,0,0,13,100.0,79.2,30.0,3,0,0,0,0,0,0.0,92,13.1
Devin Grainger,78496,QB,GA STATE,1,2.97,2.77,3.1,5.5,29,175,78.6,14,14,4.8,1.84,0,0,0.0,78.6,11,3,0.0,14,48.3,0,8,,,,66.4,58.7,71.4,58.5,,,,,0,0,15,0.0,129.8,0.0,0,0,0,0,1,1,6.7,132,9.4,63.6,11,12,13.8,4.03,0,0,0.0,33.3,4,9,42.9,15,51.7,3,4,,,,66.7,86.9,71.8,81.8,,,70.7,,0,0,17,11.1,50.3,6.7,1,2,0,1,0,0,0.0,59,4.9
Jayden de Laura,131928,QB,ARIZONA,1,3.69,3.54,5.25,4.4,29,109,90.9,11,11,5.5,1.65,0,0,0.0,90.9,10,0,0.0,11,37.9,0,4,,,,65.6,74.9,70.4,74.4,,,,,0,0,11,,95.1,0.0,0,0,0,0,0,0,0.0,75,6.8,45.5,11,15,17.4,4.93,0,1,6.7,26.7,4,9,20.0,18,62.1,1,3,,,,66.8,39.8,72.0,41.3,,,57.3,,0,0,18,22.2,72.1,11.1,2,1,0,4,1,1,5.6,82,5.5
Jalen Milroe,146590,QB,ALABAMA,1,3.39,2.72,5.08,5.23,29,103,88.9,9,9,2.4,1.77,0,0,0.0,88.9,8,0,0.0,9,31.0,0,3,,,,65.1,73.4,69.8,73.0,,,,,0,0,9,,87.0,0.0,0,0,0,0,0,0,0.0,44,4.9,81.8,11,12,18.1,4.13,0,3,21.4,75.0,9,10,0.0,20,69.0,0,7,,,,67.4,78.6,72.7,82.0,,,57.8,,0,1,22,40.0,109.7,20.0,4,4,0,1,1,1,4.5,181,15.1
Michael Appel Jr.,149746,QB,VALPO,1,2.62,2.53,2.83,4.2,29,332,80.0,15,15,6.0,1.75,0,0,0.0,80.0,12,2,0.0,16,55.2,0,8,,,,66.5,82.9,71.6,82.1,,,,,0,0,16,50.0,142.9,6.3,1,0,0,0,2,0,0.0,132,8.8,50.0,8,10,27.9,3.69,0,2,20.0,40.0,4,11,0.0,13,44.8,0,4,,,,66.0,78.1,71.0,80.9,,,57.3,,1,1,13,18.2,71.7,15.4,2,1,0,1,1,0,0.0,102,10.2
Jaylen Raynor,172203,QB,ARK STATE,1,3.03,2.6,3.35,5.67,28,113,60.0,10,11,16.5,2.01,1,2,18.2,36.4,4,3,33.3,11,39.3,2,4,,,,65.6,58.9,70.4,58.7,,,,,0,1,11,0.0,48.3,0.0,0,0,0,0,1,1,9.1,62,5.6,88.9,9,10,21.2,3.69,0,4,40.0,70.0,7,11,12.5,17,60.7,1,6,,,,66.7,92.7,71.8,92.6,,,66.7,,0,0,17,36.4,152.1,23.5,4,3,0,1,2,0,0.0,171,17.1
Sean Chambers,75888,QB,MONTANA ST,1,3.52,3.15,3.1,4.66,28,233,75.0,4,5,12.8,1.93,0,0,0.0,40.0,2,3,33.3,7,25.0,1,2,,,,64.6,67.2,69.1,66.9,,,,,1,0,7,66.7,60.4,28.6,2,0,0,0,0,0,0.0,30,6.0,50.0,12,12,16.6,4.05,0,2,16.7,50.0,6,9,0.0,21,75.0,0,10,,,,24.3,70.0,72.5,52.0,,,80.1,,0,0,21,22.2,132.6,9.5,2,7,0,0,2,2,9.5,142,11.8
Ty'Jarian Williams,178887,QB,MS VLY ST,1,2.46,2.1,3.3,4.8,28,228,57.1,14,16,7.1,1.74,2,0,0.0,50.0,8,7,0.0,17,60.7,0,3,,,,22.4,35.5,71.8,35.7,,,,,0,0,17,14.3,56.5,5.9,1,0,0,0,0,1,5.9,49,3.1,60.0,5,6,10.6,3.58,0,0,0.0,50.0,3,6,0.0,11,39.3,0,2,,,,65.8,64.0,70.7,66.6,,,58.0,,0,0,12,50.0,66.0,27.3,3,2,0,1,0,0,0.0,32,5.3
Brady Cook,124199,QB,MISSOURI,1,2.6,2.38,4.1,5.3,28,229,92.9,14,14,4.8,1.92,0,1,6.7,85.7,12,0,7.7,14,50.0,1,6,,,,66.4,80.8,71.4,80.1,,,,,0,0,15,,107.1,0.0,0,0,0,0,0,0,0.0,136,9.7,60.0,10,11,13.9,3.29,0,1,9.1,54.5,6,7,0.0,14,50.0,0,5,,,,66.2,74.1,71.2,69.9,,,64.9,,0,0,14,28.6,139.2,14.3,2,1,0,1,2,0,0.0,205,18.6
Cole Dugger,154197,QB,LNDNWD,1,2.58,2.3,2.9,3.98,28,949,76.9,13,14,5.5,1.68,0,0,0.0,71.4,10,3,0.0,14,50.0,0,6,,,,66.2,71.0,71.2,70.6,,,,,1,0,14,0.0,131.5,0.0,0,0,0,0,1,1,7.1,155,11.1,42.9,7,8,17.1,3.48,0,1,11.1,37.5,3,9,0.0,14,50.0,0,2,,,,66.4,62.7,71.4,66.4,,,56.2,,0,0,15,22.2,51.6,14.3,2,4,0,1,0,0,0.0,35,4.4
Jacob Clark,101628,QB,MO STATE,1,2.82,2.73,2.7,5.2,28,230,100.0,7,8,4.6,1.88,1,0,0.0,87.5,7,0,0.0,8,28.6,0,5,,,,65.1,72.1,69.8,71.6,,,,,0,0,9,,149.0,0.0,0,0,0,0,2,0,0.0,82,10.3,66.7,18,18,10.9,3.2,0,1,5.6,66.7,12,7,0.0,20,71.4,0,9,,,,67.0,82.7,72.4,84.6,,,57.3,,0,0,20,14.3,149.3,5.0,1,1,0,0,3,0,0.0,327,18.2
Nate Glantz,157587,QB,MCNEESE,1,2.55,2.36,2.7,4.0,28,217,70.6,17,17,8.6,1.78,0,1,5.9,64.7,11,3,8.3,17,60.7,1,7,,,,66.7,72.8,71.8,72.3,,,,,0,0,17,0.0,133.0,0.0,0,0,0,0,2,0,0.0,154,9.1,28.6,7,7,17.6,3.73,0,0,0.0,28.6,2,4,0.0,11,39.3,0,4,,,,65.8,60.5,70.7,54.1,,,66.8,,0,0,12,25.0,46.1,9.1,1,3,0,0,0,0,0.0,32,4.6
Jason Brown,109060,QB,JACKSON ST,1,3.23,2.91,,4.72,28,194,90.9,11,12,5.0,1.88,1,0,0.0,83.3,10,1,0.0,12,42.9,0,4,,,,66.2,52.3,71.2,52.2,,,,,0,0,14,0.0,94.1,0.0,0,0,0,0,0,2,14.3,79,6.6,44.4,9,11,15.9,4.24,0,1,7.7,27.3,3,8,25.0,16,57.1,1,2,,,,66.8,44.9,72.0,50.7,,,49.8,,0,1,18,0.0,32.0,0.0,0,5,0,2,1,3,16.7,11,1.0
Quinn Ewers,127253,QB,TEXAS,1,2.33,2.0,3.17,4.8,28,311,77.8,18,19,4.1,1.82,1,0,0.0,73.7,14,3,0.0,20,71.4,0,10,,,,67.2,61.6,72.5,61.3,,,,,0,0,21,33.3,124.7,5.0,1,0,0,0,1,0,0.0,199,10.5,100.0,4,4,15.0,3.6,0,1,20.0,100.0,4,3,0.0,8,28.6,0,5,,,,65.1,90.7,69.8,87.8,,,68.9,,0,0,9,66.7,118.8,25.0,2,2,0,0,0,0,0.0,94,23.5
Reese Poffenbarger,145346,QB,ALBANY,1,2.63,2.57,3.1,,28,106,84.6,13,14,4.8,1.88,1,0,0.0,57.1,8,0,27.3,14,50.0,3,2,,,,66.7,66.5,71.8,66.1,,,,,0,1,17,,68.5,0.0,0,0,0,0,1,0,0.0,83,5.9,50.0,10,11,16.0,3.37,0,1,7.7,27.3,3,7,40.0,14,50.0,2,1,,,,66.5,60.8,71.8,57.4,,,64.2,,0,0,17,42.9,76.3,21.4,3,0,0,1,1,1,5.9,50,4.5
Matthew Sluka,143059,QB,HOLY CROSS,1,2.81,2.71,2.8,5.5,28,181,75.0,12,12,7.1,1.98,0,0,0.0,75.0,9,0,0.0,12,42.9,0,7,,,,66.2,84.5,71.2,83.7,,,,,0,0,14,,120.5,0.0,0,0,0,0,1,0,0.0,81,6.8,61.5,13,14,15.2,3.44,1,1,6.3,57.1,8,4,0.0,16,57.1,0,5,,,,66.8,73.9,72.0,75.8,,,57.3,,0,0,18,25.0,123.5,6.3,1,1,0,0,3,0,0.0,115,8.2
Keyone Jenkins,170403,QB,FIU,1,3.51,3.04,3.98,6.2,28,166,55.6,9,9,6.2,2.0,0,0,0.0,44.4,4,3,20.0,9,32.1,1,1,,,,65.1,44.0,69.8,44.2,,,,,0,0,9,0.0,55.3,0.0,0,0,0,0,0,0,0.0,35,3.9,60.0,10,12,14.2,4.23,0,1,7.1,41.7,5,10,16.7,19,67.9,1,5,,,,24.3,57.9,72.5,53.3,,,66.4,,0,1,21,40.0,36.1,21.1,4,3,0,2,0,2,9.5,98,8.2
Bret Bushka,108927,QB,BUTLER,1,3.24,2.36,7.4,6.1,27,127,64.3,14,14,7.7,1.7,0,0,0.0,64.3,9,1,0.0,14,51.9,0,1,,,,66.2,49.4,71.2,49.4,,,,,0,0,14,0.0,68.2,0.0,0,0,0,0,0,0,0.0,42,3.0,60.0,5,7,14.0,4.9,1,1,12.5,28.6,2,5,33.3,13,48.1,1,4,,,,66.2,51.4,71.2,49.0,,,59.5,,0,1,14,20.0,0.0,7.7,1,5,0,1,0,1,7.1,20,2.9
Spencer Rattler,97408,QB,S CAROLINA,1,2.94,2.32,4.28,5.3,27,289,90.9,11,11,5.6,1.59,0,1,9.1,90.9,10,1,0.0,12,44.4,0,5,,,,65.8,83.1,70.7,82.5,,,,,0,0,12,100.0,149.1,8.3,1,0,0,0,1,0,0.0,144,13.1,100.0,9,9,6.4,4.01,0,0,0.0,88.9,8,9,11.1,15,55.6,1,5,,,,66.5,86.8,71.6,77.1,,,75.8,,0,0,16,33.3,158.3,20.0,3,3,0,0,2,0,0.0,144,16.0
Carter Peevy,129563,QB,MERCER,1,3.01,2.16,3.0,4.74,27,219,75.0,12,12,4.8,1.69,0,1,7.7,75.0,9,1,0.0,12,44.4,0,3,,,,66.0,71.2,71.0,70.8,,,,,0,0,13,0.0,116.7,0.0,0,0,0,0,1,1,7.7,70,5.8,50.0,4,4,21.5,4.07,0,1,20.0,50.0,2,10,0.0,15,55.6,0,5,,,,66.7,73.2,71.8,73.4,,,64.2,,0,0,17,30.0,95.8,20.0,3,8,0,0,0,0,0.0,53,13.3
Jayden Maiava,158135,QB,UNLV,1,2.2,2.2,,,27,325,82.4,17,17,5.2,1.7,0,0,0.0,76.5,13,3,7.1,17,63.0,1,8,,,,66.7,84.2,71.8,83.4,,,,,0,0,17,0.0,107.2,0.0,0,0,0,0,0,0,0.0,169,9.9,30.0,10,10,15.9,3.04,0,0,0.0,20.0,2,5,33.3,10,37.0,1,1,,,,65.8,31.2,70.7,31.8,,,,,0,1,12,0.0,0.0,0.0,0,0,0,0,0,2,16.7,21,2.1
Bryson Daily,147303,QB,ARMY,1,2.71,2.42,3.23,4.23,27,114,46.2,13,14,11.3,1.84,1,0,0.0,42.9,6,2,0.0,14,51.9,0,2,,,,66.5,30.3,71.6,30.8,,,,,0,1,16,0.0,20.8,0.0,0,0,0,0,0,1,6.3,43,3.1,50.0,6,7,21.0,3.65,0,1,12.5,42.9,3,8,0.0,13,48.1,0,2,,,,20.6,29.5,71.2,31.6,,,50.1,,1,1,14,37.5,89.9,23.1,3,3,0,0,1,2,14.3,104,14.9
Jack Plummer,83543,QB,LOUISVILLE,1,2.9,2.52,3.9,5.4,26,210,100.0,6,7,-2.0,1.66,0,0,0.0,85.7,6,0,0.0,7,26.9,0,2,,,,64.9,64.0,69.5,63.7,,,,,0,0,8,,79.2,0.0,0,0,0,1,0,0,0.0,17,2.4,92.3,13,14,17.8,3.36,0,5,33.3,85.7,12,6,0.0,19,73.1,0,12,,,,21.2,94.7,72.4,94.0,,,69.5,,0,0,20,50.0,158.3,15.8,3,2,0,1,5,1,5.0,371,26.5
Michael Penix Jr.,82134,QB,WASHINGTON,1,3.22,3.08,,6.7,26,340,77.8,9,9,9.0,2.09,0,1,11.1,77.8,7,0,0.0,9,34.6,0,5,,,,65.1,83.0,69.8,82.3,,,,,0,0,9,,145.1,0.0,0,0,0,0,3,0,0.0,84,9.3,80.0,15,16,17.0,3.81,0,3,17.6,75.0,12,7,0.0,17,65.4,0,9,,,,66.8,94.2,72.0,93.7,,,63.1,,0,1,18,0.0,111.5,0.0,0,1,0,1,1,1,5.6,220,13.8
Zolten Osborne,178620,QB,CHARLES SO,1,2.85,2.7,3.1,4.45,26,135,88.9,9,9,3.7,1.88,0,0,0.0,88.9,8,0,0.0,9,34.6,0,1,,,,65.1,66.3,69.8,66.0,,,,,0,0,9,,80.1,0.0,0,0,0,0,0,0,0.0,29,3.2,30.8,13,14,14.4,3.36,1,0,0.0,21.4,3,10,25.0,17,65.4,1,4,,,,66.7,31.7,71.8,29.8,,,61.3,,0,1,17,10.0,13.1,5.9,1,2,0,0,0,2,11.8,53,3.8
Rob McCoy,108989,QB,SACR HEART,1,2.23,2.07,2.6,3.8,26,280,62.5,16,16,11.3,1.79,0,1,5.6,62.5,10,1,0.0,16,61.5,0,7,,,,66.8,54.2,72.0,54.2,,,,,0,0,18,0.0,103.6,0.0,0,0,0,0,1,1,5.6,110,6.9,57.1,7,7,21.6,2.93,0,2,28.6,57.1,4,2,0.0,10,38.5,0,3,,,,65.4,77.8,70.1,84.3,,,54.4,,0,0,10,50.0,133.9,10.0,1,2,0,0,1,0,0.0,75,10.7
Pauly Seeley V,178692,QB,WOFFORD,1,3.2,3.12,2.0,4.65,26,350,87.5,8,9,3.1,1.95,1,0,0.0,77.8,7,3,0.0,10,38.5,0,1,,,,65.4,63.7,70.1,63.4,,,,,0,0,10,33.3,84.3,10.0,1,0,0,0,0,0,0.0,38,4.2,84.6,13,14,6.4,3.98,0,1,6.3,71.4,10,6,9.1,16,61.5,1,8,,,,22.9,73.1,72.0,72.6,,,61.6,,1,0,18,0.0,102.7,0.0,0,2,0,0,0,2,11.1,138,9.9
Ethan Hampton,145858,QB,N ILLINOIS,1,2.62,2.5,,3.47,26,254,90.9,11,12,6.1,2.05,0,0,0.0,66.7,8,3,20.0,13,50.0,2,4,,,,20.0,58.9,71.0,68.4,,,49.9,,1,1,13,0.0,76.0,0.0,0,1,0,0,1,2,15.4,73,6.1,50.0,10,11,5.9,3.18,0,0,0.0,45.5,5,6,0.0,13,50.0,0,3,,,,66.0,36.6,71.0,29.1,,,68.5,,1,1,13,0.0,14.6,0.0,0,2,0,0,0,1,7.7,24,2.2
Sam Hartman,77618,QB,NOTRE DAME,1,2.84,2.69,,6.5,26,258,72.7,11,12,6.9,1.99,1,0,0.0,66.7,8,1,0.0,12,46.2,0,5,,,,65.8,49.5,70.7,49.6,,,,,0,0,12,0.0,77.4,0.0,0,0,0,0,0,1,8.3,57,4.8,81.8,11,13,9.5,3.56,1,1,7.1,69.2,9,7,0.0,14,53.8,0,7,,,,66.4,77.3,71.4,80.6,,,56.2,,1,0,15,0.0,123.2,0.0,0,1,0,0,1,0,0.0,118,9.1
CJ Montes,146114,QB,FORDHAM,1,2.62,2.4,4.3,4.2,25,168,76.9,13,13,6.8,1.72,0,0,0.0,69.2,9,0,10.0,13,52.0,1,4,,,,66.0,54.3,71.0,54.2,,,,,0,0,13,,126.4,0.0,0,0,0,0,1,0,0.0,128,9.8,75.0,8,9,15.3,3.6,0,0,0.0,55.6,5,3,16.7,12,48.0,1,4,,,,66.0,60.0,71.0,66.3,,,51.2,,0,0,13,33.3,128.0,8.3,1,2,0,1,1,0,0.0,92,10.2
Nicco Marchiol,157363,QB,W VIRGINIA,1,2.72,2.56,3.0,3.73,25,343,80.0,10,10,2.7,1.89,0,0,0.0,70.0,7,0,12.5,10,40.0,1,2,,,,65.6,56.6,70.4,56.5,,,,,0,1,11,,72.5,0.0,0,0,0,0,1,0,0.0,44,4.4,54.5,11,11,17.0,3.27,0,0,0.0,45.5,5,7,16.7,15,60.0,1,2,,,,67.0,49.3,72.2,46.1,,,62.1,,0,1,19,14.3,15.0,6.7,1,3,0,0,0,1,5.3,34,3.1
TJ Goodwin,100826,QB,LINCOK,1,2.71,2.2,3.34,4.57,25,1452,58.3,12,12,5.1,1.83,0,0,0.0,50.0,6,3,14.3,13,52.0,1,0,,,,66.2,47.9,71.2,47.9,,,,,0,0,14,33.3,56.3,7.7,1,0,0,0,0,0,0.0,12,1.0,25.0,4,5,12.0,3.67,0,0,0.0,20.0,1,9,0.0,12,48.0,0,0,,,,20.6,27.3,71.2,25.5,,,57.0,,0,0,14,44.4,39.6,33.3,4,3,0,1,0,2,14.3,6,1.2
Grant Gunnell,98367,QB,SM HOUSTON,1,2.52,2.4,3.35,3.4,25,281,92.3,13,14,1.5,1.89,1,0,0.0,78.6,11,2,8.3,14,56.0,1,1,,,,66.5,58.8,71.6,58.6,,,,,0,1,16,0.0,61.9,0.0,0,0,0,0,0,1,6.3,84,6.0,57.1,7,8,12.1,3.33,0,1,11.1,37.5,3,6,25.0,11,44.0,1,2,,,,65.8,68.3,70.7,64.9,,,63.1,,0,0,12,33.3,45.8,18.2,2,1,0,1,0,1,8.3,16,2.0
Derek Robertson,142298,QB,MAINE,1,2.49,2.19,4.73,,25,212,64.3,14,15,5.9,1.81,1,0,0.0,53.3,8,4,11.1,15,60.0,1,3,,,,66.4,50.1,71.4,50.1,,,,,0,1,15,0.0,33.8,0.0,0,0,0,0,0,1,6.7,54,3.6,66.7,6,7,20.7,3.51,0,1,12.5,28.6,2,4,50.0,10,40.0,2,3,,,,65.6,67.9,70.4,67.5,,,,,0,0,11,75.0,45.5,30.0,3,0,0,1,0,0,0.0,31,4.4
Corey Fields Jr.,78539,QB,SCAR STATE,1,2.82,2.62,,5.2,25,290,100.0,8,8,-0.1,1.68,0,0,0.0,100.0,8,0,0.0,8,32.0,0,6,,,,64.9,72.5,69.5,72.1,,,,,0,0,8,,112.0,0.0,0,0,0,0,0,0,0.0,87,10.9,66.7,15,15,19.3,3.36,0,3,18.8,66.7,10,4,0.0,17,68.0,0,8,,,,66.8,87.0,72.0,90.5,,,52.6,,0,1,18,0.0,121.5,0.0,0,2,0,0,3,1,5.6,207,13.8
J.J. McCarthy,144918,QB,MICHIGAN,1,2.78,2.48,4.1,4.6,25,222,80.0,10,10,5.4,1.94,0,0,0.0,80.0,8,1,0.0,10,40.0,0,5,,,,65.4,62.2,70.1,62.0,,,,,0,0,10,0.0,143.8,0.0,0,0,0,0,1,0,0.0,105,10.5,63.6,11,11,12.5,3.34,0,1,9.1,63.6,7,5,0.0,15,60.0,0,6,,,,66.5,68.0,71.6,64.4,,,65.7,,0,0,16,40.0,96.4,13.3,2,2,0,0,0,0,0.0,109,9.9
Taylen Green,145996,QB,BOISE ST,1,2.54,2.49,2.3,3.8,24,120,56.3,16,16,9.5,1.86,0,1,5.9,56.3,9,4,0.0,17,70.8,0,5,,,,66.8,60.3,72.0,60.0,,,,,0,0,18,25.0,98.7,5.9,1,0,0,0,1,0,0.0,111,6.9,60.0,5,6,10.6,4.19,0,0,0.0,50.0,3,4,0.0,7,29.2,0,2,,,,64.6,45.5,69.1,47.5,,,57.8,,1,0,7,0.0,79.2,0.0,0,1,0,0,0,0,0.0,51,8.5
Tyler Van Dyke,122225,QB,MIAMI FL,1,1.84,1.84,,,24,220,84.2,19,19,6.0,1.54,0,1,5.0,78.9,15,1,6.3,19,79.2,1,9,,,,67.1,73.2,72.4,72.7,,,,,0,0,20,0.0,147.3,0.0,0,0,0,0,3,0,0.0,187,9.8,60.0,5,5,7.6,2.98,0,0,0.0,40.0,2,1,33.3,5,20.8,1,2,,,,63.8,72.2,68.1,71.8,,,,,0,0,5,0.0,62.9,0.0,0,0,0,0,0,0,0.0,33,6.6
Jordan Cooke,175116,QB,IDAHO ST,1,2.53,2.53,,,24,186,50.0,12,12,7.7,1.95,0,1,6.3,50.0,6,3,0.0,12,50.0,0,4,,,,66.5,63.2,71.6,62.9,,,,,0,1,16,0.0,45.1,0.0,0,0,0,0,0,1,6.3,104,8.7,75.0,12,12,13.5,3.1,0,3,25.0,66.7,8,5,11.1,12,50.0,1,5,,,,65.8,93.9,70.7,93.6,,,,,0,0,12,0.0,128.8,0.0,0,0,0,0,1,0,0.0,125,10.4
Nate Johnson,158489,QB,UTAH,1,2.89,2.43,3.18,5.13,24,328,77.8,9,9,1.2,1.81,0,0,0.0,55.6,5,3,28.6,11,45.8,2,3,,,,18.5,59.6,70.4,59.4,,,,,0,0,11,66.7,65.5,18.2,2,0,0,0,0,1,9.1,37,4.1,57.1,7,8,14.4,3.81,0,0,0.0,50.0,4,6,0.0,13,54.2,0,6,,,,66.0,72.1,71.0,62.5,,,72.5,,0,0,13,33.3,125.0,15.4,2,3,0,1,1,0,0.0,80,10.0
Casey Case,130402,QB,STNY BROOK,1,2.3,2.25,1.9,4.0,24,303,68.8,16,16,8.8,1.96,0,1,5.6,56.3,9,2,18.2,17,70.8,2,4,,,,66.8,80.5,72.2,79.7,,,,,0,1,19,50.0,75.8,5.9,1,0,0,0,1,0,0.0,123,7.7,33.3,6,6,11.3,3.14,0,0,0.0,33.3,2,1,0.0,7,29.2,0,1,,,,64.6,28.9,69.1,29.7,,,56.3,,0,1,7,0.0,11.8,0.0,0,1,0,0,0,1,14.3,31,5.2
Maverick McIvor,99476,QB,ABILENE CH,1,2.62,2.58,2.93,,24,100,66.7,12,12,5.4,1.88,0,0,0.0,66.7,8,3,0.0,13,54.2,0,3,,,,66.0,66.5,71.2,66.2,,,,,0,0,14,33.3,71.5,7.7,1,0,0,0,0,0,0.0,40,3.3,57.1,7,9,15.1,3.49,1,1,11.1,44.4,4,7,0.0,11,45.8,0,3,,,,15.6,57.2,70.4,57.0,,,,,0,0,11,28.6,78.0,18.2,2,0,0,1,0,2,18.2,84,9.3
Owen McCown,157688,QB,UTSA,1,2.25,2.0,3.3,3.8,24,331,93.3,15,15,2.5,1.65,0,0,0.0,93.3,14,2,0.0,15,62.5,0,7,,,,66.4,68.0,71.4,67.6,,,,,0,0,15,0.0,140.4,0.0,0,0,0,0,2,0,0.0,123,8.2,80.0,5,5,6.2,3.27,0,0,0.0,80.0,4,7,0.0,9,37.5,0,4,,,,16.7,45.7,69.8,30.6,,,70.4,,0,1,9,28.6,66.3,22.2,2,2,0,0,0,2,22.2,47,9.4
Jalon Jones,104762,QB,CHARLOTTE,1,3.09,2.71,3.07,5.43,24,136,83.3,6,7,5.5,1.99,0,0,0.0,71.4,5,4,0.0,8,33.3,0,1,,,,65.1,65.8,69.8,65.5,,,,,0,0,9,25.0,74.1,12.5,1,0,0,1,0,0,0.0,19,2.7,75.0,8,9,7.4,3.89,0,1,11.1,66.7,6,9,0.0,15,62.5,0,4,,,,66.4,58.1,71.4,70.2,,,48.0,,0,0,15,22.2,100.2,13.3,2,4,0,1,0,0,0.0,92,10.2
Cardell Williams,156190,QB,TULSA,1,2.93,2.81,4.77,,24,320,71.4,7,8,2.1,1.79,0,0,0.0,25.0,2,1,60.0,8,33.3,3,1,,,,64.9,51.6,69.5,51.6,,,,,1,0,8,0.0,39.6,0.0,0,0,0,0,0,0,0.0,19,2.4,54.5,11,12,15.6,3.74,0,1,7.7,50.0,6,8,0.0,15,62.5,0,6,,,,66.5,34.4,71.6,34.9,,,,,1,2,16,37.5,33.0,20.0,3,0,0,0,0,4,25.0,83,6.9
Karst Hunter,103939,QB,INDIPA,1,2.42,2.21,3.8,5.4,23,919,76.9,13,13,6.4,1.64,0,0,0.0,76.9,10,0,0.0,13,56.5,0,7,,,,66.0,69.3,71.0,68.9,,,,,0,0,13,,100.5,0.0,0,0,0,0,0,0,0.0,107,8.2,75.0,8,8,13.4,3.44,0,0,0.0,75.0,6,3,0.0,10,43.5,0,6,,,,65.6,80.1,70.4,76.4,,,64.1,,0,0,11,33.3,147.9,10.0,1,1,0,0,1,0,0.0,84,10.5
Kaidon Salter,132046,QB,LIBERTY,1,3.36,3.12,,5.8,23,206,88.9,9,9,5.8,2.11,0,0,0.0,88.9,8,0,0.0,9,39.1,0,5,,,,65.1,81.0,69.8,80.4,,,,,0,0,9,,158.3,0.0,0,0,0,0,2,0,0.0,129,14.3,30.0,10,12,29.0,4.16,0,0,0.0,25.0,3,4,0.0,14,60.9,0,2,,,,21.8,50.6,71.6,50.3,,,58.6,,0,1,16,0.0,4.9,0.0,0,2,0,2,0,2,12.5,27,2.3
