player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jake Bentley,40788,QB,S ALABAMA,1,2.34,2.16,4.0,4.55,45,288,84.6,26,26,7.2,1.81,0,0,0.0,80.8,21,5,4.5,27,60.0,1,8,,,,67.9,75.6,73.4,74.9,,,,0,1,27,20.0,87.8,3.7,1,0,0,0,1,0,0.0,152,5.8,66.7,12,13,14.8,3.31,0,3,21.4,61.5,8,8,0.0,17,37.8,0,6,,,,66.8,84.8,72.0,85.7,,60.7,,0,0,18,25.0,123.7,11.8,2,2,0,1,3,0,0.0,96,7.4
Quinton Williams,102366,QB,HOWARD,1,3.15,2.77,4.63,4.6,44,184,83.3,18,18,2.4,1.88,0,0,0.0,77.8,14,0,6.7,18,40.9,1,6,,,,66.8,63.6,72.0,63.3,,,,0,0,18,,86.1,0.0,0,0,0,0,0,0,0.0,84,4.7,46.7,15,17,17.2,4.02,0,1,5.9,41.2,7,7,0.0,26,59.1,0,10,,,,67.9,64.0,73.4,58.2,,68.3,,0,0,27,57.1,88.8,15.4,4,5,0,2,1,0,0.0,134,7.9
Chevan Cordeiro,75886,QB,HAWAII,1,3.19,2.99,3.4,5.6,44,180,76.9,13,13,4.5,2.16,0,1,7.1,76.9,10,2,0.0,13,29.5,0,5,,,,66.2,75.5,71.2,75.0,,,,0,0,14,0.0,97.9,0.0,0,0,0,0,0,0,0.0,99,7.6,57.7,26,26,14.8,3.62,0,3,11.5,50.0,13,12,13.3,31,70.5,2,8,,,,68.4,74.0,74.1,75.9,,57.0,,0,1,33,16.7,97.8,6.5,2,3,0,0,3,0,0.0,197,7.6
Layne Hatcher,82068,QB,ARK STATE,1,2.91,2.68,2.8,5.9,44,113,80.0,15,16,4.1,1.95,0,0,0.0,62.5,10,3,16.7,16,36.4,2,5,,,,66.7,65.6,71.8,65.2,,,,0,1,17,0.0,48.4,0.0,0,0,0,1,0,1,5.9,78,4.9,57.9,19,22,16.0,3.46,0,0,0.0,40.9,9,17,18.2,28,63.6,2,7,,,,68.2,65.5,73.7,66.2,,58.4,,0,2,30,17.6,18.8,10.7,3,3,0,3,0,3,10.0,108,4.9
Ryan Nettles,102339,QB,ALABAMA ST,1,2.5,2.36,2.8,4.03,44,105,69.6,23,23,7.7,1.91,0,0,0.0,69.6,16,3,0.0,23,52.3,0,10,,,,67.6,62.8,73.0,62.5,,,,0,0,24,0.0,110.4,0.0,0,0,0,0,2,0,0.0,118,5.1,64.3,14,15,17.2,3.15,0,4,26.7,53.3,8,11,11.1,21,47.7,1,6,,,,67.1,76.4,72.5,78.1,,59.4,,0,1,21,27.3,75.4,14.3,3,3,0,1,1,2,9.5,124,8.3
Steven Duncan,40211,QB,TARLETON,1,2.31,2.31,2.3,,44,401,61.3,31,31,12.6,2.0,0,5,15.6,54.8,17,10,10.5,32,72.7,2,11,,,,68.5,77.8,74.1,77.0,,,,0,0,33,10.0,114.7,3.1,1,0,0,0,3,0,0.0,258,8.3,81.8,11,12,18.5,3.16,0,4,28.6,66.7,8,6,11.1,12,27.3,1,6,,,,66.2,91.7,71.2,91.4,,,,0,0,14,0.0,135.8,0.0,0,0,0,1,1,0,0.0,145,12.1
Daniel Smith,88625,QB,VILLANOVA,1,2.82,2.58,4.85,4.15,44,334,75.0,20,21,6.7,2.05,1,0,0.0,57.1,12,7,20.0,21,47.7,3,7,,,,67.5,67.3,72.8,66.8,,,,0,2,23,0.0,49.8,0.0,0,0,0,0,1,2,8.7,120,5.7,64.7,17,17,18.0,3.53,0,1,5.6,35.3,6,9,45.5,23,52.3,5,4,,,,67.6,54.1,73.0,52.7,,60.9,,0,2,24,22.2,24.3,8.7,2,4,0,0,0,2,8.3,132,7.8
Will Plummer,131592,QB,ARIZONA,1,2.94,2.87,2.68,3.64,43,109,75.0,16,16,5.1,1.86,0,0,0.0,68.8,11,2,8.3,17,39.5,1,6,,,,66.8,67.0,72.0,66.6,,,,0,0,18,50.0,84.9,5.9,1,0,0,0,0,0,0.0,98,6.1,71.4,14,18,16.1,3.64,0,2,11.1,50.0,9,15,10.0,26,60.5,1,11,,,,67.8,85.2,73.3,84.5,,65.5,,0,0,26,20.0,81.7,11.5,3,5,0,4,0,0,0.0,164,9.1
Eric Schmid,66632,QB,SM HOUSTON,1,2.81,2.59,3.7,4.73,43,281,88.9,18,18,4.3,1.66,0,0,0.0,83.3,15,2,6.3,18,41.9,1,8,,,,67.1,58.5,72.4,58.3,,,,0,1,20,0.0,111.8,0.0,0,0,0,0,3,2,10.0,124,6.9,64.7,17,20,13.5,3.64,0,4,18.2,55.0,11,12,0.0,25,58.1,0,8,,,,67.9,69.9,73.8,69.3,,62.7,,0,0,27,8.3,119.4,4.0,1,4,0,3,2,1,3.7,183,9.2
Will Rogers,124184,QB,MISS STATE,1,2.44,2.25,2.9,5.75,43,227,100.0,21,21,1.1,1.6,0,0,0.0,95.2,20,1,4.8,22,51.2,1,5,,,,67.7,76.3,73.1,75.7,,,,0,0,25,100.0,109.5,4.5,1,0,0,0,1,0,0.0,136,6.5,88.9,18,18,6.9,3.32,0,1,5.6,88.9,16,5,0.0,21,48.8,0,11,,,,67.2,80.3,72.5,85.6,,51.8,,0,0,21,20.0,114.8,4.8,1,2,0,0,0,0,0.0,208,11.6
