player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
D'Wan Mathis,99130,QB,TEMPLE,1,2.09,2.04,5.2,,23,306,75.0,16,16,7.3,1.79,0,1,5.9,62.5,10,3,16.7,16,69.6,2,5,,,,,66.7,67.1,71.8,,66.7,,,,,,0,1,17,0.0,89.6,0.0,0,0,0,0,1,0,0.0,156,9.8,60.0,5,5,7.8,3.22,0,0,0.0,40.0,2,1,33.3,6,26.1,1,1,,,,,64.6,58.4,69.1,,58.2,,,,,,0,1,7,100.0,18.3,16.7,1,0,0,0,0,0,0.0,27,5.4
Chance Nolan,78493,QB,OREGON ST,1,2.85,2.56,4.5,4.9,22,265,75.0,8,8,7.9,2.08,0,1,12.5,75.0,6,0,0.0,8,36.4,0,3,,,,,64.9,91.0,69.5,,90.8,,,,,,0,0,8,,149.0,0.0,0,0,0,0,1,0,0.0,86,10.8,88.9,9,11,8.9,3.29,0,1,8.3,72.7,8,6,0.0,14,63.6,0,6,,,,,20.6,52.5,71.4,,54.6,,,57.3,,,1,0,15,33.3,139.2,14.3,2,1,0,1,1,1,6.7,122,11.1
Mikey Keene,70961,QB,UCF,1,2.62,2.4,3.0,6.7,22,323,91.7,12,13,3.4,1.67,1,1,7.7,69.2,9,0,18.2,13,59.1,2,5,,,,,66.0,87.3,71.0,,86.5,,,,,,0,0,13,,102.4,0.0,0,0,0,0,1,0,0.0,53,4.1,66.7,6,7,18.5,4.0,0,1,14.3,42.9,3,4,25.0,9,40.9,1,2,,,,,65.1,55.7,69.8,,50.1,,,64.0,,,0,1,9,25.0,10.7,11.1,1,1,0,1,0,1,11.1,18,2.6
Frank Harris,60586,QB,UTSA,1,2.65,2.46,4.9,4.0,21,331,83.3,12,12,8.8,1.75,0,0,0.0,75.0,9,3,10.0,12,57.1,1,5,,,,,66.2,87.2,71.2,,86.4,,,,,,0,0,14,0.0,127.8,0.0,0,0,0,0,1,0,0.0,102,8.5,75.0,4,7,16.5,3.84,0,1,11.1,42.9,3,6,0.0,9,42.9,0,4,,,,,65.6,60.9,70.4,,55.8,,,64.3,,,1,0,11,16.7,129.5,11.1,1,1,0,2,1,1,9.1,91,13.0
Mike Chandler II,139371,QB,LAMAR,1,2.9,2.38,3.65,5.2,21,204,70.0,10,10,5.8,1.81,0,0,0.0,50.0,5,3,28.6,10,47.6,2,1,,,,,65.4,66.5,70.1,,66.2,,,,,,0,0,10,0.0,110.4,0.0,0,0,0,0,1,0,0.0,80,8.0,66.7,6,6,17.0,3.89,0,1,16.7,66.7,4,8,0.0,11,52.4,0,5,,,,,65.6,72.9,70.4,,79.4,,,55.8,,,0,0,11,25.0,149.3,18.2,2,3,0,0,1,1,9.1,75,12.5
Darius Perrantes,103934,QB,DUQUESNE,1,3.19,2.54,5.15,6.75,21,155,50.0,8,10,11.8,1.73,2,0,0.0,30.0,3,2,25.0,10,47.6,1,0,,,,,65.6,40.4,70.4,,40.7,,,,,,0,0,11,0.0,39.6,0.0,0,0,0,0,0,0,0.0,8,0.8,71.4,7,7,9.4,4.52,0,0,0.0,57.1,4,6,20.0,11,52.4,1,3,,,,,18.5,39.8,70.4,,61.7,,,33.5,,,0,1,11,33.3,35.1,18.2,2,2,0,0,0,2,18.2,42,6.0
Kyle Vantrease,55029,QB,BUFFALO,1,2.7,2.59,,4.9,21,126,62.5,8,8,4.0,1.79,0,0,0.0,62.5,5,1,0.0,8,38.1,0,4,,,,,65.1,43.0,69.8,,43.2,,,,,,0,0,9,0.0,124.0,0.0,0,0,0,0,1,0,0.0,58,7.3,83.3,12,12,9.9,3.25,0,1,8.3,83.3,10,4,0.0,13,61.9,0,8,,,,,66.0,87.8,71.0,,84.4,,,64.1,,,0,0,13,0.0,158.3,0.0,0,1,0,0,2,0,0.0,183,15.3
Shannon Patrick,82081,QB,BETH COOK,1,2.23,2.15,3.9,,21,119,41.7,12,14,14.5,1.92,0,2,14.3,28.6,4,6,20.0,14,66.7,1,2,,,,,66.2,66.9,71.2,,66.5,,,,,,0,1,14,0.0,12.5,0.0,0,0,0,2,0,1,7.1,51,3.6,50.0,6,6,21.8,2.84,0,2,33.3,50.0,3,2,0.0,7,33.3,0,2,,,,,64.6,69.5,69.1,,69.1,,,,,,0,1,7,50.0,91.0,14.3,1,0,0,0,1,1,14.3,68,11.3
Zeb Noland,40508,QB,S CAROLINA,1,2.54,2.44,2.98,4.5,20,289,100.0,4,4,-0.8,1.84,0,0,0.0,100.0,4,2,0.0,5,25.0,0,0,,,,,63.8,62.1,68.1,,61.9,,,,,,0,0,5,50.0,79.2,20.0,1,0,0,0,0,0,0.0,6,1.5,50.0,6,7,11.5,3.19,0,0,0.0,28.6,2,10,33.3,13,65.0,1,1,,,,,66.2,58.5,71.2,,49.2,,,70.9,,,0,0,14,40.0,39.6,30.8,4,2,0,1,0,0,0.0,20,2.9
Bryce Corriston,139140,QB,WOFFORD,1,2.85,2.68,,4.35,19,350,81.8,11,11,1.3,1.45,0,0,0.0,63.6,7,1,22.2,11,57.9,2,4,,,,,65.6,76.9,70.4,,76.4,,,,,,0,0,11,0.0,100.2,0.0,0,0,0,0,1,0,0.0,39,3.5,50.0,4,6,18.3,4.79,0,0,0.0,16.7,1,6,50.0,8,42.1,1,2,,,,,15.7,59.2,69.5,,58.6,,,60.3,,,0,0,8,0.0,40.3,0.0,0,2,0,2,0,1,12.5,19,3.2
Quincy Patterson II,77626,QB,N DAK ST,1,3.34,3.04,4.6,5.1,19,250,50.0,4,4,2.5,2.08,0,0,0.0,50.0,2,1,0.0,4,21.1,0,0,,,,,63.8,45.3,68.1,,45.5,,,,,,0,0,5,0.0,56.3,0.0,0,0,0,0,0,0,0.0,7,1.8,36.4,11,12,20.0,3.67,0,2,15.4,25.0,3,8,25.0,15,78.9,1,3,,,,,66.5,53.9,71.6,,52.3,,,61.6,,,0,1,16,12.5,16.7,6.7,1,2,0,1,0,2,12.5,70,5.8
Cole Copeland,63563,QB,CHATTNOOGA,1,3.05,2.42,5.15,4.6,19,137,100.0,7,7,6.3,1.94,0,0,0.0,85.7,6,2,14.3,8,42.1,1,5,,,,,64.9,79.7,69.5,,79.1,,,,,,0,0,8,50.0,158.3,12.5,1,0,0,0,2,0,0.0,189,27.0,71.4,7,7,13.3,3.86,0,0,0.0,71.4,5,4,0.0,11,57.9,0,2,,,,,65.8,56.0,70.7,,57.0,,,58.0,,,0,1,12,25.0,64.9,9.1,1,3,0,0,0,1,8.3,72,10.3
KJ Jefferson,99129,QB,ARKANSAS,1,2.38,2.23,4.9,,18,111,75.0,12,12,9.9,1.88,0,2,16.7,50.0,6,4,33.3,12,66.7,3,6,,,,,65.8,90.7,70.7,,90.4,,,,,,0,0,12,0.0,125.0,0.0,0,0,0,0,3,0,0.0,120,10.0,100.0,5,5,21.0,3.37,0,2,40.0,80.0,4,2,20.0,6,33.3,1,3,,,,,13.4,79.8,68.6,,79.2,,,,,,0,0,6,50.0,158.3,16.7,1,0,0,0,1,1,16.7,74,14.8
Jeff Miller,87545,QB,TOWSON,1,2.23,2.22,2.3,,18,317,81.8,11,11,7.4,1.8,0,0,0.0,81.8,9,1,0.0,12,66.7,0,5,,,,,19.6,46.2,70.7,,46.3,,,,,,0,0,12,100.0,100.0,8.3,1,0,0,0,0,1,8.3,88,8.0,66.7,6,6,9.3,3.08,0,0,0.0,50.0,3,1,25.0,6,33.3,1,2,,,,,64.2,37.1,68.6,,37.4,,,,,,0,1,6,0.0,28.5,0.0,0,0,0,0,0,1,16.7,35,5.8
