player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Brayden Schager,146078,QB,HAWAII,1,2.65,2.44,,5.7,46,180,95.7,23,23,1.4,1.78,0,0,0.0,95.7,22,2,0.0,23,50.0,0,13,,,,67.5,79.6,72.8,78.9,,,,0,0,23,0.0,123.4,0.0,0,0,0,0,2,0,0.0,153,6.7,75.0,20,20,13.6,3.53,0,3,15.0,65.0,13,10,13.3,23,50.0,2,11,,,,67.5,93.3,72.8,92.0,,,75.3,0,2,23,0.0,96.0,0.0,0,3,0,0,2,1,4.3,221,11.1
E.J. Warner,156185,QB,RICE,1,2.57,2.59,,4.4,45,275,88.0,25,25,7.0,1.93,0,1,3.8,72.0,18,1,18.2,25,55.6,4,7,,,,67.8,92.5,73.3,92.1,,,,0,1,26,0.0,73.8,0.0,0,0,0,0,0,0,0.0,170,6.8,55.6,18,18,7.9,3.56,0,0,0.0,55.6,10,7,0.0,19,42.2,0,4,,,,67.1,64.5,72.4,64.1,,,60.6,0,1,20,0.0,77.3,0.0,0,1,0,0,2,0,0.0,65,3.6
Josh Hoover,127148,QB,TCU,1,2.52,2.48,2.7,4.1,45,305,90.5,21,21,6.1,1.82,0,2,8.7,76.2,16,2,15.8,21,46.7,3,9,,,,67.5,89.5,72.8,88.6,,,,0,0,23,0.0,118.0,0.0,0,0,0,0,1,0,0.0,184,8.8,68.4,19,22,13.5,3.14,1,1,4.3,54.5,12,8,7.7,24,53.3,1,8,,,,67.6,63.3,73.1,64.6,,,57.3,1,2,25,12.5,80.1,4.2,1,1,0,1,2,2,8.0,212,9.6
Grant Sergent,108937,QB,SAN DIEGO,1,2.7,2.55,2.8,4.73,44,283,57.9,19,19,9.5,1.95,0,1,5.0,47.4,9,2,18.2,19,43.2,2,5,,,,67.1,54.5,72.4,54.4,,,,0,2,20,0.0,56.8,0.0,0,0,0,0,2,2,10.0,90,4.7,76.5,17,21,12.1,3.27,0,1,4.5,57.1,12,16,7.7,25,56.8,1,9,,,,26.3,67.4,73.3,81.0,,,33.5,2,0,26,6.3,80.1,4.0,1,3,0,2,0,1,3.8,153,7.3
Jameson Wang,148782,QB,CORNELL,1,2.72,2.29,,5.0,44,147,82.6,23,23,5.8,1.94,0,1,4.3,73.9,17,2,10.5,23,52.3,2,8,,,,67.5,89.1,72.8,88.2,,,,0,0,23,0.0,128.6,0.0,0,0,0,0,3,0,0.0,140,6.1,78.6,14,14,9.0,3.57,0,2,14.3,78.6,11,7,0.0,21,47.7,0,7,,,,67.2,70.2,72.5,84.0,,,49.1,0,0,21,0.0,118.5,0.0,0,7,0,0,0,0,0.0,174,12.4
Garrett Nussmeier,146757,QB,LSU,1,2.58,2.58,,,44,211,77.3,22,22,7.1,1.87,0,1,4.2,72.7,16,2,5.9,22,50.0,1,7,,,,67.6,71.9,73.0,71.3,,,,0,0,24,0.0,115.7,0.0,0,0,0,0,2,0,0.0,120,5.5,80.0,20,22,11.4,3.28,0,1,4.3,72.7,16,5,0.0,22,50.0,0,11,,,,67.5,88.9,72.8,87.9,,,,0,0,23,0.0,121.8,0.0,0,0,0,2,1,0,0.0,232,10.5
Nicholas Vattiato,145302,QB,MIDDLE TN,1,2.3,1.87,3.52,3.63,44,224,91.7,24,25,2.3,1.57,1,0,0.0,76.0,19,4,13.6,25,56.8,3,7,,,,67.9,78.1,73.4,77.4,,,,0,0,27,0.0,83.6,0.0,0,0,0,0,0,0,0.0,109,4.4,42.9,7,8,9.0,3.26,0,0,0.0,25.0,2,13,33.3,19,43.2,1,3,,,,12.1,25.7,72.4,23.5,,,57.7,0,1,20,38.5,39.6,26.3,5,6,0,1,1,4,20.0,18,2.3
Blaine Hipa,167662,QB,PRINCETON,1,2.93,2.8,3.77,,44,272,66.7,12,14,7.3,1.77,2,1,7.1,57.1,8,2,0.0,15,34.1,0,3,,,,66.4,44.5,71.4,44.6,,,,0,0,15,50.0,69.9,6.7,1,0,0,0,0,1,6.7,68,4.9,42.9,21,24,17.0,3.53,0,4,15.4,33.3,8,15,11.1,29,65.9,1,7,,,,68.3,35.3,73.9,35.7,,,,1,3,31,33.3,44.3,17.2,5,0,0,2,2,5,16.1,151,6.3
Chandler Morris,122938,QB,N TEXAS,1,2.29,2.13,,4.53,44,251,96.3,27,28,3.4,1.44,0,2,6.5,82.1,23,4,11.5,28,63.6,3,11,,,,68.3,87.2,73.9,86.2,,,,0,0,31,0.0,112.2,0.0,0,0,0,1,1,0,0.0,226,8.1,50.0,10,13,20.1,3.78,0,1,7.7,38.5,5,9,0.0,16,36.4,0,6,,,,66.5,76.4,71.6,73.2,,,66.6,1,0,16,0.0,85.1,0.0,0,3,0,2,1,0,0.0,79,6.1
Ryan O'Connor,155510,QB,DELAWARE,1,2.48,2.52,3.2,,44,151,90.0,20,20,4.4,1.91,0,0,0.0,80.0,16,3,11.1,20,45.5,2,6,,,,67.4,63.9,72.7,63.6,,,,0,0,22,0.0,96.7,0.0,0,0,0,0,0,1,4.5,144,7.2,42.9,21,22,20.9,3.08,1,3,12.5,40.9,9,6,0.0,23,52.3,0,7,,,,67.7,65.6,73.1,65.2,,,,0,0,25,16.7,107.0,4.3,1,0,0,0,3,1,4.0,165,7.5
Kadin Semonza,174001,QB,BALL ST,1,2.18,2.03,2.65,4.7,44,117,81.3,32,32,5.8,1.84,0,2,5.6,78.1,25,4,3.8,33,75.0,1,12,,,,68.8,75.7,74.5,75.0,,,,0,0,37,25.0,133.1,3.0,1,0,0,0,3,0,0.0,270,8.4,62.5,8,8,11.8,3.22,0,0,0.0,62.5,5,8,0.0,11,25.0,0,3,,,,65.6,54.9,70.4,61.4,,,51.4,0,0,11,12.5,77.6,9.1,1,2,0,0,0,1,9.1,45,5.6
Brady Cook,124199,QB,MISSOURI,1,2.97,2.75,4.2,4.57,44,229,90.9,11,12,5.4,1.81,1,0,0.0,83.3,10,0,0.0,12,27.3,0,5,,,,66.0,78.3,71.0,77.8,,,,0,0,13,,92.7,0.0,0,0,0,0,0,0,0.0,75,6.3,64.0,25,26,10.4,3.41,1,1,3.8,50.0,13,11,18.8,32,72.7,3,9,,,,68.4,66.1,74.0,63.2,,,66.6,0,0,32,27.3,93.6,9.4,3,3,0,0,2,0,0.0,151,5.8
Ethan Garbers,131896,QB,UCLA,1,2.79,2.68,3.28,3.9,43,324,81.0,21,21,6.3,2.07,0,1,4.8,71.4,15,9,11.8,22,51.2,2,8,,,,67.4,65.7,72.7,65.3,,,,0,0,22,11.1,97.3,4.5,1,0,0,0,0,0,0.0,180,8.6,53.8,13,15,15.2,3.54,1,1,5.9,46.7,7,15,0.0,21,48.8,0,6,,,,15.1,40.4,72.8,38.0,,,63.1,0,1,23,33.3,80.8,23.8,5,1,0,1,2,3,13.0,101,6.7
Joey Aguilar,174978,QB,APP STATE,1,3.04,2.99,3.0,5.0,43,108,64.7,17,17,4.3,1.86,0,0,0.0,58.8,10,1,9.1,17,39.5,1,5,,,,66.7,65.0,71.8,64.6,,,,0,0,17,0.0,69.7,0.0,0,0,0,0,0,0,0.0,76,4.5,63.6,22,24,13.9,3.8,0,2,7.7,45.8,11,12,21.4,26,60.5,3,7,,,,68.0,57.8,73.5,59.1,,,57.3,0,1,28,8.3,69.8,3.8,1,1,0,2,1,1,3.6,190,7.9
Paxton DeLaurent,159618,QB,SE MO ST,1,2.55,2.4,5.0,4.35,43,293,72.0,25,26,9.4,1.95,0,1,3.4,65.4,17,7,5.6,26,60.5,1,12,,,,68.1,61.8,73.6,61.5,,,,0,1,29,0.0,107.7,0.0,0,0,0,1,3,2,6.9,179,6.9,64.3,14,14,15.5,3.46,0,1,5.9,57.1,8,7,11.1,17,39.5,1,6,,,,67.1,80.4,72.4,80.3,,,61.4,0,0,20,14.3,108.3,5.9,1,2,0,0,1,0,0.0,117,8.4
Jake Willcox,148649,QB,BROWN,1,2.78,2.57,3.13,4.53,42,123,64.3,14,14,10.5,1.87,0,2,12.5,64.3,9,1,0.0,15,35.7,0,5,,,,66.7,59.6,71.8,59.4,,,,0,0,17,100.0,124.1,6.7,1,0,0,0,1,1,5.9,150,10.7,53.3,15,17,15.1,3.4,0,0,0.0,41.2,7,9,12.5,26,61.9,1,7,,,,68.0,46.4,73.5,43.5,,,62.0,1,1,28,55.6,60.9,19.2,5,4,0,1,1,1,3.6,120,7.1
