player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Camden Coleman,170901,QB,RICHMOND,1,2.58,2.58,,,33,276,80.0,15,15,2.9,1.79,0,0,0.0,66.7,10,2,16.7,15,45.5,2,6,,,,66.4,59.0,71.4,58.8,,,,0,1,15,0.0,49.0,0.0,0,0,0,0,0,1,6.7,69,4.6,61.1,18,18,20.3,3.24,0,4,22.2,44.4,8,6,27.3,18,54.5,3,8,,,,66.8,89.6,72.0,88.5,,,,0,1,18,0.0,86.6,0.0,0,0,0,0,1,1,5.6,267,14.8
Trip Maxwell,175841,QB,STETSON,1,2.28,2.27,2.7,,33,302,60.0,20,21,5.8,1.89,1,0,0.0,47.6,10,1,16.7,21,63.6,2,3,,,,67.2,44.7,72.5,44.8,,,,0,1,21,0.0,34.4,0.0,0,0,0,0,0,1,4.8,60,2.9,66.7,9,11,9.9,2.98,0,1,9.1,45.5,5,6,16.7,12,36.4,1,0,,,,65.8,46.5,70.7,46.5,,,,0,1,12,16.7,14.6,8.3,1,0,0,2,0,2,16.7,25,2.3
Jaylon Tolbert,154757,QB,HOWARD,1,2.5,2.44,3.8,3.2,33,184,72.2,18,18,5.6,1.72,0,1,5.6,72.2,13,4,0.0,18,54.5,0,4,,,,66.8,72.3,72.0,71.8,,,,0,0,18,0.0,83.3,0.0,0,0,0,0,0,0,0.0,91,5.1,83.3,12,13,14.3,3.44,0,2,13.3,69.2,9,6,10.0,15,45.5,1,7,,,,66.7,91.0,71.8,90.3,,,63.2,1,1,17,16.7,79.8,6.7,1,1,0,0,0,0,0.0,178,13.7
Will Rogers,124184,QB,WASHINGTON,1,2.77,2.48,2.4,5.7,33,340,76.9,13,14,4.1,1.85,1,0,0.0,71.4,10,1,0.0,15,45.5,0,5,,,,66.4,57.1,71.4,56.9,,,,0,0,15,100.0,87.2,6.7,1,0,0,0,0,1,6.7,86,6.1,76.9,13,15,11.2,3.53,0,1,6.7,66.7,10,10,0.0,18,54.5,0,7,,,,66.8,84.8,0.0,90.6,,,58.4,0,0,18,0.0,135.3,0.0,0,3,0,2,2,0,0.0,137,9.1
Keali'i Ah Yat,178141,QB,MONTANA,1,3.16,2.68,4.2,5.07,33,232,69.2,13,14,6.1,2.04,1,0,0.0,64.3,9,0,0.0,14,42.4,0,3,,,,66.2,40.1,71.2,40.2,,,,0,1,14,,45.8,0.0,0,0,0,0,0,1,7.1,67,4.8,63.6,11,12,9.5,3.98,0,1,7.7,58.3,7,8,0.0,19,57.6,0,8,,,,67.1,87.7,72.4,72.5,,,82.3,1,0,20,12.5,77.8,5.3,1,6,0,0,0,0,0.0,78,6.5
Haynes King,124329,QB,GA TECH,1,2.48,2.38,5.6,,33,176,81.3,16,18,5.3,1.81,0,0,0.0,66.7,12,7,7.7,18,54.5,1,5,,,,67.0,72.4,72.2,71.9,,,,0,0,19,0.0,89.8,0.0,0,0,0,2,0,0,0.0,139,7.7,83.3,12,14,14.9,3.29,0,2,13.3,64.3,9,5,10.0,15,45.5,1,6,,,,66.5,87.8,71.6,87.0,,,,0,0,16,20.0,107.1,6.7,1,0,0,2,0,0,0.0,173,12.4
Luke Bailey,143172,QB,DRAKE,1,2.96,2.76,3.95,6.9,33,153,72.7,11,12,5.8,1.85,1,0,0.0,66.7,8,0,0.0,12,36.4,0,2,,,,65.8,44.8,70.7,44.9,,,,0,1,12,,42.4,0.0,0,0,0,0,0,1,8.3,56,4.7,62.5,16,18,8.5,3.6,0,0,0.0,50.0,9,9,10.0,21,63.6,1,4,,,,67.4,64.3,72.7,62.5,,,61.7,0,0,22,22.2,56.9,9.5,2,1,0,2,0,0,0.0,57,3.2
Jaxson Dart,146409,QB,OLE MISS,1,2.5,2.34,,5.05,33,226,82.4,17,17,6.6,1.69,0,1,5.6,76.5,13,3,7.1,17,51.5,1,6,,,,66.8,85.6,72.0,84.8,,,,0,0,18,0.0,129.8,0.0,0,0,0,0,1,0,0.0,181,10.6,69.2,13,14,19.9,3.36,0,3,21.4,64.3,9,2,0.0,16,48.5,0,8,,,,66.5,91.2,71.6,89.3,,,71.0,1,1,16,0.0,117.6,0.0,0,2,0,0,3,1,6.3,201,14.4
Ralph Rucker IV,144625,QB,BUCKNELL,1,2.5,2.19,4.0,5.13,33,125,84.2,19,19,6.8,1.83,0,1,5.0,84.2,16,2,0.0,19,57.6,0,10,,,,67.1,76.8,72.4,76.1,,,,0,1,20,0.0,118.9,0.0,0,0,0,0,2,1,5.0,178,9.4,71.4,7,8,23.4,3.66,0,1,10.0,62.5,5,4,0.0,13,39.4,0,4,,,,66.4,73.6,71.4,77.3,,,57.2,0,0,15,50.0,142.7,15.4,2,3,0,1,1,0,0.0,94,11.8
Myles Crawley,141731,QB,GRAMBLING,1,2.89,2.69,3.25,5.35,32,177,81.8,11,12,7.5,1.93,0,1,7.1,75.0,9,1,0.0,12,37.5,0,6,,,,66.2,82.2,71.2,81.6,,,,1,0,14,0.0,122.6,0.0,0,0,0,0,1,0,0.0,87,7.3,71.4,14,16,14.1,3.47,0,2,11.8,43.8,7,14,30.0,20,62.5,3,2,,,,67.2,72.5,72.5,71.7,,,62.0,0,0,21,14.3,59.4,10.0,2,2,0,2,0,0,0.0,80,5.0
Jack Lausch,162845,QB,NWESTERN,1,3.5,3.15,4.05,6.27,32,256,100.0,4,4,-2.5,1.65,0,0,0.0,100.0,4,0,0.0,4,12.5,0,0,,,,63.3,65.0,67.4,64.8,,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,10,2.5,40.0,20,23,10.2,3.76,0,0,0.0,17.4,4,19,50.0,28,87.5,4,4,,,,68.4,45.2,74.0,45.0,,,58.3,1,2,32,10.5,3.4,7.1,2,3,0,2,0,1,3.1,43,1.9
Beau Brungard,164897,QB,YNGTOWN ST,1,2.54,2.32,,5.5,32,353,88.2,17,19,3.8,1.72,2,1,5.0,73.7,14,1,6.7,19,59.4,1,8,,,,67.1,78.9,72.4,78.2,,,,0,0,20,0.0,139.1,0.0,0,0,0,0,2,0,0.0,185,9.7,44.4,9,9,9.7,4.07,0,0,0.0,44.4,4,8,0.0,12,37.5,0,3,,,,66.0,49.8,71.0,49.9,,,57.7,0,1,13,0.0,21.8,0.0,0,3,0,0,0,1,7.7,48,5.3
Taisun Phommachanh,99577,QB,UMASS,1,2.43,2.4,2.7,5.4,32,216,88.9,18,18,6.4,1.87,0,1,4.5,83.3,15,3,6.3,18,56.3,1,8,,,,67.4,72.7,72.7,72.1,,,,0,1,22,0.0,128.7,0.0,0,0,0,0,3,1,4.5,197,10.9,60.0,10,11,16.9,3.39,0,0,0.0,45.5,5,6,16.7,13,40.6,1,5,,,,66.5,57.7,71.6,59.2,,,57.8,0,0,16,16.7,74.1,7.7,1,1,0,1,0,1,6.3,90,8.2
Evan Simon,129906,QB,TEMPLE,1,2.61,2.33,4.1,4.57,31,306,73.3,15,16,3.3,1.84,0,0,0.0,62.5,10,3,9.1,16,51.6,1,7,,,,66.5,65.5,71.6,65.1,,,,0,0,16,0.0,102.6,0.0,0,0,0,1,1,0,0.0,106,6.6,87.5,8,11,11.3,3.42,0,2,16.7,63.6,7,10,0.0,15,48.4,0,7,,,,66.5,86.6,71.6,85.7,,,65.3,0,0,16,10.0,146.8,6.7,1,3,0,3,4,0,0.0,165,15.0
Anthony Chiccitt,141376,QB,ROB MORRIS,1,2.63,2.46,1.4,4.63,31,277,90.9,11,13,3.4,1.81,2,0,0.0,76.9,10,2,0.0,14,45.2,0,4,,,,21.3,48.1,71.4,48.1,,,,0,1,15,50.0,62.7,7.1,1,0,0,0,0,2,13.3,89,6.8,53.8,13,14,13.1,3.31,0,1,5.3,50.0,7,5,0.0,17,54.8,0,5,,,,67.4,66.5,72.7,62.8,,,66.7,0,0,22,0.0,82.4,0.0,0,3,0,1,0,1,4.5,130,9.3
Cade McConnell,73935,QB,UTEP,1,2.3,2.15,2.0,6.9,31,330,70.0,20,20,3.7,1.76,0,0,0.0,65.0,13,5,7.1,21,67.7,1,8,,,,25.1,38.1,72.7,38.3,,,,0,0,22,20.0,121.9,4.8,1,0,0,0,2,2,9.1,155,7.8,88.9,9,9,8.7,3.43,0,1,10.0,66.7,6,2,25.0,10,32.3,2,2,,,,65.6,67.7,70.4,70.5,,,57.3,0,0,11,0.0,87.7,0.0,0,1,0,0,0,1,9.1,65,7.2
DJ Smith,185876,QB,MERCER,1,2.56,1.95,4.2,5.3,31,219,88.2,17,18,1.2,1.61,1,0,0.0,72.2,13,1,13.3,18,58.1,2,6,,,,66.8,65.1,72.0,64.7,,,,0,1,18,0.0,93.5,0.0,0,0,0,0,1,0,0.0,155,8.6,85.7,7,7,12.3,3.88,0,2,22.2,85.7,6,6,0.0,13,41.9,0,8,,,,66.4,93.8,71.4,94.6,,,67.2,0,0,15,16.7,158.3,7.7,1,5,0,0,1,0,0.0,98,14.0
Jalen Daniels,191790,QB,NORFOLK,1,2.19,2.14,2.8,,31,244,86.4,22,22,6.6,1.56,0,2,9.1,77.3,17,2,10.5,22,71.0,2,9,,,,67.4,89.4,72.7,88.5,,,,0,0,22,0.0,129.9,0.0,0,0,0,0,2,0,0.0,175,8.0,60.0,5,7,15.8,3.72,0,0,0.0,42.9,3,4,0.0,9,29.0,0,2,,,,65.1,38.4,69.8,38.6,,,,0,0,9,50.0,129.5,22.2,2,0,0,2,1,1,11.1,102,14.6
Jaylen King,170801,QB,E TENN ST,1,2.72,2.53,3.0,5.2,31,157,81.8,11,11,7.3,1.72,0,0,0.0,81.8,9,1,0.0,11,35.5,0,3,,,,65.6,70.8,70.4,70.4,,,,0,0,11,0.0,94.7,0.0,0,0,0,0,0,0,0.0,74,6.7,53.3,15,17,16.8,3.27,0,1,5.6,47.1,8,6,0.0,20,64.5,0,7,,,,67.2,62.7,72.5,62.4,,,60.3,1,0,21,16.7,80.3,5.0,1,2,0,1,0,0,0.0,159,9.4
Noah Bodden,150881,QB,SOUTHERN U,1,2.63,2.68,1.1,,31,297,76.5,17,17,6.5,1.7,0,0,0.0,70.6,12,2,7.7,18,58.1,1,7,,,,66.8,81.4,72.2,80.7,,,,0,0,19,50.0,139.1,5.6,1,0,0,0,2,0,0.0,159,9.4,46.2,13,13,8.7,3.92,0,0,0.0,38.5,5,8,16.7,13,41.9,1,3,,,,66.4,47.8,71.4,47.9,,,,0,0,15,0.0,53.7,0.0,0,0,0,0,0,0,0.0,61,4.7
Jordyn Potts,174577,QB,TENN TECH,1,3.11,2.52,4.25,6.23,31,309,78.6,14,16,4.9,1.75,2,0,0.0,62.5,10,0,9.1,16,51.6,1,4,,,,66.7,63.7,71.8,63.3,,,,0,1,17,,43.8,0.0,0,0,0,0,0,0,0.0,60,3.8,50.0,6,9,16.7,4.56,0,1,11.1,22.2,2,8,33.3,15,48.4,1,3,,,,66.4,58.5,71.4,54.8,,,62.9,0,0,15,25.0,42.8,13.3,2,4,0,3,0,0,0.0,34,3.8
Athan Kaliakmanis,144971,QB,RUTGERS,1,2.68,2.44,3.1,4.3,31,278,66.7,12,12,6.2,2.11,0,1,7.7,66.7,8,2,0.0,13,41.9,0,6,,,,66.2,77.0,71.2,76.4,,,,0,0,14,50.0,106.6,7.7,1,0,0,0,0,0,0.0,141,11.8,66.7,12,13,16.2,3.1,0,0,0.0,61.5,8,10,0.0,18,58.1,0,7,,,,66.8,64.6,72.0,71.1,,,50.5,1,0,18,20.0,94.4,11.1,2,3,0,0,0,1,5.6,128,9.8
Aidan Sayin,148974,QB,PENN,1,2.48,2.37,4.0,,30,267,64.7,17,17,10.8,2.01,0,0,0.0,64.7,11,5,0.0,17,56.7,0,7,,,,66.8,64.6,72.0,64.3,,,,0,1,18,0.0,95.2,0.0,0,0,0,0,2,1,5.6,100,5.9,77.8,9,11,9.4,3.09,0,1,8.3,54.5,6,6,14.3,13,43.3,1,4,,,,66.2,78.9,71.2,78.3,,,,0,1,14,33.3,58.5,15.4,2,0,0,2,0,0,0.0,129,11.7
Arch Manning,173162,QB,TEXAS,1,2.61,2.54,4.4,,30,311,91.7,12,12,4.4,1.75,0,0,0.0,75.0,9,0,18.2,12,40.0,2,5,,,,66.0,69.2,71.0,68.8,,,,0,0,13,,127.4,0.0,0,0,0,0,1,0,0.0,101,8.4,43.8,16,17,22.4,3.18,0,1,5.3,35.3,6,6,14.3,18,60.0,1,6,,,,24.7,49.9,72.5,51.3,,,57.3,1,2,21,16.7,50.0,5.6,1,0,0,0,1,2,9.5,157,9.2
Carlos Davis,139131,QB,TOWSON,1,2.94,2.58,3.2,4.62,30,317,80.0,15,15,6.9,1.92,0,1,6.7,73.3,11,4,8.3,15,50.0,1,5,,,,66.4,39.7,71.4,39.9,,,,0,1,15,0.0,68.2,0.0,0,0,0,0,0,2,13.3,118,7.9,57.1,7,9,8.7,3.97,0,0,0.0,33.3,3,12,25.0,15,50.0,1,4,,,,66.5,57.6,71.6,52.1,,,63.3,0,0,16,8.3,42.4,6.7,1,5,0,2,0,0,0.0,17,1.9
Avery Johnson,173108,QB,KANSAS ST,1,2.96,2.87,2.5,6.0,30,199,84.6,13,14,4.2,1.87,0,0,0.0,64.3,9,2,18.2,14,46.7,2,2,,,,66.2,48.0,71.2,47.9,,,,0,1,14,0.0,47.0,0.0,0,0,0,1,0,1,7.1,71,5.1,53.8,13,14,14.6,3.91,0,0,0.0,42.9,6,9,14.3,16,53.3,1,3,,,,66.5,49.0,71.6,50.7,,,57.3,1,1,16,11.1,25.6,6.3,1,1,0,0,0,1,6.3,59,4.2
J.T. Fayard,172783,QB,NWSTATE,1,2.44,2.12,3.74,3.8,30,257,72.2,18,18,2.5,1.69,0,0,0.0,66.7,12,3,7.7,19,63.3,1,4,,,,67.1,46.0,72.4,46.0,,,,0,0,20,33.3,74.1,5.3,1,0,0,0,0,0,0.0,71,3.9,33.3,6,6,23.8,3.75,0,0,0.0,16.7,1,10,50.0,11,36.7,1,0,,,,65.8,31.2,70.7,32.6,,,57.3,0,0,12,40.0,39.6,36.4,4,1,0,0,0,1,8.3,-3,-0.5
Jake Stearney,171991,QB,COLGATE,1,2.33,2.11,4.1,6.8,30,142,63.6,22,22,8.9,1.82,0,1,4.5,59.1,13,1,7.1,22,73.3,1,7,,,,67.4,73.2,72.7,72.6,,,,0,0,22,0.0,89.8,0.0,0,0,0,0,1,0,0.0,123,5.6,80.0,5,6,12.4,3.75,0,2,33.3,66.7,4,1,0.0,8,26.7,0,3,,,,15.7,66.8,69.5,62.6,,,63.1,0,0,8,100.0,100.0,12.5,1,1,0,1,0,1,12.5,61,10.2
Kyron Drones,144506,QB,VA TECH,1,2.81,2.7,2.8,4.3,30,337,66.7,9,9,6.2,1.89,0,0,0.0,55.6,5,0,16.7,9,30.0,1,0,,,,65.6,56.5,70.4,56.4,,,,0,1,11,,21.3,0.0,0,0,0,0,0,1,9.1,23,2.6,71.4,14,18,16.7,3.21,0,1,5.6,44.4,8,11,20.0,21,70.0,2,6,,,,67.2,81.2,72.5,77.2,,,68.6,1,0,21,9.1,65.5,4.8,1,2,0,3,0,0,0.0,114,6.3
Goose Crowder,144781,QB,TROY,1,2.87,2.47,5.1,4.73,29,318,92.3,13,14,5.8,1.96,0,1,7.1,85.7,12,1,0.0,14,48.3,0,7,,,,66.2,91.0,71.2,90.8,,,,0,0,14,0.0,158.3,0.0,0,0,0,1,3,0,0.0,233,16.6,77.8,9,10,10.8,3.72,0,2,16.7,50.0,5,5,28.6,15,51.7,2,6,,,,67.0,77.4,72.2,81.2,,,59.7,0,0,19,20.0,103.3,6.7,1,4,0,1,1,0,0.0,63,6.3
Ben Finley,122864,QB,AKRON,1,2.21,2.1,3.8,3.6,29,102,65.0,20,21,1.9,1.78,1,0,0.0,57.1,12,3,7.7,21,72.4,1,3,,,,67.4,41.0,72.7,41.1,,,,0,1,22,0.0,42.4,0.0,0,0,0,0,0,1,4.5,53,2.5,33.3,6,6,18.5,3.35,0,1,16.7,33.3,2,3,0.0,8,27.6,0,2,,,,64.9,48.9,69.5,51.6,,,57.3,0,0,8,33.3,109.0,12.5,1,1,0,0,1,1,12.5,57,9.5
Jalon Daniels,122555,QB,KANSAS,1,3.29,3.1,2.95,6.0,29,198,90.0,10,10,6.4,1.92,0,0,0.0,90.0,9,0,0.0,10,34.5,0,5,,,,65.4,79.3,70.1,78.6,,,,0,0,10,,135.0,0.0,0,0,0,0,1,0,0.0,84,8.4,42.9,14,15,17.1,4.02,0,3,20.0,40.0,6,13,0.0,19,65.5,0,6,,,,28.3,47.4,72.2,46.2,,,60.8,0,1,19,15.4,35.4,10.5,2,2,0,1,0,1,5.3,100,6.7
Eli Holstein,172381,QB,PITTSBURGH,1,2.83,2.35,6.8,4.75,29,268,91.7,12,13,2.9,1.65,1,0,0.0,84.6,11,1,0.0,13,44.8,0,4,,,,66.0,68.2,71.0,67.9,,,,0,0,13,0.0,116.3,0.0,0,0,0,0,1,0,0.0,75,5.8,54.5,11,11,19.6,3.79,0,1,8.3,45.5,5,5,16.7,16,55.2,1,7,,,,27.4,66.7,71.8,54.3,,,76.8,0,0,17,20.0,131.6,6.3,1,4,0,0,2,0,0.0,172,15.6
Robby Ashford,131702,QB,S CAROLINA,1,3.1,2.52,4.2,4.86,29,289,90.9,11,11,2.7,1.63,0,0,0.0,90.9,10,0,0.0,11,37.9,0,5,,,,65.6,71.3,70.4,70.9,,,,0,0,11,,134.8,0.0,0,0,0,0,1,0,0.0,100,9.1,66.7,9,10,22.0,4.0,1,2,16.7,50.0,5,9,16.7,18,62.1,1,5,,,,67.1,84.4,72.4,88.1,,,60.7,0,0,20,33.3,129.2,16.7,3,5,0,0,1,0,0.0,143,14.3
Tyler Riddell,102355,QB,GARD-WEBB,1,2.52,2.35,3.2,4.4,29,171,80.0,15,16,2.0,1.64,1,0,0.0,75.0,12,1,0.0,16,55.2,0,7,,,,66.7,74.8,71.8,74.3,,,,0,0,17,0.0,115.4,0.0,0,0,0,0,1,0,0.0,115,7.2,77.8,9,10,19.3,3.62,0,2,16.7,70.0,7,4,0.0,13,44.8,0,6,,,,66.5,65.8,71.6,73.4,,,50.0,0,1,16,25.0,72.9,7.7,1,2,0,1,0,1,6.3,125,12.5
Brady Olson,147415,QB,CENT CT ST,1,2.61,2.33,,4.97,29,133,72.2,18,18,3.5,1.77,0,0,0.0,61.1,11,2,15.4,18,62.1,2,6,,,,67.1,56.0,72.4,55.8,,,,0,0,20,0.0,119.2,0.0,0,0,0,0,2,1,5.0,126,7.0,33.3,6,8,18.5,3.98,0,0,0.0,12.5,1,6,50.0,11,37.9,1,1,,,,66.0,52.7,71.0,54.0,,,56.9,0,1,13,0.0,3.6,0.0,0,3,0,2,0,1,7.7,31,3.9
Diego Pavia,156927,QB,VANDERBILT,1,2.87,2.47,3.7,4.95,28,333,77.8,9,12,3.3,1.83,3,0,0.0,50.0,6,2,14.3,12,42.9,1,4,,,,66.0,59.3,71.0,59.0,,,,0,0,13,0.0,88.2,0.0,0,0,0,0,1,0,0.0,48,4.0,88.9,9,11,8.9,3.65,0,1,8.3,72.7,8,7,0.0,16,57.1,0,5,,,,66.7,86.5,72.2,82.4,,,70.1,1,0,17,14.3,142.2,6.3,1,4,0,1,1,0,0.0,130,11.8
Nico Iamaleava,174728,QB,TENNESSEE,1,2.71,2.38,2.9,5.73,28,307,84.6,13,13,5.8,1.79,0,0,0.0,76.9,10,3,9.1,14,50.0,1,2,,,,21.3,52.2,71.4,52.1,,,,0,0,15,33.3,91.8,7.1,1,0,0,0,0,2,13.3,80,6.2,42.9,7,8,22.7,3.91,0,2,22.2,37.5,3,6,0.0,13,46.4,0,3,,,,66.0,72.2,71.2,75.2,,,58.0,0,0,14,33.3,125.0,15.4,2,3,0,1,1,0,0.0,114,14.3
John Michalski,177310,QB,SACR HEART,1,2.6,2.6,,,28,280,68.8,16,17,6.9,1.87,1,1,5.9,58.8,10,3,9.1,17,60.7,1,2,,,,66.7,66.1,71.8,65.8,,,,0,0,17,0.0,86.9,0.0,0,0,0,0,1,0,0.0,66,3.9,60.0,10,11,15.4,3.72,0,1,7.7,54.5,6,6,0.0,11,39.3,0,4,,,,66.0,69.8,71.0,69.4,,,,0,0,13,0.0,76.7,0.0,0,0,0,1,0,0,0.0,77,7.0
Brady Hammonds,192233,QB,VA MILT IN,1,2.68,2.47,2.8,5.05,28,336,61.5,13,14,7.6,1.65,0,0,0.0,57.1,8,1,0.0,14,50.0,0,1,,,,66.2,27.6,71.2,27.8,,,,1,2,14,0.0,24.1,0.0,0,0,0,0,0,2,14.3,47,3.4,55.6,9,10,16.3,3.71,0,0,0.0,50.0,5,5,0.0,14,50.0,0,5,,,,20.6,59.6,71.2,58.8,,,60.8,0,0,14,40.0,72.9,14.3,2,2,0,1,0,1,7.1,70,7.0
Blake Shapen,122282,QB,MISS STATE,1,2.8,2.3,3.4,4.43,28,227,69.2,13,13,2.9,1.75,0,0,0.0,61.5,8,1,11.1,13,46.4,1,4,,,,66.2,69.5,71.2,69.0,,,,0,0,14,0.0,98.2,0.0,0,0,0,0,1,0,0.0,60,4.6,62.5,8,8,12.6,3.71,0,1,11.1,62.5,5,9,0.0,15,53.6,0,3,,,,22.7,50.7,71.8,59.1,,,50.5,0,0,17,11.1,95.8,6.7,1,6,0,0,0,2,11.8,80,10.0
CJ Bailey,183349,QB,NC STATE,1,2.55,2.36,3.15,6.1,28,248,84.6,13,14,3.4,1.73,1,0,0.0,71.4,10,2,9.1,14,50.0,1,5,,,,66.5,65.2,71.6,64.8,,,,0,0,16,0.0,120.5,0.0,0,0,0,0,1,0,0.0,118,8.4,60.0,10,11,10.5,3.36,0,0,0.0,54.5,6,8,0.0,14,50.0,0,5,,,,66.2,50.5,71.4,52.4,,,57.3,0,1,15,25.0,42.2,14.3,2,1,0,1,0,2,13.3,86,7.8
Sam Vidlak,146333,QB,STF AUSTIN,1,2.46,2.4,,4.2,28,301,80.0,15,15,5.7,1.73,0,1,6.7,66.7,10,1,16.7,15,53.6,2,7,,,,66.4,82.6,71.4,81.9,,,,0,0,15,0.0,117.9,0.0,0,0,0,0,1,1,6.7,137,9.1,70.0,10,12,14.1,3.3,0,1,7.7,58.3,7,3,0.0,13,46.4,0,6,,,,66.4,65.2,71.4,71.1,,,51.3,0,0,15,0.0,126.4,0.0,0,1,0,2,2,1,6.7,104,8.7
Zach Calzada,98006,QB,INCAR WORD,1,3.3,3.11,4.03,4.7,28,189,85.7,7,7,2.0,1.54,0,0,0.0,85.7,6,2,0.0,7,25.0,0,1,,,,64.6,62.1,69.1,61.9,,,,0,0,7,0.0,83.3,0.0,0,0,0,0,0,0,0.0,28,4.0,66.7,12,16,16.4,3.88,0,1,6.3,50.0,8,14,0.0,21,75.0,0,6,,,,67.2,76.0,72.5,78.2,,,57.0,0,0,21,28.6,120.3,19.0,4,1,0,4,2,1,4.8,142,8.9
Jordan Heisey,161223,QB,DUQUESNE,1,2.24,2.03,2.5,5.75,28,155,75.0,20,20,7.0,1.77,0,0,0.0,75.0,15,0,0.0,20,71.4,0,8,,,,67.1,63.1,72.4,62.7,,,,0,1,20,,111.3,0.0,0,0,0,0,3,3,15.0,134,6.7,75.0,4,4,3.5,3.9,0,0,0.0,75.0,3,3,0.0,7,25.0,0,1,,,,65.1,43.8,69.8,44.1,,,55.4,0,0,9,33.3,100.0,14.3,1,2,0,0,0,0,0.0,34,8.5
Gio Lopez,172309,QB,S ALABAMA,1,2.91,2.65,3.7,4.8,28,288,100.0,12,14,4.8,1.83,0,0,0.0,85.7,12,3,0.0,14,50.0,0,7,,,,66.4,76.0,71.4,75.5,,,,0,0,15,0.0,141.7,0.0,0,0,0,2,2,0,0.0,119,8.5,50.0,8,10,15.8,4.0,0,0,0.0,40.0,4,9,0.0,14,50.0,0,3,,,,21.0,30.0,71.2,27.5,,,65.5,0,0,14,11.1,50.0,7.1,1,3,0,2,0,2,14.3,35,3.5
Sonny Mannino,166694,QB,MARIST,1,3.11,2.98,3.1,4.8,28,213,90.0,10,10,5.3,1.83,0,0,0.0,70.0,7,0,22.2,10,35.7,2,4,,,,65.6,69.6,70.4,69.2,,,,0,1,11,,44.6,0.0,0,0,0,0,0,0,0.0,57,5.7,71.4,14,14,18.8,3.83,0,2,14.3,57.1,8,6,20.0,18,64.3,2,6,,,,20.2,71.8,72.3,77.1,,,52.0,0,0,18,33.3,118.8,11.1,2,2,0,0,1,1,5.6,152,10.9
Anthony Colandrea,170131,QB,VIRGINIA,1,3.0,2.43,2.9,5.34,27,335,92.3,13,13,3.2,1.81,0,0,0.0,92.3,12,1,0.0,13,48.1,0,6,,,,66.2,74.1,71.2,73.6,,,,0,0,14,0.0,122.4,0.0,0,0,0,0,1,0,0.0,94,7.2,33.3,6,7,16.3,4.11,0,1,10.0,14.3,1,8,50.0,14,51.9,1,2,,,,66.8,66.3,72.0,52.5,,,74.2,1,0,18,25.0,88.7,14.3,2,5,0,0,1,1,5.6,37,5.3
Owen McCown,157688,QB,UTSA,1,2.66,2.43,4.5,6.6,27,331,92.9,14,14,2.2,1.58,0,0,0.0,85.7,12,0,7.7,14,51.9,1,5,,,,66.4,66.6,71.4,66.3,,,,0,0,15,,133.9,0.0,0,0,0,0,2,0,0.0,93,6.6,63.6,11,11,11.6,3.82,0,1,8.3,54.5,6,6,14.3,13,48.1,1,5,,,,66.2,79.6,71.2,82.2,,,57.3,0,0,14,16.7,128.2,7.7,1,1,0,0,1,0,0.0,133,12.1
Trey Hedden,185848,QB,FURMAN,1,2.7,2.62,3.7,,27,170,63.6,11,11,9.2,2.01,0,0,0.0,54.5,6,1,14.3,11,40.7,1,2,,,,66.2,58.1,71.2,57.9,,,,0,0,14,0.0,95.6,0.0,0,0,0,0,1,1,7.1,47,4.3,61.5,13,14,15.2,3.18,0,0,0.0,50.0,7,7,12.5,16,59.3,1,6,,,,22.7,56.1,71.8,55.9,,,,0,2,17,28.6,80.1,12.5,2,0,0,1,1,2,11.8,217,15.5
