player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Corey Fields Jr.,78539,QB,SCAR STATE,1,2.47,2.36,2.7,5.7,36,290,68.0,25,25,10.1,1.84,0,0,0.0,68.0,17,0,0.0,25,69.4,0,13,,,,,67.8,63.5,73.3,,63.1,,,,,0,0,26,,118.4,0.0,0,0,0,0,2,0,0.0,198,7.9,57.1,7,9,17.3,3.88,0,0,0.0,44.4,4,6,0.0,11,30.6,0,2,,,,,65.6,50.6,70.4,,53.2,,57.0,,,1,1,11,16.7,60.6,9.1,1,1,0,1,1,1,9.1,52,5.8
Kaleb Eleby,77686,QB,W MICHIGAN,1,2.66,2.31,4.33,5.27,36,347,87.5,16,17,5.2,1.8,1,0,0.0,82.4,14,1,0.0,17,47.2,0,8,,,,,66.7,72.9,71.8,,72.4,,,,,0,1,17,0.0,76.7,0.0,0,0,0,0,0,0,0.0,141,8.3,81.8,11,12,20.2,3.62,0,2,15.4,66.7,8,9,11.1,18,50.0,1,5,,,,,23.4,59.6,72.2,,76.3,,34.3,,,0,0,19,33.3,137.5,16.7,3,3,0,1,1,1,5.3,166,13.8
Zerrick Cooper,40465,QB,JVILLE ST,1,2.56,2.5,3.03,3.2,36,196,68.8,16,18,7.1,1.73,2,1,5.6,55.6,10,5,9.1,20,55.6,1,7,,,,,67.1,64.1,72.4,,63.8,,,,,0,1,20,40.0,51.6,10.0,2,0,0,0,0,0,0.0,114,6.3,46.2,13,14,14.3,3.6,0,0,0.0,42.9,6,8,0.0,16,44.4,0,5,,,,,66.5,72.0,71.6,,68.6,,64.3,,,0,0,16,12.5,102.4,6.3,1,1,0,1,1,0,0.0,137,9.8
Adrian Martinez,83522,QB,NEBRASKA,1,2.91,2.86,,4.6,36,238,80.0,15,15,9.6,2.01,0,0,0.0,80.0,12,3,0.0,15,41.7,0,9,,,,,66.7,80.7,71.8,,79.9,,,,,0,0,17,0.0,121.7,0.0,0,0,0,0,1,0,0.0,118,7.9,63.2,19,20,15.5,3.55,0,1,4.8,55.0,11,16,8.3,21,58.3,1,8,,,,,67.4,60.7,72.7,,62.0,,57.3,,,0,2,22,0.0,56.9,0.0,0,1,0,1,0,1,4.5,233,11.7
Aqeel Glass,60328,QB,ALAB A&M,1,2.55,2.51,4.0,,35,104,94.1,17,19,5.4,2.05,1,0,0.0,84.2,16,1,0.0,19,54.3,0,10,,,,,67.1,91.8,72.4,,91.5,,,,,1,0,20,0.0,152.7,0.0,0,0,0,0,3,0,0.0,212,11.2,86.7,15,15,16.3,3.14,0,5,33.3,73.3,11,8,15.4,16,45.7,2,8,,,,,66.7,96.2,71.8,,96.5,,57.0,,,0,0,17,12.5,154.9,6.3,1,0,0,0,3,1,5.9,262,17.5
Fred Payton,82102,QB,MERCER,1,2.74,2.48,,4.75,35,219,76.5,17,17,9.9,1.88,0,0,0.0,76.5,13,0,0.0,17,48.6,0,7,,,,,67.0,67.7,72.2,,67.2,,,,,0,1,19,,91.3,0.0,0,0,0,0,0,0,0.0,204,12.0,61.5,13,14,13.9,3.56,0,1,6.7,57.1,8,9,0.0,18,51.4,0,9,,,,,67.0,50.4,72.2,,46.4,,63.7,,,0,2,19,0.0,100.6,0.0,0,4,0,1,2,3,15.8,171,12.2
Tommy Herion,88637,QB,NEW HAMP,1,3.06,2.87,7.2,5.1,35,240,66.7,15,15,6.7,1.9,0,2,12.5,60.0,9,3,10.0,15,42.9,1,3,,,,,66.5,63.3,71.6,,63.0,,,,,0,2,16,0.0,54.7,0.0,0,0,0,0,1,2,12.5,72,4.8,50.0,16,18,15.8,3.93,0,2,10.0,44.4,8,6,0.0,20,57.1,0,6,,,,,67.4,67.7,72.7,,69.3,,57.0,,,1,2,22,16.7,58.6,5.0,1,1,0,1,2,1,4.5,95,5.3
Eric Schmid,66632,QB,SM HOUSTON,1,2.58,2.46,4.9,3.25,35,281,75.0,20,21,4.6,1.67,1,0,0.0,61.9,13,4,13.3,21,60.0,2,8,,,,,67.4,65.9,72.7,,65.5,,,,,0,0,22,0.0,110.8,0.0,0,0,0,0,2,0,0.0,128,6.1,60.0,10,11,22.0,3.94,0,1,9.1,45.5,5,7,16.7,14,40.0,1,6,,,,,66.2,90.8,71.2,,90.9,,62.5,,,0,0,14,14.3,114.2,7.1,1,2,0,1,1,0,0.0,116,10.5
Zach Gibson,100201,QB,AKRON,1,2.82,2.29,2.57,4.67,35,102,84.6,13,13,3.6,1.86,0,0,0.0,69.2,9,2,18.2,16,45.7,2,4,,,,,21.8,59.5,71.6,,59.3,,,,,0,0,16,150.0,83.5,18.8,3,0,0,0,0,1,6.3,74,5.7,62.5,8,8,8.8,3.63,0,0,0.0,62.5,5,9,0.0,19,54.3,0,5,,,,,67.0,60.7,72.2,,52.7,,66.0,,,0,0,19,44.4,72.4,21.1,4,7,0,0,0,0,0.0,35,4.4
Ben Nimz,109067,QB,VALPO,1,2.6,2.57,4.0,4.9,35,332,85.7,14,14,4.9,1.99,0,1,6.3,78.6,11,2,8.3,14,40.0,1,9,,,,,66.5,83.8,71.6,,83.0,,,,,0,0,16,0.0,147.9,0.0,0,0,0,0,2,0,0.0,140,10.0,55.6,18,18,12.6,3.16,0,1,5.6,44.4,8,5,20.0,20,57.1,2,3,,,,,23.9,47.8,72.4,,49.4,,57.3,,,0,3,20,20.0,20.4,5.0,1,1,0,0,0,3,15.0,90,5.0
