player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Christian Fitzpatrick,122707,WR,MARSHALL,1,6,0,214,,0,,,0,0,,0,0,0,,57.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,18.3,1,50.0,0.0,0,1,0.0,0,2,0,73.1,62.8,0,15,0.0,0,23,3,95.7,22,59.0,6,27.3,0,22,20,6.7,7.3,1.0
Antonio Williams,156241,WR,CLEMSON,1,6,0,140,5.0,0,100.0,,0,0,0.0,0,1,0,70.7,63.6,0,32,0.0,0,11,2,100.0,11,118.8,2,18.2,0,34,24,12.0,17.0,3.09,0,8.8,1,75.0,,0,0,0.0,0,1,0,73.1,57.0,0,17,0.0,0,32,3,96.9,31,81.3,4,12.9,0,16,8,2.7,5.3,0.52
Gabe Burkle,157578,TE,IOWA STATE,1,5,0,193,4.0,0,100.0,,0,0,0.0,0,1,0,66.7,64.8,0,7,9.1,1,11,1,90.9,10,95.8,1,10.0,0,7,3,3.0,7.0,0.7,0,4.0,0,100.0,,0,0,0.0,0,1,0,73.1,63.4,0,12,7.1,1,14,3,78.6,11,97.2,3,27.3,0,22,10,3.3,7.3,2.0
Ryan Wingo,184520,WR,TEXAS,1,5,0,311,5.5,0,0.0,0.0,0,1,100.0,2,0,0,2.7,39.4,0,0,0.0,0,9,0,77.8,7,39.6,2,28.6,0,0,0,,,0.0,0,13.0,0,0.0,,0,0,,0,0,0,,52.8,0,0,0.0,0,17,0,100.0,17,39.6,2,11.8,0,0,0,,,0.0
Melquan Stovall,74267,WR,ARIZONA ST,1,5,0,110,5.0,0,100.0,,0,0,0.0,0,0,0,66.7,58.9,0,5,0.0,0,4,1,100.0,4,87.5,1,25.0,0,5,0,0.0,5.0,1.25,0,21.5,0,50.0,0.0,0,1,0.0,0,1,0,66.7,72.8,0,63,0.0,0,7,1,100.0,7,95.8,2,28.6,0,63,32,32.0,63.0,9.0
Traeshon Holden,123917,WR,OREGON,1,5,0,264,12.0,0,40.0,50.0,1,2,33.3,1,1,0,31.6,56.8,0,17,0.0,0,10,2,100.0,10,52.9,5,50.0,0,21,5,2.5,10.5,2.1,0,,0,,,0,0,,0,0,0,,52.6,0,0,0.0,0,19,0,100.0,19,0.0,0,0.0,0,0,0,,,0.0
Trevor Etienne,157730,HB,GEORGIA,1,5,0,173,,0,,,0,0,,0,0,0,,58.0,0,0,33.3,1,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0,0,-4.0,3,100.0,,0,0,0.0,0,2,0,77.5,80.5,0,7,22.2,4,18,5,72.2,13,90.0,5,38.5,0,28,48,9.6,5.6,2.15
Cam Camper,156414,WR,BOISE ST,1,5,0,120,5.3,0,100.0,100.0,1,1,0.0,0,1,0,73.1,63.9,0,12,0.0,0,11,3,100.0,11,93.1,3,27.3,0,19,3,1.0,6.3,1.73,0,15.5,0,50.0,,0,0,0.0,0,0,0,66.7,54.4,0,7,0.0,0,14,1,100.0,14,58.3,2,14.3,0,7,11,11.0,7.0,0.5
Carson Hansen,174669,HB,IOWA STATE,1,5,0,193,-5.0,0,100.0,,0,0,0.0,0,0,0,70.7,60.8,0,-4,18.2,2,11,2,81.8,9,79.2,2,22.2,0,-9,1,0.5,-4.5,-1.0,0,-5.0,0,100.0,,0,0,0.0,0,1,0,70.7,64.6,0,11,16.7,2,12,2,75.0,9,104.2,2,22.2,0,18,28,14.0,9.0,2.0
Michael Mathison,100275,WR,W KENTUCKY,1,5,0,346,2.5,0,100.0,100.0,1,1,0.0,0,0,0,70.7,56.3,0,6,0.0,0,13,2,84.6,11,85.4,2,18.2,0,9,4,2.0,4.5,0.82,0,15.7,0,33.3,,0,0,0.0,0,1,0,66.7,68.5,0,8,0.0,0,5,1,100.0,5,42.4,3,60.0,0,8,5,5.0,8.0,1.6
Key'Shawn Smith,143950,WR,SMU,1,5,0,287,18.0,0,0.0,0.0,0,1,,0,0,0,,55.6,0,0,0.0,0,6,0,100.0,6,39.6,1,16.7,0,0,0,,,0.0,0,14.3,0,25.0,,0,0,0.0,0,1,0,70.7,57.8,0,13,0.0,0,25,1,96.0,24,40.6,4,16.7,0,13,0,0.0,13.0,0.54
