player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Roderick Daniels Jr.,144356,WR,SMU,1,7,0,287,16.5,1,100.0,100.0,1,1,0.0,0,2,0,70.7,69.5,0,28,0.0,0,20,2,80.0,16,158.3,2,12.5,1,48,21,10.5,24.0,3.0,0,12.6,2,40.0,,0,0,33.3,1,1,0,17.2,45.4,0,9,0.0,0,17,2,94.1,16,48.8,5,31.3,0,16,26,13.0,8.0,1.0
Tyler Warren,129798,TE,PENN STATE,1,6,0,266,7.0,0,0.0,0.0,0,1,,0,0,0,,55.2,0,0,0.0,0,6,0,100.0,6,39.6,1,16.7,0,0,0,,,0.0,0,5.6,1,80.0,,0,0,0.0,0,1,0,74.9,67.7,0,15,0.0,0,22,4,95.5,21,94.2,5,23.8,0,33,19,4.8,8.3,1.57
Antonio Williams,156241,WR,CLEMSON,1,6,0,140,2.0,0,100.0,,0,0,0.0,0,1,0,70.7,64.3,0,22,0.0,0,9,2,88.9,8,158.3,2,25.0,1,30,26,13.0,15.0,3.75,0,13.5,1,50.0,,0,0,0.0,0,2,0,70.7,56.1,0,18,0.0,0,37,2,100.0,37,81.3,4,10.8,0,36,9,4.5,18.0,0.97
Myles Price,123155,WR,INDIANA,1,6,0,190,8.5,2,75.0,0.0,0,1,0.0,0,2,0,73.1,72.4,0,17,0.0,0,17,3,88.2,15,99.0,4,26.7,0,33,18,6.0,11.0,2.2,0,9.0,0,100.0,,0,0,0.0,0,1,0,66.7,67.0,0,16,0.0,0,6,1,100.0,6,118.8,1,16.7,0,16,7,7.0,16.0,2.67
Bru McCoy,71345,WR,TENNESSEE,1,6,0,307,16.0,0,50.0,0.0,0,1,0.0,0,1,0,66.7,64.5,0,11,0.0,0,9,1,88.9,8,66.7,2,25.0,0,11,1,1.0,11.0,1.38,0,10.8,0,75.0,50.0,1,2,0.0,0,1,0,73.1,60.6,0,21,0.0,0,20,3,100.0,20,94.8,4,20.0,0,29,2,0.7,9.7,1.45
Jake Briningstool,124831,TE,CLEMSON,1,6,0,140,,0,,,0,0,,0,0,0,,53.4,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0,0,8.3,0,66.7,100.0,1,1,0.0,0,3,0,74.9,68.3,0,28,2.9,1,34,4,97.1,33,105.6,6,18.2,0,69,25,6.3,17.3,2.09
Jordan Hudson,157298,WR,SMU,1,6,0,287,18.3,0,66.7,100.0,1,1,33.3,1,2,0,31.6,64.1,0,22,9.1,1,11,2,81.8,9,99.3,3,33.3,0,30,0,0.0,15.0,3.33,0,0.5,0,100.0,100.0,1,1,0.0,0,0,0,70.7,57.5,0,7,8.3,1,12,2,91.7,11,87.5,2,18.2,0,10,9,4.5,5.0,0.91
Brashard Smith,143951,HB,SMU,1,6,0,287,16.0,0,0.0,,0,0,,0,0,0,,55.8,0,0,36.4,4,11,0,54.5,6,39.6,1,16.7,0,0,0,,,0.0,0,-0.5,2,75.0,,0,0,0.0,0,2,0,73.1,65.7,1,13,0.0,0,14,3,100.0,14,42.7,4,28.6,0,17,20,6.7,5.7,1.21
Nicholas Singleton,164188,HB,PENN STATE,1,5,0,266,,0,,,0,0,,0,0,0,,56.2,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,-0.6,1,40.0,,0,0,50.0,2,0,0,17.0,37.9,0,7,12.5,2,16,2,87.5,14,47.9,5,35.7,0,7,10,5.0,3.5,0.5
Aneyas Williams,184108,HB,NOTRE DAME,1,4,0,258,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,2.0,3,100.0,,0,0,0.0,0,1,0,73.1,66.1,0,9,14.3,2,14,3,78.6,11,93.1,3,27.3,0,19,13,4.3,6.3,1.73
