player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jalen Mickens,198689,WR,LA TECH,1,5,0,208,2.0,0,100.0,,0,0,0.0,0,0,0,66.7,57.0,0,3,0.0,0,5,1,100.0,5,79.2,1,20.0,0,3,1,1.0,3.0,0.6,0,17.7,0,33.3,,0,0,0.0,0,1,0,66.7,57.5,0,11,0.0,0,22,1,100.0,22,45.1,3,13.6,0,11,0,0.0,11.0,0.5
Marshaun Brown,175717,WR,NEVADA,1,5,0,239,7.5,0,100.0,,0,0,0.0,0,1,0,70.7,61.4,0,12,0.0,0,14,2,100.0,14,97.9,2,14.3,0,15,0,0.0,7.5,1.07,0,23.5,0,50.0,,0,0,0.0,0,1,0,66.7,60.9,1,14,0.0,0,13,1,100.0,13,33.3,2,15.4,0,14,9,9.0,14.0,1.08
Jonathan Echols,183435,TE,USF,1,5,0,327,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,59.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Parker Livingstone,184512,WR,TEXAS,1,5,0,311,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Ashtyn Hawkins,147222,WR,BAYLOR,1,5,0,118,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Kaden Shields-Dutton,189406,HB,FAU,1,5,0,165,0.0,0,100.0,,0,0,0.0,0,1,0,66.7,77.7,0,5,0.0,0,2,1,100.0,2,127.1,1,50.0,1,5,5,5.0,5.0,2.5,0,1.0,0,100.0,,0,0,0.0,0,2,0,74.9,69.6,0,10,15.0,3,20,4,85.0,17,94.8,4,23.5,0,27,23,5.8,6.8,1.59
Asaad Waseem,171909,WR,FAU,1,5,0,165,,0,,,0,0,,0,0,0,,55.1,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,0,5.0,0,50.0,,0,0,0.0,0,1,0,70.7,55.3,0,8,0.0,0,38,2,97.4,37,57.3,4,10.8,0,13,9,4.5,6.5,0.35
Omarion Miller,171901,WR,COLORADO,1,5,0,143,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Myles Butler,150199,WR,MIDDLE TN,1,5,0,224,12.0,0,100.0,,0,0,0.0,0,1,0,66.7,63.0,0,12,0.0,0,9,1,100.0,9,116.7,1,11.1,0,12,0,0.0,12.0,1.33,0,4.0,0,100.0,100.0,2,2,0.0,0,1,0,73.1,67.9,0,9,0.0,0,12,3,100.0,12,93.1,3,25.0,0,19,7,2.3,6.3,1.58
CJ Williams,158471,WR,STANFORD,1,5,0,300,7.0,0,0.0,0.0,0,1,,0,0,0,,56.5,0,0,0.0,0,6,0,100.0,6,39.6,1,16.7,0,0,0,,,0.0,0,9.0,0,25.0,0.0,0,1,0.0,0,0,0,66.7,54.0,1,11,0.0,0,17,1,94.1,16,0.0,4,25.0,0,11,7,7.0,11.0,0.69
