player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kadyn Roach,97638,HB,LA MONROE,6,0,209,14.7,1,1,11,34.4,35.1,90.9,0,2,0,13,37,9.2,1,0,5,55.6,60.0,90.0,1,0,6,10
Michael Mokofisi,146439,G,UTAH,1,0,328,25.1,0,1,13,100.0,100.0,96.2,0,1,0,13,13,0.0,0,1,3,100.0,100.0,83.3,1,0,3,3
Jaquez Yant,129716,HB,NEBRASKA,7,0,238,37.5,0,0,11,37.9,40.6,100.0,0,0,0,13,32,18.8,0,0,2,40.0,42.9,100.0,0,0,3,7
Colin Woodside,77403,G,CINCINNATI,4,1,138,20.5,0,1,13,100.0,100.0,88.5,1,2,1,13,13,0.0,0,1,4,100.0,100.0,62.5,2,1,4,4
Joe Huber,123565,T,CINCINNATI,4,0,138,49.7,0,0,13,100.0,100.0,100.0,0,0,0,13,13,77.6,0,0,2,100.0,100.0,100.0,0,0,2,2
Tyler Eiguren,101325,TE,BOISE ST,7,0,120,56.4,0,1,12,40.0,40.6,95.8,0,1,0,13,32,70.6,0,0,1,16.7,25.0,100.0,0,0,2,8
Carter Ware,61032,TE,TCU,4,0,305,75.2,0,0,13,37.1,35.1,100.0,0,0,0,13,37,71.2,0,0,2,40.0,40.0,100.0,0,0,2,5
Ygenio Booker,77711,HB,TULANE,7,0,319,62.8,0,2,12,12.6,12.6,91.7,0,2,0,13,103,43.0,0,2,5,14.3,13.9,80.0,2,0,5,36
Sammy Wheeler,77678,TE,KANSAS ST,13,0,199,51.1,0,1,13,9.1,8.6,96.2,0,1,0,13,151,21.4,0,0,1,1.3,1.2,100.0,0,0,1,82
Tyler Stephens,98494,TE,BUFFALO,12,0,126,55.1,0,0,11,5.8,6.1,100.0,0,0,0,13,212,71.2,0,0,1,1.2,2.1,100.0,0,0,2,94
Nay'Quan Wright,98803,HB,FLORIDA,12,0,163,70.3,0,1,12,10.1,10.5,95.8,0,1,0,13,124,75.7,0,0,2,4.3,4.3,100.0,0,0,2,47
Bucky Irving,144970,HB,MINNESOTA,11,0,225,73.2,0,0,11,23.4,25.0,90.9,0,1,1,13,52,74.6,0,0,1,12.5,20.0,100.0,0,0,2,10
B.J. Daniels,57462,HB,UTSA,9,0,331,80.9,0,0,13,25.5,24.5,100.0,0,0,0,13,53,76.8,0,0,3,23.1,23.1,100.0,0,0,3,13
Brendan Suckley,75922,FB,RICE,12,0,275,51.5,0,0,12,42.9,40.6,91.7,0,1,1,13,32,73.2,0,0,2,50.0,40.0,100.0,0,0,2,5
Cayden Baker,122819,C,N CAROLINA,3,0,245,39.4,0,0,13,100.0,92.9,100.0,0,0,0,13,14,56.7,0,0,5,100.0,100.0,100.0,0,0,5,5
Roydell Williams,123939,HB,ALABAMA,9,0,103,12.8,0,3,13,25.5,25.0,80.8,0,4,1,13,52,8.8,0,1,5,25.0,23.8,70.0,2,1,5,21
Ben Sinnott,122616,TE,KANSAS ST,12,0,199,55.6,0,0,12,20.3,21.0,100.0,1,0,0,13,62,,0,0,0,0.0,0.0,,0,0,0,21
Jalen White,122464,HB,GA SOUTHRN,10,0,174,54.4,0,1,13,24.5,24.1,96.2,0,1,0,13,54,78.0,0,0,4,30.8,30.8,100.0,0,0,4,13
Geor'Quarius Spivey,84010,TE,TCU,10,0,305,63.2,0,0,13,25.5,25.5,92.3,0,1,1,13,51,,0,0,0,0.0,0.0,,0,0,0,6
Moses Landis,81758,C,NEVADA,2,0,239,53.7,0,0,13,100.0,100.0,92.3,0,1,1,13,13,78.7,0,0,7,100.0,100.0,100.0,0,0,7,7
Jack Eschenbach,84082,TE,WISCONSIN,7,0,349,74.1,0,0,12,17.6,18.3,100.0,0,0,0,13,71,,0,0,0,0.0,0.0,,0,0,0,23
Kelvin Ateman,55362,T,TOLEDO,3,0,316,59.9,0,0,13,100.0,100.0,100.0,0,0,0,13,13,35.0,0,0,4,100.0,100.0,100.0,0,0,4,4
Justin Mayers,100808,G,UTEP,3,0,330,81.7,0,0,12,100.0,100.0,100.0,0,0,0,12,12,73.4,0,0,1,100.0,100.0,100.0,0,0,1,1
Dez Melton,98104,TE,LOUISVILLE,13,0,210,57.2,0,0,12,23.5,22.6,100.0,0,0,0,12,53,,0,0,0,0.0,0.0,,0,0,0,3
Will Harrod,98794,G,FLORIDA,3,0,163,45.3,0,0,11,100.0,100.0,100.0,1,0,0,12,12,76.4,0,0,3,100.0,100.0,100.0,0,0,3,3
Jase McClellan,123926,HB,ALABAMA,5,0,103,4.6,0,4,10,15.4,17.4,80.0,0,4,0,12,69,19.8,0,1,4,23.5,23.5,87.5,1,0,4,17
Brycen Yarmo,130325,TE,AKRON,12,0,102,64.5,0,0,12,24.5,24.5,100.0,0,0,0,12,49,,0,0,0,0.0,0.0,,0,0,0,8
