player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Skyler Locklear,164027,QB,UTEP,4,29.3,0,330,65.1,,60.1,0,0,0,0.0,0.0,,1,0,0,34,0,0,0,116,0,67,0,0,34,0
Turbo Richard,190199,HB,BOSTON COL,7,12.2,0,121,68.6,33.5,58.0,0,2,24,13.8,14.8,95.8,1,2,0,34,0,0,0,279,27,183,0,0,7,0
Christopher Vizzina,170032,QB,CLEMSON,4,29.8,0,140,54.6,62.2,60.2,0,0,1,1.5,1.5,100.0,0,0,0,34,0,0,0,114,1,67,0,0,33,0
Tanner Lemaster,175154,TE,E MICHIGAN,6,64.2,0,160,73.4,28.2,50.4,0,2,6,25.0,24.0,83.3,0,2,0,34,0,0,0,53,6,25,0,0,28,34
Maddox Lassiter,172412,FB,ARKANSAS,8,85.0,0,111,54.2,72.7,54.0,0,0,1,16.7,16.7,100.0,0,0,0,34,0,0,0,40,1,6,0,0,33,2
Dom Silvia,184273,G,CHARLOTTE,4,100.0,0,136,57.0,82.3,53.2,0,0,14,100.0,100.0,100.0,0,0,0,34,0,34,0,34,14,14,0,0,20,0
Thai Chiaokhiao-Bowman,157755,WR,UCONN,4,38.6,0,146,58.1,67.7,49.4,0,0,1,1.9,1.9,100.0,0,0,0,34,0,0,0,88,1,53,0,0,33,3
Jay Coyne,158379,FB,MICH STATE,8,82.9,0,223,62.3,83.2,58.9,0,0,3,30.0,30.0,100.0,0,0,0,34,0,0,0,41,3,10,0,0,31,1
Jaxon King,173923,T,UMASS,3,100.0,0,216,51.5,84.0,46.1,0,0,21,100.0,100.0,100.0,1,0,0,34,0,0,0,34,21,21,0,34,13,0
Grant Hollier,204912,TE,GA STATE,8,23.3,0,175,60.6,69.9,45.9,0,0,5,4.6,4.3,100.0,0,0,0,34,0,0,0,146,5,117,0,0,29,65
Michael Johnson Jr.,97796,QB,AKRON,8,37.8,0,102,61.7,,60.2,0,0,0,0.0,0.0,,1,0,0,34,0,0,0,90,0,37,0,0,34,0
Evan McCray,200215,WR,UAB,5,42.0,0,321,59.1,,59.1,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,81,0,47,0,0,34,0
Jakolbe Baldwin,143984,WR,MARSHALL,4,55.7,0,214,52.3,,58.5,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,61,0,27,0,0,34,0
Will Morris,131016,C,TULSA,2,100.0,0,320,48.5,13.5,58.4,0,1,15,100.0,100.0,96.7,0,1,0,34,34,0,0,34,17,17,0,0,17,0
Cade Wolford,188243,WR,KENT STATE,8,24.6,0,201,76.3,,49.5,0,0,0,0.0,0.0,,1,0,0,34,0,0,0,138,0,98,0,0,34,0
Daniel Evert,184787,TE,TEMPLE,4,69.4,0,306,56.1,67.4,54.7,0,0,2,13.3,11.8,100.0,1,0,0,34,0,0,0,49,2,17,0,0,32,38
Jaren Hamilton,172378,WR,ARIZONA ST,8,28.3,0,110,56.6,61.0,38.6,0,0,0,0.0,1.2,,0,0,0,34,0,0,0,120,1,85,0,0,33,0
Toriyan Johnson,171051,T,UCONN,3,100.0,0,146,71.9,75.9,69.0,0,1,19,100.0,100.0,97.4,0,1,0,34,0,0,33,34,19,19,0,0,15,1
Max Cutforth,176220,QB,BOISE ST,6,64.2,0,120,60.8,,60.0,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,53,0,12,0,0,34,0
Xavier Robinson,184603,HB,OKLAHOMA,6,24.1,0,261,76.5,63.7,57.2,0,0,18,21.4,21.7,100.0,0,0,0,34,0,0,0,141,20,92,0,0,14,1
Michael Smith,190237,TE,S CAROLINA,4,54.0,0,289,54.7,74.8,48.5,0,0,5,15.6,17.1,100.0,0,0,0,34,0,0,0,63,6,35,0,0,28,43
Aviyon Smith-Mack,171609,WR,SM HOUSTON,4,32.4,0,281,58.9,,49.2,0,0,0,0.0,0.0,,1,0,0,34,0,0,0,105,0,71,0,0,34,0
Sean Patrick,190981,HB,AKRON,7,17.8,0,102,70.5,70.7,54.9,0,1,15,14.9,16.0,96.7,0,1,0,33,0,0,0,185,17,106,0,0,16,0
Link Rhodes,199156,WR,SMU,8,42.3,0,287,59.2,,63.0,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,78,0,43,0,0,33,0
Jason Maciejczak,170234,G,NEBRASKA,2,100.0,0,238,78.6,83.5,78.4,0,0,16,100.0,100.0,100.0,0,0,0,33,0,33,0,33,17,17,0,0,16,0
Aluma Nkele,73741,T,MINNESOTA,1,100.0,0,225,65.6,77.6,62.3,0,0,8,100.0,100.0,100.0,0,0,0,33,0,0,0,33,9,9,0,33,24,0
Oscar Adaway III,100835,HB,S CAROLINA,8,22.4,0,289,63.3,10.7,83.7,0,2,8,10.0,11.6,87.5,0,2,0,33,0,0,0,147,10,86,0,0,23,6
Addison Ostrenga,156430,TE,IOWA,2,70.2,0,192,55.8,67.1,59.5,0,0,3,17.6,17.6,100.0,0,0,0,33,0,0,0,47,3,17,0,0,30,30
Xavier Irvin,173272,WR,TEMPLE,4,51.6,0,306,73.4,,62.9,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,64,0,30,0,0,33,1
Jaden Ball,183714,G,MINNESOTA,1,100.0,0,225,66.0,37.8,67.3,0,1,8,100.0,100.0,93.7,0,1,0,33,0,0,0,33,9,9,33,0,24,0
Luke Watson,173286,T,TEMPLE,3,100.0,0,306,71.5,76.8,68.7,0,0,6,100.0,100.0,100.0,0,0,0,33,0,0,0,33,8,8,0,33,25,0
Braylen Walker,163008,WR,RICE,3,53.2,0,275,63.6,,59.1,0,0,0,0.0,0.0,,1,0,0,33,0,0,0,62,0,29,0,0,33,0
Greyson Labiad,198423,TE,FLORIDA ST,3,80.5,0,167,56.1,72.1,56.4,0,0,5,41.7,38.5,100.0,0,0,0,33,0,0,0,41,5,13,0,0,28,25
Luke Watkins,198688,WR,LA TECH,3,68.8,0,208,68.0,,62.1,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,48,0,15,0,0,33,0
Quincy Craig,159061,HB,ARIZONA,7,21.7,0,109,63.6,27.4,77.9,1,1,22,20.8,22.5,95.5,1,2,0,33,0,0,0,152,25,111,0,0,8,0
Kojo Antwi,162859,WR,COLO STATE,6,38.4,0,144,52.3,,60.7,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,86,0,53,0,0,33,0
Jay Lindsey,191133,TE,ALABAMA,8,89.2,0,103,59.8,64.1,61.8,0,0,10,71.4,71.4,100.0,0,0,0,33,0,0,1,37,10,14,0,1,23,27
