player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Cade Wolford,188243,HB,KENT STATE,2,0,201,60.0,100.0,4,33.3,4,60.5,0,85.7,12,14,60.7,77.8,7,58.3,9
Ryan Pellum Taylor,184859,WR,DELWARE ST,1,0,152,60.4,100.0,3,25.0,3,61.9,0,100.0,12,12,60.8,100.0,7,58.3,7
Jude James,190220,TE,MISSOURI,2,0,229,58.7,100.0,6,50.0,6,61.5,0,100.0,12,12,47.1,100.0,5,41.7,5
Lafayette Kaiuway,173141,TE,TCU,1,0,305,61.6,100.0,5,41.7,5,69.0,0,100.0,12,12,70.9,100.0,6,50.0,6
Cooper Powers,173146,G,TCU,1,0,305,59.8,100.0,5,41.7,5,62.5,0,100.0,12,12,62.9,100.0,6,50.0,6
Witten Van Hoy,199268,T,TCU,1,0,305,60.8,100.0,5,41.7,5,66.5,0,100.0,12,12,66.7,100.0,6,50.0,6
Max Drag,174988,TE,UCF,2,0,323,54.4,100.0,4,33.3,4,74.6,0,100.0,12,12,81.6,100.0,7,58.3,7
Hollywood Smothers,173719,HB,NC STATE,2,0,248,65.3,21.7,5,41.7,23,66.7,0,23.1,12,52,,0.0,0,0.0,19
Payton Mangrum,124248,WR,E CAROLINA,2,0,156,58.5,100.0,6,50.0,6,59.2,0,100.0,12,12,60.8,100.0,5,41.7,5
Amari Odom,178686,QB,KENNESAW,1,0,200,60.0,66.7,4,33.3,6,60.0,0,70.6,12,17,60.0,88.9,8,66.7,9
Garrett Sexton,183612,T,PENN STATE,2,0,266,76.2,100.0,9,75.0,9,74.9,0,100.0,12,12,60.1,100.0,2,16.7,2
Jason Zandamela,190281,C,FLORIDA,1,0,163,59.1,100.0,2,16.7,2,61.3,0,100.0,12,12,62.6,100.0,10,83.3,10
Trinidad Chambliss,178723,QB,OLE MISS,2,0,226,60.0,58.3,7,58.3,12,60.0,0,60.0,12,20,60.0,83.3,5,41.7,6
Carson Brown,157579,WR,IOWA STATE,3,0,193,60.0,100.0,4,33.3,4,61.4,0,100.0,12,12,60.4,100.0,8,66.7,8
Terry Shelton,199244,WR,TCU,1,0,305,59.7,100.0,5,41.7,5,61.1,0,100.0,12,12,61.1,100.0,6,50.0,6
Xayvion Turner-Bradshaw,157644,WR,MARSHALL,2,0,214,60.0,100.0,1,8.3,1,61.4,0,100.0,12,12,60.8,100.0,8,66.7,8
Gavin Grover,183794,TE,CINCINNATI,2,0,138,67.3,100.0,4,33.3,4,67.1,0,100.0,12,12,60.5,100.0,5,41.7,5
Porter Rooks,122883,WR,E MICHIGAN,2,0,160,,,0,0.0,0,58.4,0,100.0,12,12,58.4,100.0,12,100.0,12
Antonio Harmon,146849,WR,MARSHALL,2,0,214,60.4,100.0,5,41.7,5,61.6,0,100.0,12,12,60.8,100.0,5,41.7,5
Christian Abney,176079,TE,ILLINOIS,2,0,187,41.2,100.0,8,66.7,8,51.2,0,100.0,12,12,72.0,100.0,3,25.0,3
Willie McCoy III,174103,WR,UTSA,2,0,331,60.5,100.0,5,41.7,5,80.3,0,100.0,12,12,60.8,100.0,5,41.7,5
Joe Pesansky,149434,QB,FIU,2,0,166,60.0,100.0,3,25.0,3,60.0,0,92.3,12,13,60.0,88.9,8,66.7,9
Joseph Manjack IV,146413,WR,TCU,1,0,305,59.9,100.0,7,58.3,7,60.5,1,100.0,12,12,60.4,100.0,4,33.3,4
Titus Myers,199059,WR,DOMINION,1,0,263,59.7,100.0,4,33.3,4,61.1,0,100.0,12,12,60.8,100.0,5,41.7,5
Jai'Den Thomas,174080,HB,UNLV,3,0,325,58.9,23.1,6,50.0,26,58.7,0,26.7,12,45,59.9,18.8,3,25.0,16
Shawn Miller,158219,WR,NEW MEXICO,1,0,241,55.3,100.0,6,50.0,6,56.5,0,100.0,12,12,60.7,100.0,5,41.7,5
Kai Black,174657,TE,IOWA STATE,2,0,193,67.1,100.0,6,50.0,6,74.3,0,100.0,12,12,72.6,100.0,4,33.3,4
Yahya Attia,190778,C,COLORADO,2,0,143,,,0,0.0,0,69.7,0,100.0,12,12,78.3,100.0,9,75.0,9
Quinton Harris,157296,T,TCU,1,0,305,64.1,100.0,5,41.7,5,62.5,0,100.0,12,12,59.0,100.0,6,50.0,6
Collin Payne,204750,WR,C MICHIGAN,2,0,134,58.6,100.0,6,50.0,6,58.0,0,100.0,12,12,58.7,100.0,6,50.0,6
Jayden McGowan,157184,WR,CHARLOTTE,1,0,136,60.1,100.0,6,50.0,6,76.2,0,100.0,12,12,79.3,100.0,6,50.0,6
