player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Ty Simpson,157008,QB,ALABAMA,1,19.44,0,48,103,70.3,37,37,10.3,2.8,0,1,2.6,64.9,24,13,7.7,43,89.6,2,14,,,,,70.1,66.0,77.4,,65.0,,62.0,,,0,1,44,30.8,88.0,9.3,4,2,0,0,1,2,4.5,303,8.2,69.4,36,36,9.4,2.74,0,1,2.7,63.9,23,12,8.0,42,87.5,2,12,,,,,70.1,61.6,77.3,,60.2,,62.0,,,0,1,43,33.3,82.2,9.5,4,2,0,0,1,2,4.7,252,7.0,100.0,5,6,6.8,2.35,0,0,0.0,83.3,5,1,0.0,6,12.5,0,4,,,,,64.2,81.4,68.6,,80.8,,,,,0,0,6,0.0,113.2,0.0,0,0,0,1,0,0,0.0,67,11.2,0,100.0,4,5,-2.5,1.74,0,0,0.0,80.0,4,0,0.0,5,10.4,0,2,,,,,63.8,62.6,68.1,,62.4,,,,,0,0,5,,80.0,0.0,0,0,0,1,0,0,0.0,16,3.2,4.17
Jacob Clark,101628,QB,MO STATE,1,0.0,0,47,230,90.6,32,34,8.7,2.76,0,0,0.0,73.5,25,12,13.8,42,89.4,4,17,,,,,69.7,81.3,77.3,,80.7,,59.6,,,1,0,44,41.7,120.7,11.9,5,3,0,1,2,0,0.0,308,9.1,91.7,24,26,7.7,2.7,0,0,0.0,76.9,20,10,9.1,33,70.2,2,11,,,,,69.1,75.8,76.8,,75.1,,59.6,,,1,0,35,40.0,118.6,12.1,4,3,0,1,1,0,0.0,247,9.5,92.3,13,13,7.0,2.55,0,0,0.0,76.9,10,2,16.7,14,29.8,2,8,,,,,66.2,80.7,71.4,,80.0,,,,,0,0,15,50.0,132.4,7.1,1,0,0,0,3,0,0.0,83,6.4,0,100.0,5,5,-0.6,1.76,0,0,0.0,100.0,5,0,0.0,5,10.6,0,2,,,,,64.2,66.0,68.6,,65.8,,,,,0,0,6,,124.6,0.0,0,0,0,0,2,0,0.0,22,4.4,-3.12
Nick Minicucci,173617,QB,DELAWARE,1,-17.65,0,47,151,75.8,33,34,11.8,3.43,1,3,8.3,64.7,22,17,12.0,45,95.7,3,13,,,,,70.2,84.7,77.3,,85.4,,61.2,,,0,1,47,47.1,91.9,17.8,8,3,0,0,1,1,2.1,313,9.2,75.8,33,34,11.4,3.37,1,3,8.8,67.6,23,15,8.0,43,91.5,2,13,,,,,70.1,86.8,77.1,,88.0,,61.2,,,0,1,43,40.0,95.8,14.0,6,3,0,0,1,1,2.3,325,9.6,100.0,2,2,4.5,2.95,0,0,0.0,50.0,1,2,50.0,4,8.5,1,1,,,,,63.8,59.2,68.6,,59.0,,,,,0,0,6,100.0,70.8,50.0,2,0,0,0,0,0,0.0,13,6.5,0,100.0,2,2,-3.5,1.15,0,0,0.0,100.0,2,0,0.0,2,4.3,0,1,,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,,118.8,0.0,0,0,0,0,0,0,0.0,25,12.5,-3.06
Jalen Kitna,146688,QB,UAB,1,-9.46,0,47,321,56.1,41,42,12.3,2.88,0,0,0.0,54.8,23,13,0.0,44,93.6,0,15,,,,,70.3,52.9,77.5,,50.5,,62.6,,,0,2,47,15.4,63.1,4.5,2,0,0,1,1,4,8.5,275,6.5,59.5,37,37,11.6,2.83,0,0,0.0,59.5,22,11,0.0,39,83.0,0,13,,,,,70.0,56.5,77.2,,53.9,,62.6,,,0,2,41,18.2,65.1,5.1,2,0,0,0,1,3,7.3,240,6.5,57.1,7,8,9.9,2.74,0,0,0.0,50.0,4,2,0.0,8,17.0,0,2,,,,,65.1,48.5,69.8,,48.6,,,,,0,0,9,0.0,65.1,0.0,0,0,0,1,0,1,11.1,41,5.1,0,100.0,3,3,-2.0,1.83,0,0,0.0,100.0,3,0,0.0,3,6.4,0,0,,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,6,2.0,-1.36
Landry Lyddy,156581,QB,SO MISS,1,17.21,0,46,296,74.3,35,37,7.9,3.0,1,2,5.3,59.5,22,5,15.4,39,84.8,4,10,,,,,69.5,66.5,76.9,,67.5,,56.3,,,0,2,40,0.0,64.5,0.0,0,2,0,1,1,2,5.0,234,6.3,80.0,25,27,3.4,2.76,1,0,0.0,59.3,16,4,20.0,28,60.9,4,6,,,,,68.8,53.3,76.3,,52.3,,59.4,,,0,1,30,0.0,68.8,0.0,0,1,0,1,1,1,3.3,132,4.9,76.5,17,17,10.4,2.76,0,2,11.8,76.5,13,2,0.0,18,39.1,0,5,,,,,66.8,84.0,72.0,,86.0,,57.3,,,0,1,18,0.0,74.4,0.0,0,1,0,0,0,1,5.6,135,7.9,0,100.0,7,7,-2.0,1.4,0,0,0.0,100.0,7,1,0.0,7,15.2,0,1,,,,,64.9,67.2,69.5,,66.9,,,,,0,0,8,0.0,86.3,0.0,0,0,0,0,0,0,0.0,33,4.7,3.05
Arch Manning,173162,QB,TEXAS,1,37.78,0,46,311,77.4,31,35,12.0,2.87,1,1,2.7,54.3,19,18,20.8,38,82.6,5,11,,,,,33.8,72.2,76.0,,73.3,,56.0,,,1,1,40,16.7,70.4,7.9,3,0,0,2,1,2,5.0,214,6.1,75.0,28,32,9.6,2.74,1,0,0.0,53.1,17,16,19.0,35,76.1,4,9,,,,,31.1,60.8,75.7,,61.7,,56.0,,,1,1,36,18.8,58.5,8.6,3,0,0,2,0,2,5.6,193,6.0,100.0,11,11,7.5,2.38,0,1,8.3,90.9,10,3,9.1,11,23.9,1,3,,,,,65.8,91.2,70.7,,90.9,,,,,0,0,12,0.0,118.9,0.0,0,0,0,0,1,0,0.0,58,5.3,0,100.0,8,8,-2.6,1.65,0,0,0.0,100.0,8,1,0.0,8,17.4,0,1,,,,,64.9,67.2,69.5,,66.9,,,,,0,0,8,0.0,85.9,0.0,0,0,0,0,0,0,0.0,37,4.6,-0.76
Marcel Reed,175940,QB,TEXAS A&M,1,22.73,0,44,312,69.4,36,37,11.3,3.01,0,3,7.5,54.1,20,15,20.0,42,95.5,5,17,,,,,32.8,69.7,77.1,,67.9,59.7,64.5,,,1,2,46,13.3,99.3,4.8,2,3,0,0,3,5,10.9,423,11.4,63.0,27,28,9.9,3.07,0,2,6.5,50.0,14,10,17.6,31,70.5,3,11,,,,,70.5,62.2,76.2,,57.8,,67.6,,,1,2,35,10.0,62.9,3.2,1,2,0,0,1,4,11.4,249,8.9,90.9,11,11,12.4,2.58,0,1,8.3,72.7,8,5,20.0,13,29.5,2,7,,,,,17.9,79.8,71.8,,83.1,59.7,57.0,,,0,0,14,20.0,154.4,7.7,1,1,0,0,2,1,7.1,190,17.3,0,100.0,2,2,-3.0,1.2,0,0,0.0,100.0,2,0,0.0,2,4.5,0,1,,,,,62.7,64.1,66.6,,63.9,,,,,0,0,3,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0,8.38
Rodney Tisdale Jr.,188754,QB,W KENTUCKY,1,9.07,0,44,346,82.4,34,36,11.1,2.49,0,4,10.8,66.7,24,10,14.3,39,88.6,4,18,,,,,71.1,92.6,77.6,,92.6,,65.4,,,1,1,40,20.0,114.6,5.1,2,1,0,1,3,0,0.0,352,9.8,85.2,27,28,9.3,2.37,0,3,10.3,67.9,19,7,17.4,30,68.2,4,12,,,,,70.7,90.3,77.2,,90.4,,65.4,,,1,1,31,14.3,88.8,3.3,1,1,0,0,1,0,0.0,223,8.0,83.3,12,13,9.9,2.49,0,1,7.7,76.9,10,4,0.0,14,31.8,0,7,,,,,66.2,91.5,71.2,,91.2,,,,,0,0,14,25.0,153.2,7.1,1,0,0,1,2,0,0.0,148,11.4,0,100.0,5,5,-1.8,1.76,0,0,0.0,100.0,5,1,0.0,5,11.4,0,1,,,,,63.8,65.7,68.1,,65.5,,,,,0,0,5,0.0,82.5,0.0,0,0,0,0,0,0,0.0,19,3.8,3.42
Landyn Locke,199937,QB,SM HOUSTON,1,-5.02,0,43,281,57.1,35,39,12.6,2.66,0,3,7.0,38.5,15,10,25.0,42,97.7,5,12,,,,,69.9,64.3,77.3,,62.7,,62.9,,,0,0,48,20.0,56.7,4.8,2,1,1,3,0,2,4.2,211,5.4,53.8,26,29,12.8,2.67,0,2,6.3,41.4,12,7,14.3,31,72.1,2,9,,,,,69.2,62.0,76.6,,60.1,,62.9,,,0,0,36,14.3,61.0,3.2,1,1,1,2,0,2,5.6,170,5.9,70.0,10,11,10.7,2.57,0,1,8.3,36.4,4,3,42.9,12,27.9,3,3,,,,,66.0,67.4,71.0,,67.1,,,,,0,0,13,33.3,48.7,8.3,1,0,0,1,0,0,0.0,43,3.9,0,100.0,1,1,-1.0,1.9,0,0,0.0,100.0,1,0,0.0,1,2.3,0,0,,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,-1.95
Byrum Brown,156206,QB,USF,1,-4.17,0,43,327,65.4,26,26,16.8,3.62,0,2,6.9,61.5,16,13,5.9,36,83.7,1,11,,,,,72.1,78.1,76.8,,79.6,,63.7,,,0,1,39,7.7,92.1,2.8,1,9,0,0,1,1,2.6,262,10.1,70.8,24,24,13.0,3.06,0,1,3.8,70.8,17,8,0.0,31,72.1,0,10,,,,,72.0,72.0,76.5,,67.6,54.3,68.7,,,0,1,33,12.5,116.5,3.2,1,6,0,0,2,1,3.0,259,10.8,77.8,9,9,11.6,3.75,0,1,10.0,66.7,6,6,14.3,12,27.9,1,3,,,,,66.0,81.6,71.0,,90.9,,50.3,,,0,0,13,0.0,89.1,0.0,0,3,0,0,0,0,0.0,68,7.6,0,100.0,7,7,-2.9,1.39,0,0,0.0,100.0,7,1,0.0,7,16.3,0,2,,,,,64.6,64.0,69.5,,66.3,54.3,,,,0,0,7,0.0,144.9,0.0,0,0,0,0,1,0,0.0,65,9.3,-3.23
