player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kaleb Eleby,77686,QB,W MICHIGAN,1,33.82,0,42,347,67.9,28,31,11.4,2.97,1,0,0.0,54.8,17,13,10.5,40,95.2,2,13,,,,16.9,47.3,27.3,,64.8,,,27.2,,,0,2,40,30.8,52.4,10.0,4,5,0,2,0,2,5.0,234,7.5,50.0,16,17,13.1,3.35,1,0,0.0,41.2,7,9,12.5,24,57.1,1,6,,,,16.3,39.8,20.5,,64.1,,,27.2,,,0,1,24,22.2,40.6,8.3,2,5,0,0,0,2,8.3,117,6.9,92.9,14,16,7.3,2.29,0,0,0.0,75.0,12,4,7.7,18,42.9,1,8,,,,27.9,64.8,72.0,,64.4,,,,,,0,1,18,50.0,75.0,11.1,2,0,0,2,0,0,0.0,140,8.8,0,100.0,2,2,-4.0,1.45,0,0,0.0,100.0,2,0,0.0,2,4.8,0,1,,,,61.8,62.9,65.5,,62.7,,,,,,0,0,2,,114.6,0.0,0,0,0,0,0,0,0.0,23,11.5,1.87
Tanner Mordecai,77656,QB,SMU,1,7.59,0,42,287,75.0,28,29,12.0,3.29,0,3,10.3,72.4,21,5,0.0,32,76.2,0,11,,,,32.7,76.0,76.4,,76.6,,,59.8,,,0,1,32,20.0,109.1,3.1,1,1,0,1,2,2,6.3,265,9.1,78.6,28,29,7.6,2.97,0,2,6.9,72.4,21,5,4.5,30,71.4,1,8,,,,31.2,68.2,76.3,,66.5,,,63.0,,,0,1,30,20.0,73.3,3.3,1,0,0,1,0,2,6.7,176,6.1,90.0,10,10,9.3,2.42,0,1,10.0,80.0,8,0,11.1,12,28.6,1,6,,,,65.8,85.2,70.7,,89.0,,,57.3,,,0,0,12,,158.3,0.0,0,1,0,0,2,0,0.0,146,14.6,0,100.0,10,10,-3.2,1.29,0,0,0.0,80.0,8,0,20.0,10,23.8,2,3,,,,65.4,67.9,70.1,,67.6,,,,,,0,0,10,,90.4,0.0,0,0,0,0,0,0,0.0,57,5.7,8.53
Luke Doty,124230,QB,S CAROLINA,1,-8.24,0,42,289,66.7,24,25,7.6,3.08,0,0,0.0,56.0,14,11,12.5,34,81.0,2,8,,,,68.7,61.6,76.9,,65.6,57.6,,51.7,,,1,0,37,36.4,71.9,11.8,4,5,0,0,0,0,0.0,139,5.6,76.0,25,26,5.6,2.69,0,0,0.0,65.4,17,8,10.5,35,83.3,2,10,,,,68.9,65.5,76.9,,70.2,57.6,,51.7,,,1,0,38,50.0,84.6,11.4,4,5,0,0,0,0,0.0,175,6.7,57.1,7,7,2.4,2.9,0,0,0.0,57.1,4,3,0.0,7,16.7,0,0,,,,64.2,48.0,69.5,,47.6,,,,,,0,0,7,0.0,62.8,0.0,0,0,0,0,0,0,0.0,22,3.1,0,87.5,8,8,-3.4,1.25,0,0,0.0,87.5,7,0,0.0,8,19.0,0,2,,,,64.9,61.9,69.5,,61.6,,,,,,0,0,8,,96.9,0.0,0,0,0,0,0,0,0.0,58,7.3,-3.59
Frank Harris,60586,QB,UTSA,1,-11.59,0,42,331,82.8,29,30,13.0,2.65,0,6,17.6,66.7,20,6,16.7,34,81.0,4,13,,,,38.7,91.5,77.0,,92.3,,,62.6,,,0,1,38,0.0,125.0,0.0,0,4,0,1,6,1,2.6,300,10.0,91.3,23,23,7.3,2.51,0,3,12.0,78.3,18,5,14.3,26,61.9,3,9,,,66.7,33.7,88.9,76.5,,90.5,89.1,,59.6,,,0,0,28,0.0,137.6,0.0,0,3,0,0,3,1,3.6,173,7.5,78.6,14,15,13.9,2.32,0,3,17.6,66.7,10,2,9.1,16,38.1,1,6,,,,66.8,90.5,72.0,,89.0,,,64.3,,,0,1,18,0.0,118.3,0.0,0,1,0,1,3,0,0.0,176,11.7,0,100.0,8,8,-1.8,1.53,0,0,0.0,100.0,8,1,0.0,8,19.0,0,2,,,66.7,65.4,76.4,69.8,,66.8,89.1,,,,,0,0,8,0.0,92.2,0.0,0,0,0,0,0,0,0.0,49,6.1,4.21
Michael Pratt,123229,QB,TULANE,1,0.0,0,41,319,77.3,22,25,6.2,2.61,0,0,0.0,64.0,16,16,5.9,36,87.8,1,9,,,66.7,37.7,49.8,76.8,,50.2,81.9,,49.5,,,1,0,39,50.0,113.8,22.2,8,3,0,2,2,2,5.1,190,7.6,81.8,22,24,3.5,2.36,0,0,0.0,66.7,16,12,11.1,31,75.6,2,7,,,,70.9,53.7,76.4,,57.5,,,51.0,,,1,0,34,41.7,95.1,16.1,5,2,0,1,1,1,2.9,136,5.7,80.0,5,6,8.4,3.03,0,0,0.0,66.7,4,5,0.0,10,24.4,0,3,,,66.7,18.7,50.9,70.7,,44.4,81.9,,57.3,,,0,0,10,60.0,149.3,30.0,3,1,0,1,1,1,10.0,78,13.0,0,100.0,5,5,-3.4,1.86,0,0,0.0,80.0,4,1,20.0,5,12.2,1,1,,,,63.8,65.6,68.1,,65.3,,,,,,0,0,5,0.0,86.7,0.0,0,0,0,0,0,0,0.0,24,4.8,7.33
Gunnar Watson,83570,QB,TROY,1,-40.0,0,41,318,81.8,22,26,8.4,2.67,0,2,7.4,61.5,16,14,11.1,31,75.6,2,8,,,,26.3,61.7,76.1,,60.6,,,60.0,,,2,0,32,35.7,111.9,16.1,5,0,0,2,2,1,3.1,205,7.9,85.7,28,30,3.5,2.22,0,2,6.5,73.3,22,9,8.3,33,80.5,2,10,,,,26.9,64.2,76.2,,63.2,,,60.0,,,2,0,34,33.3,117.9,9.1,3,0,0,0,2,1,2.9,234,7.8,75.0,4,6,15.5,3.2,0,0,0.0,33.3,2,5,33.3,8,19.5,1,1,,,,64.9,56.5,69.5,,56.4,,,,,,0,0,8,40.0,54.9,25.0,2,0,0,2,0,0,0.0,36,6.0,0,90.0,10,10,-2.5,1.62,0,0,0.0,80.0,8,0,11.1,10,24.4,1,3,,,,65.4,63.2,70.1,,62.9,,,,,,0,0,10,,93.8,0.0,0,0,0,0,0,0,0.0,65,6.5,-1.8
Matt McDonald,60350,QB,BOWL GREEN,1,-11.29,0,40,122,75.0,32,33,11.1,2.85,0,4,12.1,57.6,19,11,20.8,38,95.0,5,11,,,,32.1,72.8,76.8,,71.1,,,63.9,,,0,3,38,36.4,62.8,10.5,4,1,1,0,2,3,7.9,241,7.3,76.7,30,31,10.7,2.71,0,4,12.9,61.3,19,8,17.4,35,87.5,4,10,,,,30.0,82.7,76.7,,81.5,,,63.9,,,0,2,35,37.5,78.8,8.6,3,1,1,0,2,2,5.7,231,7.5,75.0,4,4,6.3,3.24,0,0,0.0,50.0,2,3,33.3,5,12.5,1,2,,,,63.8,29.3,68.1,,29.5,,,,,,0,1,5,33.3,31.3,20.0,1,0,0,0,0,1,20.0,26,6.5,0,100.0,2,2,-4.0,1.45,0,0,0.0,100.0,2,0,0.0,2,5.0,0,1,,,,61.8,62.8,65.5,,62.6,,,,,,0,0,2,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0,-0.95
Mikey Keene,70961,QB,UCF,1,-5.92,0,40,323,70.8,24,25,12.4,3.05,0,2,8.0,56.0,14,9,17.6,30,75.0,3,4,,,,68.2,61.7,76.4,,66.3,,,47.8,,,0,1,30,22.2,48.8,6.7,2,3,0,1,0,1,3.3,100,4.0,88.2,17,19,5.1,3.08,0,0,0.0,68.4,13,7,13.3,23,57.5,2,3,,,,67.5,61.8,75.9,,68.3,,,47.8,,,0,0,23,14.3,73.4,4.3,1,3,0,2,0,0,0.0,65,3.4,68.8,16,16,11.1,2.31,0,2,12.5,62.5,10,2,9.1,17,42.5,1,5,,,,66.7,63.8,71.8,,63.5,,,,,,0,1,17,50.0,61.7,5.9,1,0,0,0,0,1,5.9,129,8.1,0,100.0,9,10,-3.7,1.85,0,0,0.0,90.0,9,0,0.0,10,25.0,0,4,,,,65.4,65.8,70.1,,65.5,,,,,,0,0,10,,105.8,0.0,0,0,0,1,0,0,0.0,94,9.4,4.64
Garrett Shrader,98212,QB,SYRACUSE,1,35.0,0,40,304,63.6,22,24,14.1,3.48,0,0,0.0,50.0,12,16,14.3,36,90.0,2,11,,,,74.5,78.6,77.6,,54.8,,,85.1,,,0,0,38,25.0,95.8,11.1,4,8,0,2,2,1,2.6,140,5.8,57.1,14,15,13.6,3.71,0,0,0.0,40.0,6,12,25.0,26,65.0,2,9,,,,74.5,80.1,77.0,,50.2,,,85.1,,,0,0,27,25.0,75.1,11.5,3,8,0,1,1,0,0.0,63,4.2,81.8,11,12,10.5,2.64,0,0,0.0,75.0,9,6,0.0,14,35.0,0,4,,,,66.4,61.3,71.4,,61.0,,,,,,0,0,15,33.3,126.0,14.3,2,0,0,1,1,1,6.7,97,8.1,0,100.0,3,3,-2.0,2.0,0,0,0.0,100.0,3,2,0.0,4,10.0,0,2,,,,63.3,54.1,67.4,,54.1,,,,,,0,0,4,50.0,94.4,25.0,1,0,0,0,0,0,0.0,20,6.7,3.88
Sam Howell,97599,QB,N CAROLINA,1,-11.69,0,40,245,63.0,27,29,16.2,3.08,0,2,6.5,48.3,14,14,17.6,37,92.5,3,11,,,,70.4,85.9,77.1,,71.5,57.0,,87.2,,,0,1,41,7.1,75.9,2.7,1,7,0,2,2,1,2.4,174,6.0,70.0,20,21,12.7,3.06,0,1,4.3,57.1,12,10,14.3,27,67.5,2,9,,,,69.8,81.3,76.5,,63.3,,,85.9,,,0,1,31,0.0,73.1,0.0,0,6,0,1,1,1,3.2,138,6.6,60.0,10,11,17.1,2.78,0,1,9.1,45.5,5,4,16.7,13,32.5,1,3,,,,66.0,82.1,71.2,,80.0,57.0,,64.3,,,0,0,13,25.0,94.9,7.7,1,1,0,1,1,0,0.0,65,5.9,0,100.0,3,3,-4.0,1.6,0,0,0.0,100.0,3,0,0.0,3,7.5,0,1,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,106.9,0.0,0,0,0,0,0,0,0.0,29,9.7,-0.66
Casey Thompson,77677,QB,TEXAS,1,19.61,0,39,311,62.5,24,28,17.5,2.98,0,4,13.8,53.6,15,12,0.0,32,82.1,0,12,,,,68.5,86.8,76.2,,87.9,,,57.3,,,1,0,33,25.0,129.3,9.4,3,1,0,3,4,0,0.0,289,10.3,60.0,15,17,12.4,2.79,0,1,5.6,47.1,8,7,11.1,19,48.7,1,4,,,,67.1,70.0,75.3,,69.2,,,,,,0,0,20,28.6,65.6,10.5,2,0,0,2,0,0,0.0,99,5.8,80.0,15,18,14.3,2.62,0,3,16.7,66.7,12,7,0.0,20,51.3,0,10,,,,67.1,90.6,72.4,,91.1,,,57.3,,,2,0,20,14.3,149.3,5.0,1,1,0,1,5,0,0.0,289,16.1,0,100.0,6,7,-3.3,1.44,0,0,0.0,71.4,5,2,16.7,7,17.9,1,2,,,,64.6,64.2,69.1,,63.9,,,,,,1,0,7,0.0,153.3,0.0,0,0,0,0,1,0,0.0,99,14.1,10.24
Clayton Tune,77652,QB,HOUSTON,1,-16.67,0,39,182,68.8,32,34,10.3,2.64,0,2,5.7,61.8,21,18,4.5,36,92.3,1,14,,,,68.8,74.8,77.0,,73.8,,,,,,0,0,37,11.1,118.0,5.6,2,0,0,2,3,1,2.7,286,8.4,75.0,28,30,7.3,2.52,0,1,3.1,66.7,20,14,4.8,33,84.6,1,12,,,,68.6,70.5,76.9,,69.5,,,,,,0,0,35,14.3,122.6,6.1,2,0,0,2,3,1,2.9,228,7.6,50.0,6,6,19.8,2.88,0,1,16.7,50.0,3,4,0.0,6,15.4,0,2,,,,64.2,76.6,68.6,,76.1,,,,,,0,0,6,0.0,85.4,0.0,0,0,0,0,0,0,0.0,60,10.0,0,100.0,2,2,-3.0,1.83,0,0,0.0,100.0,2,0,0.0,3,7.7,0,0,,,,63.3,59.9,67.4,,59.7,,,,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,2,1.0,2.4
Sam Hartman,77618,QB,WAKE,1,10.14,0,39,339,64.5,31,31,15.6,3.4,0,1,2.9,58.1,18,9,10.0,38,97.4,2,15,,,,70.5,72.7,77.0,,72.4,,,58.9,,,0,1,43,33.3,113.1,7.9,3,4,0,0,3,2,4.7,326,10.5,60.9,23,23,16.4,3.43,0,1,3.7,56.5,13,8,7.1,27,69.2,1,12,,,,69.8,67.6,76.3,,65.9,,,59.7,,,0,1,31,37.5,117.2,11.1,3,1,0,0,3,2,6.5,257,11.2,77.8,9,9,11.6,3.15,0,0,0.0,66.7,6,1,14.3,12,30.8,1,3,,,,66.0,77.3,71.0,,80.9,,,58.7,,,0,0,13,0.0,91.4,0.0,0,3,0,0,0,0,0.0,73,8.1,0,100.0,1,1,-2.0,1.4,0,0,0.0,100.0,1,0,0.0,1,2.6,0,0,,,,60.3,61.1,63.6,,61.0,,,,,,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,-3.06
Cade McNamara,101620,QB,MICHIGAN,1,-10.0,0,39,222,62.5,32,36,10.3,2.5,2,0,0.0,55.6,20,11,0.0,37,94.9,0,12,,,,70.3,54.9,77.4,,54.6,,,56.8,,,0,1,40,9.1,65.0,2.7,1,0,0,2,0,0,0.0,244,6.8,66.7,27,30,6.4,2.37,1,0,0.0,60.0,18,8,0.0,31,79.5,0,10,,,,70.0,54.0,77.1,,53.6,,,56.8,,,0,1,34,12.5,61.1,3.2,1,0,0,2,0,0,0.0,165,5.5,57.1,7,8,20.9,2.78,1,0,0.0,50.0,4,3,0.0,8,20.5,0,2,,,,64.9,61.9,69.5,,61.7,,,,,,0,0,8,0.0,90.6,0.0,0,0,0,0,0,0,0.0,90,11.3,0,100.0,2,2,-4.5,1.7,0,0,0.0,100.0,2,0,0.0,2,5.1,0,0,,,,61.8,62.9,65.5,,62.7,,,,,,0,0,2,,89.6,0.0,0,0,0,0,0,0,0.0,11,5.5,5.75
Dustin Crum,60418,QB,KENT STATE,1,1.54,0,39,201,71.0,31,33,17.0,2.4,1,3,8.1,57.6,19,8,13.6,36,92.3,3,15,,,,73.7,87.5,77.6,,80.1,,,77.3,,,0,0,40,12.5,127.2,2.8,1,2,0,1,3,0,0.0,371,11.2,66.7,9,10,12.3,2.58,0,0,0.0,60.0,6,4,0.0,12,30.8,0,6,,,,73.7,86.7,76.0,,74.1,,,77.3,,,0,0,13,0.0,104.2,0.0,0,2,0,1,0,0,0.0,161,16.1,76.0,25,26,16.3,2.26,1,3,10.0,61.5,16,4,15.8,27,69.2,3,10,,,,68.3,78.8,73.9,,78.0,,,,,,0,0,31,25.0,131.6,3.7,1,0,0,0,3,0,0.0,248,9.5,0,100.0,3,3,-3.0,1.9,0,0,0.0,100.0,3,0,0.0,3,7.7,0,1,,,,63.3,64.9,67.4,,64.6,,,,,,0,0,4,,118.8,0.0,0,0,0,0,0,0,0.0,38,12.7,-6.56
Ben Bryant,77655,QB,E MICHIGAN,1,8.33,0,38,160,70.4,27,28,10.2,2.46,0,2,6.9,64.3,18,14,5.3,35,92.1,1,10,,,,70.5,64.4,19.5,,66.2,54.3,,60.8,,,1,1,36,42.9,83.0,17.1,6,1,0,0,1,2,5.6,204,7.3,70.4,27,27,9.1,2.18,0,2,7.1,66.7,18,8,5.3,29,76.3,1,10,,,,70.2,65.9,15.6,,67.4,,,60.8,,,0,1,30,12.5,82.3,3.4,1,1,0,0,1,2,6.7,180,6.7,100.0,3,4,6.3,2.97,0,0,0.0,75.0,3,7,0.0,9,23.7,0,1,,,,65.1,59.0,70.1,,60.7,54.3,,,,,1,0,9,71.4,91.7,55.6,5,0,0,0,0,0,0.0,26,6.5,0,100.0,3,3,-3.7,1.27,0,0,0.0,100.0,3,1,0.0,3,7.9,0,1,,,,62.7,64.0,66.6,,63.8,,,,,,0,0,3,0.0,79.2,0.0,0,0,0,0,0,0,0.0,2,0.7,-0.17
Noah Vedral,55406,QB,RUTGERS,1,21.21,0,38,278,65.2,23,27,12.6,3.21,0,2,6.9,48.1,13,16,13.3,33,86.8,2,8,,,,38.2,71.2,76.8,,70.3,,,63.4,,,1,0,36,25.0,68.3,12.1,4,2,0,3,0,1,2.8,169,6.3,66.7,18,22,7.3,2.69,0,1,4.2,45.5,10,12,16.7,28,73.7,2,4,,,,34.8,57.1,76.4,,48.7,,,68.0,,,1,0,30,33.3,61.4,14.3,4,1,0,3,0,1,3.3,113,5.1,77.8,9,9,16.1,3.56,0,1,11.1,66.7,6,4,14.3,10,26.3,1,5,,,,65.6,90.5,70.4,,92.5,,,52.7,,,0,0,11,0.0,101.6,0.0,0,1,0,0,0,0,0.0,95,10.6,0,100.0,4,4,-3.0,1.02,0,0,0.0,75.0,3,0,25.0,5,13.2,1,1,,,,63.8,62.6,68.1,,62.4,,,,,,0,0,5,,105.2,0.0,0,0,0,0,0,0,0.0,39,9.8,5.42
Jake Lange,121467,QB,SO MISS,1,-1.36,0,38,296,60.9,23,24,10.1,2.7,1,0,0.0,58.3,14,11,0.0,30,78.9,0,8,,,,69.5,40.1,21.5,,42.2,,,53.9,,,0,1,34,36.4,95.7,13.3,4,2,0,0,2,2,5.9,199,8.3,68.4,19,20,5.2,2.52,1,0,0.0,65.0,13,9,0.0,25,65.8,0,7,,,,69.1,39.8,17.9,,40.9,,,56.9,,,0,0,27,44.4,103.1,16.0,4,1,0,0,1,1,3.7,145,7.3,70.0,10,11,12.3,2.52,1,0,0.0,63.6,7,4,0.0,13,34.2,0,4,,,,66.2,51.2,71.4,,53.1,,,57.3,,,0,1,15,25.0,83.1,7.7,1,1,0,0,1,1,6.7,94,8.5,0,100.0,6,7,-1.8,1.85,1,0,0.0,85.7,6,2,0.0,8,21.1,0,3,,,,64.9,56.9,69.5,,56.7,,,,,,0,0,8,50.0,90.5,12.5,1,0,0,0,0,0,0.0,40,5.7,1.3
Brady McBride,77641,QB,TEXAS ST,1,3.16,0,38,314,72.7,22,25,10.7,4.1,0,4,12.5,60.0,15,9,6.3,34,89.5,1,11,,,,72.2,72.6,77.6,,70.1,,,65.8,,,0,3,42,33.3,70.2,8.8,3,6,0,3,2,2,4.8,186,7.4,77.8,9,10,5.3,3.04,0,2,12.5,60.0,6,4,14.3,14,36.8,1,4,,,,71.7,75.1,76.3,,66.4,,,72.1,,,0,0,20,50.0,101.3,14.3,2,2,0,1,1,0,0.0,38,3.8,75.0,16,19,11.4,4.35,0,2,9.5,63.2,12,5,0.0,24,63.2,0,7,,,,67.9,63.0,73.4,,67.6,,,53.6,,,0,3,27,20.0,66.4,4.2,1,4,0,3,1,2,7.4,154,8.1,0,100.0,3,4,-1.7,1.93,0,0,0.0,75.0,3,0,0.0,4,10.5,0,0,,,,63.8,55.8,68.1,,55.6,,,,,,0,0,5,,77.1,0.0,0,0,0,1,0,0,0.0,6,1.5,4.31
Spencer Petras,82136,QB,IOWA,1,-33.93,0,37,192,69.6,23,28,6.8,2.88,0,1,3.4,53.6,15,13,6.3,34,91.9,1,8,,,,70.9,69.2,77.0,,67.1,,,63.9,,,1,1,35,30.8,83.0,11.8,4,2,0,4,2,0,0.0,184,6.6,78.9,19,24,4.1,2.71,0,0,0.0,62.5,15,13,0.0,29,78.4,0,7,,,,70.7,68.5,76.8,,64.1,,,67.5,,,1,0,30,30.8,91.8,13.8,4,1,0,4,1,0,0.0,137,5.7,50.0,6,7,13.2,3.14,0,1,14.3,28.6,2,1,33.3,8,21.6,1,2,,,,64.9,65.0,69.5,,68.9,,,57.0,,,0,1,8,0.0,61.6,0.0,0,1,0,1,1,0,0.0,58,8.3,0,100.0,2,3,0.0,1.93,0,0,0.0,66.7,2,1,0.0,3,8.1,0,1,,,,62.7,60.3,66.6,,60.2,,,,,,0,0,3,0.0,72.9,0.0,0,0,0,1,0,0,0.0,11,3.7,2.58
Jarret Doege,60353,QB,W VIRGINIA,1,2.67,0,37,343,75.0,24,28,8.5,2.87,1,1,3.4,64.3,18,13,0.0,34,91.9,0,10,,,,69.2,70.5,75.7,,70.8,,,59.3,,,0,1,36,38.5,85.3,14.7,5,1,0,3,1,0,0.0,219,7.8,69.6,23,25,6.9,2.7,0,1,3.8,64.0,16,8,0.0,29,78.4,0,8,,,,68.8,70.0,75.2,,68.6,,,62.7,,,0,1,30,37.5,64.8,10.3,3,1,0,2,0,0,0.0,156,6.2,100.0,4,6,11.3,3.13,1,0,0.0,66.7,4,6,0.0,8,21.6,0,3,,,,65.1,62.8,69.8,,66.3,,,57.3,,,0,0,9,33.3,149.3,25.0,2,0,0,1,1,0,0.0,81,13.5,0,66.7,3,3,0.0,1.97,0,0,0.0,66.7,2,1,0.0,3,8.1,0,1,,,,62.7,55.9,66.6,,55.9,,,,,,0,0,3,0.0,82.6,0.0,0,0,0,0,0,0,0.0,18,6.0,7.26
Max Bortenschlager,46500,QB,FIU,1,15.91,0,37,166,77.8,27,29,12.2,2.63,1,2,6.9,62.1,18,15,14.3,36,97.3,3,14,,,,29.9,64.5,75.7,,66.3,,,53.6,,,1,1,36,33.3,131.1,13.9,5,2,0,0,4,2,5.6,451,15.6,75.0,20,22,9.4,2.49,1,1,4.5,59.1,13,12,13.3,28,75.7,2,9,,,,27.6,52.9,75.1,,54.6,,,53.6,,,1,1,28,33.3,108.1,14.3,4,2,0,0,2,2,7.1,240,10.9,87.5,8,8,16.9,3.09,0,1,12.5,75.0,6,3,14.3,9,24.3,1,6,,,,65.1,85.7,69.8,,84.9,,,,,,0,0,9,33.3,156.3,11.1,1,0,0,0,2,0,0.0,226,28.3,0,100.0,1,1,-6.0,2.8,0,0,0.0,100.0,1,0,0.0,1,2.7,0,1,,,,60.3,60.8,63.6,,60.6,,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0,17.34
KJ Jefferson,99129,QB,ARKANSAS,1,6.58,0,37,111,74.2,31,32,14.5,3.32,0,2,6.1,68.8,22,9,4.3,34,91.9,1,16,,,,75.1,88.7,78.0,,81.5,,,76.9,,,0,1,35,11.1,106.8,2.9,1,1,0,1,2,0,0.0,304,9.5,73.7,19,19,12.5,3.14,0,1,5.0,68.4,13,4,7.1,19,51.4,1,9,,,,75.2,85.9,77.3,,77.7,,,75.6,,,0,1,20,0.0,85.9,0.0,0,0,0,0,1,0,0.0,142,7.5,80.0,15,16,13.7,3.34,0,1,6.3,75.0,12,5,0.0,18,48.6,0,8,,,,66.8,80.3,72.0,,77.3,,,64.0,,,0,0,18,20.0,152.1,5.6,1,1,0,1,2,0,0.0,184,11.5,0,100.0,3,3,-1.3,2.33,0,0,0.0,100.0,3,0,0.0,3,8.1,0,1,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,136.8,0.0,0,0,0,0,1,0,0.0,22,7.3,4.03
Holton Ahlers,77651,QB,E CAROLINA,1,10.91,0,36,156,69.6,23,26,10.1,2.81,1,0,0.0,57.7,15,13,6.3,29,80.6,1,8,,,,70.2,71.2,76.8,,61.6,,,77.2,,,1,1,29,15.4,77.9,6.9,2,1,0,1,1,1,3.4,193,7.4,65.0,20,22,8.9,2.7,0,0,0.0,59.1,13,14,0.0,26,72.2,0,7,,,,70.0,72.4,76.7,,62.3,,,77.2,,,1,1,26,21.4,61.7,11.5,3,1,0,1,0,1,3.8,155,7.0,88.9,9,10,5.3,2.21,1,0,0.0,70.0,7,1,12.5,10,27.8,1,3,,,,65.4,62.2,70.1,,61.9,,,,,,0,0,10,0.0,120.8,0.0,0,0,0,0,1,0,0.0,65,6.5,0,83.3,6,6,-1.2,1.53,0,0,0.0,83.3,5,2,0.0,7,19.4,0,2,,,,64.6,64.1,69.1,,63.9,,,,,,0,0,7,50.0,85.4,14.3,1,0,0,0,0,0,0.0,27,4.5,-0.55
