player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Seth Henigan,144267,QB,MEMPHIS,1,19.74,0,51,218,63.6,33,38,11.5,3.03,0,2,5.0,50.0,19,14,9.5,43,84.3,2,11,,,,,70.6,64.1,77.0,63.2,,61.0,2,1,45,0.0,65.0,0.0,0,5,1,2,1,2,4.4,214,5.6,69.7,33,38,8.0,2.9,0,0,0.0,55.3,21,13,8.7,42,82.4,2,11,,,,,70.5,61.0,76.9,58.5,,63.6,2,1,44,0.0,69.5,0.0,0,4,1,2,1,1,2.3,215,5.7,75.0,8,8,11.3,2.54,0,2,25.0,75.0,6,1,0.0,9,17.6,0,3,,,,,65.1,76.5,69.8,81.2,,57.0,0,0,9,0.0,102.1,0.0,0,1,0,0,0,1,11.1,72,9.0,0,100.0,8,8,-3.0,1.8,0,0,0.0,100.0,8,0,0.0,8,15.7,0,3,,,,,64.9,67.3,69.5,67.0,,,0,0,8,,104.7,0.0,0,0,0,0,0,0,0.0,73,9.1,3.34
Brayden Schager,146078,QB,HAWAII,1,5.0,0,50,180,67.5,40,41,11.8,2.8,0,4,9.3,53.7,22,16,18.5,46,92.0,5,11,,,,,70.7,74.0,24.6,75.8,,59.5,0,0,48,18.8,77.4,6.5,3,2,0,1,1,2,4.2,221,5.4,66.7,39,40,9.8,2.7,0,2,4.8,55.0,22,16,15.4,45,90.0,4,8,,,,,70.7,63.1,24.2,64.4,,59.5,0,0,47,18.8,75.2,6.7,3,2,0,1,1,2,4.3,182,4.6,80.0,5,5,16.4,2.8,0,2,40.0,60.0,3,1,25.0,5,10.0,1,3,,,,,63.8,93.5,68.1,93.1,,,0,0,5,0.0,92.1,0.0,0,0,0,0,0,0,0.0,48,9.6,0,75.0,4,4,-1.8,1.6,0,0,0.0,75.0,3,1,0.0,4,8.0,0,0,,,,,63.3,57.6,67.4,57.5,,,0,0,4,0.0,77.1,0.0,0,0,0,0,0,0,0.0,9,2.3,5.05
C.J. Stroud,129759,QB,OHIO STATE,1,3.33,0,50,260,70.0,40,42,9.6,3.0,0,3,7.0,64.3,27,10,3.6,43,86.0,1,14,,,,,69.7,83.5,77.0,82.5,,60.0,0,2,44,10.0,83.3,2.3,1,0,0,2,2,0,0.0,319,7.6,67.9,28,30,9.4,2.8,1,3,10.0,63.3,19,7,0.0,31,62.0,0,11,,,,,68.8,82.8,76.3,82.1,,60.0,0,2,31,14.3,83.2,3.2,1,0,0,1,2,0,0.0,244,8.1,82.4,17,18,6.1,3.09,0,0,0.0,66.7,12,3,14.3,19,38.0,2,5,,,,,67.1,70.5,72.4,72.4,,57.3,0,0,20,0.0,81.9,0.0,0,1,0,1,0,0,0.0,105,5.8,0,100.0,5,6,-3.0,2.39,1,0,0.0,66.7,4,0,20.0,7,14.0,1,2,,,,,64.6,58.7,69.1,63.2,,57.3,0,0,7,,78.5,0.0,0,1,0,0,0,0,0.0,30,5.0,-2.3
Nate Cox,60432,QB,NEVADA,1,-19.64,0,49,239,59.5,37,39,10.9,2.75,1,3,7.3,53.8,21,18,4.5,41,83.7,1,12,,,,,42.8,64.9,77.6,65.0,60.0,59.5,0,2,43,5.6,63.3,2.4,1,1,1,0,1,2,4.7,273,7.0,65.8,38,40,8.1,2.51,1,2,4.8,62.5,25,16,0.0,42,85.7,0,10,,,,,43.2,63.9,77.7,63.9,60.0,59.5,0,1,44,6.3,78.4,2.4,1,1,1,0,1,2,4.5,253,6.3,57.1,7,7,10.3,2.46,0,1,14.3,42.9,3,2,25.0,7,14.3,1,2,,,,,64.6,65.8,69.1,65.5,,,0,1,7,0.0,21.4,0.0,0,0,0,0,0,0,0.0,39,5.6,0,87.5,8,8,-2.9,1.24,0,0,0.0,87.5,7,0,0.0,8,16.3,0,0,,,,,64.9,61.9,69.5,61.6,,,0,0,8,,79.2,0.0,0,0,0,0,0,0,0.0,19,2.4,-0.76
Payton Thorne,101629,QB,MICH STATE,1,-11.91,0,48,223,71.9,32,38,11.2,2.6,2,3,6.5,52.6,20,23,13.0,41,85.4,3,12,,,,,70.4,65.8,77.0,64.3,,63.1,0,1,49,13.0,68.2,7.3,3,0,1,3,1,2,4.1,223,5.9,76.9,26,31,8.9,2.46,2,1,2.6,58.1,18,17,10.0,34,70.8,2,8,,,,,70.0,58.3,76.5,56.5,,63.1,0,1,41,17.6,68.1,8.8,3,0,1,2,1,2,4.9,151,4.9,70.0,10,13,10.6,2.45,1,2,14.3,46.2,6,7,14.3,14,29.2,1,4,,,,,21.6,65.5,71.4,65.2,,,0,0,15,0.0,65.5,0.0,0,0,0,2,0,0,0.0,78,6.0,0,100.0,4,6,-4.8,1.61,1,0,0.0,66.7,4,1,0.0,7,14.6,0,0,,,,,15.0,35.4,69.1,35.4,,,0,0,7,0.0,70.1,0.0,0,0,0,1,0,0,0.0,6,1.0,1.13
Braylon Braxton,144442,QB,TULSA,1,-7.38,0,48,320,71.4,35,38,14.4,2.97,0,5,13.2,57.9,22,14,12.0,43,89.6,3,13,,,,,41.0,80.3,76.9,76.1,,71.4,1,0,43,21.4,102.6,7.0,3,2,0,2,2,1,2.3,317,8.3,76.0,25,28,11.6,3.02,0,3,10.7,60.7,17,12,10.5,33,68.8,2,10,,,,,36.0,80.1,76.3,75.2,,71.4,1,0,33,25.0,108.9,9.1,3,2,0,2,2,1,3.0,218,7.8,64.3,14,15,14.8,2.59,0,2,13.3,53.3,8,3,11.1,15,31.3,1,4,,,,,66.4,69.7,71.4,69.2,,,0,0,15,0.0,96.0,0.0,0,0,0,1,1,0,0.0,98,6.5,0,75.0,4,5,-1.5,2.1,0,0,0.0,60.0,3,1,0.0,5,10.4,0,1,,,,,63.8,62.1,68.1,61.9,,,0,0,5,0.0,104.2,0.0,0,0,0,1,1,0,0.0,-1,-0.2,-1.26
Sam Hartman,77618,QB,WAKE,1,4.82,0,48,339,73.7,38,43,15.1,3.33,1,4,9.3,60.5,26,18,7.1,48,100.0,2,19,,,,,71.1,90.7,77.1,89.7,,70.9,2,1,48,11.1,99.7,4.2,2,3,0,2,3,2,4.2,347,8.1,71.4,21,24,15.4,3.33,1,2,8.3,58.3,14,13,6.7,28,58.3,1,11,,,,,70.1,86.1,75.9,84.1,,67.8,1,1,28,15.4,91.7,7.1,2,2,0,1,2,1,3.6,176,7.3,76.5,17,19,14.8,3.34,0,2,10.5,63.2,12,5,7.7,20,41.7,1,8,,,,,67.1,88.0,72.4,85.1,,64.3,1,0,20,0.0,109.8,0.0,0,1,0,1,1,1,5.0,171,9.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.67
Garret Rangel,157795,QB,OKLA STATE,1,-8.8,0,48,262,53.3,30,32,13.7,2.64,0,1,2.9,34.4,11,14,31.3,37,77.1,5,5,,,,,36.3,46.2,77.2,53.1,,37.7,0,0,40,28.6,48.8,10.8,4,1,0,2,0,0,0.0,139,4.3,69.0,29,31,10.0,2.29,0,1,3.0,45.2,14,10,30.0,35,72.9,6,4,,,,,34.6,50.8,77.0,58.7,,37.7,0,0,37,30.0,56.7,8.6,3,1,0,2,0,0,0.0,126,4.1,36.4,11,11,9.5,2.39,0,0,0.0,36.4,4,4,0.0,13,27.1,0,2,,,,,66.2,48.0,71.2,48.0,,,0,0,14,25.0,52.1,7.7,1,0,0,0,0,0,0.0,52,4.7,0,80.0,10,10,-1.8,1.23,0,0,0.0,70.0,7,0,12.5,11,22.9,1,1,,,,,65.6,61.7,70.4,61.5,,,0,0,11,,76.7,0.0,0,0,0,0,0,0,0.0,39,3.9,0.67
Will Rogers,124184,QB,MISS STATE,1,8.33,0,47,227,77.4,31,36,5.6,3.0,2,0,0.0,63.9,23,15,4.2,43,91.5,1,11,,,,,17.5,44.5,77.3,47.7,,47.8,0,1,44,26.7,84.6,9.3,4,3,1,2,2,3,6.8,193,5.4,80.6,31,36,3.9,2.83,2,0,0.0,66.7,24,13,4.0,43,91.5,1,12,,,,,17.5,43.8,77.3,47.0,,47.8,0,1,44,30.8,89.7,9.3,4,3,1,2,2,3,6.8,217,6.0,75.0,4,4,9.8,3.18,0,0,0.0,75.0,3,2,0.0,4,8.5,0,1,,,,,63.3,65.7,67.4,65.4,,,0,0,4,0.0,87.5,0.0,0,0,0,0,0,0,0.0,22,5.5,0,100.0,4,4,-3.0,1.35,0,0,0.0,100.0,4,0,0.0,4,8.5,0,2,,,,,63.3,65.0,67.4,64.8,,,0,0,4,,114.6,0.0,0,0,0,0,0,0,0.0,46,11.5,-0.53
Chase Cunningham,78533,QB,MIDDLE TN,1,-38.97,0,46,224,74.1,27,29,8.9,3.21,0,1,3.3,65.5,19,17,5.0,33,71.7,1,11,,,,,71.7,77.1,77.4,70.9,,72.9,0,0,36,17.6,87.6,9.1,3,1,0,2,0,0,0.0,215,7.4,84.4,32,34,5.0,2.36,0,1,2.9,76.5,26,13,3.7,37,80.4,1,14,,,,,71.8,84.0,77.6,79.4,,72.9,0,0,40,15.4,97.2,5.4,2,1,0,2,0,0,0.0,256,7.5,37.5,8,8,5.4,3.68,0,0,0.0,37.5,3,4,0.0,9,19.6,0,1,,,,,65.4,36.4,70.1,36.6,,,0,0,10,25.0,45.8,11.1,1,0,0,0,0,0,0.0,23,2.9,0,76.9,13,13,-2.8,1.11,0,0,0.0,76.9,10,0,0.0,13,28.3,0,4,,,,,66.2,58.7,71.2,58.5,,,0,0,14,,86.7,0.0,0,0,0,0,0,0,0.0,64,4.9,-4.65
Tanner McKee,131770,QB,STANFORD,1,-17.2,0,46,300,81.1,37,38,7.6,2.69,0,0,0.0,76.3,29,15,3.3,43,93.5,1,17,,,,,69.3,79.3,76.2,76.0,,70.0,0,0,45,20.0,108.1,7.0,3,2,1,0,1,0,0.0,307,8.1,88.5,26,27,5.7,2.43,0,0,0.0,81.5,22,9,4.3,30,65.2,1,10,,,,,68.3,79.8,75.2,77.2,,64.3,0,0,32,22.2,105.2,6.7,2,1,1,0,1,0,0.0,170,6.3,69.2,13,14,9.6,3.01,0,0,0.0,64.3,9,6,0.0,16,34.8,0,7,,,,,66.5,68.8,71.6,66.0,,63.2,0,0,16,16.7,98.2,6.3,1,1,0,1,0,0,0.0,143,10.2,0,100.0,2,3,-3.5,1.83,0,0,0.0,66.7,2,0,0.0,3,6.5,0,0,,,,,62.7,60.3,66.6,60.2,,,0,0,3,,70.1,0.0,0,0,0,1,0,0,0.0,6,2.0,3.91
Spencer Rattler,97408,QB,S CAROLINA,1,-3.33,0,46,289,62.5,24,29,13.8,2.75,0,2,6.9,51.7,15,11,0.0,34,73.9,0,9,,,,,69.5,44.8,75.9,42.7,,61.0,0,2,34,27.3,82.4,8.8,3,1,0,5,2,3,8.8,299,10.3,76.0,25,30,8.6,2.35,0,1,3.3,63.3,19,7,0.0,35,76.1,0,9,,,,,69.6,50.1,76.0,48.1,,61.0,0,1,35,28.6,96.4,5.7,2,1,0,5,2,2,5.7,239,8.0,66.7,9,10,9.4,2.32,0,1,10.0,60.0,6,4,0.0,11,23.9,0,3,,,,,65.6,50.8,70.4,50.7,,,0,1,11,25.0,62.9,9.1,1,0,0,1,0,1,9.1,121,12.1,0,100.0,10,11,-3.1,1.18,0,0,0.0,90.9,10,0,0.0,12,26.1,0,3,,,,,65.8,64.7,70.7,64.4,,,0,0,12,,89.8,0.0,0,0,0,1,0,0,0.0,61,5.5,4.13
