player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Malachi Singleton,172426,QB,ARKANSAS,1,0.0,0,2,111,0.0,1,1,12.0,3.7,0,0,0.0,0.0,0,1,,2,100.0,0,0,,,,61.8,44.2,66.6,44.3,,,,0,0,2,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,,0,0,,3.7,0,0,,,0,1,,1,50.0,0,0,,,,60.3,59.1,65.5,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0.0,1,1,12.0,3.7,0,0,0.0,0.0,0,0,,1,50.0,0,0,,,,60.3,46.3,63.6,46.8,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
AJ Bianco,158232,QB,NEVADA,1,0.0,0,2,239,100.0,2,2,10.0,2.05,0,0,0.0,100.0,2,0,0.0,2,100.0,0,2,,,,61.8,85.2,70.7,85.2,,,,0,0,2,,110.4,0.0,0,0,0,0,0,0,0.0,21,10.5,100.0,1,1,10.0,2.0,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,60.3,76.1,70.4,74.3,,,,0,0,1,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,100.0,1,1,10.0,2.1,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,60.3,73.7,63.6,73.1,,,,0,0,1,,112.5,0.0,0,0,0,0,0,0,0.0,11,11.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.0
Devin Kargman,156913,QB,KENT STATE,1,0.0,0,2,201,0.0,1,1,2.0,3.05,0,0,0.0,0.0,0,2,,2,100.0,0,0,,,,9.2,26.8,65.5,27.3,,,,0,0,2,50.0,39.6,50.0,1,0,0,0,0,1,50.0,0,0.0,,0,0,,4.3,0,0,,,0,1,,1,50.0,0,0,,,,23.7,54.9,63.6,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,1,100.0,0,,0.0,1,1,2.0,1.8,0,0,0.0,0.0,0,1,,1,50.0,0,0,,,,60.3,56.9,63.6,57.7,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Trent Pearman,156233,QB,CLEMSON,1,-100.0,0,2,140,50.0,2,2,5.0,1.7,0,0,0.0,50.0,1,1,0.0,2,100.0,0,0,,,,66.2,76.2,69.8,61.7,,,70.0,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,4,2.0,100.0,1,1,4.0,1.5,0,0,0.0,100.0,1,1,0.0,1,50.0,0,0,,,,65.9,78.2,69.5,61.0,,,70.0,0,0,1,0.0,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,0.0,1,1,6.0,1.9,0,0,0.0,0.0,0,0,,1,50.0,0,0,,,,60.3,60.4,63.6,60.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.0
Max Cutforth,176220,QB,BOISE ST,1,-100.0,0,2,120,100.0,2,2,4.5,1.8,0,0,0.0,100.0,2,0,0.0,2,100.0,0,1,,,,61.8,63.2,69.8,62.3,,,,0,0,2,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,100.0,2,2,4.5,1.8,0,0,0.0,100.0,2,0,0.0,2,100.0,0,1,,,,61.8,63.2,69.8,62.3,,,,0,0,2,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-6.5
Cole Pennington,156787,QB,MARSHALL,1,50.0,0,2,214,0.0,1,1,5.0,2.0,0,0,0.0,0.0,0,0,,1,50.0,0,0,,,,67.6,29.3,71.2,27.9,,,60.8,0,0,2,,39.6,0.0,0,0,0,0,0,1,50.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,67.3,63.0,70.7,,,,60.8,0,0,0,,0.0,,0,0,0,0,0,0,,0,,50.0,2,2,2.0,1.65,0,0,0.0,50.0,1,0,0.0,2,100.0,0,0,,,,62.7,27.8,66.6,28.0,,,,0,0,3,,56.3,0.0,0,0,0,0,0,1,33.3,5,2.5,0,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,0,0.0,1,50.0,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,2.5
Drew Mestemaker,190616,QB,N TEXAS,1,100.0,0,2,251,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,65.5,61.8,69.1,,,,60.1,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,65.5,61.8,69.1,,,,60.1,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,2,2,-2.0,1.45,0,0,0.0,100.0,2,0,0.0,2,100.0,0,1,,,,61.8,62.9,65.5,62.7,,,,0,0,2,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,0,100.0,2,2,-2.0,1.45,0,0,0.0,100.0,2,0,0.0,2,100.0,0,1,,,,61.8,62.9,65.5,62.7,,,,0,0,2,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,6.5
Kasen Weisman,171910,QB,FAU,1,0.0,0,2,165,100.0,1,1,7.0,4.55,0,0,0.0,0.0,0,0,100.0,2,100.0,1,0,,,,61.8,53.8,66.6,60.4,,,57.0,0,0,2,,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,,0,0,,6.2,0,0,,,0,0,,1,50.0,0,0,,,,60.3,53.2,65.5,,,,57.0,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,100.0,1,1,7.0,2.9,0,0,0.0,0.0,0,0,100.0,1,50.0,1,0,,,,60.3,60.4,63.6,60.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Cameron Edge,162791,QB,MARYLAND,1,-100.0,0,2,215,,0,1,,1.7,1,0,0.0,0.0,0,0,,1,50.0,0,0,,,,60.3,59.1,65.5,60.0,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,-3.0,1.1,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,60.3,60.9,65.5,60.4,,,,0,0,1,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,,0,1,,1.7,1,0,0.0,0.0,0,0,,1,50.0,0,0,,,,60.3,59.7,63.6,60.0,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,1,1,-3.0,1.1,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,-10.0
Joe Fagnano,104768,QB,UCONN,1,-100.0,0,1,146,100.0,1,1,39.0,3.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,59.1,69.5,60.1,,,60.0,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,33,33.0,100.0,1,1,39.0,3.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,59.1,69.5,60.1,,,60.0,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,33,33.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-33.0
Sean Atkins,101127,WR,USF,1,100.0,0,1,327,100.0,1,1,7.0,3.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,58.9,67.3,74.9,77.4,60.9,74.4,,,0,0,1,,156.3,0.0,0,0,0,0,1,0,0.0,12,12.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,79.3,67.1,84.8,77.2,,84.0,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,7.0,3.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,45.4,65.3,66.1,73.5,60.9,65.3,,,0,0,1,,156.3,0.0,0,0,0,0,1,0,0.0,12,12.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,74.9,65.0,82.4,72.5,,79.1,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,12.0
KC Concepcion,170362,WR,NC STATE,1,0.0,0,1,248,,0,0,,5.6,0,0,,,0,0,,1,100.0,0,0,,,40.2,66.2,53.5,74.9,,55.4,,55.6,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,76.3,15.6,57.3,75.0,,57.8,,59.5,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,5.6,0,0,,,0,0,,1,100.0,0,0,,,16.8,60.3,40.4,69.7,,45.2,,57.3,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,70.7,9.0,48.2,69.6,,50.7,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Henry Hesson,145798,QB,MIAMI OH,1,0.0,0,1,221,0.0,1,1,23.0,2.4,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,38.2,66.6,38.9,,,,0,0,1,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0,0.0,1,1,23.0,2.4,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,38.2,66.6,38.9,,,,0,0,1,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
James Wagenseller,171026,P,ARMY,1,-100.0,0,1,114,100.0,1,1,1.0,2.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,70.3,60.6,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,1.0,2.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,70.3,60.6,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Kyron Hudson,146411,WR,USC,1,0.0,0,1,326,,0,1,,4.7,1,0,0.0,0.0,0,0,,1,100.0,0,0,,,39.5,64.6,57.8,76.1,60.0,58.2,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,1,,4.7,1,0,0.0,0.0,0,0,,1,100.0,0,0,,,74.9,65.3,60.4,75.9,60.0,62.9,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,16.4,,42.0,71.9,,47.0,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,66.7,61.0,47.1,71.4,,55.2,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Kiael Kelly,145634,QB,BALL ST,1,0.0,0,1,117,,0,0,,2.6,0,0,,,0,1,,1,100.0,0,0,,,,69.7,64.9,71.6,60.0,59.7,,64.8,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,2.6,0,0,,,0,1,,1,100.0,0,0,,,,69.7,64.9,71.6,60.0,59.7,,64.8,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,66.7,61.0,82.6,63.4,,74.8,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,66.7,61.0,82.6,63.4,,74.8,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Harris Boyd,169933,QB,MEMPHIS,1,-100.0,0,1,218,100.0,1,1,4.0,2.1,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0,100.0,1,1,4.0,2.1,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-14.0
Joshua Wood,163421,QB,FRESNO ST,1,0.0,0,1,169,,0,0,,4.0,0,0,,,0,0,,1,100.0,0,0,,,,65.9,54.4,68.2,,59.3,,57.1,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,65.5,59.3,67.4,,59.3,,60.3,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.0,0,0,,,0,0,,1,100.0,0,0,,,,60.3,53.9,63.6,,,,57.3,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Chuck Montgomery,145265,WR,MARSHALL,1,0.0,0,1,214,,0,0,,4.8,0,0,,,0,1,,1,100.0,0,0,,,,60.3,53.8,72.1,60.0,55.7,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,55.9,71.6,,56.4,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.8,0,0,,,0,1,,1,100.0,0,0,,,,60.3,55.1,66.1,60.0,59.5,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Quinton Jackson,163001,HB,RICE,1,100.0,0,1,275,100.0,1,1,0.0,3.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,60.0,60.0,,60.3,60.6,70.7,60.6,56.3,60.0,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,21,21.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,60.0,60.0,,,59.6,70.2,,56.3,60.0,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,0.0,3.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,61.9,64.1,60.6,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,21,21.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,21.0
Raylen Sharpe,144255,WR,FRESNO ST,1,-100.0,0,1,169,100.0,1,1,27.0,2.9,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,,,50.3,65.9,66.7,75.9,87.7,61.0,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,26,26.0,100.0,1,1,27.0,2.9,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,,,45.9,65.3,63.7,75.6,87.7,57.4,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,26,26.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,70.7,62.9,69.6,70.2,,73.9,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,66.7,61.0,62.4,68.2,,67.8,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-26.0
Alex Tecza,162587,FB,NAVY,1,100.0,0,1,237,100.0,1,1,11.0,2.7,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,73.0,74.8,75.9,72.6,57.9,,73.6,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,13,13.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,73.1,72.3,75.4,,59.7,,73.6,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,11.0,2.7,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,68.6,68.2,72.6,58.2,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,13,13.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,60.0,62.7,,60.0,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,13.0
Eli Heidenreich,162554,FB,NAVY,1,0.0,0,1,237,,0,1,,4.1,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,74.9,71.1,87.8,76.6,60.0,92.5,,74.8,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,70.7,70.9,83.4,76.0,,83.4,,74.8,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,4.1,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,70.7,63.7,78.4,70.6,60.0,88.9,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,57.5,64.1,,59.2,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Tyler Warren,129798,TE,PENN STATE,1,100.0,0,1,266,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,74.9,66.7,75.5,76.8,60.6,77.5,,63.4,0,0,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,17,17.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,70.7,65.3,65.0,76.4,,64.8,,63.4,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,73.1,64.6,92.0,69.8,60.6,91.5,,,0,0,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,17,17.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,66.7,61.0,84.1,65.7,,85.6,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,17.0
Justin Pegues,161679,HB,BOWL GREEN,1,0.0,0,1,122,0.0,1,1,17.0,3.3,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,50.8,69.9,47.3,56.7,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,58.7,69.9,,56.2,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,17.0,3.3,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,50.4,63.5,47.3,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,60.0,63.5,,59.9,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Austin Simmons,175891,QB,OLE MISS,1,100.0,0,1,226,100.0,1,1,4.0,1.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,61.5,67.4,60.6,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,60.0,66.6,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,4.0,1.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,6.0
Mitch Jeter,124242,K,NOTRE DAME,1,0.0,0,1,258,,0,1,,6.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,57.6,60.0,59.4,,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,,0,1,,6.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,57.6,60.0,59.4,,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
OJ Arnold,158336,HB,GA SOUTHRN,1,100.0,0,1,174,100.0,1,1,18.0,3.6,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,70.7,70.8,73.0,73.6,72.6,66.9,,69.8,0,0,1,,156.3,0.0,0,0,0,0,1,0,0.0,12,12.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,74.9,71.1,72.6,72.8,,74.1,,69.8,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,18.0,3.6,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,67.6,69.1,72.6,59.0,,,0,0,1,,156.3,0.0,0,0,0,0,1,0,0.0,12,12.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,70.7,62.9,67.3,67.1,,74.5,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,12.0
Tucker Kilcrease,156863,QB,TROY,1,-100.0,0,1,318,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,69.7,79.5,69.5,,,,71.5,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,69.7,79.1,69.8,60.4,,,71.5,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,-4.0
Micah Alejado,184162,QB,HAWAII,1,100.0,0,1,180,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,62.5,70.6,66.6,,,,62.6,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,62.5,70.6,66.6,,,,62.6,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-2.0,1.4,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,0,100.0,1,1,-2.0,1.4,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,5.0
