player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Hank Bachmeier,101284,QB,WAKE,1,-21.33,0,48,339,67.9,28,35,12.5,3.47,3,1,2.5,51.4,18,18,5.3,46,95.8,1,17,,,,70.1,67.8,77.3,,63.6,,69.4,,,2,3,51,33.3,60.5,13.0,6,5,0,2,2,2,3.9,271,7.7,69.6,23,26,9.5,3.41,1,1,3.3,57.7,15,11,6.3,33,68.8,1,12,,,,69.3,64.4,76.5,,62.7,,62.6,,,1,3,37,36.4,54.5,12.1,4,3,0,1,1,2,5.4,194,7.5,57.1,7,11,19.6,3.57,2,0,0.0,36.4,4,8,0.0,15,31.3,0,5,,,,66.5,68.4,71.9,,61.5,,70.6,,,1,0,16,25.0,93.0,13.3,2,2,0,1,1,0,0.0,80,7.3,0,50.0,2,2,3.0,3.2,0,0,0.0,50.0,1,1,0.0,2,4.2,0,0,,,,61.8,54.8,65.5,,54.9,,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,-0.19
Garrett Nussmeier,146757,QB,LSU,1,-11.11,0,47,211,64.5,31,33,9.1,3.04,1,1,2.8,57.6,19,16,5.0,38,80.9,1,13,,,,33.2,58.5,76.5,,57.1,,61.7,,,0,2,41,12.5,60.0,5.3,2,3,0,1,1,3,7.3,199,6.0,77.4,31,33,5.4,2.59,1,0,0.0,66.7,22,15,8.3,36,76.6,2,10,,,,69.3,74.0,76.3,,72.1,,65.4,,,0,1,37,6.7,77.3,2.8,1,2,0,1,1,0,0.0,176,5.3,55.6,9,9,8.3,3.09,0,1,9.1,55.6,5,1,0.0,11,23.4,0,4,,,,20.0,32.4,71.0,,34.2,,57.0,,,0,1,13,100.0,38.0,9.1,1,1,0,0,0,3,23.1,63,7.0,0,100.0,9,9,-4.2,1.32,0,0,0.0,88.9,8,0,11.1,9,19.1,1,1,,,,65.1,67.5,69.8,,67.1,,,,,0,0,9,,85.2,0.0,0,0,0,0,0,0,0.0,40,4.4,1.67
Brayden Schager,146078,QB,HAWAII,1,-43.75,0,46,180,63.0,27,32,20.0,3.24,0,1,3.0,43.8,14,18,17.6,43,93.5,3,10,,,,72.0,64.2,76.7,,54.9,,74.4,,,2,1,45,33.3,93.5,14.0,6,5,0,3,3,1,2.2,282,8.8,60.7,28,32,19.3,3.21,0,1,3.0,43.8,14,17,17.6,43,93.5,3,10,,,,72.0,63.5,76.7,,54.1,,74.4,,,2,1,45,35.3,93.5,14.0,6,5,0,2,3,1,2.2,282,8.8,100.0,1,3,-1.0,2.57,0,0,0.0,0.0,0,2,100.0,3,6.5,1,0,,,,62.7,56.4,66.6,,56.4,,,,,0,0,3,0.0,39.6,0.0,0,0,0,2,0,0,0.0,0,0.0,0,50.0,2,3,0.0,2.13,0,0,0.0,0.0,0,1,100.0,3,6.5,1,0,,,,62.7,52.1,66.6,,52.1,,,,,0,0,3,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,-8.81
E.J. Warner,156185,QB,RICE,1,-25.13,0,46,275,74.3,35,40,8.5,3.05,0,4,9.5,62.5,25,13,3.8,41,89.1,1,10,,,,35.6,78.6,76.8,,85.7,,37.7,,,0,0,43,0.0,94.9,0.0,0,1,0,5,2,0,0.0,231,5.8,75.8,33,34,7.9,2.57,0,4,11.1,70.6,24,8,4.0,34,73.9,1,10,,,,31.1,82.0,76.3,,88.4,,41.6,,,0,0,36,0.0,104.9,0.0,0,0,0,1,2,0,0.0,199,5.9,71.4,7,11,3.3,3.9,0,0,0.0,45.5,5,5,0.0,12,26.1,0,3,,,,65.8,59.7,70.7,,62.7,,57.3,,,0,0,12,0.0,58.5,0.0,0,1,0,4,0,0,0.0,49,4.5,0,80.0,5,5,-2.6,1.86,0,0,0.0,80.0,4,0,0.0,5,10.9,0,3,,,,63.8,65.6,68.1,,65.4,,,,,0,0,5,,80.8,0.0,0,0,0,0,0,0,0.0,17,3.4,-1.4
CJ Bailey,183349,QB,NC STATE,1,4.44,0,45,248,62.5,32,37,10.2,3.14,0,1,2.5,40.5,15,18,25.0,43,95.6,5,11,,,,39.4,45.1,77.0,,46.3,,52.7,,,3,1,46,5.6,54.4,2.3,1,5,0,2,1,2,4.3,185,5.0,66.7,24,30,9.3,3.17,0,1,3.0,40.0,12,16,25.0,35,77.8,4,9,,,,35.2,47.8,76.5,,49.4,,52.7,,,3,1,38,0.0,52.4,0.0,0,5,0,3,1,1,2.6,142,4.7,55.6,9,9,11.2,2.86,0,0,0.0,44.4,4,2,20.0,10,22.2,1,2,,,,65.4,46.5,70.1,,46.6,,,,,0,0,10,50.0,58.6,10.0,1,0,0,0,0,1,10.0,42,4.7,0,100.0,1,2,-1.0,2.15,0,0,0.0,50.0,1,0,0.0,2,4.4,0,0,,,,61.8,58.9,65.5,,58.9,,,,,0,0,2,,56.3,0.0,0,0,0,1,0,0,0.0,-1,-0.5,-0.06
Cam Ward,133244,QB,MIAMI FL,1,13.71,0,44,220,67.7,31,34,13.2,3.41,1,1,2.7,58.8,20,9,4.8,39,88.6,1,16,,,,20.2,66.3,76.4,,65.2,,61.6,,,0,0,43,33.3,121.4,7.7,3,2,0,2,3,2,4.7,334,9.8,71.4,28,31,12.1,3.33,1,1,3.1,61.3,19,9,5.0,34,77.3,1,13,,,,18.3,70.5,75.9,,69.7,,,,,0,0,36,33.3,117.0,8.8,3,0,0,2,2,2,5.6,315,10.2,75.0,8,8,7.4,2.77,0,0,0.0,75.0,6,0,0.0,10,22.7,0,3,,,,65.8,56.0,70.7,,54.1,,61.6,,,0,0,12,,121.4,0.0,0,2,0,0,1,0,0.0,33,4.1,0,100.0,5,5,-2.0,1.6,0,0,0.0,100.0,5,0,0.0,5,11.4,0,0,,,,63.8,65.6,68.1,,65.4,,,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,14,2.8,-6.03
Zach Gibson,100201,QB,GA STATE,1,-5.63,0,44,175,70.0,20,25,7.8,3.71,0,0,0.0,52.0,13,19,7.1,32,72.7,1,7,,,,69.5,68.8,75.9,,67.5,,62.9,,,0,0,34,21.1,85.6,12.5,4,3,0,5,1,0,0.0,161,6.4,78.6,28,32,3.9,3.09,0,0,0.0,65.6,21,15,4.5,36,81.8,1,7,,,,69.8,73.9,76.2,,69.9,,69.7,,,0,0,38,20.0,91.1,8.3,3,1,0,4,1,0,0.0,184,5.8,75.0,4,5,-1.5,3.88,0,0,0.0,60.0,3,5,0.0,8,18.2,0,2,,,,64.9,46.6,69.5,,53.9,,52.6,,,0,0,8,20.0,77.1,12.5,1,2,0,1,0,0,0.0,30,6.0,0,91.7,12,12,-4.5,1.96,0,0,0.0,91.7,11,1,0.0,12,27.3,0,2,,,,65.8,64.3,70.7,,64.0,,,,,0,0,12,0.0,85.1,0.0,0,0,0,0,0,0,0.0,53,4.4,0.25
Cade Klubnik,156253,QB,CLEMSON,1,-8.0,0,44,140,55.2,29,31,13.9,2.92,0,2,6.1,41.9,13,21,18.8,39,88.6,3,12,,,,41.9,64.3,77.3,,62.0,,63.1,,,1,1,41,14.3,71.2,7.7,3,5,0,1,2,2,4.9,194,6.3,58.3,24,25,13.0,2.45,0,1,3.7,48.0,12,13,14.3,28,63.6,2,9,,,,71.9,65.0,76.7,,65.3,,59.5,,,1,1,30,0.0,81.9,0.0,0,2,0,0,2,1,3.3,179,7.2,66.7,9,10,9.2,3.16,0,1,10.0,40.0,4,8,33.3,16,36.4,2,4,,,,22.2,61.2,71.6,,55.4,,66.7,,,0,0,16,37.5,82.1,18.8,3,3,0,1,1,1,6.3,32,3.2,0,100.0,4,4,-2.0,1.1,0,0,0.0,75.0,3,0,25.0,5,11.4,1,1,,,,63.8,62.6,68.1,,62.3,,,,,0,0,5,,121.9,0.0,0,0,0,0,1,0,0.0,17,4.3,-3.96
Rocco Becht,157567,QB,IOWA STATE,1,4.6,0,44,193,74.2,31,36,11.9,2.62,2,3,7.9,63.9,23,15,0.0,42,95.5,0,17,,,,70.5,76.8,21.8,,76.9,,65.5,,,0,1,44,26.7,114.0,9.5,4,2,1,2,3,1,2.3,367,10.2,72.0,25,29,9.6,2.6,1,1,3.2,62.1,18,15,0.0,34,77.3,0,11,,,,70.1,66.0,17.7,,67.3,,61.1,,,0,0,36,26.7,121.3,11.8,4,1,1,2,3,0,0.0,230,7.9,75.0,8,9,16.0,2.43,1,2,22.2,66.7,6,1,0.0,10,22.7,0,7,,,,65.4,90.7,70.1,,89.0,,64.3,,,0,1,10,0.0,70.1,0.0,0,1,0,0,0,1,10.0,153,17.0,0,50.0,2,2,-0.5,1.35,0,0,0.0,50.0,1,1,0.0,2,4.5,0,1,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,0.0,77.1,0.0,0,0,0,0,0,0,0.0,16,8.0,9.07
Brendan Sorsby,156398,QB,CINCINNATI,1,-16.67,0,44,138,74.2,31,34,7.6,3.18,0,0,0.0,67.6,23,11,0.0,42,95.5,0,13,,,,22.7,38.1,77.5,,36.6,,54.0,,,0,1,43,27.3,88.6,7.1,3,5,0,3,1,4,9.3,266,7.8,81.8,22,24,5.0,3.34,0,0,0.0,75.0,18,6,0.0,30,68.2,0,10,,,,32.7,57.1,76.8,,58.8,,55.5,,,0,0,30,33.3,89.4,6.7,2,4,0,2,0,1,3.3,143,6.0,63.6,11,12,10.7,2.76,0,0,0.0,58.3,7,5,0.0,14,31.8,0,4,,,,18.5,26.6,71.4,,26.9,,57.3,,,0,1,15,20.0,91.0,7.1,1,1,0,1,1,3,20.0,136,11.3,0,100.0,2,2,-4.5,2.65,0,0,0.0,100.0,2,0,0.0,2,4.5,0,1,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,5.37
Ben Gulbranson,131734,QB,OREGON ST,1,25.45,0,41,265,73.5,34,37,11.0,2.85,0,1,2.4,64.9,24,11,4.0,41,100.0,1,13,,,,70.2,55.8,77.8,,51.9,,68.2,,,1,2,45,27.3,66.5,7.3,3,1,0,2,0,3,6.7,292,7.9,57.1,21,22,10.3,2.68,0,1,4.0,54.5,12,6,0.0,25,61.0,0,5,,,,69.1,34.5,76.9,,29.2,,68.2,,,1,2,28,33.3,27.7,8.0,2,1,0,0,0,3,10.7,95,4.3,100.0,13,15,12.2,3.12,0,0,0.0,80.0,12,5,7.7,16,39.0,1,8,,,,66.7,90.5,71.8,,90.2,,,,,0,0,17,20.0,118.8,6.3,1,0,0,2,0,0,0.0,197,13.1,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,8.81
