player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tyler Stephens,138468,G,INDIANA,1,100.0,0,190,52.2,65.3,46.8,0,1,37,100.0,100.0,98.6,0,1,0,67,0,67,0,67,42,42,0,0,25,0
Trey Wedig,129935,T,INDIANA,1,100.0,0,190,61.0,46.8,66.8,0,1,37,100.0,100.0,95.9,0,2,1,67,0,0,0,67,42,42,0,67,25,0
Javontez Spraggins,124299,G,TENNESSEE,1,100.0,0,307,57.2,51.7,56.8,0,4,42,100.0,100.0,95.2,0,4,0,65,0,0,0,65,43,43,65,0,22,0
Olaivavega Ioane,164174,G,PENN STATE,1,100.0,0,266,62.1,82.2,57.6,0,1,30,100.0,100.0,98.3,0,1,0,62,0,59,1,62,30,30,0,0,32,2
Sal Wormley,101559,G,PENN STATE,1,100.0,0,266,66.8,36.8,70.5,0,2,30,100.0,100.0,93.3,0,3,1,62,0,2,0,62,30,30,60,0,32,0
Drew Shelton,164186,T,PENN STATE,1,100.0,0,266,50.2,67.4,45.1,0,1,30,100.0,100.0,91.7,0,3,2,62,0,1,45,62,30,30,1,11,32,3
Nick Dawkins,129773,C,PENN STATE,1,100.0,0,266,68.3,79.5,63.7,0,1,30,100.0,100.0,98.3,1,1,0,62,62,0,0,62,30,30,0,0,32,0
Donovan Jackson,145064,T,OHIO STATE,1,100.0,0,260,68.8,78.7,62.8,0,1,31,100.0,100.0,98.4,0,1,0,58,0,0,58,58,34,34,0,0,24,0
Carson Hinzman,162867,C,OHIO STATE,1,100.0,0,260,55.5,61.5,53.7,0,0,31,100.0,100.0,100.0,0,0,0,58,58,0,0,58,34,34,0,0,24,0
Josh Fryar,129746,T,OHIO STATE,1,100.0,0,260,66.9,71.5,63.0,0,1,31,100.0,100.0,98.4,0,1,0,58,0,0,0,58,34,34,0,57,24,1
