player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Beaux Collins,144112,WR,NOTRE DAME,1,35.3,0,258,67.0,,61.0,0,0,0,0.0,0.0,,1,0,0,18,0,0,0,51,0,33,0,0,18,0
Jaden Greathouse,171085,WR,NOTRE DAME,1,31.4,0,258,82.2,,77.3,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,51,0,35,0,0,16,0
Mitchell Evans,147486,TE,NOTRE DAME,1,30.6,0,258,64.8,,76.5,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,49,0,33,0,0,15,13
TreVeyon Henderson,145059,HB,OHIO STATE,1,36.6,0,260,73.3,80.7,65.0,0,0,6,31.6,33.3,100.0,0,0,0,15,0,0,0,41,7,21,0,0,8,0
Gee Scott Jr.,129756,TE,OHIO STATE,1,38.7,0,260,58.4,72.5,70.9,0,0,1,5.3,5.0,100.0,0,0,0,12,0,0,0,31,1,20,0,0,11,21
Bennett Christian,156482,TE,OHIO STATE,1,92.3,0,260,46.9,,58.2,0,0,0,0.0,0.0,,1,0,0,12,0,0,0,13,0,1,0,0,12,7
Jordan Faison,171081,WR,NOTRE DAME,1,33.3,0,258,52.2,,61.6,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,33,0,21,0,0,11,0
Eli Raridon,156970,TE,NOTRE DAME,1,52.6,0,258,71.0,72.1,70.7,0,0,1,11.1,18.2,100.0,0,0,0,10,0,0,0,19,2,11,0,0,8,8
Kris Mitchell,97659,WR,NOTRE DAME,1,32.3,0,258,66.9,,79.1,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,31,0,21,0,0,10,0
Riley Leonard,143862,QB,NOTRE DAME,1,14.3,0,258,77.5,,60.0,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,63,0,41,0,0,9,0
Jelani Thurman,170274,TE,OHIO STATE,1,100.0,0,260,60.6,,60.2,0,0,0,,,,0,0,0,7,0,0,0,7,0,0,0,0,7,7
Quinshon Judkins,157128,HB,OHIO STATE,1,27.3,0,260,76.9,72.5,56.7,0,0,1,16.7,16.7,100.0,0,0,0,6,0,0,0,22,1,6,0,0,5,0
Jayden Thomas,147485,WR,NOTRE DAME,1,33.3,0,258,55.1,,60.4,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,12,0,8,0,0,4,0
Jadarian Price,156985,HB,NOTRE DAME,1,28.6,0,258,57.9,0.0,58.9,0,0,1,16.7,12.5,0.0,0,1,1,4,0,0,0,14,1,8,0,0,3,0
Brandon Inniss,170255,WR,OHIO STATE,1,50.0,0,260,72.9,,59.6,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,6,0,3,0,0,3,1
Patrick Gurd,129747,TE,OHIO STATE,1,100.0,0,260,50.7,,42.1,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,0,0,3,0
Aneyas Williams,184108,HB,NOTRE DAME,1,30.0,0,258,56.6,36.3,60.0,1,0,1,16.7,22.2,50.0,0,1,0,3,0,0,0,10,2,9,0,0,1,0
Jayden Harrison,98556,WR,NOTRE DAME,1,50.0,0,258,60.8,63.8,60.0,0,0,1,50.0,33.3,100.0,0,0,0,2,0,0,0,4,1,3,0,0,1,0
Deion Colzie,147473,WR,NOTRE DAME,1,66.7,0,258,58.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
Luke Talich,171100,S,NOTRE DAME,1,100.0,0,258,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Davis Sherwood,147493,TE,NOTRE DAME,1,100.0,0,258,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Joseph Vinci,184106,LS,NOTRE DAME,1,100.0,0,258,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Max Hurleman,143017,S,NOTRE DAME,1,100.0,0,258,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Drayk Bowen,171077,LB,NOTRE DAME,1,100.0,0,258,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Jack Kiser,97889,LB,NOTRE DAME,1,100.0,0,258,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
