player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
David Ndukwe,123458,T,HOUSTON,1,100.0,0,182,59.3,68.6,54.2,0,0,21,100.0,100.0,100.0,1,0,0,49,0,0,49,49,26,26,0,0,23,0
Seth McLaughlin,123927,C,OHIO STATE,1,100.0,0,260,67.4,68.0,65.1,0,1,26,100.0,100.0,98.1,0,1,0,48,48,0,0,48,28,28,0,0,20,0
Josh Fryar,129746,T,OHIO STATE,1,100.0,0,260,69.4,83.0,69.4,0,0,26,100.0,100.0,100.0,1,0,0,48,0,0,0,48,28,28,0,48,20,0
Aidan Banfield,183324,G,N CAROLINA,1,100.0,0,245,47.5,49.2,50.9,0,1,20,100.0,100.0,92.5,1,2,1,48,0,48,0,48,24,24,0,0,24,0
Miles Stewart,147306,HB,ARMY,1,96.0,0,114,54.3,,51.5,0,0,0,0.0,0.0,,0,0,0,48,0,0,0,50,0,2,0,0,48,6
Quinn Murphy,102843,G,W MICHIGAN,1,100.0,0,347,58.8,54.4,58.4,1,1,20,100.0,100.0,95.0,0,2,0,48,0,48,0,48,21,21,0,0,27,0
Hadley Panzer,144598,G,KANSAS ST,1,100.0,0,199,63.2,46.8,65.4,0,4,24,100.0,100.0,91.7,0,4,0,48,0,32,0,48,26,26,16,0,22,0
Nick Sharpe,144205,G,WAKE,1,100.0,0,339,66.8,70.8,66.0,0,1,30,100.0,100.0,98.3,0,1,0,48,0,0,0,48,32,32,48,0,16,0
Zeke Correll,53431,C,NC STATE,1,100.0,0,248,54.5,44.2,62.3,0,0,28,100.0,100.0,100.0,1,0,0,48,48,0,0,48,31,31,0,0,17,0
Kaden Sieracki,158571,T,BAYLOR,1,100.0,0,118,55.2,70.1,57.5,0,1,18,100.0,100.0,97.2,1,1,0,48,0,0,48,48,21,21,0,0,27,0
Bruin Fleischmann,173861,TE,AIR FORCE,1,72.7,0,101,51.3,74.7,54.2,0,0,3,14.3,14.3,100.0,1,0,0,48,0,0,6,66,3,21,0,6,45,20
Tegra Tshabola,75288,G,OHIO STATE,1,100.0,0,260,60.3,28.0,65.5,1,0,26,100.0,100.0,98.1,0,1,0,48,0,0,0,48,28,28,48,0,20,0
Josh Simmons,88924,T,OHIO STATE,1,100.0,0,260,74.5,81.1,69.6,0,0,26,100.0,100.0,100.0,0,0,0,48,0,0,48,48,28,28,0,0,20,0
Morgan Scott,162981,T,MIDDLE TN,1,100.0,1,224,22.9,0.0,50.3,0,5,28,100.0,100.0,91.1,1,5,0,48,0,0,0,48,32,32,0,48,16,0
Carson Heidecker,188457,T,OHIO,1,100.0,0,259,55.0,72.7,62.8,0,1,26,100.0,100.0,98.1,2,1,0,48,0,0,48,48,26,26,0,0,22,0
George Sell,123401,G,WAKE,1,100.0,0,339,66.6,65.8,67.2,1,0,32,100.0,100.0,98.4,0,1,0,47,0,9,0,47,33,33,38,0,14,0
Gerald Mincey,124388,T,KENTUCKY,1,100.0,0,202,52.7,58.3,63.8,0,0,19,100.0,100.0,94.7,2,1,1,47,0,0,0,47,20,20,0,46,27,1
Keylen Davis,163067,G,AKRON,1,100.0,0,102,58.6,41.8,61.2,1,0,32,100.0,100.0,98.4,0,1,0,47,0,26,0,47,32,32,21,0,15,0
Jack Leyrer,146365,G,STANFORD,1,100.0,0,300,53.9,71.0,55.1,0,2,23,100.0,100.0,95.7,1,2,0,47,0,45,1,47,25,25,0,1,22,0
Toreon Penright,86146,T,FRESNO ST,1,100.0,0,169,72.3,58.2,73.9,1,1,21,100.0,100.0,95.2,0,2,0,47,0,0,47,47,22,22,0,0,25,0
Jack Sherwin,98226,T,W MICHIGAN,1,100.0,1,347,77.1,55.3,79.2,2,1,20,100.0,100.0,92.5,1,3,0,47,0,0,0,47,21,21,0,47,26,0
Tedi Kushi,108533,T,W MICHIGAN,1,100.0,0,347,62.1,62.4,60.5,0,0,20,100.0,100.0,100.0,0,0,0,47,0,0,47,47,21,21,0,0,26,0
Riley McGehee,188347,T,ARK STATE,1,100.0,1,113,65.4,70.8,69.6,0,3,25,100.0,100.0,94.0,1,3,0,47,0,0,47,47,26,26,0,0,21,0
Jonah Monheim,86461,C,USC,1,100.0,0,326,63.6,83.4,63.2,0,0,26,100.0,100.0,100.0,1,0,0,47,47,0,0,47,27,27,0,0,20,0
Layth Ghannam,174783,G,VA TECH,1,100.0,0,337,43.3,69.7,40.4,0,0,14,100.0,100.0,92.9,0,1,1,47,0,47,0,47,16,16,0,0,31,0
John Hofer,145935,G,W MICHIGAN,1,100.0,0,347,57.4,32.1,60.0,0,0,20,100.0,100.0,90.0,0,2,2,47,3,2,0,47,21,21,42,0,26,0
Nick Reimer,142535,T,BOWL GREEN,1,100.0,0,122,59.1,72.2,50.8,1,0,30,100.0,100.0,98.3,0,1,0,47,0,0,47,47,31,31,0,0,16,0
Jack Tucker,144753,T,LIBERTY,1,100.0,0,206,68.2,57.7,70.2,0,3,25,100.0,100.0,94.0,0,3,0,47,0,0,29,47,26,26,0,18,21,0
Trey Cummings,144299,T,NAVY,1,100.0,0,237,72.7,79.5,68.8,0,0,10,100.0,100.0,100.0,0,0,0,47,0,0,0,47,11,11,0,42,36,5
Harrison Hayes,147549,G,LIBERTY,1,100.0,0,206,56.4,84.5,56.3,0,0,22,100.0,100.0,100.0,1,0,0,47,0,0,0,47,25,25,47,0,22,0
Ethan Spoth,156998,G,TOLEDO,1,100.0,0,316,72.9,59.3,76.1,0,1,24,100.0,100.0,97.9,0,1,0,46,0,0,0,46,25,25,46,0,21,0
Valentin Senn,100533,T,UCONN,1,100.0,0,146,70.8,57.2,77.7,0,1,19,100.0,100.0,97.4,1,1,0,46,0,0,46,46,20,20,0,0,26,0
Carter Fouty,156989,G,TOLEDO,1,100.0,1,316,54.2,46.6,53.7,0,0,24,100.0,100.0,100.0,1,0,0,46,0,46,0,46,25,25,0,0,21,0
Wes Hoeh,144049,C,UCONN,1,100.0,0,146,90.3,40.6,89.4,1,0,19,100.0,100.0,97.4,0,1,0,46,46,0,0,46,20,20,0,0,26,0
Kaden Moreau,156738,G,LA LAFAYET,1,100.0,0,207,72.0,68.3,72.6,2,0,22,100.0,100.0,95.5,0,2,0,46,0,0,0,46,23,23,46,0,23,0
AJ Gillie,98043,G,LA LAFAYET,1,100.0,0,207,76.6,85.4,75.5,0,0,22,100.0,100.0,100.0,0,0,0,46,0,46,0,46,23,23,0,0,23,0
Cole Rhett,171386,T,TOLEDO,1,100.0,0,316,69.2,79.2,63.4,0,0,24,100.0,100.0,100.0,0,0,0,46,0,0,0,46,25,25,0,46,21,0
Simon Wilson,170493,C,MIDDLE TN,1,100.0,0,224,48.4,20.7,54.2,0,2,28,100.0,100.0,96.4,0,2,0,46,0,46,0,46,32,32,0,0,14,0
Greg Nunnery,184781,T,SO MISS,1,100.0,0,296,57.3,50.5,58.7,0,2,23,100.0,100.0,91.3,0,3,1,46,0,0,0,46,25,25,0,46,21,0
Christopher Fortin,147384,G,UCONN,1,100.0,0,146,76.4,83.0,75.5,0,0,19,100.0,100.0,100.0,0,0,0,46,0,0,0,46,20,20,46,0,26,0
Jakob James,52540,C,TOLEDO,1,100.0,0,316,61.1,50.9,61.9,1,0,24,100.0,100.0,97.9,0,1,0,46,46,0,0,46,25,25,0,0,21,0
Landon Burton,102820,C,LA LAFAYET,1,100.0,0,207,59.5,82.5,59.9,0,0,22,100.0,100.0,100.0,1,0,0,46,46,0,0,46,23,23,0,0,23,0
DJ Campbell,163844,G,TEXAS,1,100.0,0,311,61.0,79.0,62.9,0,0,27,100.0,100.0,100.0,1,0,0,46,0,0,0,46,28,28,46,0,18,0
Ben Murawski,158624,G,UCONN,1,100.0,0,146,62.5,2.6,71.5,1,1,19,100.0,100.0,94.7,0,2,0,46,0,46,0,46,20,20,0,0,26,0
Chase Lundt,98515,T,UCONN,1,100.0,0,146,89.4,45.8,91.6,0,0,19,100.0,100.0,100.0,0,0,0,46,0,0,0,46,20,20,0,46,26,0
Carson Bruno,145245,G,TCU,1,100.0,0,305,85.0,84.0,85.2,0,0,19,100.0,100.0,100.0,0,0,0,45,0,0,0,45,20,20,45,0,25,0
Stephon Dubose-Bourne,145357,T,DOMINION,1,100.0,0,263,60.0,81.0,54.3,0,0,25,100.0,100.0,100.0,0,0,0,45,0,0,0,45,27,27,45,0,18,0
Jesse Ramil,151251,T,JAMES MAD,1,100.0,0,197,77.6,84.8,72.9,0,0,22,100.0,100.0,100.0,0,0,0,45,0,0,45,45,23,23,0,0,22,0
Bless Harris,87406,T,TCU,1,100.0,0,305,54.8,84.9,46.9,0,0,19,100.0,100.0,100.0,0,0,0,45,0,0,45,45,20,20,0,0,25,0
Dominic Boyd,150802,T,GA SOUTHRN,1,100.0,0,174,64.6,58.9,66.0,0,1,29,100.0,100.0,94.8,0,2,1,45,0,0,45,45,32,32,0,0,13,0
Bray Lynch,156401,G,INDIANA,1,100.0,0,190,86.1,82.9,87.6,0,0,19,100.0,100.0,100.0,0,0,0,44,0,0,0,44,20,20,44,0,24,0
Carter Smith,156399,T,INDIANA,1,100.0,0,190,69.9,84.3,63.7,0,0,19,100.0,100.0,100.0,0,0,0,44,0,0,44,44,20,20,0,0,24,0
Xavier Guillory,141590,WR,ARIZONA ST,1,65.7,0,110,59.3,,61.4,0,0,0,0.0,0.0,,0,0,0,44,0,0,0,67,0,23,0,0,44,0
Damieon George Jr.,123915,G,FLORIDA,1,100.0,0,163,70.0,86.7,72.6,0,0,20,100.0,100.0,100.0,1,0,0,44,0,0,0,44,22,22,44,0,22,0
Jacoby Jackson,144756,G,MISS STATE,1,100.0,0,227,64.9,83.9,60.3,0,1,26,100.0,100.0,98.1,0,1,0,44,0,44,0,44,29,29,0,0,15,0
Addison West,98272,G,W MICHIGAN,1,100.0,0,347,56.5,81.3,52.9,0,0,19,100.0,100.0,100.0,0,0,0,44,42,0,0,44,20,20,2,0,24,0
Trey Wedig,129935,T,INDIANA,1,100.0,0,190,76.2,66.1,76.2,1,0,19,100.0,100.0,97.4,0,1,0,44,0,0,0,44,20,20,0,44,24,0
Mike Katic,101575,C,INDIANA,1,100.0,0,190,83.7,81.2,78.0,0,0,19,100.0,100.0,100.0,0,0,0,44,44,0,0,44,20,20,0,0,24,0
Wil Saxton,156838,G,SO MISS,1,100.0,0,296,63.5,78.5,59.9,0,0,23,100.0,100.0,100.0,0,0,0,44,0,44,0,44,25,25,0,0,19,0
Marist Talavou,72200,G,S JOSE ST,1,100.0,0,285,46.3,52.1,52.9,0,2,29,100.0,100.0,96.6,1,2,0,44,0,0,0,44,30,30,44,0,14,0
Drew Evans,158693,G,INDIANA,1,100.0,0,190,83.9,82.9,84.6,0,0,19,100.0,100.0,100.0,0,0,0,44,0,44,0,44,20,20,0,0,24,0
Tiger Shanks,128371,T,UNLV,1,100.0,0,325,89.9,82.4,86.5,0,0,19,100.0,100.0,100.0,0,0,0,43,0,0,0,43,19,19,0,43,24,0
Falepule Alo,128376,C,UTAH ST,1,100.0,0,329,63.4,64.3,61.9,1,0,28,100.0,100.0,98.2,0,1,0,43,43,0,0,43,29,29,0,0,14,0
Nick Miles,128422,TE,WYOMING,1,62.3,0,351,61.9,72.2,81.6,0,0,4,14.3,16.1,100.0,0,0,0,43,0,0,0,69,5,31,0,0,38,34
