player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Aneyas Williams,184108,HB,NOTRE DAME,1,29.6,0,258,68.3,5.2,60.0,0,2,7,29.2,29.2,85.7,0,2,0,8,0,0,0,27,7,24,0,0,1,0
Luke Reynolds,183611,TE,PENN STATE,1,42.1,0,266,61.9,29.9,58.1,0,1,1,8.3,8.3,50.0,0,1,0,8,0,0,0,19,1,12,0,0,7,9
Matthew Golden,156165,WR,TEXAS,1,26.9,0,311,74.0,,79.1,0,0,0,0.0,0.0,,1,0,0,7,0,0,0,26,0,19,0,0,7,0
Isaiah Bond,163586,WR,TEXAS,1,31.6,0,311,48.3,,60.9,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,19,0,13,0,0,6,0
Gee Scott Jr.,129756,TE,OHIO STATE,1,18.5,0,260,62.0,63.9,61.9,0,0,1,4.8,4.3,100.0,1,0,0,5,0,0,0,27,1,23,0,0,4,8
TreVeyon Henderson,145059,HB,OHIO STATE,1,16.1,0,260,69.8,34.1,59.7,0,1,1,4.8,9.1,50.0,1,1,0,5,0,0,0,31,2,22,0,0,3,0
Nicholas Singleton,164188,HB,PENN STATE,1,13.9,0,266,63.7,81.9,,0,0,5,23.8,23.8,100.0,1,0,0,5,0,0,0,36,5,21,0,0,0,0
Jadarian Price,156985,HB,NOTRE DAME,1,23.5,0,258,62.1,70.0,58.8,0,0,0,0.0,14.3,,0,0,0,4,0,0,0,17,1,7,0,0,3,0
Beaux Collins,144112,WR,NOTRE DAME,1,57.1,0,258,56.3,,60.1,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,7,0,3,0,0,4,0
JB Nelson,164180,G,PENN STATE,1,100.0,0,266,62.2,,63.1,0,0,0,,,,0,0,0,2,0,2,0,2,0,0,0,0,2,0
Jelani Thurman,170274,TE,OHIO STATE,1,100.0,0,260,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Jaydon Blue,157303,HB,TEXAS,1,4.5,0,311,60.0,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,22,0,17,0,0,1,0
Bryson Rodgers,170265,WR,OHIO STATE,1,50.0,0,260,59.1,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0
Jayden Harrison,98556,WR,NOTRE DAME,1,33.3,0,258,58.2,,59.9,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,3,0,2,0,0,1,0
Patrick Gurd,129747,TE,OHIO STATE,1,100.0,0,260,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Jermayne Lole,82212,DI,TEXAS,1,100.0,0,311,60.0,,54.4,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1
Brandon Inniss,170255,WR,OHIO STATE,1,20.0,0,260,48.7,,37.6,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,5,0,4,0,0,1,0
Jaydon Chatman,173154,G,TEXAS,1,100.0,0,311,60.0,,60.4,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
