player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jordan Houston,99592,HB,MARSHALL,1,17,2,1,28.2,33,0,117,0,0,2,65,45.0,3,7,214,0,1,75.8,74.1,75.8,,76.1,54.6,73.2,71.0,33,0,0,0,14,28,0,0,0,17,1,117,65,3.82,6.9,0.0,16
Braylon Braxton,144442,QB,MARSHALL,1,17,5,1,22.9,16,0,50,0,0,2,41,41.8,2,4,214,0,9,74.2,64.3,77.0,67.3,,,57.6,60.0,16,0,0,0,0,41,20,3,0,14,0,70,53,3.12,4.1,,2
Cam Skattebo,147787,HB,ARIZONA ST,1,16,11,3,75.3,128,0,170,0,1,11,116,483.3,3,6,110,0,14,75.5,87.3,76.6,60.0,35.8,63.3,91.1,50.3,53,0,38,2,17,19,0,0,2,18,2,170,116,7.25,10.6,2.24,2
Trevor Etienne,157730,HB,GEORGIA,1,16,6,1,51.1,48,0,94,0,3,6,60,160.7,3,4,173,0,4,75.6,81.4,76.9,,57.0,79.4,78.5,59.2,48,0,28,5,15,22,0,0,5,21,2,94,60,3.75,5.9,1.87,11
Hajj-Malik Williams,102348,QB,UNLV,1,15,3,1,18.7,17,0,44,0,0,0,17,0.0,3,5,325,2,7,24.9,41.7,23.3,33.2,,,65.5,60.0,31,1,0,0,0,26,47,4,0,11,0,91,74,4.93,6.1,,2
Noah Whittington,123472,HB,OREGON,1,15,4,2,50.0,41,0,82,0,0,4,63,105.0,2,4,264,0,9,75.3,75.6,76.7,,76.2,54.9,77.2,60.1,26,0,1,1,14,19,0,0,2,16,0,82,63,4.2,5.5,0.07,6
Kaytron Allen,164158,HB,PENN STATE,1,14,3,3,66.1,82,0,124,0,0,3,90,113.4,4,7,266,0,5,74.9,76.7,76.0,,,64.8,80.4,44.0,32,0,15,3,16,18,0,0,4,17,1,124,90,6.43,8.9,0.94,9
Makhi Hughes,158417,HB,TULANE,1,14,6,0,0.0,0,0,66,0,0,6,47,118.5,1,5,319,0,3,74.9,75.1,76.0,,39.1,63.0,77.4,60.0,12,0,22,3,15,15,0,0,3,17,0,66,47,3.36,4.7,1.47,11
Phil Mafah,144123,HB,CLEMSON,1,13,1,0,0.0,0,0,27,0,0,1,22,12.1,0,3,140,0,4,74.4,62.7,76.4,,81.5,53.6,65.2,57.4,8,0,2,1,25,16,0,0,2,14,0,27,22,1.69,2.1,0.08,9
Parker Navarro,123758,QB,OHIO,1,12,5,0,0.0,0,0,65,0,0,4,43,142.1,2,7,259,3,3,26.8,73.9,77.0,59.2,,,80.0,60.0,13,0,0,0,0,41,8,1,0,11,2,73,57,4.75,6.1,,7
Cade Klubnik,156253,QB,CLEMSON,1,11,1,0,0.0,0,0,27,0,0,1,15,15.0,0,1,140,1,4,44.7,71.2,77.1,76.4,,,52.3,60.0,6,0,0,0,0,28,3,1,0,10,0,30,15,1.36,2.7,,2
Keyon Mozee,145809,HB,MIAMI OH,1,11,3,0,0.0,0,0,28,0,0,3,20,45.5,0,2,221,0,1,73.6,67.8,72.5,,70.4,64.1,66.0,60.0,8,0,2,1,3,12,0,0,1,12,0,28,20,1.82,2.5,0.67,10
