player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Bear Bachmeier,203434,QB,BYU,1,17,3,0,0.0,0,0,64,0,0,2,40,47.3,5,5,128,1,7,43.5,67.2,77.0,64.5,,51.6,63.9,60.0,16,0,0,0,2,32,33,4,1,13,0,97,48,2.82,5.7,0.0,3
Bo Jackson,199864,HB,OHIO STATE,1,17,2,1,20.0,16,0,80,0,0,2,64,41.8,3,3,260,0,11,75.8,61.1,74.8,,71.8,59.2,60.9,,16,0,5,1,11,17,0,0,1,18,0,80,64,3.76,4.7,0.45,6
Trinidad Chambliss,178723,QB,OLE MISS,1,17,3,0,0.0,0,0,45,0,0,3,51,68.0,3,5,226,0,7,74.3,77.8,78.0,76.3,,,66.2,60.0,11,0,0,0,0,45,22,2,0,15,0,67,51,3.0,3.9,,1
Cornell Hatcher Jr.,191215,HB,OREGON ST,1,17,2,1,19.4,18,0,93,0,0,2,61,37.8,2,4,265,1,4,29.6,63.2,74.4,,71.9,62.2,62.2,60.0,18,0,6,2,6,19,0,0,2,19,1,93,61,3.59,5.5,1.0,13
Lucky Sutton,158807,HB,S DIEGO ST,1,17,1,0,0.0,0,0,88,0,0,1,61,21.1,3,5,284,0,7,76.2,64.6,75.8,,80.3,54.3,65.2,54.7,13,0,0,0,14,24,0,0,0,17,0,88,61,3.59,5.2,0.0,10
Seth McGowan,122936,HB,KENTUCKY,1,17,2,3,48.2,54,0,112,0,0,2,53,36.7,4,4,202,0,8,75.5,66.2,74.5,,72.2,60.6,65.6,,20,0,0,0,10,16,0,0,0,17,1,112,53,3.12,6.6,0.0,8
Dean Connors,156624,HB,HOUSTON,1,17,3,0,0.0,0,0,53,0,0,3,39,32.8,0,1,182,0,3,76.5,66.1,76.9,,53.1,70.6,64.9,59.4,8,0,33,4,21,23,0,0,5,21,0,53,39,2.29,3.1,1.57,14
Jordan Fuller,149418,HB,JAMES MAD,1,16,6,2,31.4,43,0,137,0,0,6,60,140.6,7,8,197,0,7,75.5,92.0,73.5,,74.6,55.1,91.0,60.0,26,0,0,0,5,18,0,0,0,16,1,137,60,3.75,8.6,0.0,9
Jam Miller,157003,HB,ALABAMA,1,16,1,0,0.0,0,0,46,0,0,1,40,13.2,0,1,103,0,9,75.6,55.7,0.0,,61.3,59.3,57.1,60.1,7,1,19,3,22,22,0,0,3,19,0,46,40,2.5,2.9,0.86,7
Telly Johnson Jr.,188420,HB,N ILLINOIS,1,16,2,0,0.0,0,0,53,0,0,2,44,34.4,1,2,254,0,6,75.5,61.6,77.5,,86.9,51.7,63.6,57.3,11,0,0,0,16,25,0,0,1,16,0,53,44,2.75,3.3,0.0,10
Hollywood Smothers,173719,HB,NC STATE,1,16,4,0,0.0,0,0,67,0,2,4,49,91.9,3,2,248,0,6,75.6,62.4,75.7,,78.0,61.3,61.8,60.0,11,0,11,4,25,17,0,0,4,20,0,67,49,3.06,4.2,0.44,6
