player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Lew Nichols,97187,HB,C MICHIGAN,1,0,134,20.2,2,1,18,46.2,41.9,91.7,0,3,0,18,43,12.4,2,0,3,30.0,27.3,66.7,2,0,3,11
Emmit Bohle,156074,T,ARIZONA ST,1,0,110,76.1,0,0,17,100.0,100.0,94.1,0,1,1,18,18,66.8,0,0,6,100.0,100.0,83.3,1,1,7,7
Tellek Lockette,163512,G,LA MONROE,1,0,209,57.2,0,1,17,100.0,100.0,97.1,0,1,0,18,18,77.3,0,0,4,100.0,100.0,100.0,0,0,4,4
Jahlil Ryles,79680,G,MIDDLE TN,1,0,224,55.7,0,1,17,100.0,100.0,97.1,0,1,0,17,17,41.3,0,1,8,100.0,100.0,93.7,1,0,8,8
Tykeem Doss,121454,T,SO MISS,1,0,296,82.4,0,0,17,100.0,100.0,100.0,0,0,0,17,17,79.5,0,0,4,100.0,100.0,100.0,0,0,4,4
Shaun Shivers,83634,HB,INDIANA,1,0,190,28.0,0,1,15,34.9,37.0,96.7,0,1,0,17,46,19.8,0,1,9,42.9,45.8,94.4,1,0,11,24
Gerquan Scott,100792,G,SO MISS,1,0,296,16.0,1,0,17,100.0,100.0,97.1,0,1,0,17,17,0.0,1,0,4,100.0,100.0,87.5,1,0,4,4
Caleb Warren,99083,C,OLE MISS,1,0,226,2.6,1,0,15,100.0,100.0,96.7,0,1,0,17,17,0.0,0,0,2,100.0,100.0,100.0,0,0,3,3
Kwatrivous Johnson,81742,T,MISS STATE,1,0,227,42.1,1,0,17,100.0,100.0,97.1,0,1,0,17,17,80.1,0,0,4,100.0,100.0,100.0,0,0,4,4
Jacoby Jackson,144756,G,TEXAS TECH,1,0,315,60.2,0,0,17,100.0,100.0,100.0,0,0,0,17,17,38.1,0,0,7,100.0,100.0,100.0,0,0,7,7
Branson Taylor,123026,T,PITTSBURGH,1,0,268,81.2,0,0,17,100.0,100.0,100.0,0,0,0,17,17,70.3,0,0,1,100.0,100.0,100.0,0,0,1,1
Donovan Jennings,86861,T,USF,1,0,327,44.9,2,0,16,100.0,100.0,93.7,0,2,0,17,17,82.5,0,0,6,100.0,100.0,100.0,0,0,6,6
Trevor Campbell,60241,G,W MICHIGAN,1,0,347,83.7,0,0,13,100.0,100.0,100.0,0,0,0,17,17,82.0,0,0,7,100.0,100.0,100.0,0,0,9,9
Cedric Dunbar,81691,G,BOWL GREEN,1,0,122,85.6,0,0,16,100.0,100.0,100.0,0,0,0,16,16,80.1,0,0,3,100.0,100.0,100.0,0,0,3,3
Joe Bissinger,99648,G,SMU,1,0,287,73.7,0,0,13,100.0,100.0,100.0,0,0,0,16,16,77.0,0,0,2,100.0,100.0,100.0,0,0,3,3
Bryce Effner,81801,T,PENN STATE,1,0,266,82.8,0,0,15,100.0,100.0,100.0,0,0,0,16,16,81.0,0,0,5,100.0,100.0,100.0,0,0,6,6
Joshua Sales Jr.,144835,T,INDIANA,1,0,190,77.7,0,1,14,100.0,100.0,96.4,0,1,0,16,16,82.1,0,0,5,100.0,100.0,100.0,0,0,7,7
Elijah Klein,81912,G,UTEP,1,0,330,82.0,0,0,15,100.0,100.0,100.0,0,0,0,16,16,76.1,0,0,3,100.0,100.0,100.0,0,0,3,3
Jeremiah Byers,100806,T,UTEP,1,0,330,72.1,0,1,15,100.0,100.0,96.7,0,1,0,16,16,75.6,0,0,3,100.0,100.0,100.0,0,0,3,3
Noah Fenske,101593,C,COLORADO,1,0,143,27.5,0,0,15,100.0,100.0,93.3,0,1,1,16,16,73.0,0,0,2,100.0,100.0,100.0,0,0,2,2
