player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Kayden McDonald,170258,DI,OHIO STATE,1,0,0,,0,0,260,0,0,60.0,39.9,70.6,58.5,49.0,27.6,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,
Arvell Reese,170264,LB,OHIO STATE,1,1,0,,0,0,260,0,0,60.3,69.7,67.0,60.0,66.1,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,2,6,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,
Jaiden Ausberry,171075,LB,NOTRE DAME,1,1,0,,0,0,258,0,0,64.5,54.0,69.6,59.1,49.6,27.8,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,14,1,5,15,0,0,0,0,0,0,15,1,9,0,0,1,0,0,0,0,0,0,
Drayk Bowen,171077,LB,NOTRE DAME,1,3,0,,0,1,258,0,0,90.6,85.1,75.8,54.2,71.6,83.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,43,2,16,52,5,0,0,5,0,0,47,5,31,2,3,7,0,0,0,0,0,0,
Adon Shuler,171098,S,NOTRE DAME,1,1,0,100.0,0,0,258,0,0,55.0,69.4,77.4,70.9,79.3,80.5,0,0,0,0,15,0.0,0,0,0,118.8,1,0,0,22,0,24,62,10,0,0,10,0,23,52,3,35,7,2,3,1,1,0,0,15,18,15.0
Caleb Downs,172375,S,OHIO STATE,1,0,0,100.0,0,0,260,0,0,55.7,59.7,75.6,,68.9,59.0,0,0,0,0,7,16.7,1,0,0,93.8,2,0,0,24,0,42,64,0,0,0,0,0,17,64,0,22,22,2,5,0,2,0,0,13,16,6.5
Eddrick Houston,183699,DI,OHIO STATE,1,0,0,,0,0,260,0,0,,68.8,71.4,56.8,71.0,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,0,9,0,2,0,0,7,4,0,1,2,0,0,0,0,0,0,
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,1,0,0,100.0,0,0,258,1,0,58.2,68.9,78.0,53.9,78.2,58.9,0,0,0,0,24,14.3,1,0,0,158.3,2,0,0,31,0,12,43,10,0,0,10,0,0,33,7,24,2,3,6,0,2,0,1,30,29,15.0
Bryce Young,184110,ED,NOTRE DAME,1,1,0,,0,0,258,0,0,,52.2,74.9,54.0,54.5,73.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,21,21,0,0,18,3,0,0,10,11,0,1,1,0,0,0,0,0,0,
Leonard Moore,189882,CB,NOTRE DAME,1,0,0,66.7,0,0,258,0,0,66.3,67.3,76.2,,66.0,57.9,0,0,0,0,7,0.0,0,1,0,77.1,2,0,0,11,42,27,63,0,0,0,0,0,2,63,0,36,8,2,5,0,3,0,0,14,6,7.0
