player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Aaron Hall,143855,DI,DUKE,1,0,0,,0,0,154,0,0,,69.9,75.4,67.3,66.4,,0,1,0,0,,,0,0,0,0.0,0,0,0,1,0,0,38,37,0,36,1,0,0,1,21,17,0,0,0,0,0,1,0,0,0,
Brandon Johnson,143858,CB,OREGON,1,0,0,50.0,0,0,264,0,0,56.4,55.3,79.4,,54.1,27.6,0,0,0,0,42,50.0,1,0,0,135.4,1,0,0,3,2,22,38,6,0,0,6,0,1,32,0,16,26,1,1,0,2,0,1,42,5,42.0
Joshua Pickett,143869,CB,DUKE,1,0,0,80.0,0,0,154,0,0,54.9,51.6,74.7,,45.1,58.2,0,0,0,0,51,16.7,1,0,0,158.3,4,0,0,3,31,25,36,0,0,0,0,0,1,36,0,11,1,1,5,0,5,0,1,95,41,23.8
Zeek Biggers,143903,DI,GA TECH,1,1,0,,0,0,176,0,0,60.0,80.7,75.7,68.3,80.0,49.8,1,2,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,38,38,2,36,0,0,0,0,21,17,0,2,3,0,0,3,0,0,0,
Grey Carroll,143907,ED,LIBERTY,1,2,0,,0,0,206,0,0,,55.2,71.9,,55.6,73.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,0,6,2,3,0,0,0,11,0,1,1,0,0,0,0,0,0,
Noah Collins,143908,ED,ARK STATE,1,1,0,,0,0,113,1,0,,69.9,77.1,64.1,69.7,75.1,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,35,35,0,0,34,1,0,0,22,13,0,1,1,1,0,2,0,0,0,
Joshua Robinson,143928,ED,GA TECH,1,0,0,,0,0,176,0,0,60.0,38.9,75.4,54.9,36.3,18.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,1,20,20,0,0,20,0,0,0,8,11,0,0,0,0,0,0,0,0,0,
Trenilyas Tatum,143931,LB,GA TECH,1,0,0,,0,0,176,0,0,39.3,46.9,77.4,63.1,56.8,33.4,0,1,0,0,,33.3,1,0,1,0.0,0,0,0,16,0,11,36,16,0,0,16,0,0,20,7,18,4,2,2,0,0,1,0,0,0,
Chase Smith,143952,LB,MIAMI FL,1,0,0,100.0,0,0,220,0,0,43.2,38.7,70.1,58.0,52.7,,0,0,0,0,22,,0,0,0,118.8,1,0,0,16,1,4,18,1,0,0,1,0,0,17,2,12,0,0,0,0,1,0,0,22,13,22.0
DeAndre Boykins,143959,S,N CAROLINA,1,3,0,,0,0,245,0,0,63.6,73.1,76.1,66.7,74.3,71.9,1,0,0,0,,14.3,1,0,0,0.0,0,0,0,19,0,12,40,6,0,0,6,0,12,34,2,26,3,0,3,0,0,1,0,0,0,
