player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Vernon Broughton,123107,DI,TEXAS,1,0,1,,0,0,311,0,0,,63.7,76.4,61.7,63.0,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,44,44,8,25,0,11,0,0,33,11,0,1,1,1,0,0,0,0,0,
Alfred Collins,123110,DI,TEXAS,1,2,0,,0,0,311,0,0,,57.9,75.7,54.7,60.9,74.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,38,38,10,17,1,10,0,0,23,15,0,1,3,0,0,0,0,0,0,
Gavin Holmes,123389,CB,TEXAS,1,1,0,0.0,0,0,311,0,0,66.1,66.5,73.5,,60.0,73.5,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,0,22,19,22,0,0,0,0,0,0,22,0,3,0,0,0,0,3,0,0,0,0,
Lanell Carr,123411,ED,INDIANA,1,0,1,,0,0,190,0,0,62.3,59.7,79.7,65.0,49.3,23.0,0,4,0,0,,66.7,2,0,0,0.0,0,0,0,0,0,5,58,58,0,0,54,4,0,0,31,22,0,1,1,0,0,4,0,0,0,
Jalen Kimber,124026,CB,PENN STATE,1,1,0,66.7,0,0,266,0,0,49.3,49.9,75.4,,57.9,79.9,0,0,0,0,8,0.0,0,0,1,75.7,2,0,0,4,38,25,43,0,0,0,0,0,0,43,0,18,1,0,3,0,3,0,0,13,3,6.5
Dominic Bailey,124267,ED,TENNESSEE,1,0,0,,0,0,307,0,0,60.0,62.3,75.6,61.1,60.9,69.7,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,30,30,0,7,17,6,0,0,19,10,0,1,1,1,0,2,0,0,0,
Will Brooks,124273,S,TENNESSEE,1,3,0,100.0,0,0,307,0,0,70.8,64.9,76.3,60.0,49.4,64.2,0,0,0,1,18,14.3,1,0,0,79.2,1,0,0,15,1,31,54,1,0,0,1,0,31,53,1,22,6,0,3,0,1,0,0,18,0,18.0
Bryson Eason,124276,DI,TENNESSEE,1,0,0,,0,0,307,0,0,60.0,57.1,0.0,65.2,59.7,69.7,0,1,0,0,,,0,0,1,0.0,0,0,0,0,0,1,30,30,0,25,1,4,0,0,17,12,0,0,0,0,0,1,0,0,0,
Omari Thomas,124300,DI,TENNESSEE,1,0,0,,0,0,307,0,0,,77.4,74.0,62.5,78.1,72.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,4,19,0,0,0,0,12,11,0,2,2,1,0,1,0,0,0,
Kobe Wilson,125348,LB,SMU,1,3,0,40.0,0,0,287,0,0,50.2,42.6,73.8,55.6,42.0,54.7,0,0,0,0,15,20.0,2,0,0,53.8,2,0,0,41,0,24,47,2,0,0,2,0,0,45,3,20,4,3,5,0,5,0,0,22,9,11.0
Christian Gray,128036,CB,NOTRE DAME,1,1,0,100.0,0,0,258,0,0,59.1,61.4,77.6,,71.4,39.1,0,0,0,0,28,33.3,1,0,0,158.3,3,0,0,0,65,42,67,0,0,0,0,0,0,67,0,25,2,0,1,0,3,0,1,57,9,19.0
Arion Carter,129186,LB,TENNESSEE,1,1,0,75.0,0,0,307,0,0,63.2,51.0,76.3,55.8,35.8,77.6,0,0,0,0,8,0.0,0,1,0,83.3,3,0,0,35,0,27,48,3,0,0,3,0,0,45,3,18,10,1,2,0,4,0,0,18,19,6.0
Bryson Bonds,129435,S,INDIANA,1,0,0,100.0,0,0,190,0,0,60.0,27.1,66.3,,49.4,73.0,0,0,0,0,5,0.0,0,0,0,127.1,1,0,0,4,0,1,5,1,0,0,1,0,0,4,0,4,0,0,1,0,1,0,1,5,0,5.0
Mitchell Melton,129753,ED,OHIO STATE,1,1,0,,0,0,260,0,0,,64.5,75.4,58.9,66.6,71.1,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,14,6,0,0,0,0,0,1,0,0,0,
Lathan Ransom,129755,S,OHIO STATE,1,1,0,66.7,0,0,260,0,0,62.9,67.8,78.1,,75.8,81.5,0,0,0,0,21,0.0,0,1,0,93.8,2,0,0,7,0,39,58,0,0,0,0,0,46,58,0,19,5,2,4,1,3,0,0,26,-1,13.0
Cody Simon,129757,LB,OHIO STATE,1,3,0,100.0,0,0,260,0,0,79.6,74.5,75.7,60.8,59.4,67.8,0,1,0,0,4,10.0,1,1,0,83.3,1,0,0,38,0,33,56,3,0,0,3,0,0,53,4,19,15,2,6,0,1,1,0,4,7,4.0
Tyler Elsdon,129775,LB,PENN STATE,1,0,0,,0,0,266,0,0,71.7,84.7,70.5,67.2,68.7,76.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,9,0,4,10,1,0,0,1,0,0,9,2,4,0,2,2,0,0,0,0,0,0,
