player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jordan Laudato,144391,DI,TEMPLE,1,0,0,,0,0,306,0,0,,59.9,72.0,66.1,55.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,0,8,1,0,0,2,7,0,0,0,0,0,0,0,0,0,
Jalen Satchell,144399,ED,TEMPLE,1,0,0,,0,0,306,0,0,,45.0,74.2,60.8,40.7,71.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,0,0,11,12,0,0,10,13,0,1,1,0,0,0,0,0,0,
Jadon Canady,144405,CB,TULANE,1,0,0,42.9,0,0,319,0,0,55.4,58.2,79.8,60.0,66.5,79.0,0,0,0,0,20,25.0,1,0,0,55.1,3,0,0,11,0,42,73,3,0,0,3,0,5,70,1,30,54,1,3,0,7,0,0,29,13,9.7
Keith Cooper Jr.,144409,ED,TULANE,1,0,0,,0,0,319,0,0,61.2,61.7,77.0,58.8,56.0,75.1,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,0,0,31,10,0,0,25,16,0,3,3,1,0,2,0,0,0,
Tyree Carlisle,144443,CB,TULSA,1,0,0,50.0,0,0,320,0,0,58.7,60.5,74.4,,63.0,73.5,0,0,0,0,10,0.0,0,0,0,64.6,1,0,0,2,16,11,19,0,0,0,0,0,0,19,0,8,0,0,1,0,2,0,0,10,0,10.0
BJ Adams,144452,CB,UCF,1,0,0,25.0,0,0,323,0,0,71.7,67.3,0.0,68.4,53.4,,0,0,0,0,11,,0,1,1,39.6,1,0,0,0,47,30,49,0,0,0,0,0,0,49,3,16,2,0,0,0,4,0,0,11,5,11.0
William Wells,144470,S,UCF,1,0,0,,0,0,323,0,0,64.2,64.9,72.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,9,13,0,0,0,0,0,4,13,0,4,7,0,0,0,0,0,0,0,0,
Myles Purchase,144548,CB,IOWA STATE,1,2,0,25.0,0,0,193,0,0,63.7,59.8,73.9,,48.9,38.3,0,0,0,0,11,33.3,1,0,0,79.2,1,0,0,0,25,14,25,0,0,0,0,0,0,25,0,11,0,0,0,0,4,0,1,11,0,11.0
Beau Freyler,144549,S,IOWA STATE,1,0,0,,0,0,193,0,0,63.4,44.1,71.8,,31.7,24.4,0,0,0,0,,60.0,3,0,0,0.0,0,0,0,6,0,6,15,0,0,0,0,0,9,15,0,9,0,1,2,0,0,0,0,0,0,
Jayson Gilliom,144572,CB,KANSAS,1,0,0,,0,0,198,0,0,64.2,62.5,74.7,59.2,59.2,77.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,13,35,1,0,0,1,0,0,34,1,21,27,1,2,0,0,0,0,0,0,
Cam'Ron Dabney,144573,CB,KANSAS,1,0,0,,0,0,198,0,0,62.0,62.5,68.4,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,
Cobee Bryant,144575,CB,KANSAS,1,0,0,50.0,1,0,198,0,0,70.6,58.4,76.4,,29.7,20.3,0,0,0,1,49,80.0,4,1,1,56.3,2,0,0,2,50,21,53,0,0,0,0,0,0,53,0,32,1,0,1,0,4,0,0,97,8,48.5
