player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Keelon Russell,198077,QB,ALABAMA,1,-25.0,0,6,103,80.0,5,5,9.2,2.76,0,1,20.0,80.0,4,1,0.0,5,83.3,0,4,0,0,5,0.0,158.3,0.0,0,0,0,0,2,0,0.0,65,13.0,75.0,4,4,10.8,2.8,0,1,20.0,75.0,3,1,0.0,4,66.7,0,3,0,0,5,0.0,155.2,0.0,0,0,0,0,2,0,0.0,49,12.3,100.0,2,2,1.0,2.2,0,0,0.0,50.0,1,0,50.0,2,33.3,1,1,0,0,2,,77.1,0.0,0,0,0,0,0,0,0.0,16,8.0,0,100.0,1,1,-1.0,1.8,0,0,0.0,0.0,0,0,100.0,1,16.7,1,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,-4.25
Jackson Proctor,148851,QB,N ILLINOIS,1,-40.0,0,6,254,33.3,3,4,4.7,2.13,1,0,0.0,0.0,0,1,100.0,4,66.7,1,0,0,0,4,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,75.0,4,5,0.5,1.82,1,0,0.0,40.0,2,1,33.3,5,83.3,1,0,0,0,5,0.0,47.9,0.0,0,0,0,0,0,0,0.0,8,1.6,0.0,1,1,7.0,2.0,0,0,0.0,0.0,0,0,,1,16.7,0,0,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,2,2,-2.5,1.3,0,0,0.0,100.0,2,0,0.0,2,33.3,0,0,0,0,2,,83.3,0.0,0,0,0,0,0,0,0.0,8,4.0,-1.6
Mitch Griffis,123386,QB,TEXAS TECH,2,50.0,0,6,315,66.7,3,3,10.3,3.03,0,0,0.0,66.7,2,1,0.0,4,66.7,0,3,0,0,5,0.0,131.9,0.0,0,1,0,0,1,0,0.0,25,8.3,50.0,2,2,9.5,3.4,0,0,0.0,50.0,1,0,0.0,3,50.0,0,2,0,0,4,,68.8,0.0,0,1,0,0,0,0,0.0,12,6.0,100.0,3,3,3.0,1.5,0,0,0.0,100.0,3,1,0.0,3,50.0,0,1,0,0,3,0.0,145.1,0.0,0,0,0,0,1,0,0.0,28,9.3,0,100.0,2,2,-1.5,1.3,0,0,0.0,100.0,2,0,0.0,2,33.3,0,0,0,0,2,,97.9,0.0,0,0,0,0,0,0,0.0,15,7.5,3.33
Tommy Ulatowski,163150,QB,KENNESAW,2,75.0,0,5,200,75.0,4,5,4.0,2.2,0,0,0.0,60.0,3,2,0.0,5,100.0,0,0,0,0,5,0.0,64.6,0.0,0,0,0,1,0,0,0.0,9,1.8,,0,1,,3.1,0,0,0.0,0.0,0,1,,1,20.0,0,0,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,75.0,4,4,4.0,1.98,0,0,0.0,75.0,3,1,0.0,4,80.0,0,0,0,0,4,0.0,77.1,0.0,0,0,0,0,0,0,0.0,9,2.3,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,2.25
Mike Wright Jr.,124366,QB,E CAROLINA,1,-66.67,0,5,156,50.0,2,2,11.5,3.1,0,0,0.0,50.0,1,2,0.0,2,40.0,0,0,0,0,2,0.0,64.6,0.0,0,0,0,0,0,0,0.0,10,5.0,100.0,2,2,-2.5,1.3,0,0,0.0,100.0,2,0,0.0,2,40.0,0,0,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,3,1.5,66.7,3,3,7.7,2.9,0,0,0.0,33.3,1,2,50.0,3,60.0,1,0,0,0,3,0.0,43.8,0.0,0,0,0,0,0,0,0.0,10,3.3,0,100.0,3,3,-1.7,1.7,0,0,0.0,66.7,2,0,33.3,3,60.0,1,0,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,3,1.0,1.83
Brock Thomas,176601,QB,OREGON,2,-40.0,0,5,264,100.0,2,5,6.5,2.2,2,0,0.0,40.0,2,1,0.0,5,100.0,0,1,1,0,6,0.0,47.9,0.0,0,0,0,0,0,0,0.0,14,2.8,100.0,2,5,6.5,2.2,2,0,0.0,40.0,2,1,0.0,5,100.0,0,1,1,0,6,0.0,47.9,0.0,0,0,0,0,0,0,0.0,14,2.8,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-2.8
Jalyn Gramstad,180656,QB,NEBRASKA,2,0.0,0,5,238,100.0,3,3,4.3,2.0,0,0,0.0,100.0,3,0,0.0,3,60.0,0,0,0,0,3,,90.3,0.0,0,0,0,0,0,0,0.0,17,5.7,100.0,4,4,-0.3,1.48,0,0,0.0,100.0,4,0,0.0,4,80.0,0,0,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,10,2.5,100.0,1,1,6.0,1.6,0,0,0.0,100.0,1,0,0.0,1,20.0,0,0,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,0,100.0,2,2,-4.0,0.75,0,0,0.0,100.0,2,0,0.0,2,40.0,0,0,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-0.5,3.5
Will Wilson,198972,QB,NC STATE,1,50.0,0,5,248,60.0,5,5,7.6,2.12,0,0,0.0,60.0,3,1,0.0,5,100.0,0,2,0,1,5,0.0,25.8,0.0,0,0,0,0,0,1,20.0,16,3.2,50.0,4,4,7.8,1.9,0,0,0.0,50.0,2,0,0.0,4,80.0,0,1,0,1,4,,16.7,0.0,0,0,0,0,0,1,25.0,9,2.3,100.0,1,1,7.0,3.0,0,0,0.0,100.0,1,1,0.0,1,20.0,0,1,0,0,1,0.0,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,4.75
Gabarri Johnson,175905,QB,OREGON ST,3,-50.0,0,5,265,50.0,2,2,5.0,2.7,0,0,0.0,50.0,1,1,0.0,2,40.0,0,0,0,0,3,0.0,56.3,0.0,0,0,0,0,0,0,0.0,6,3.0,50.0,4,4,0.0,1.98,0,0,0.0,50.0,2,1,0.0,4,80.0,0,0,0,0,4,0.0,56.3,0.0,0,0,0,0,0,0,0.0,10,2.5,100.0,1,1,-2.0,1.5,0,0,0.0,0.0,0,0,100.0,1,20.0,1,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,66.7,3,3,-4.0,1.33,0,0,0.0,33.3,1,0,50.0,3,60.0,1,0,0,0,3,,42.4,0.0,0,0,0,0,0,0,0.0,4,1.3,-2.5
Henry Belin IV,162693,QB,DUKE,1,-40.0,0,5,154,40.0,5,5,25.0,3.92,0,0,0.0,40.0,2,1,0.0,5,100.0,0,1,0,0,5,0.0,53.8,0.0,0,0,0,0,0,0,0.0,22,4.4,40.0,5,5,25.0,3.92,0,0,0.0,40.0,2,1,0.0,5,100.0,0,1,0,0,5,0.0,53.8,0.0,0,0,0,0,0,0,0.0,22,4.4,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.4
Luke Kromenhoek,183305,QB,MISS STATE,2,100.0,0,5,227,100.0,3,4,8.3,2.66,1,0,0.0,50.0,2,1,33.3,5,100.0,1,2,0,0,5,0.0,64.6,0.0,0,1,0,0,0,0,0.0,20,5.0,100.0,1,2,5.0,2.57,1,0,0.0,0.0,0,1,100.0,3,60.0,1,1,0,0,3,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,100.0,2,2,10.0,2.8,0,0,0.0,100.0,2,0,0.0,2,40.0,0,1,0,0,2,,108.3,0.0,0,0,0,0,0,0,0.0,20,10.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,10.0
McCae Hillstead,174761,QB,BYU,1,-80.0,0,5,128,0.0,1,1,3.0,2.1,0,0,0.0,0.0,0,0,,1,20.0,0,0,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,80.0,5,5,-2.0,1.7,0,0,0.0,80.0,4,0,0.0,5,100.0,0,1,0,0,5,,94.2,0.0,0,0,0,0,0,0,0.0,33,6.6,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,4,4,-3.3,1.6,0,0,0.0,100.0,4,0,0.0,4,80.0,0,1,0,0,4,,101.0,0.0,0,0,0,0,0,0,0.0,33,8.3,-6.6
Isaiah Marshall,183809,QB,KANSAS,1,-100.0,0,4,198,100.0,3,3,7.3,3.35,0,0,0.0,100.0,3,1,0.0,4,100.0,0,2,0,0,4,0.0,105.6,0.0,0,1,0,0,0,0,0.0,28,9.3,100.0,3,3,7.3,3.35,0,0,0.0,100.0,3,1,0.0,4,100.0,0,2,0,0,4,0.0,105.6,0.0,0,1,0,0,0,0,0.0,28,9.3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-9.33
Kamario Taylor,198868,QB,MISS STATE,2,-50.0,0,4,227,50.0,2,2,42.0,3.77,0,1,33.3,50.0,1,3,0.0,3,75.0,0,2,0,0,4,0.0,135.4,0.0,0,1,0,0,1,0,0.0,42,21.0,100.0,1,1,-4.0,0.6,0,0,0.0,100.0,1,0,0.0,1,25.0,0,0,0,0,2,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,50.0,2,2,42.0,3.77,0,1,50.0,50.0,1,3,0.0,3,75.0,0,2,0,0,3,0.0,135.4,0.0,0,1,0,0,1,0,0.0,42,21.0,0,100.0,1,1,-4.0,0.6,0,0,0.0,100.0,1,0,0.0,1,25.0,0,0,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,17.0
Deuce Adams,190581,QB,LOUISVILLE,2,-50.0,0,4,210,100.0,4,4,4.8,2.35,0,0,0.0,75.0,3,1,25.0,4,100.0,1,1,0,0,4,0.0,83.3,0.0,0,0,0,0,0,0,0.0,18,4.5,100.0,2,2,-1.0,2.65,0,0,0.0,100.0,2,1,0.0,2,50.0,0,0,0,0,2,0.0,79.2,0.0,0,0,0,0,0,0,0.0,2,1.0,100.0,2,2,10.5,2.05,0,0,0.0,50.0,1,0,50.0,2,50.0,1,1,0,0,2,,77.1,0.0,0,0,0,0,0,0,0.0,16,8.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,7.0
Parker Kingston,163251,WR,BYU,3,0.0,0,4,128,0.0,2,3,35.0,4.38,0,0,0.0,0.0,0,2,,4,100.0,0,0,0,0,4,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0,0.0,1,1,33.0,4.15,0,0,0.0,0.0,0,1,,2,50.0,0,0,0,0,2,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,0.0,1,2,37.0,4.6,0,0,0.0,0.0,0,1,,2,50.0,0,0,0,0,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Whitt Newbauer,188566,QB,OKLAHOMA,1,-50.0,0,4,261,50.0,2,3,8.0,2.18,1,0,0.0,33.3,1,1,0.0,4,100.0,0,1,0,0,5,100.0,42.4,25.0,1,0,0,0,0,0,0.0,8,2.7,50.0,2,2,8.0,2.13,0,0,0.0,50.0,1,1,0.0,3,75.0,0,1,0,0,3,100.0,60.4,33.3,1,0,0,0,0,0,0.0,8,4.0,,0,1,,2.3,1,0,0.0,0.0,0,0,,1,25.0,0,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.0
Ethan Hampton,145858,QB,ILLINOIS,2,-75.0,0,4,187,75.0,4,4,10.0,2.05,0,0,0.0,75.0,3,1,0.0,4,100.0,0,1,0,1,4,0.0,53.1,0.0,0,0,0,0,0,0,0.0,27,6.8,75.0,4,4,10.0,2.05,0,0,0.0,75.0,3,1,0.0,4,100.0,0,1,0,1,4,0.0,53.1,0.0,0,0,0,0,0,0,0.0,27,6.8,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-6.75
Alex Orji,158545,QB,UNLV,1,0.0,0,4,325,100.0,2,2,5.0,2.67,0,0,0.0,100.0,2,1,0.0,3,75.0,0,2,0,0,4,0.0,104.2,0.0,0,1,0,0,0,0,0.0,18,9.0,100.0,2,2,1.5,2.4,0,0,0.0,100.0,2,1,0.0,3,75.0,0,3,0,0,3,0.0,118.8,0.0,0,1,0,0,0,0,0.0,32,16.0,100.0,1,1,5.0,1.9,0,0,0.0,100.0,1,0,0.0,1,25.0,0,0,0,0,2,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,0,100.0,1,1,-2.0,1.1,0,0,0.0,100.0,1,0,0.0,1,25.0,0,1,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0,-11.0
Hunter Herring,147138,QB,LA MONROE,3,100.0,0,4,209,66.7,3,3,17.0,3.55,0,0,0.0,66.7,2,1,0.0,4,100.0,0,3,0,0,4,0.0,109.7,0.0,0,1,0,0,0,0,0.0,61,20.3,0.0,1,1,39.0,5.0,0,0,0.0,0.0,0,0,,1,25.0,0,0,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,2,2,6.0,3.07,0,0,0.0,100.0,2,1,0.0,3,75.0,0,3,0,0,3,0.0,118.8,0.0,0,1,0,0,0,0,0.0,61,30.5,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,30.5
Chaston Ditta,198345,QB,E CAROLINA,1,-50.0,0,4,156,100.0,2,2,9.5,1.55,0,0,0.0,100.0,2,0,0.0,2,50.0,0,1,0,0,2,,145.8,0.0,0,0,0,0,1,0,0.0,19,9.5,100.0,2,2,9.5,1.55,0,0,0.0,100.0,2,0,0.0,2,50.0,0,1,0,0,2,,145.8,0.0,0,0,0,0,1,0,0.0,19,9.5,100.0,2,2,3.5,1.55,0,0,0.0,50.0,1,0,50.0,2,50.0,1,1,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,17,8.5,0,100.0,2,2,3.5,1.55,0,0,0.0,50.0,1,0,50.0,2,50.0,1,1,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,17,8.5,-1.0
Whit Muschamp,188521,QB,VANDERBILT,1,-66.67,0,3,333,100.0,3,3,2.7,2.0,0,0,0.0,66.7,2,0,33.3,3,100.0,1,1,0,0,3,,109.7,0.0,0,0,0,0,0,0,0.0,40,13.3,100.0,3,3,2.7,2.0,0,0,0.0,66.7,2,0,33.3,3,100.0,1,1,0,0,3,,109.7,0.0,0,0,0,0,0,0,0.0,40,13.3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-13.33
Tucker McDonald,171056,QB,UCONN,2,100.0,0,3,146,100.0,2,2,18.5,2.55,0,1,50.0,50.0,1,0,50.0,2,66.7,1,1,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,45,22.5,50.0,2,2,-1.0,1.6,0,0,0.0,0.0,0,0,100.0,2,66.7,1,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,38.0,3.4,0,1,100.0,100.0,1,0,0.0,1,33.3,0,1,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,45,45.0,0,0.0,1,1,-1.0,1.5,0,0,0.0,0.0,0,0,,1,33.3,0,0,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,45.0
Dylan Wittke,174804,QB,MINNESOTA,1,-50.0,0,3,225,33.3,3,3,14.3,2.37,0,0,0.0,33.3,1,1,0.0,3,100.0,0,0,0,1,3,0.0,2.8,0.0,0,0,0,0,0,1,33.3,7,2.3,50.0,2,2,21.0,2.4,0,0,0.0,50.0,1,0,0.0,2,66.7,0,0,0,1,2,,18.8,0.0,0,0,0,0,0,1,50.0,7,3.5,0.0,1,1,1.0,2.3,0,0,0.0,0.0,0,1,,1,33.3,0,0,0,0,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,0.0,,0,0,,0,0.0,0,0,0,0,1,,0.0,,0,0,0,0,0,0,0.0,0,,-3.5
Keldric Luster,175287,QB,TEXAS ST,2,33.33,0,3,314,66.7,3,3,10.3,2.57,0,0,0.0,33.3,1,1,50.0,3,100.0,1,1,0,0,3,0.0,49.3,0.0,0,0,0,0,0,0,0.0,14,4.7,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,66.7,3,3,10.3,2.57,0,0,0.0,33.3,1,1,50.0,3,100.0,1,1,0,0,3,0.0,49.3,0.0,0,0,0,0,0,0,0.0,14,4.7,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,4.67
Roman Gagliano,183961,QB,MIDDLE TN,1,-100.0,0,3,224,100.0,1,1,5.0,1.93,0,0,0.0,100.0,1,2,0.0,3,100.0,0,0,0,0,3,100.0,87.5,66.7,2,0,0,0,0,0,0.0,5,5.0,100.0,1,1,5.0,1.93,0,0,0.0,100.0,1,2,0.0,3,100.0,0,0,0,0,3,100.0,87.5,66.7,2,0,0,0,0,0,0.0,5,5.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-5.0
Trent Pearman,156233,QB,CLEMSON,1,-50.0,0,3,140,50.0,2,3,28.5,3.23,0,0,0.0,33.3,1,2,0.0,3,100.0,0,1,0,0,3,0.0,72.9,0.0,0,0,0,1,0,0,0.0,31,10.3,50.0,2,2,28.5,2.7,0,0,0.0,50.0,1,1,0.0,2,66.7,0,1,0,0,2,0.0,95.8,0.0,0,0,0,0,0,0,0.0,31,15.5,,0,1,,4.3,0,0,0.0,0.0,0,1,,1,33.3,0,0,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-15.5
Josh Flowers,184255,QB,ARK STATE,1,-33.33,0,3,113,33.3,3,3,9.0,1.7,0,0,0.0,33.3,1,0,0.0,3,100.0,0,1,0,0,3,,42.4,0.0,0,0,0,0,0,0,0.0,7,2.3,33.3,3,3,9.0,1.7,0,0,0.0,33.3,1,0,0.0,3,100.0,0,1,0,0,3,,42.4,0.0,0,0,0,0,0,0,0.0,7,2.3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-2.33
Cade Cunningham,145264,QB,JVILLE ST,1,-100.0,0,3,196,66.7,3,3,6.3,2.5,0,0,0.0,33.3,1,1,50.0,3,100.0,1,0,0,0,3,0.0,42.4,0.0,0,0,0,0,0,0,0.0,-1,-0.3,100.0,1,1,-2.0,1.7,0,0,0.0,100.0,1,1,0.0,1,33.3,0,0,0,0,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,-1,-1.0,50.0,2,2,10.5,2.9,0,0,0.0,0.0,0,0,100.0,2,66.7,1,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.0
Ryan Boe,190878,QB,NWESTERN,1,100.0,0,3,256,0.0,1,1,4.0,3.8,0,0,0.0,0.0,0,0,,2,66.7,0,1,0,0,2,,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,0.0,1,1,4.0,2.8,0,0,0.0,0.0,0,0,,1,33.3,0,0,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,-4.0,3.45,0,0,0.0,100.0,1,0,0.0,2,66.7,0,1,0,0,2,,95.8,0.0,0,1,0,0,0,0,0.0,7,7.0,0,100.0,1,1,-4.0,2.1,0,0,0.0,100.0,1,0,0.0,1,33.3,0,0,0,0,1,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0,7.0
Dermaricus Davis,190930,QB,HAWAII,1,-50.0,0,3,180,33.3,3,3,16.0,2.87,0,0,0.0,33.3,1,1,0.0,3,100.0,0,1,0,0,3,0.0,43.8,0.0,0,0,0,0,0,0,0.0,10,3.3,50.0,2,2,18.0,3.05,0,0,0.0,50.0,1,0,0.0,2,66.7,0,1,0,0,2,,64.6,0.0,0,0,0,0,0,0,0.0,10,5.0,0.0,1,1,12.0,2.5,0,0,0.0,0.0,0,1,,1,33.3,0,0,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-5.0
Ksaan Farrar,198321,QB,UCONN,1,0.0,0,3,146,0.0,1,1,20.0,4.33,0,0,0.0,0.0,0,3,,3,100.0,0,1,0,0,3,33.3,39.6,33.3,1,1,0,0,0,0,0.0,0,0.0,0.0,1,1,20.0,3.65,0,0,0.0,0.0,0,2,,2,66.7,0,1,0,0,2,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,,0,0,,5.7,0,0,,,0,1,,1,33.3,0,0,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
Stephen Kittleman,126906,QB,TULSA,1,-50.0,0,3,320,50.0,2,2,15.5,1.7,0,0,0.0,50.0,1,0,0.0,2,66.7,0,0,0,0,3,,62.5,0.0,0,0,0,0,0,0,0.0,9,4.5,100.0,1,1,-4.0,0.5,0,0,0.0,100.0,1,0,0.0,1,33.3,0,1,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,50.0,2,2,15.5,1.7,0,0,0.0,50.0,1,0,0.0,2,66.7,0,0,0,0,3,,62.5,0.0,0,0,0,0,0,0,0.0,9,4.5,0,100.0,1,1,-4.0,0.5,0,0,0.0,100.0,1,0,0.0,1,33.3,0,1,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,-4.5
Shaker Reisig,199615,QB,BOSTON COL,1,-100.0,0,3,121,100.0,3,3,17.7,2.3,0,2,66.7,100.0,3,1,0.0,3,100.0,0,3,0,0,3,0.0,158.3,0.0,0,0,0,0,1,0,0.0,70,23.3,100.0,3,3,17.7,2.3,0,2,66.7,100.0,3,1,0.0,3,100.0,0,3,0,0,3,0.0,158.3,0.0,0,0,0,0,1,0,0.0,70,23.3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-23.33
Banks Bowen,204187,QB,OKLA STATE,1,-50.0,0,3,262,0.0,1,1,0.0,3.05,0,0,0.0,0.0,0,1,,2,66.7,0,0,0,0,2,100.0,39.6,50.0,1,0,0,0,0,1,50.0,0,0.0,50.0,2,2,-1.5,2.93,0,0,0.0,50.0,1,2,0.0,3,100.0,0,0,0,0,3,50.0,56.3,33.3,1,0,0,0,0,1,33.3,-5,-2.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-3.0,2.7,0,0,0.0,100.0,1,1,0.0,1,33.3,0,0,0,0,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,-5,-5.0,2.5
Ethan Lane,171235,QB,C MICHIGAN,1,-50.0,0,3,134,66.7,3,3,0.3,1.83,0,0,0.0,33.3,1,0,50.0,3,100.0,1,0,0,0,3,,42.4,0.0,0,0,0,0,0,0,0.0,8,2.7,100.0,2,2,-2.0,1.85,0,0,0.0,50.0,1,0,50.0,2,66.7,1,0,0,0,2,,60.4,0.0,0,0,0,0,0,0,0.0,8,4.0,0.0,1,1,5.0,1.8,0,0,0.0,0.0,0,0,,1,33.3,0,0,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-4.0
