player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jackson Gutierrez,189488,HB,NAVY,2,0.0,2,2,9.0,2.33,0,0,0.0,0.0,0,0,2,,3,0,0,237,78.2,78.8,29.4,78.3,0,0,4,0,50.0,39.6,33.3,1,0,0,0,0,1,25.0,0,0.0
Tavien St. Clair,199863,QB,OHIO STATE,1,50.0,2,2,7.0,2.7,0,0,0.0,0.0,0,0,0,100.0,2,1,0,260,61.8,59.1,57.9,,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jacob De Jesus,174068,WR,CAL,1,50.0,2,2,22.5,5.0,0,0,0.0,50.0,1,0,1,0.0,3,0,1,130,72.5,71.1,64.3,50.4,0,0,3,0,0.0,95.8,0.0,0,1,0,0,0,0,0.0,27,13.5
Marcus Beamon,198245,QB,C MICHIGAN,2,100.0,1,2,31.0,3.2,1,1,33.3,50.0,1,0,1,0.0,3,0,1,134,77.0,77.5,81.8,67.2,0,0,4,0,0.0,135.4,0.0,0,1,0,0,1,0,0.0,33,16.5
Drew Dickey,163710,QB,VANDERBILT,1,50.0,2,2,21.5,3.1,0,1,50.0,50.0,1,0,0,0.0,2,0,1,333,69.6,85.5,82.1,68.0,0,0,2,0,,95.8,0.0,0,0,0,0,0,0,0.0,28,14.0
Jeremy Hecklinski,183388,QB,IOWA,2,100.0,2,2,1.5,2.27,0,0,0.0,100.0,2,0,0,0.0,3,0,1,192,64.8,70.8,62.3,65.3,0,0,3,0,,83.3,0.0,0,1,0,0,0,0,0.0,8,4.0
Trent Walker,146340,WR,OREGON ST,2,50.0,2,2,18.0,3.35,0,0,0.0,50.0,1,0,1,0.0,2,0,1,265,70.0,70.5,51.3,,0,0,2,0,0.0,79.2,0.0,0,0,0,0,0,1,50.0,17,8.5
Cameron Friel,146195,QB,UNLV,1,0.0,1,2,2.0,3.67,0,0,0.0,0.0,0,0,1,,3,0,1,325,68.8,63.8,50.8,70.4,0,0,3,1,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0
Da'Realyst Clark,198624,WR,KENT STATE,2,100.0,2,2,16.0,4.2,0,0,0.0,100.0,2,0,1,0.0,2,0,2,201,74.0,69.9,86.2,58.4,0,0,2,0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,39,19.5
Austin Novosad,174133,QB,OREGON,1,50.0,2,2,18.5,2.75,0,0,0.0,50.0,1,0,0,0.0,2,0,1,264,61.8,69.7,69.1,,0,0,2,0,,95.8,0.0,0,0,0,0,0,0,0.0,40,20.0
