player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jeadyn Lukus,156247,CB,CLEMSON,1,0,6.0,0,0,140,45.7,32.8,72.4,,46.7,73.5,0.0,0,0,5,5,0.0,0,1
Jamari Sharpe,156408,CB,INDIANA,1,0,,0,0,190,60.8,62.6,76.3,78.2,53.7,63.6,,0,0,17,17,0.0,0,0
C.J. Hicks,156483,LB,OHIO STATE,1,0,4.0,0,0,260,63.2,58.7,69.4,,53.5,73.6,0.0,0,0,7,7,14.3,1,1
Caden Curry,156488,ED,OHIO STATE,1,0,5.0,0,0,260,,68.4,74.8,67.7,63.2,71.5,0.0,0,0,8,8,0.0,0,1
Cameron Robertson,156623,ED,SMU,1,0,0.0,0,0,287,,64.1,78.1,56.6,67.7,73.0,0.0,0,0,17,17,5.9,1,1
Aiden Fisher,156725,LB,INDIANA,1,2,2.8,0,0,190,50.7,61.5,73.9,51.3,78.5,53.8,14.3,1,0,27,27,11.1,3,4
Tyrique Tucker,156729,DI,INDIANA,1,0,,0,0,190,,55.8,76.1,65.6,48.2,16.5,100.0,1,0,9,9,0.0,0,0
Donovan Hinish,156961,DI,NOTRE DAME,1,0,,0,0,258,,67.2,73.4,61.5,66.8,,,0,0,8,9,0.0,0,0
Jaylen Sneed,156972,LB,NOTRE DAME,1,0,-1.0,0,0,258,46.3,62.3,78.3,68.7,69.9,79.1,0.0,0,0,11,13,9.1,1,1
Joshua Burnham,156977,ED,NOTRE DAME,1,0,-0.5,0,0,258,60.0,55.4,0.0,58.4,61.5,73.7,0.0,0,1,13,14,15.4,2,2
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,3.0,0,0,258,60.1,71.8,0.0,84.9,61.0,72.2,0.0,0,1,10,11,10.0,1,1
Jaelyn Davis-Robinson,157116,CB,SMU,1,0,,0,0,287,73.2,65.7,69.9,,52.8,78.8,,0,0,4,4,0.0,0,0
Davison Igbinosun,157129,CB,OHIO STATE,1,0,14.0,0,0,260,70.9,71.6,76.4,,66.1,29.5,0.0,0,0,19,19,0.0,0,1
Jaxson Moi,157280,DI,TENNESSEE,1,0,,0,0,307,,59.1,75.1,63.6,56.4,,,0,0,14,14,0.0,0,0
Jaylon Guilbeau,157307,CB,TEXAS,1,0,-1.0,0,0,311,52.0,55.8,77.8,61.7,69.6,66.4,0.0,0,0,16,16,6.3,1,1
Tyre West,157613,ED,TENNESSEE,1,0,4.0,0,0,307,,68.5,73.1,57.7,68.9,71.5,0.0,0,0,10,10,10.0,1,1
Ahmaad Moses,158276,S,SMU,1,0,2.0,0,0,287,55.3,51.5,72.9,,50.7,28.3,66.7,2,0,15,15,6.7,1,1
Isaiah Smith,158282,ED,SMU,1,0,0.5,0,0,287,60.0,65.3,78.3,62.6,73.0,29.5,0.0,0,0,16,16,12.5,2,2
Mike Sandjo,158288,DI,SMU,1,0,,0,0,287,,61.9,67.5,,60.9,,,0,0,3,3,0.0,0,0
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,1,0,4.0,0,0,260,61.2,73.1,75.8,62.1,66.7,73.9,0.0,0,1,8,8,12.5,1,1
Hero Kanu,162870,DI,OHIO STATE,1,0,,0,0,260,,64.3,72.3,72.7,56.2,,,0,0,8,8,0.0,0,0
