player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jontez Williams,157583,CB,IOWA STATE,1,2,46.0,0,0,193,90.1,89.9,77.9,,72.3,77.7,0.0,0,0,26,26,0.0,0,1
Jacob Ellis,157590,LB,IOWA STATE,1,1,3.0,0,0,193,,73.6,66.2,,72.2,77.2,0.0,0,0,3,3,33.3,1,1
Ikenna Ezeogu,157591,ED,IOWA STATE,1,0,3.0,0,0,193,,59.9,73.5,55.9,61.8,72.9,0.0,0,0,12,12,16.7,2,2
Blake Thompson,157593,S,LA TECH,1,0,8.0,0,0,208,55.3,57.5,78.3,,61.5,63.5,40.0,2,0,34,34,0.0,0,3
Treyveon McGee,157596,S,CHARLOTTE,1,0,,0,0,136,41.6,50.0,69.6,,64.4,,,0,0,13,14,0.0,0,0
Domonique Orange,157602,DI,IOWA STATE,1,1,0.0,0,0,193,60.0,66.8,73.0,63.8,58.4,72.9,0.0,0,0,13,13,7.7,1,1
Myles Norwood,157603,CB,BALL ST,1,0,,0,0,117,66.2,66.9,73.7,,63.5,73.5,,0,0,17,17,0.0,0,0
Jeremiah Cooper,157608,S,IOWA STATE,1,0,1.5,0,0,193,57.5,52.5,79.1,,43.4,62.1,33.3,1,0,35,35,5.7,2,2
Tyre West,157613,ED,TENNESSEE,1,0,0.0,0,0,307,61.1,72.7,75.9,60.6,68.1,73.7,0.0,0,0,15,15,6.7,1,1
Elijah Herring,157614,LB,MEMPHIS,1,1,0.5,0,0,218,53.2,49.3,0.0,53.8,49.5,67.7,25.0,1,1,22,22,9.1,2,2
Jordan Phillips,157619,DI,MARYLAND,1,0,4.0,0,0,215,,64.5,76.9,57.6,68.9,70.1,0.0,0,0,17,17,5.9,1,1
Cameron Miller,157620,S,MEMPHIS,1,0,,0,0,218,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Bronson Olevao Jr.,157632,LB,UTAH ST,1,0,4.5,0,0,329,61.2,61.4,73.7,,60.3,49.4,33.3,1,0,13,13,7.7,1,2
Paul Fitzgerald,157633,ED,UTAH,1,0,,0,0,328,,60.2,67.4,59.7,60.0,,,0,0,1,1,0.0,0,0
Tavian Coleman,157637,DI,TEXAS ST,1,0,2.0,0,0,314,,61.6,74.3,56.4,63.6,70.2,0.0,0,0,15,15,6.7,1,1
Mansoor Delane,157650,CB,VA TECH,1,1,11.8,0,0,337,54.6,59.1,76.3,,67.9,82.8,0.0,0,1,36,37,2.8,1,5
Keyshawn Burgos,157654,ED,VA TECH,1,1,,0,0,337,60.0,52.3,78.3,59.4,47.1,73.0,0.0,0,0,16,17,0.0,0,0
Jaden Williams,157679,DI,WYOMING,1,0,1.3,0,0,351,,62.8,76.7,59.1,63.6,74.8,0.0,0,0,15,16,20.0,3,3
Xavier Smith,157707,S,UTEP,1,0,15.0,0,0,330,60.1,62.1,73.5,,64.1,50.3,0.0,0,0,9,9,0.0,0,1
Braden Keith,157713,CB,COLORADO,1,0,,0,0,143,,60.0,66.9,,60.0,,,0,0,3,3,0.0,0,0
Keenan Landry,157731,DI,KENT STATE,1,1,-2.0,0,0,201,,64.9,75.2,56.5,66.6,72.4,0.0,0,0,20,20,5.0,1,1
Kamari Wilson,157735,S,ARIZONA ST,1,0,5.0,0,0,110,61.0,60.1,69.9,60.0,58.9,74.3,0.0,0,0,10,10,10.0,1,1
Miguel Mitchell,157742,S,ARKANSAS,1,1,,0,0,111,49.4,53.9,71.9,,65.3,79.6,0.0,0,0,6,6,0.0,0,0
Chris McClellan,157743,DI,MISSOURI,1,0,1.0,0,0,229,,64.9,75.9,58.8,66.4,73.2,0.0,0,0,26,26,11.5,3,3
Jack Pyburn,157747,ED,FLORIDA,1,1,3.2,0,0,163,60.0,67.4,78.4,70.2,69.5,80.6,0.0,0,0,21,21,4.8,1,5
Shemar James,157749,LB,FLORIDA,1,2,6.0,0,0,163,52.3,53.7,71.9,73.5,52.6,80.8,0.0,0,0,27,27,3.7,1,3
Devin Moore,157751,CB,FLORIDA,1,1,11.0,0,0,163,77.4,81.6,75.3,,80.5,82.5,0.0,0,0,20,20,5.0,1,3
