player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jackson Pons,184084,S,MIAMI OH,1,0,,0,0,221,62.7,62.6,71.6,,60.0,,,0,0,2,2,0.0,0,0
Bryce Young,184110,ED,NOTRE DAME,1,0,1.0,0,0,258,,56.8,0.0,55.2,73.5,71.1,0.0,0,1,4,5,25.0,1,1
Joshua Lloyd,184138,ED,W MICHIGAN,1,0,,0,0,347,,59.6,68.1,59.2,60.0,,,0,0,1,1,0.0,0,0
Kal-El Pascal,184151,S,BOWL GREEN,1,0,3.0,0,0,122,66.2,63.0,74.4,47.7,62.5,63.7,0.0,0,0,5,5,0.0,0,1
Frank Cusano,184216,LB,WASH STATE,1,0,6.0,0,0,341,41.9,34.5,71.1,57.0,61.3,73.1,0.0,0,0,1,1,0.0,0,1
Jakari Embry,184236,CB,FRESNO ST,1,1,5.0,0,0,169,61.5,65.2,76.0,59.5,73.4,81.7,0.0,0,0,18,18,0.0,0,1
Dorrian Smith,184289,CB,GA SOUTHRN,1,0,3.0,0,0,174,69.2,71.6,75.2,60.0,73.6,31.7,0.0,0,0,20,20,15.0,3,3
KJ Flowe,184303,CB,JAMES MAD,1,0,6.0,0,0,197,55.9,56.8,71.0,56.9,62.8,78.0,0.0,0,0,2,2,50.0,1,1
Jalyn Durgan,184338,ED,S ALABAMA,1,1,,0,0,288,,44.0,74.9,55.8,44.2,70.2,0.0,0,0,15,15,0.0,0,0
Amarion Fortenberry,184339,CB,S ALABAMA,1,0,11.0,0,0,288,51.7,54.4,76.3,,66.4,59.0,0.0,0,0,18,18,0.0,0,1
Nathan Jennings,184345,DI,S ALABAMA,1,1,,0,0,288,60.0,56.8,68.5,64.7,54.0,73.8,0.0,0,0,2,2,0.0,0,0
Ryan Nolan,184356,S,TEXAS ST,1,0,5.7,0,0,314,72.5,71.0,77.2,,61.6,63.9,25.0,1,0,19,19,5.3,1,3
Kameron Pearson,184357,S,TEXAS ST,1,0,16.0,0,0,314,51.0,54.8,73.8,,63.7,75.1,0.0,0,0,6,6,0.0,0,1
Charlie Collins,184383,ED,ARKANSAS,1,0,6.0,0,0,111,,42.0,76.2,59.4,33.7,71.5,0.0,0,0,10,10,0.0,0,1
Michai Boireau,184418,DI,FLORIDA,1,1,3.7,0,0,163,,54.9,75.1,57.0,55.3,74.8,0.0,0,0,10,10,10.0,1,3
Josiah Davis,184420,CB,FLORIDA,1,0,,0,0,163,42.5,41.3,70.7,58.9,60.0,,,0,0,1,1,0.0,0,0
Teddy Foster,184421,CB,FLORIDA,1,0,5.0,0,0,163,31.0,32.5,72.3,,62.1,76.6,0.0,0,0,2,2,0.0,0,1
Myles Graham,184422,LB,FLORIDA,1,1,-2.0,0,0,163,48.8,57.6,70.7,56.1,77.8,45.8,0.0,0,0,7,7,14.3,1,1
LJ McCray,184427,ED,FLORIDA,1,1,3.0,0,0,163,49.2,53.0,77.2,51.6,65.2,76.7,0.0,0,0,8,8,37.5,3,3
D'Antre Robinson,184430,DI,FLORIDA,1,1,2.0,0,0,163,,49.4,72.8,54.6,50.9,72.9,0.0,0,0,12,13,8.3,1,1
Greg Smith,184431,S,FLORIDA,1,0,,0,0,163,59.7,60.0,72.6,,60.0,28.9,,0,0,3,3,0.0,0,0
Brien Taylor Jr.,184433,DI,FLORIDA,1,0,,0,0,163,,56.7,69.2,59.0,58.7,,,0,0,3,3,0.0,0,0
Ahmad Breaux,184441,DI,LSU,1,0,4.0,0,0,211,,60.0,76.4,58.1,61.0,69.7,0.0,0,0,15,15,6.7,1,1
Davhon Keys,184459,LB,LSU,1,1,2.0,0,0,211,75.1,72.3,0.0,65.9,69.0,81.6,0.0,0,1,28,28,7.1,2,2
Dominick McKinley,184462,DI,LSU,1,0,,0,0,211,,62.9,73.2,56.2,67.0,,,0,0,8,8,0.0,0,0
Gabriel Reliford,184463,ED,LSU,1,0,0.0,0,0,211,50.0,59.9,80.4,63.5,62.1,71.5,0.0,0,0,16,16,6.3,1,1
Joel Rogers,184464,S,LSU,1,1,,0,0,211,48.8,53.8,69.8,,62.0,28.5,0.0,0,0,4,4,0.0,0,0
Tylen Singleton,184465,LB,LSU,1,0,,0,0,211,48.0,45.8,71.8,,60.0,74.8,,0,0,1,1,0.0,0,0
Michael Turner Jr.,184467,CB,LSU,1,0,,1,0,211,37.8,36.4,71.7,58.3,60.0,74.2,,0,1,2,2,0.0,0,0
PJ Woodland,184471,CB,LSU,1,1,2.0,0,0,211,56.7,60.1,76.8,,74.7,58.3,0.0,0,2,10,10,10.0,1,1
Dylan Stewart,184500,ED,S CAROLINA,1,0,4.0,0,0,289,,74.3,78.0,66.8,73.2,74.9,0.0,0,0,26,26,7.7,2,3
Colin Simmons,184515,ED,TEXAS,1,1,4.0,0,0,311,61.1,71.2,80.7,76.1,59.0,58.2,25.0,1,0,17,17,5.9,1,2
Dontae Carter,184523,S,VANDERBILT,1,0,,0,0,333,71.2,72.0,75.4,,60.0,74.8,,0,0,7,7,0.0,0,0
Jeremiah Beaman,184527,DI,ALABAMA,1,0,2.0,0,0,103,,63.8,73.7,57.7,64.4,72.1,0.0,0,0,13,13,15.4,2,2
Zabien Brown,184529,CB,ALABAMA,1,1,,0,0,103,81.1,74.9,76.5,,55.6,29.2,50.0,1,0,46,47,0.0,0,0
Zavier Mincey,184541,S,ALABAMA,1,2,14.0,0,0,103,53.5,62.9,76.9,58.9,74.9,83.4,0.0,0,0,40,40,0.0,0,2
Justin Okoronkwo,184544,LB,ALABAMA,1,0,,0,0,103,,62.1,63.9,,60.0,,,0,0,1,1,0.0,0,0
KJ Bolden,184549,S,GEORGIA,1,1,21.0,0,0,173,78.5,73.7,75.4,,57.0,61.1,25.0,1,0,9,9,11.1,1,2
Michael Boganowski,184588,S,OKLAHOMA,1,0,,0,0,261,60.0,48.4,70.1,,60.0,,,0,0,4,4,0.0,0,0
Eli Bowen,184589,CB,OKLAHOMA,1,0,4.0,0,0,261,76.6,75.6,74.7,,67.0,80.1,0.0,0,0,33,34,3.0,1,1
Jaydan Hardy,184594,S,OKLAHOMA,1,0,4.0,0,0,261,60.9,64.9,69.5,,63.5,74.8,0.0,0,0,4,5,0.0,0,1
Jayden Jackson,184596,DI,OKLAHOMA,1,0,2.7,0,0,261,,59.8,75.2,57.5,60.1,29.0,25.0,1,0,22,22,13.6,3,3
David Stone,184605,DI,OKLAHOMA,1,0,,0,0,261,,60.4,69.2,59.7,60.0,,,0,0,2,2,0.0,0,0
Luke Holmes,184621,ED,E CAROLINA,1,0,,0,0,156,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Keyshawn Jackson,184622,CB,E CAROLINA,1,0,3.0,0,0,156,45.1,49.6,70.7,58.2,68.6,42.6,0.0,0,0,7,7,14.3,1,1
Kevon Merrell,184625,S,E CAROLINA,1,0,4.0,0,0,156,62.1,59.5,94.7,,59.4,,0.0,0,0,3,3,0.0,0,1
DK Gilley,184655,S,RUTGERS,1,0,6.0,0,0,278,60.4,63.1,69.0,57.0,63.1,73.2,0.0,0,0,1,1,100.0,1,1
Kaj Sanders,184665,S,RUTGERS,1,1,21.3,0,0,278,65.1,62.2,79.0,63.7,50.5,63.7,20.0,1,0,40,40,0.0,0,3
Devin Henderson,184688,S,LIBERTY,1,1,1.0,0,0,206,63.4,70.6,79.4,66.1,69.0,77.7,0.0,0,0,24,24,4.2,1,1
Mond Cole,184709,DI,MEMPHIS,1,0,5.0,0,0,218,60.0,53.0,75.0,56.1,60.4,28.0,0.0,0,0,8,8,0.0,0,1
Mike Gerald,184724,S,MINNESOTA,1,0,,0,0,225,,60.0,66.0,,60.0,,,0,0,2,2,0.0,0,0
Kam Franklin,184741,ED,OLE MISS,1,0,7.0,0,0,226,,63.7,73.7,53.5,70.4,29.9,0.0,0,0,5,5,0.0,0,1
Jordan Lockhart,184808,LB,TEXAS A&M,1,0,8.0,0,0,312,60.0,68.6,69.9,,67.5,73.1,0.0,0,0,5,5,0.0,0,1
Solomon Williams,184814,ED,TEXAS A&M,1,1,-1.5,0,0,312,,73.4,74.8,55.1,75.7,76.6,0.0,0,0,7,7,28.6,2,2
Kyland Reed,184819,LB,BAYLOR,1,0,,0,0,118,45.5,30.2,64.0,,60.0,,,0,0,1,1,0.0,0,0
Cael Brezina,184827,LB,IOWA STATE,1,0,,0,0,193,61.6,32.5,71.6,,28.9,20.0,100.0,1,0,7,7,0.0,0,0
Easton Miller,184833,HB,IOWA STATE,1,0,,0,0,193,,60.0,,,60.0,,,0,0,1,1,0.0,0,0
Joshua Clarke,184928,CB,VA TECH,1,0,,0,0,337,33.6,37.1,73.7,,62.5,76.7,,0,1,16,16,0.0,0,0
Gerard Johnson,184934,ED,VA TECH,1,0,,0,0,337,,61.2,69.2,60.0,60.9,,,0,0,3,3,0.0,0,0
Emmett Laws,184935,DI,VA TECH,1,0,0.5,0,0,337,,80.6,72.9,70.3,74.7,72.2,0.0,0,0,8,8,25.0,2,2
Quentin Reddish,184938,S,VA TECH,1,0,12.5,0,0,337,58.9,59.2,76.6,,59.4,79.6,0.0,0,0,33,33,0.0,0,2
Jayden Bryant,186460,ED,COAST CAR,1,1,6.7,0,0,141,59.7,64.9,78.4,77.1,57.0,51.5,0.0,0,0,15,15,13.3,2,3
Zach Cody,186462,CB,COAST CAR,1,0,6.5,0,0,141,62.5,64.3,76.5,,68.0,79.7,0.0,0,0,22,22,9.1,2,2
Ibrahim Diawara,186466,ED,COAST CAR,1,0,0.0,0,0,141,60.0,67.5,73.6,61.0,65.6,70.8,0.0,0,0,3,3,33.3,1,1
Cohen Fuller,186467,DI,COAST CAR,1,1,,0,0,141,59.9,74.5,74.4,65.2,76.7,38.3,0.0,0,0,14,14,0.0,0,0
Myles Woods,186498,CB,COAST CAR,1,0,,0,0,141,77.1,76.8,75.3,57.1,66.3,74.8,,0,0,8,8,0.0,0,0
Keondre Williams,186581,ED,W KENTUCKY,1,0,1.0,0,0,346,60.0,68.0,71.4,58.8,64.8,72.2,0.0,0,0,2,2,50.0,1,1
Ronnell Davis,188141,S,BUFFALO,1,0,,0,0,126,62.8,62.7,69.6,,60.0,,,0,0,2,2,0.0,0,0
Khamani Hudson,188171,CB,CAL,1,0,,0,0,130,,62.7,67.6,,61.9,,,0,0,9,9,0.0,0,0
Toney Coleman Jr.,188273,CB,MIAMI OH,1,0,26.0,0,0,221,72.8,71.9,74.5,,59.2,60.9,0.0,0,0,6,8,0.0,0,1
Kaleb Martin,188286,CB,MIAMI OH,1,2,,0,0,221,58.0,60.7,75.8,,68.7,57.4,0.0,0,0,24,26,0.0,0,0
Jaylen Bentley,188371,S,GA SOUTHRN,1,0,,0,0,174,65.1,64.9,68.3,,60.0,76.2,,0,0,2,2,0.0,0,0
Devin Collier,188374,S,GA SOUTHRN,1,0,,0,0,174,62.5,62.8,69.4,,60.0,,,0,0,2,2,0.0,0,0
Jaylin Lackey,188517,CB,VANDERBILT,1,0,,0,0,333,61.0,62.0,75.9,,63.6,77.0,,0,1,19,19,0.0,0,0
Glenn Seabrooks III,188523,DI,VANDERBILT,1,2,1.0,0,1,333,60.0,83.3,74.8,56.2,89.2,75.1,0.0,0,0,13,13,15.4,2,2
Zashon Rich,188692,CB,KANSAS ST,1,1,5.0,0,0,199,73.3,74.3,75.4,,67.9,79.8,0.0,0,0,15,15,0.0,0,1
Koi Perich,188710,S,MINNESOTA,1,0,-0.3,0,0,225,72.5,71.8,75.3,58.7,66.9,52.5,0.0,0,0,18,18,16.7,3,3
Xavion Griffin,188741,S,W KENTUCKY,1,1,1.0,0,0,346,47.1,54.5,78.0,,69.5,46.2,40.0,2,0,39,39,5.1,2,2
Noa Siaosi,188848,DI,S JOSE ST,1,1,,0,0,285,,60.1,70.9,58.9,60.5,70.1,0.0,0,0,4,4,0.0,0,0
Preston Watson,189399,DI,DUKE,1,0,-3.0,0,0,154,,73.4,73.9,63.0,74.7,27.8,0.0,0,0,5,5,20.0,1,1
Armondo Blount,189431,ED,MIAMI FL,1,0,,0,0,220,,58.1,70.6,57.7,60.0,,,0,0,1,1,0.0,0,0
OJ Frederique Jr.,189439,CB,MIAMI FL,1,0,,0,0,220,58.4,54.9,74.4,,47.0,,,0,0,12,12,0.0,0,0
Justin Scott,189451,DI,MIAMI FL,1,0,,0,0,220,,62.4,73.0,57.3,63.5,,,0,0,7,7,0.0,0,0
Xavyer Arrington,189464,DI,NAVY,1,0,,0,0,237,,61.4,70.7,56.7,63.2,,,0,0,5,5,0.0,0,0
