player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
DJ Douglas,98860,S,FLORIDA,1,0,22.0,100.0,100.0,8.5,8.5,0,0,0,0.0,163,36.7,44.8,75.9,,58.6,32.5,0,73,66.7,2,0,0,158.3,2,20,20,0,1,2,1,93,49,5.5,46.5
Jalen Catalon,98867,S,UNLV,1,0,11.3,25.0,100.0,29.0,7.3,0,0,0,0.0,325,76.4,67.9,77.3,,46.9,49.7,1,10,0.0,0,0,0,0.0,1,29,29,0,1,4,0,10,14,0.3,10.0
Malik Chavis,98870,S,UNLV,1,0,,,100.0,,,0,0,0,,325,60.0,52.6,64.5,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Dan Jackson,98883,S,GEORGIA,1,0,18.0,50.0,96.3,22.0,11.0,0,0,1,50.0,173,67.6,63.3,76.4,59.8,53.3,84.4,0,14,0.0,0,1,0,72.9,1,26,27,0,2,2,0,14,-2,0.6,14.0
Jalen Geiger,98901,S,TULANE,1,0,4.0,100.0,100.0,17.0,17.0,0,0,0,0.0,319,58.5,49.9,75.8,,39.7,59.6,0,15,,0,0,0,118.8,1,17,17,0,0,1,0,15,11,0.9,15.0
Jahmar Brown,98981,LB,LIBERTY,1,0,,,100.0,,,0,0,0,,206,76.6,69.7,73.0,63.7,48.6,55.7,0,,0.0,0,0,0,0.0,0,18,18,2,2,0,0,0,0,0.0,
Zach Zimos,99001,LB,LA TECH,1,1,,,56.8,,,0,0,0,,208,67.3,51.1,77.5,58.1,36.0,80.9,0,,0.0,0,0,0,0.0,0,21,37,0,1,0,0,0,0,0.0,
OC Brothers,99008,LB,UAB,1,0,,,93.3,,,0,0,0,,321,57.5,57.8,75.4,59.2,59.5,78.1,0,,0.0,0,0,1,0.0,0,14,15,1,1,0,0,0,0,0.0,
Jamie Pettway,99020,LB,USF,1,0,5.5,83.3,90.6,5.6,4.7,0,0,1,16.7,327,53.5,53.5,74.4,67.6,52.6,37.7,0,26,33.3,1,1,0,117.4,5,29,32,1,2,6,0,73,46,2.6,14.6
Brandon Mack II,99105,ED,HOUSTON,1,0,-0.3,100.0,23.1,2.0,2.0,0,0,0,0.0,182,53.3,52.2,79.8,51.9,60.5,32.2,0,12,33.3,1,0,0,101.4,3,6,26,1,2,3,0,25,26,4.2,8.3
K.D. McDaniel,99109,ED,GA STATE,1,1,,,38.7,,,0,0,0,,175,45.0,50.9,0.0,66.0,58.6,46.3,0,,50.0,1,0,1,0.0,0,12,31,0,0,0,0,0,0,0.0,
J.J. Weaver,99111,ED,KENTUCKY,1,0,0.0,100.0,25.9,7.0,7.0,0,0,0,0.0,202,72.4,59.0,80.8,55.8,50.9,34.3,0,4,0.0,0,0,0,83.3,1,7,27,1,1,1,0,4,4,0.6,4.0
Desmond Little,99113,ED,UAB,1,1,,,15.4,,,0,0,0,,321,64.8,62.2,80.2,63.6,55.0,79.4,0,,0.0,0,0,0,0.0,0,4,26,1,1,0,0,0,0,0.0,
J.P. Purvis,99175,LB,MISS STATE,1,1,5.5,100.0,100.0,4.5,4.5,0,0,0,0.0,227,44.5,67.8,73.6,,83.8,79.0,0,12,0.0,0,0,0,112.5,2,10,10,0,0,2,0,22,11,2.4,11.0
