player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Xavier Watts,122914,S,NOTRE DAME,1,2,0.0,100.0,100.0,38.0,38.0,0,0,0,0.0,258,70.0,71.0,76.2,,69.0,64.4,1,1,16.7,1,0,0,39.6,1,42,42,1,3,1,0,1,1,0.0,1.0
Jahdae Barron,123105,CB,TEXAS,1,0,9.5,50.0,95.8,11.3,5.6,0,0,2,25.0,311,80.6,78.5,77.9,50.9,63.1,79.2,0,9,0.0,0,2,0,56.3,4,46,48,2,4,8,0,23,4,0.5,5.8
Gavin Holmes,123389,CB,TEXAS,1,1,12.3,0.0,100.0,,6.0,0,0,1,33.3,311,66.1,66.5,73.5,,60.0,73.5,0,,0.0,0,0,0,39.6,0,19,19,0,0,3,0,0,0,0.0,
Lanell Carr,123411,ED,INDIANA,1,0,,,13.9,,,0,0,0,,190,62.3,59.7,79.7,65.0,49.3,23.0,0,,100.0,1,0,0,0.0,0,5,36,0,0,0,0,0,0,0.0,
Jalen Kimber,124026,CB,PENN STATE,1,1,5.3,66.7,100.0,11.5,7.7,0,0,1,33.3,266,49.3,49.9,75.4,,57.9,79.9,0,8,0.0,0,0,1,75.7,2,25,25,0,2,3,0,13,3,0.6,6.5
Dominic Bailey,124267,ED,TENNESSEE,1,0,,,5.0,,,0,0,0,,307,60.0,62.3,75.6,61.1,60.9,69.7,0,,,0,0,0,0.0,0,1,20,0,0,0,0,0,0,0.0,
Will Brooks,124273,S,TENNESSEE,1,2,18.0,100.0,96.9,28.0,28.0,0,0,0,0.0,307,70.8,64.9,76.3,60.0,49.4,64.2,1,18,0.0,0,0,0,79.2,1,31,32,0,2,1,0,18,0,0.6,18.0
Bryson Eason,124276,DI,TENNESSEE,1,0,,,5.6,,,0,0,0,,307,60.0,57.1,0.0,65.2,59.7,69.7,0,,,0,0,1,0.0,0,1,18,0,0,0,0,0,0,0.0,
Kobe Wilson,125348,LB,SMU,1,2,3.6,40.0,88.9,12.0,4.8,0,0,0,0.0,287,50.2,42.6,73.8,55.6,42.0,54.7,0,15,0.0,0,0,0,53.8,2,24,27,0,2,5,0,22,9,0.9,11.0
Christian Gray,128036,CB,NOTRE DAME,1,0,16.0,100.0,100.0,12.7,12.7,0,0,0,0.0,258,59.1,61.4,77.6,,71.4,39.1,0,28,50.0,1,0,0,158.3,3,42,42,0,1,3,1,57,9,1.5,19.0
Arion Carter,129186,LB,TENNESSEE,1,0,6.0,75.0,90.0,8.0,6.0,0,0,1,25.0,307,63.2,51.0,76.3,55.8,35.8,77.6,0,8,0.0,0,1,0,83.3,3,27,30,0,1,4,0,18,19,0.8,6.0
Bryson Bonds,129435,S,INDIANA,1,0,12.0,100.0,100.0,1.0,1.0,0,0,0,0.0,190,60.0,27.1,66.3,,49.4,73.0,0,5,,0,0,0,127.1,1,1,1,0,0,1,1,5,0,5.0,5.0
Lathan Ransom,129755,S,OHIO STATE,1,0,14.3,66.7,100.0,19.0,12.7,0,0,1,33.3,260,62.9,67.8,78.1,,75.8,81.5,0,21,0.0,0,1,0,93.8,2,39,39,1,2,3,0,26,-1,0.7,13.0
Cody Simon,129757,LB,OHIO STATE,1,2,-3.0,100.0,89.2,33.0,33.0,0,0,1,100.0,260,79.6,74.5,75.7,60.8,59.4,67.8,0,4,0.0,0,1,0,83.3,1,33,37,2,4,1,0,4,7,0.1,4.0
Tyler Elsdon,129775,LB,PENN STATE,1,0,,,66.7,,,0,0,0,,266,71.7,84.7,70.5,67.2,68.7,76.3,0,,0.0,0,0,0,0.0,0,4,6,1,1,0,0,0,0,0.0,
Amin Vanover,129797,ED,PENN STATE,1,0,-5.0,100.0,16.7,1.5,1.5,0,0,0,0.0,266,68.1,62.6,0.0,65.2,61.3,29.1,0,9,50.0,1,0,1,100.0,2,3,18,1,1,2,0,16,26,5.3,8.0
Mikail Kamara,138455,ED,INDIANA,1,0,,,10.0,,,0,0,0,,190,60.9,58.6,78.5,60.4,55.4,27.4,0,,100.0,2,0,0,0.0,0,4,40,0,0,0,0,0,0,0.0,
Shawn Asbury II,143814,S,INDIANA,1,0,4.7,66.7,100.0,19.5,13.0,0,0,1,33.3,190,66.8,63.5,78.4,,54.3,34.1,0,9,33.3,1,1,0,81.3,2,40,40,0,2,3,0,17,9,0.4,8.5
Barrett Carter,144109,LB,CLEMSON,1,0,2.7,66.7,90.6,13.0,8.7,0,0,0,0.0,140,41.8,51.5,79.9,57.2,64.3,80.6,0,21,0.0,0,0,0,99.3,2,29,32,0,1,3,0,30,27,1.2,15.0
Cade Denhoff,144114,ED,CLEMSON,1,0,,,9.1,,,0,0,0,,140,60.5,55.0,78.2,53.7,57.0,71.1,0,,,0,0,0,0.0,0,2,22,0,0,0,0,0,0,0.0,
Andrew Mukuba,144129,S,TEXAS,1,1,,,100.0,,,0,0,1,,311,76.6,76.5,76.3,,67.9,80.5,0,,0.0,0,1,0,0.0,0,34,34,0,0,0,0,0,0,0.0,
Payton Page,144131,DI,CLEMSON,1,0,,,4.5,,,0,0,0,,140,59.6,73.3,76.4,59.1,77.2,76.4,0,,0.0,0,0,0,0.0,0,1,22,1,1,0,0,0,0,0.0,
Isaiah Nwokobia,144373,S,SMU,1,0,2.5,100.0,96.6,14.0,14.0,0,0,0,0.0,287,62.5,60.8,76.8,59.1,58.0,60.8,0,15,0.0,0,0,0,118.8,2,28,29,0,2,2,0,28,23,1.0,14.0
Jalen McMurray,144393,CB,TENNESSEE,1,0,1.0,100.0,100.0,3.5,3.5,0,0,0,0.0,307,56.3,49.3,72.0,,45.0,27.9,0,6,0.0,0,0,0,79.2,2,7,7,1,1,2,0,4,2,0.6,2.0
Jamier Johnson,144730,CB,INDIANA,1,0,4.0,100.0,100.0,7.0,7.0,0,0,0,0.0,190,56.4,50.6,72.3,,46.5,28.1,0,10,100.0,1,0,0,108.3,1,7,7,0,0,1,0,10,6,1.4,10.0
Michael Taaffe,144732,S,TEXAS,1,0,13.0,60.0,100.0,13.3,8.0,0,1,2,40.0,311,52.2,53.3,78.8,,58.8,24.3,0,28,100.0,2,2,0,143.8,3,41,41,0,0,5,1,63,9,1.6,21.0
Morice Blackwell Jr.,144733,LB,TEXAS,1,0,,,100.0,,,0,0,0,,311,62.8,71.4,73.5,,72.3,77.2,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Barryn Sorrell,144739,ED,TEXAS,1,0,,,5.1,,,0,0,0,,311,63.0,73.3,77.9,70.8,65.2,76.2,0,,0.0,0,0,0,0.0,0,2,39,1,1,0,0,0,0,0.0,
Jordan Hancock,145067,S,OHIO STATE,1,0,22.0,50.0,100.0,40.0,20.0,0,0,0,0.0,260,62.7,63.3,79.1,,63.3,76.2,0,17,0.0,0,0,0,79.2,1,40,40,0,1,2,0,17,1,0.4,17.0
Denzel Burke,145070,CB,OHIO STATE,1,0,9.0,0.0,100.0,,33.0,0,0,0,0.0,260,64.2,64.8,76.1,,62.7,,0,,,0,0,0,39.6,0,33,33,0,0,1,0,0,0,0.0,
Andre Turrentine,145072,S,TENNESSEE,1,0,17.0,100.0,100.0,24.0,24.0,0,0,0,0.0,307,61.5,56.7,77.4,,46.8,62.9,0,16,0.0,0,0,0,118.8,1,27,27,0,2,1,0,16,-1,0.7,16.0
JT Tuimoloau,145074,ED,OHIO STATE,1,0,,,8.0,,,0,0,0,,260,66.7,88.3,77.5,89.4,65.3,65.8,0,,25.0,1,0,0,0.0,0,2,25,4,3,0,0,0,0,0.0,
