player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jackson Woodard,123973,LB,UNLV,1,2,4.4,57.1,89.5,12.0,6.9,0,1,3,42.9,325,87.3,84.6,78.7,53.9,72.5,85.0,0,22,0.0,0,3,0,69.3,4,51,57,5,6,7,0,33,29,0.7,8.3
Jalen Kimber,124026,CB,PENN STATE,1,0,12.5,50.0,100.0,29.0,14.5,0,0,0,0.0,266,61.9,68.1,77.1,,83.0,81.9,0,12,0.0,0,0,0,68.8,1,33,33,0,2,2,0,12,7,0.4,12.0
M.J. Sherman,124038,ED,NEBRASKA,1,0,10.0,100.0,11.1,4.0,4.0,0,0,0,0.0,238,50.4,64.4,80.6,64.2,68.6,28.9,0,10,50.0,1,0,0,108.3,1,4,36,0,1,1,0,10,0,2.5,10.0
Patrick Taylor,124041,S,JVILLE ST,1,0,8.0,0.0,100.0,,2.0,0,0,0,0.0,196,60.5,63.7,71.2,,61.1,72.2,0,,,0,0,0,39.6,0,2,2,0,0,1,0,0,0,0.0,
Rickey Hyatt Jr.,124066,S,S ALABAMA,1,0,0.0,100.0,100.0,9.0,9.0,0,0,0,0.0,288,63.0,64.1,76.5,,62.3,75.3,0,3,,0,0,0,79.2,1,9,9,0,0,1,0,3,3,0.3,3.0
O'Donnell Fortune,124235,CB,S CAROLINA,1,1,5.0,100.0,92.0,10.5,10.5,0,0,0,0.0,289,63.5,52.7,75.5,57.8,36.2,29.3,0,5,0.0,0,0,0,87.5,2,23,25,0,1,2,0,10,0,0.5,5.0
Tonka Hemingway,124238,DI,S CAROLINA,1,0,,,5.3,,,0,0,0,,289,62.0,74.1,75.9,64.0,71.9,73.9,0,,0.0,0,0,0,0.0,0,1,19,1,1,0,0,0,0,0.0,
Martavius French,124277,LB,UTSA,1,0,,,90.0,,,0,0,0,,331,58.3,66.7,76.4,67.7,70.9,80.5,0,,,0,0,0,0.0,0,27,30,1,0,0,0,0,0,0.0,
Tamarion McDonald,124290,S,LOUISVILLE,1,1,11.8,75.0,97.6,12.3,9.3,0,0,1,25.0,210,61.6,62.5,76.6,59.2,63.8,83.8,0,49,0.0,0,1,0,156.3,3,40,41,2,4,4,1,60,13,1.6,20.0
Doneiko Slaughter,124297,CB,ARKANSAS,1,1,1.0,66.7,97.1,5.5,3.7,0,0,1,11.1,111,64.5,62.7,79.3,60.0,56.0,81.3,0,22,0.0,0,1,0,87.3,6,33,34,1,3,9,0,64,64,1.9,10.7
Antonio Doyle Jr.,124315,ED,UNLV,1,0,,,12.0,,,0,0,0,,325,40.8,56.4,10.6,63.9,64.1,79.8,0,,,0,0,1,0.0,0,6,50,1,0,0,0,0,0,0.0,
Donovan Kaufman,124351,S,NC STATE,1,0,14.0,75.0,90.3,8.7,6.5,1,0,0,0.0,248,47.7,47.1,0.0,58.0,59.5,81.3,0,13,0.0,0,0,1,89.6,3,28,31,0,1,4,0,24,13,0.9,8.0
De'Rickey Wright,124367,S,VANDERBILT,1,1,,,100.0,,,0,0,0,,333,65.0,70.6,73.1,,69.6,79.1,0,,0.0,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Tre'Vez Johnson,124383,S,MISSOURI,1,0,,,100.0,,,0,0,0,,229,64.3,63.0,76.5,,58.8,76.2,0,,,0,0,0,0.0,0,18,18,0,0,0,0,0,0,0.0,
Princely Umanmielen,124398,ED,OLE MISS,1,0,-2.0,100.0,6.9,2.0,2.0,0,0,0,0.0,226,63.7,67.5,79.6,70.1,55.0,31.3,0,5,0.0,0,0,0,87.5,1,2,29,0,1,1,0,5,7,2.5,5.0
Derek Wingo,124401,LB,FLORIDA,1,0,,,87.5,,,0,0,0,,163,62.7,63.7,71.7,60.0,60.0,,0,,,0,0,0,0.0,0,7,8,0,0,0,0,0,0,0.0,
Jack Tchienchou,124782,S,TULANE,1,1,33.5,50.0,100.0,16.0,8.0,0,0,0,0.0,319,57.4,53.9,74.0,,50.5,49.0,0,31,0.0,0,0,0,95.8,1,17,17,0,1,2,0,31,9,1.9,31.0
Michael Mack II,125273,CB,OHIO,1,0,10.6,40.0,100.0,11.0,4.4,0,0,1,20.0,259,47.2,44.3,76.1,,45.9,74.2,0,75,0.0,0,1,0,127.1,2,24,24,0,1,5,1,80,63,3.6,40.0
