player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Alii Matau,52219,LB,S JOSE ST,12,17,1,68.4,0,0,285,0,0,72.0,68.6,75.2,68.9,61.9,58.8,1,13,0,1,24,20.0,13,0,1,75.5,13,6,0,235,3,240,698,305,0,0,305,0,0,393,144,314,155,17,35,1,19,20,1,95,46,7.3
Rico Tolefree,52250,LB,S JOSE ST,10,3,0,87.5,0,0,285,0,0,61.8,61.7,1.1,59.5,66.4,77.2,0,0,0,0,27,8.3,1,1,1,118.8,7,1,0,32,2,66,146,34,0,0,34,0,0,112,15,65,78,5,8,0,8,1,0,102,33,14.6
Sinjun Astani,52257,ED,USC,2,0,0,,0,0,326,0,0,,58.8,70.0,58.1,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,1,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,
Tre White,52261,S,S JOSE ST,9,2,0,100.0,0,0,285,0,0,61.6,57.3,0.0,66.2,52.5,50.4,0,0,0,0,22,25.0,3,1,1,157.3,4,0,0,64,1,77,159,0,0,0,0,0,71,159,2,80,23,1,7,0,4,0,2,49,1,12.3
Gabe Reid,52273,ED,UTAH,13,9,0,100.0,0,0,328,0,0,74.4,74.1,49.2,69.5,71.7,73.8,2,32,0,0,14,10.8,4,0,2,118.8,1,6,0,27,0,26,477,450,0,22,383,45,0,27,280,171,0,22,24,5,1,40,0,14,7,14.0
Ryan Johnson,52282,ED,NWESTERN,6,2,3,,0,0,256,0,0,58.7,68.0,81.1,65.5,67.2,64.5,2,4,0,0,,16.7,1,0,0,0.0,0,1,0,0,0,2,169,169,0,23,88,58,0,0,77,90,0,3,3,1,0,7,0,0,0,
Bentlee Sanders,52291,S,NEVADA,12,5,0,61.5,0,3,239,0,0,79.1,79.2,88.8,59.6,74.2,77.9,0,0,1,5,44,11.6,11,3,2,52.4,32,0,0,210,4,408,768,3,0,0,3,0,239,765,1,359,309,22,79,5,52,0,1,402,141,12.6
Darrien Grant,52293,DI,USF,12,3,0,,0,0,327,0,0,62.3,59.6,83.7,54.9,60.1,71.7,1,4,0,0,,5.6,1,0,0,0.0,0,0,0,1,0,0,370,369,9,277,33,50,0,1,167,203,0,10,14,2,0,5,0,0,0,
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,0,,0,0,209,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Mekhi LaPointe,52315,S,USF,10,14,0,82.8,0,1,327,0,0,40.0,43.8,85.5,62.7,49.9,50.3,1,0,0,1,60,21.9,16,1,0,144.0,24,1,0,167,3,252,510,0,0,0,0,0,261,510,5,253,79,17,43,1,29,2,4,375,183,15.6
Nick Roberts,52318,S,SMU,13,16,0,73.2,0,2,287,2,0,59.9,56.6,58.7,48.1,53.3,63.2,0,1,0,3,58,15.1,13,1,3,104.0,30,0,0,403,12,416,832,22,0,0,22,0,191,810,10,406,204,19,57,1,41,1,3,463,215,15.4
Bryce Dugan,52425,DI,OHIO,11,7,0,,0,1,259,0,0,60.3,69.6,83.7,60.7,78.9,53.0,1,15,0,1,,19.4,6,0,0,0.0,0,2,0,6,0,11,328,322,32,189,52,49,0,6,234,83,0,18,18,2,0,18,0,0,0,
Malik Vann,52555,ED,CINCINNATI,2,0,0,,0,0,138,0,0,,53.6,0.0,59.9,56.5,73.1,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,53,53,0,9,27,17,0,0,29,24,0,1,2,0,0,1,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,12,3,1,,0,0,268,0,0,60.0,67.0,82.3,62.2,68.3,66.0,0,5,0,0,,10.0,1,0,0,0.0,0,2,0,0,0,0,247,247,16,226,4,1,0,0,168,79,0,7,6,1,0,7,0,0,0,
Xavier Peters,52819,ED,FAU,11,3,0,100.0,0,0,165,0,0,49.1,50.5,27.1,62.2,49.6,35.8,3,1,0,0,15,25.0,4,0,1,118.8,2,0,0,1,0,8,132,131,1,16,64,50,0,1,63,61,0,7,9,1,2,4,0,27,8,13.5
Cole Pearce,52970,LB,BALL ST,11,31,3,63.6,0,0,117,0,0,64.6,76.3,86.3,83.7,73.7,81.8,5,6,0,1,27,9.0,10,1,0,59.1,14,5,0,816,1,390,854,14,0,0,14,0,1,840,55,409,22,52,70,10,22,16,0,121,74,8.6
James Camden,53418,S,CINCINNATI,1,0,0,,0,0,138,0,0,,60.8,64.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,
DeShawn Pace,53549,LB,CINCINNATI,13,18,0,76.9,0,0,138,1,0,64.2,64.6,55.8,63.6,65.0,61.9,2,4,1,1,32,14.5,11,1,2,87.0,20,1,0,432,18,245,612,93,0,0,93,0,10,519,39,328,59,22,47,4,26,7,1,150,88,7.5
Ja'von Hicks,53569,S,CINCINNATI,13,17,0,50.0,1,0,138,0,0,80.4,77.2,60.9,60.0,68.8,65.3,0,1,1,3,33,16.4,12,3,2,56.7,15,0,0,132,18,454,921,21,0,0,21,0,545,900,1,466,205,11,44,1,30,1,3,138,32,9.2
Eric Phillips,53572,ED,CINCINNATI,13,11,2,,0,1,138,1,0,67.4,69.4,31.5,66.1,70.2,76.4,6,15,0,0,,7.3,3,0,4,0.0,0,5,0,1,0,1,673,672,0,79,355,238,0,1,318,354,0,23,27,5,0,26,0,0,0,
Ivan Pace Jr.,53587,LB,CINCINNATI,13,34,2,85.7,2,2,138,0,0,70.6,93.2,0.0,93.3,90.7,78.0,18,25,0,0,19,13.1,19,3,8,140.2,12,12,0,847,0,267,897,48,2,0,46,0,0,849,180,450,2,69,92,12,14,55,2,114,68,9.5
Ryan Mullaney,53704,ED,CINCINNATI,9,4,0,,0,0,138,2,0,,56.1,0.0,60.4,59.2,60.1,0,6,0,0,,14.3,2,0,2,0.0,0,0,0,0,0,0,142,142,0,10,72,60,0,0,48,94,0,6,8,0,0,6,0,0,0,
Carrington Valentine,53750,CB,KENTUCKY,12,6,0,55.4,2,0,202,1,0,70.0,66.0,51.9,61.4,48.0,64.0,0,3,0,1,63,13.6,8,6,5,94.5,36,1,0,58,645,375,726,9,0,0,9,0,5,717,7,344,9,17,45,1,65,4,4,502,207,13.9
