player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Nakian Jackson,161649,LB,NEVADA,5,2,6.7,0,0,239,54.9,62.8,77.2,86.0,61.6,72.8,7.7,1,0,68,70,4.4,3,10
Zelmar Vedder,161658,CB,HOUSTON,6,0,4.0,0,0,182,80.2,76.7,80.6,52.1,58.6,29.7,50.0,1,0,93,94,1.1,1,1
Gerald Kilgore,161671,S,S CAROLINA,6,1,-1.5,0,0,289,87.2,78.7,78.6,56.6,57.4,48.3,25.0,1,0,56,59,3.6,2,2
Jamel Johnson,162115,CB,NC STATE,7,3,7.7,0,0,248,70.2,71.7,82.6,,73.7,57.7,14.3,1,0,135,136,0.7,1,3
Bryce Llewellyn,162120,S,E MICHIGAN,7,15,6.0,2,0,160,67.7,64.8,27.1,54.9,63.6,58.1,16.3,8,2,202,205,6.4,13,26
Jaden Dugger,162137,LB,LA LAFAYET,6,8,3.3,0,0,207,41.6,54.1,37.2,64.4,64.8,80.6,5.0,2,1,219,223,9.1,20,30
Mateen Ibirogba,162142,DI,WAKE,6,2,1.9,1,1,339,67.2,87.2,42.5,79.1,85.8,71.2,9.1,1,1,82,84,7.3,6,8
Jake Reichle,162441,FB,OREGON ST,1,0,,0,0,265,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Joe Swen,162442,CB,SM HOUSTON,2,0,,0,0,281,63.7,64.6,74.7,,63.7,77.3,,0,0,18,18,0.0,0,0
Kord Shaw,162445,LB,OREGON ST,4,4,5.0,0,0,265,72.8,47.7,74.0,60.0,30.3,68.2,12.5,1,0,28,30,7.1,2,3
Mathias Malaki-Donaldson,162447,ED,MIDDLE TN,5,1,1.7,0,0,224,,59.5,77.7,61.1,58.0,77.6,0.0,0,0,24,25,8.3,2,3
Melvin Jordan IV,162449,LB,GA TECH,6,7,3.5,0,0,176,66.2,74.2,78.5,63.3,78.0,70.4,7.1,1,0,59,60,6.8,4,6
Quincy Wright,162452,DI,ARK STATE,1,0,,0,0,113,,58.2,70.6,57.2,60.0,,,0,0,1,1,0.0,0,0
Takari Hickle,162453,ED,OREGON ST,7,2,1.8,0,0,265,54.7,71.6,84.0,61.9,76.7,55.8,21.4,3,0,117,123,7.7,9,9
Tyree Blake,162455,LB,OREGON ST,1,0,,0,0,265,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Kamari Ramsey,162465,S,USC,5,0,8.0,0,0,326,78.7,76.7,84.4,57.3,70.2,86.1,0.0,0,0,103,105,1.0,1,4
Clint Stephens,162468,S,NEW MEXICO,4,0,9.0,0,0,241,53.6,60.6,77.0,64.2,69.3,82.4,0.0,0,0,17,17,0.0,0,2
Croix Stewart,162469,S,UCLA,1,0,8.0,0,0,324,62.8,59.5,70.5,,58.5,76.2,0.0,0,0,4,5,0.0,0,1
Jalen Woods,162470,LB,UCLA,6,5,2.8,0,0,324,54.8,65.3,81.1,65.5,72.9,76.5,7.1,1,0,101,102,5.0,5,8
Tristan Dunn,162483,CB,CAL,1,0,5.0,0,0,130,52.2,51.5,69.9,,61.5,28.4,0.0,0,0,2,2,0.0,0,1
Jay Green,162486,S,STANFORD,6,4,9.4,0,0,300,73.0,73.7,86.4,64.6,72.4,85.2,0.0,0,0,127,133,0.0,0,5
Austin Harnetiaux,162488,LB,NEVADA,6,3,4.0,0,0,239,50.3,54.8,78.6,52.2,63.5,37.0,10.0,1,0,60,60,6.7,4,6
Lance Holtzclaw,162491,ED,UTAH,6,2,-0.8,0,0,328,59.4,74.4,82.5,65.3,79.0,55.6,0.0,0,0,47,49,10.6,5,5
Griffin Miller,162494,LB,WASHINGTON,1,0,3.0,0,0,340,60.0,65.8,66.0,,62.3,73.2,0.0,0,0,1,1,100.0,1,1
Armon Parker,162498,DI,WASHINGTON,5,0,2.0,0,0,340,60.0,59.4,77.7,58.6,58.8,39.9,25.0,1,0,27,27,7.4,2,3
Tristan Warner,162502,S,WASHINGTON,1,0,,0,0,340,60.8,61.8,65.9,,60.0,,,0,0,1,1,0.0,0,0
A.J. Holmes Jr.,162510,DI,TEXAS TECH,6,3,3.1,0,0,315,60.0,82.7,80.8,66.0,90.2,64.8,0.0,0,0,72,73,9.7,7,10
DJ Bell,162519,CB,UCF,5,0,,0,0,323,60.7,61.1,79.8,58.3,62.7,64.0,,0,1,64,65,0.0,0,0
Donovan Mathena,162526,LB,MEMPHIS,4,1,4.0,0,0,218,63.8,68.6,72.0,46.8,76.5,57.3,0.0,0,0,13,13,7.7,1,2
Liam Barbee,162534,LB,NAVY,1,0,,0,0,237,60.0,50.1,66.3,,53.1,25.6,100.0,1,0,2,2,0.0,0,0
Andrew Duhart,162545,S,NAVY,6,0,7.3,0,0,237,56.9,59.9,79.8,60.0,66.0,66.2,25.0,1,0,70,71,1.4,1,3
