player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Brandon Buckner,146539,ED,MIDDLE TN,9,1,1,224,57.8,0,6,127,79.1,3.1,4,1,3.9,2,172,136,8,0,60.4,0,2,52,85.7,5.8,3,5.8,2,63,54,4
Jabril McNeill,146549,ED,TROY,1,0,0,318,66.8,0,0,4,100.0,25.0,1,0,0.0,0,4,4,0,0,67.8,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Keanu Williams,146556,DI,UCLA,9,1,0,324,59.4,0,3,137,100.0,4.4,6,1,1.1,0,143,143,3,0,60.2,0,2,38,100.0,7.9,3,2.6,0,39,39,2
Terrell Tilmon,146564,ED,TEXAS TECH,9,0,0,315,59.1,2,4,65,83.3,4.6,3,0,6.2,1,84,70,7,0,62.1,1,2,17,95.5,5.9,1,14.7,1,22,21,4
Keanu Koht,146605,ED,VANDERBILT,10,1,1,333,59.6,2,0,69,87.8,2.9,2,1,2.9,1,82,72,3,1,64.6,1,0,22,88.5,4.5,1,6.8,1,26,23,2
Brylan Lanier,146606,S,MISS STATE,10,0,0,227,70.3,0,0,6,2.1,0.0,0,0,16.7,1,282,6,1,0,59.4,0,0,1,1.1,0.0,0,0.0,0,93,1,0
DeVonta Smith,146607,CB,NOTRE DAME,5,0,0,258,58.9,0,0,2,2.2,0.0,0,1,0.0,0,89,2,0,0,59.7,0,0,1,2.0,0.0,0,0.0,0,51,1,0
Deontae Lawson,146608,LB,ALABAMA,9,0,0,103,54.8,0,8,67,28.8,10.4,7,0,6.0,0,240,69,8,0,54.7,0,4,43,51.7,14.0,6,4.7,0,87,45,4
Ian Jackson,146609,LB,UTSA,6,0,0,331,56.9,0,1,2,14.3,0.0,0,0,25.0,0,14,2,1,0,,0,0,0,0.0,,0,,0,3,0,0
Kendrick Blackshire,146610,LB,UTSA,8,0,0,331,55.1,0,6,21,15.1,4.8,1,0,19.0,1,152,23,7,0,63.2,0,3,5,21.4,20.0,1,30.0,0,28,6,3
