player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Ben Chandler,203442,CB,HOWARD,2,22,11.0,5.5,184,0,95.8,2,4,0,53,7,2.41
Koby Bretz,145017,S,S DAK ST,3,22,11.0,4.4,292,0,50.4,2,5,0,18,5,0.82
Everett Roussaw Jr.,173344,LB,MEMPHIS,3,11,11.0,11.0,218,0,79.2,1,1,0,1,0,0.09
Aiden Manutai,198240,S,CAL,3,11,11.0,11.0,130,0,118.8,1,1,0,16,4,1.45
Landyn Cleveland,183906,CB,OKLA STATE,2,11,11.0,5.5,262,0,64.6,1,2,0,10,0,0.91
KJ Bolden,184549,S,GEORGIA,3,11,11.0,5.5,173,0,56.3,1,2,0,6,9,0.55
BJ Carey,173660,S,WEBER ST,3,11,11.0,5.5,342,0,56.3,1,2,0,-3,3,-0.27
Duncan Moreland,142330,S,NEW HAMP,3,11,11.0,11.0,240,0,91.7,1,1,0,6,-73,0.55
D'Angelo Hutchinson,156316,S,LOUISVILLE,2,11,11.0,5.5,210,0,56.3,1,2,0,0,3,0.0
Trey Lathan,157359,LB,KANSAS,3,11,11.0,2.8,198,0,39.6,1,4,0,2,4,0.18
Kam Baah-Slay,177817,S,CHATTNOOGA,3,11,11.0,11.0,137,0,91.7,1,1,0,6,8,0.55
Kanye Young,171461,LB,MO STATE,3,11,11.0,11.0,230,0,118.8,1,1,0,15,11,1.36
Daniel Cobbs,173095,S,KANSAS ST,3,33,11.0,8.3,199,0,103.1,3,4,0,37,1,1.12
Rohan Davy,192830,LB,RHODE ISLD,3,22,11.0,11.0,274,0,118.8,2,2,0,27,26,1.23
Keyshaun Elliott,156945,LB,ARIZONA ST,3,11,11.0,5.5,110,0,56.3,1,2,0,4,8,0.36
Payton Tally,155409,LB,NICHOLLS,3,11,11.0,3.7,243,0,43.8,1,3,0,10,14,0.91
Casey Larkin,163198,S,ARMY,2,11,11.0,5.5,114,0,56.3,1,2,0,5,0,0.45
Navon Mitchell,174493,S,CENT CT ST,3,11,11.0,5.5,133,0,56.3,1,2,0,3,8,0.27
Jaden Milliner-Jones,171902,S,SMU,3,33,11.0,8.3,287,0,153.1,3,4,1,47,10,1.42
Faletau Satuala,189653,S,BYU,2,11,11.0,5.5,128,0,56.3,1,2,0,-1,1,-0.09
Marcelous Townsend,207818,CB,BOSTON COL,1,22,11.0,7.3,121,0,85.4,2,3,0,20,9,0.91
Omar Thornton,190201,S,BOSTON COL,3,22,11.0,7.3,121,0,70.1,2,3,0,0,1,0.0
Jacob Fields,170457,S,LA TECH,3,11,11.0,5.5,208,0,75.0,1,2,0,15,9,1.36
Reese Edwards,148051,ED,ILL STATE,2,11,11.0,5.5,188,0,68.8,1,2,0,12,7,1.09
Sammy Draper,209703,CB,GRAMBLING,2,11,11.0,11.0,177,0,100.0,1,1,0,8,10,0.73
Kevin Dodard,185655,S,LAFAYETTE,2,32,10.7,6.4,203,0,72.1,3,5,0,24,5,0.75
Brodie Williams,149130,S,NEWHVN,2,32,10.7,6.4,1013,0,79.6,3,5,0,33,6,1.03
Drew Cormier,171950,S,BUCKNELL,2,53,10.6,5.9,125,0,124.3,5,9,1,84,20,1.58
Tahj Ra-El,145366,S,PURDUE,3,21,10.5,7.0,273,0,97.9,2,3,0,29,31,1.38
MJ Cannon,159355,CB,BOWL GREEN,3,63,10.5,7.9,122,0,140.1,6,8,2,69,25,1.1
Ryan Crandall,164935,LB,N IOWA,3,21,10.5,7.0,255,0,70.1,2,3,0,7,10,0.33
Scotty Edwards,157277,S,STANFORD,2,21,10.5,10.5,300,0,87.5,2,2,0,10,2,0.48
Brylan Green,157386,S,LIBERTY,2,21,10.5,5.3,206,0,57.3,2,4,0,13,2,0.62
Brian Dukes Jr.,158941,S,CAL POLY,2,21,10.5,10.5,129,0,131.3,2,2,1,12,6,0.57
Jalen Thomeson,171363,S,OHIO,3,63,10.5,9.0,259,0,92.9,6,7,0,44,36,0.7
AG McGhee,156812,S,ARK STATE,3,73,10.4,7.3,113,0,92.1,7,10,0,76,58,1.04
Mister Clark,175545,S,FIU,3,83,10.4,6.4,166,1,38.9,8,13,0,55,36,0.66
Marcus Williams,145407,S,RICE,3,31,10.3,7.8,275,0,85.4,3,4,0,20,16,0.65
Kaleb Almo,159705,S,TENN MARTN,2,31,10.3,6.2,310,0,71.3,3,5,0,23,23,0.74
Mike Harris,122269,S,S ALABAMA,3,31,10.3,10.3,288,0,116.7,3,3,0,36,5,1.16
Alijah Prosser,209064,S,TXGV,2,31,10.3,5.2,1445,0,56.3,3,6,0,1,6,0.03
Reggie Powers III,184602,S,OKLAHOMA,3,31,10.3,5.2,261,0,56.3,3,6,0,10,3,0.32
Wesley Miller,163688,S,S ALABAMA,3,31,10.3,4.4,288,0,51.5,3,7,0,23,33,0.74
Cam Sturdifen,165423,S,HAMPTON,3,31,10.3,7.8,178,0,87.5,3,4,0,22,23,0.71
C.J. Coombes,182974,S,WOFFORD,3,62,10.3,6.2,350,1,27.9,6,10,0,37,32,0.6
Elijah Sabbatini,146828,LB,NICHOLLS,3,10,10.0,5.0,243,0,64.6,1,2,0,10,13,1.0
Jaylin Lackey,188517,CB,VANDERBILT,3,20,10.0,6.7,333,0,75.7,2,3,0,13,5,0.65
Anthony Busa,196472,S,STHLSK,2,10,10.0,10.0,1470,0,118.8,1,1,0,13,0,1.3
Jadon Pearson,72538,LB,FRESNO ST,3,10,10.0,10.0,169,0,95.8,1,1,0,7,1,0.7
Carter Glassmyer,159502,LB,RICHMOND,2,10,10.0,10.0,276,0,79.2,1,1,0,3,0,0.3
Julian Talley,148951,CB,VILLANOVA,1,10,10.0,5.0,334,0,95.8,1,2,0,29,10,2.9
Ty Bryant,175140,S,KENTUCKY,3,10,10.0,10.0,202,0,100.0,1,1,0,8,6,0.8
Shyne Johnson,179001,CB,SO UTAH,3,10,10.0,3.3,298,0,54.9,1,3,0,18,1,1.8
Mason Young,175131,S,IDAHO ST,3,10,10.0,3.3,186,0,60.4,1,3,0,22,8,2.2
Kamari Ramsey,162465,S,USC,3,60,10.0,7.5,326,0,86.5,6,8,0,42,31,0.7
Oscar Moore,170515,LB,SACRAMENTO,3,10,10.0,5.0,279,1,16.7,1,2,0,5,0,0.5
Phillip Dunnam,156406,S,UCF,2,20,10.0,10.0,323,0,102.1,2,2,0,17,17,0.85
Caden Fordham,143992,LB,NC STATE,3,10,10.0,10.0,248,0,79.2,1,1,0,3,4,0.3
Dune Smith,99746,LB,INCAR WORD,3,10,10.0,10.0,189,0,83.3,1,1,0,4,5,0.4
Jamison Patton,174683,S,IOWA STATE,3,30,10.0,4.3,193,0,50.3,3,7,0,20,4,0.67
Jeremiah Hudson-Davis,182354,CB,ALAB A&M,1,20,10.0,6.7,104,0,125.0,2,3,1,20,19,1.0
Tao Johnson,158490,S,UTAH,3,10,10.0,10.0,328,0,112.5,1,1,0,11,3,1.1
Jalen McMurray,144393,CB,TENNESSEE,3,60,10.0,10.0,307,0,115.3,6,6,0,70,34,1.17
