player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Omari Evans,164168,WR,PENN STATE,1,2,0,266,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Will Kacmarek,145896,TE,OHIO STATE,1,2,0,260,0,,0,,,0,0,,0,0,0,,44.9,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0,0,73.1,78.6,0,9,0.0,0,3,1,100.0,3,104.2,1,33.3,0,9,4,4.0,9.0,3.0
Khalil Dinkins,145087,TE,PENN STATE,1,2,0,266,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,58.0,0,1,0.0,0,2,1,100.0,2,79.2,1,50.0,0,1,2,2.0,1.0,0.5,,0,,,0,0,,0,0,0,73.1,62.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Jordan Faison,171081,WR,NOTRE DAME,1,2,0,258,0,-2.0,0,100.0,,0,0,0.0,0,1,0,81.5,85.1,0,11,0.0,0,4,1,100.0,4,112.5,1,25.0,0,11,13,13.0,11.0,2.75,2.0,1,100.0,,0,0,0.0,0,2,0,76.3,66.0,0,14,0.0,0,6,2,100.0,6,118.8,2,33.3,0,25,21,10.5,12.5,4.17
Isaiah Bond,163586,WR,TEXAS,1,2,0,311,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,57.9,0,8,0.0,0,3,1,100.0,3,100.0,1,33.3,0,8,9,9.0,8.0,2.67,7.0,0,50.0,,0,0,50.0,1,0,0,17.0,45.5,0,8,0.0,0,4,1,100.0,4,60.4,2,50.0,0,8,9,9.0,8.0,2.0
Kris Mitchell,97659,WR,NOTRE DAME,1,1,0,258,0,,0,,,0,0,,0,0,0,,53.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,53.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Luke Reynolds,183611,TE,PENN STATE,1,1,0,266,0,,0,,,0,0,,0,0,0,,51.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,68.1,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
TreVeyon Henderson,145059,HB,OHIO STATE,1,1,0,260,0,-6.0,0,100.0,,0,0,0.0,0,1,0,81.5,92.6,0,75,0.0,0,4,1,100.0,4,158.3,1,25.0,1,75,81,81.0,75.0,18.75,,0,,,0,0,,0,0,0,70.7,66.2,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jeremiyah Love,171090,HB,NOTRE DAME,1,1,0,258,0,,0,,,0,0,,0,0,0,,53.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,56.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Juan Davis,144725,TE,TEXAS,1,1,0,311,0,,0,,,0,0,,0,0,0,,48.0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,-1.0,0,100.0,,0,0,0.0,0,0,0,66.7,53.1,0,4,25.0,1,4,1,50.0,2,83.3,1,50.0,0,4,5,5.0,4.0,2.0
Jayden Harrison,98556,WR,NOTRE DAME,1,1,0,258,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,25.0,0,0.0,,0,0,,0,0,0,,58.0,1,0,0.0,0,2,0,100.0,2,0.0,1,50.0,0,0,0,,,0.0
Kaytron Allen,164158,HB,PENN STATE,1,1,0,266,0,,0,,,0,0,,0,0,0,,55.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,56.8,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Silas Bolden,71674,WR,TEXAS,1,1,0,311,0,,0,,,0,0,,0,0,0,,50.0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,5.0,1,100.0,,0,0,0.0,0,1,0,70.7,67.4,0,24,0.0,0,7,1,100.0,7,118.8,1,14.3,0,24,19,19.0,24.0,3.43
