player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Corey Thompson Jr.,174081,WR,UNLV,1,7,0,325,0,,0,,,0,0,,0,0,0,,53.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,29.0,0,100.0,100.0,1,1,0.0,0,1,0,73.1,65.5,0,29,0.0,0,5,1,100.0,5,118.8,1,20.0,0,29,0,0.0,29.0,5.8
Matt Lauter,145992,TE,BOISE ST,1,6,0,120,0,,0,,,0,0,,0,0,0,,48.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,0,0,77.5,64.2,0,7,0.0,0,9,1,100.0,9,95.8,1,11.1,0,7,3,3.0,7.0,0.78
Cam Vaughn,170441,WR,JVILLE ST,1,6,0,196,0,1.0,1,100.0,,0,0,0.0,0,1,0,81.5,95.2,0,13,0.0,0,1,1,100.0,1,118.8,1,100.0,0,13,12,12.0,13.0,13.0,,0,,,0,0,,0,0,0,76.3,87.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Nicholas Singleton,164188,HB,PENN STATE,1,6,0,266,0,-5.0,0,0.0,,0,0,,0,0,0,,53.4,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0.5,0,50.0,,0,0,0.0,0,0,0,79.3,66.2,0,8,0.0,0,4,1,75.0,3,60.4,2,66.7,0,8,2,2.0,8.0,2.67
Jaylin Noel,125155,WR,IOWA STATE,1,6,0,193,0,,0,,,0,0,,0,0,0,,48.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,13.6,0,80.0,,0,0,0.0,0,2,0,80.9,66.5,1,25,0.0,0,27,4,96.3,26,113.3,5,19.2,1,56,4,1.0,14.0,2.15
Matthew Hibner,129581,TE,SMU,1,6,0,287,0,,0,,,0,0,,0,0,0,,51.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,8.6,0,80.0,100.0,1,1,20.0,1,2,0,44.3,59.6,0,20,0.0,0,35,4,97.1,34,138.8,5,14.7,1,39,2,0.5,9.8,1.15
Harvey Broussard III,176337,WR,LA LAFAYET,1,6,0,207,0,,0,,,0,0,,0,0,0,,52.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,76.3,68.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Christian Fitzpatrick,122707,WR,MARSHALL,1,6,0,214,0,1.0,0,100.0,,0,0,0.0,0,1,0,81.5,76.5,0,15,0.0,0,6,1,100.0,6,118.8,1,16.7,0,15,14,14.0,15.0,2.5,-4.0,1,100.0,,0,0,0.0,0,0,0,76.3,62.3,0,2,0.0,0,4,1,100.0,4,79.2,1,25.0,0,2,6,6.0,2.0,0.5
Antonio Williams,156241,WR,CLEMSON,1,6,0,140,0,-3.0,1,100.0,,0,0,0.0,0,0,0,86.7,55.5,0,0,0.0,0,6,2,100.0,6,79.2,2,33.3,0,-1,5,2.5,-0.5,-0.17,3.7,1,100.0,,0,0,0.0,0,1,0,79.3,60.0,0,17,0.0,0,34,3,97.1,33,93.1,3,9.1,0,19,8,2.7,6.3,0.58
Gabe Burkle,157578,TE,IOWA STATE,1,5,0,193,0,,0,,,0,0,,0,0,0,,50.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0,0,77.5,50.7,0,6,0.0,0,8,1,75.0,6,91.7,1,16.7,0,6,1,1.0,6.0,1.0
