player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Roderick Daniels Jr.,144356,WR,SMU,1,7,0,287,0,-3.7,3,100.0,,0,0,0.0,0,2,0,90.0,92.5,0,20,0.0,0,9,3,100.0,9,116.7,3,33.3,0,36,47,15.7,12.0,4.0,25.5,1,50.0,100.0,1,1,0.0,0,2,0,13.3,50.4,0,28,0.0,0,28,2,82.1,23,133.3,4,17.4,1,48,21,10.5,24.0,2.09
Tyler Warren,129798,TE,PENN STATE,1,6,0,266,0,-1.0,0,100.0,,0,0,0.0,0,0,0,86.7,59.0,0,6,0.0,0,4,2,100.0,4,85.4,2,50.0,0,9,11,5.5,4.5,2.25,3.5,0,50.0,0.0,0,1,0.0,0,0,0,74.9,59.3,0,6,0.0,0,14,1,100.0,14,56.3,2,14.3,0,6,6,6.0,6.0,0.43
Antonio Williams,156241,WR,CLEMSON,1,6,0,140,0,,0,,,0,0,,0,0,0,,50.3,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,11.4,1,60.0,,0,0,0.0,0,2,0,77.5,56.3,0,18,0.0,0,41,3,97.6,40,88.8,5,12.5,0,44,14,4.7,14.7,1.1
Myles Price,123155,WR,INDIANA,1,6,0,190,0,-1.0,2,100.0,,0,0,0.0,0,1,0,86.7,98.6,0,7,0.0,0,2,2,100.0,2,133.3,2,100.0,1,13,15,7.5,6.5,6.5,7.0,3,83.3,0.0,0,1,0.0,0,4,0,78.5,74.9,0,17,0.0,0,24,5,91.7,22,145.1,6,27.3,1,56,33,6.6,11.2,2.55
Bru McCoy,71345,WR,TENNESSEE,1,6,0,307,0,,0,,,0,0,,0,0,0,,48.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,14.0,0,33.3,0.0,0,2,0.0,0,0,0,77.5,63.5,0,6,0.0,0,5,1,100.0,5,42.4,3,60.0,0,6,2,2.0,6.0,1.2
Jake Briningstool,124831,TE,CLEMSON,1,6,0,140,0,-5.0,0,0.0,,0,0,,0,0,0,,48.2,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,9.0,0,66.7,,0,0,0.0,0,1,0,77.5,59.7,0,27,0.0,0,29,2,96.6,28,106.3,3,10.7,0,35,19,9.5,17.5,1.25
Jordan Hudson,157298,WR,SMU,1,6,0,287,0,-6.0,0,100.0,,0,0,0.0,0,0,0,81.5,55.6,0,3,0.0,0,4,1,100.0,4,79.2,1,25.0,0,3,9,9.0,3.0,0.75,8.0,0,100.0,100.0,1,1,0.0,0,1,0,37.6,59.7,0,8,40.0,2,5,1,60.0,3,100.0,1,33.3,0,8,0,0.0,8.0,2.67
Brashard Smith,143951,HB,SMU,1,6,0,287,0,-6.0,0,100.0,,0,0,0.0,0,0,0,86.7,69.3,0,7,0.0,0,6,2,100.0,6,79.2,2,33.3,0,1,13,6.5,0.5,0.17,-6.0,0,100.0,,0,0,0.0,0,0,0,79.3,66.7,0,-6,0.0,0,7,1,100.0,7,79.2,1,14.3,0,-6,0,0.0,-6.0,-0.86
Nicholas Singleton,164188,HB,PENN STATE,1,5,0,266,0,-4.0,1,50.0,,0,0,50.0,1,0,0,0.0,30.5,0,0,0.0,0,4,1,100.0,4,56.3,2,50.0,0,0,4,4.0,0.0,0.0,-2.3,1,66.7,,0,0,33.3,1,0,0,15.8,36.7,0,7,0.0,0,5,2,100.0,5,70.1,3,60.0,0,7,10,5.0,3.5,1.4
Aneyas Williams,184108,HB,NOTRE DAME,1,4,0,258,0,-4.0,1,100.0,,0,0,0.0,0,0,0,81.5,65.5,0,5,0.0,0,2,1,100.0,2,87.5,1,50.0,0,5,9,9.0,5.0,2.5,,0,,,0,0,,0,0,0,79.3,67.0,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Ryan Wingo,184520,WR,TEXAS,1,4,0,311,0,,0,,,0,0,,0,0,0,,49.6,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,43.0,0,0.0,0.0,0,1,,0,0,0,70.7,53.6,0,0,0.0,0,13,0,84.6,11,39.6,1,9.1,0,0,0,,,0.0
Gee Scott Jr.,129756,TE,OHIO STATE,1,4,0,260,0,,0,,,0,0,,0,0,0,,45.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,20.0,0,100.0,,0,0,0.0,0,1,0,76.3,59.6,0,26,0.0,0,8,1,100.0,8,118.8,1,12.5,0,26,6,6.0,26.0,3.25
TreVeyon Henderson,145059,HB,OHIO STATE,1,4,0,260,0,-3.0,0,100.0,,0,0,0.0,0,1,0,81.5,94.2,0,10,0.0,0,1,1,100.0,1,108.3,1,100.0,0,10,13,13.0,10.0,10.0,9.0,1,100.0,,0,0,0.0,0,1,0,78.5,91.7,0,21,0.0,0,2,2,100.0,2,118.8,2,100.0,0,29,11,5.5,14.5,14.5
